id,created_at,text
1258843589196603400,Fri May 08 19:37:54 +0000 2020,RT @EricVeloso: @stevesweatpants @mixcloud @streetdreamsnyc TMC🏁🏁
1258843574524838000,Fri May 08 19:37:51 +0000 2020,RT @TexasIsaiah: @stevesweatpants @streetdreamsnyc @EricVeloso @mixcloud 🙏🏿
1258810771447914500,Fri May 08 17:27:30 +0000 2020,#gems https://t.co/LXYqDT84M8
1258802065452777500,Fri May 08 16:52:54 +0000 2020,@JoshuaKissi I feel you. My no college ass would have been up in there too.
1258801656835248000,Fri May 08 16:51:17 +0000 2020,@GregNoire https://t.co/3Jvkuc3Fft
1258796845473697800,Fri May 08 16:32:09 +0000 2020,RT @josefadamu: @stevesweatpants math hoffa would like a word.
1258792138164383700,Fri May 08 16:13:27 +0000 2020,RT @Kahjahkins: @stevesweatpants I have to give fam props for in real time contextually punching dude when his opponent’s bars called for t…
1258777684596883500,Fri May 08 15:16:01 +0000 2020,#gems https://t.co/AV63ty687w
1258775772094922800,Fri May 08 15:08:25 +0000 2020,RT @jeffdonna: 💎
1258755022478872600,Fri May 08 13:45:58 +0000 2020,@byDVNLLN Same and I love IX
1258745234030317600,Fri May 08 13:07:04 +0000 2020,About to crack 1k plays for our first radio show. Love y’all and appreciate the support!  New show drops today conc… https://t.co/7RtCiydVlA
1258727708818845700,Fri May 08 11:57:26 +0000 2020,@BlueTheGreat https://t.co/89vhxQUDOC
1258727607182524400,Fri May 08 11:57:02 +0000 2020,@BlueTheGreat Nigga add me. I got all the fruits and shit
1258727471404519400,Fri May 08 11:56:29 +0000 2020,#gems https://t.co/KXK1jxTDQf
1258592964269559800,Fri May 08 03:02:00 +0000 2020,#gems https://t.co/UYuZrMAkrA
1258590218271195100,Fri May 08 02:51:06 +0000 2020,@Kostennn 💎💎💎
1258588235363758000,Fri May 08 02:43:13 +0000 2020,@GregNoire @jmgpix @byDVNLLN @BrooklynsSon https://t.co/JvtgyLiXve
1258573236088037400,Fri May 08 01:43:37 +0000 2020,@jmgpix @byDVNLLN @BrooklynsSon @GregNoire Some joints in here !
1258567257065762800,Fri May 08 01:19:51 +0000 2020,RT @streetdreamsnyc: "Barcelona, Spain."  A photo journal by @EricVeloso   https://t.co/fCPLLAoUBe https://t.co/WPykSoSc0h
1258561639013593000,Fri May 08 00:57:32 +0000 2020,@GregNoire @byDVNLLN @jmgpix @BrooklynsSon Oh dis nice. Details on cat behind the hat
1258517980909957000,Thu May 07 22:04:03 +0000 2020,@byDVNLLN Thanks family !
1258513983339786200,Thu May 07 21:48:10 +0000 2020,@byDVNLLN @jmgpix @BrooklynsSon @GregNoire 1/3 of the collection https://t.co/JxCN7GjBpj
1258495924248215600,Thu May 07 20:36:24 +0000 2020,#gems https://t.co/a44qI5BqBf
1258494066804904000,Thu May 07 20:29:01 +0000 2020,@byDVNLLN @jmgpix @BrooklynsSon @GregNoire Ahhhh shit let me go in
1258441388703826000,Thu May 07 16:59:42 +0000 2020,@KingThelonious Walt Clyde Frazier is undefeated. Wheel in’ and dealin’ and half other shit idk what he be talking… https://t.co/ryrYnrsV6y
1258435433790406700,Thu May 07 16:36:02 +0000 2020,Spitting some bars live tonight at 5 est.   Pull up.  https://t.co/8FAoQw4KxK https://t.co/XvcHT2pvq4
1258433634945708000,Thu May 07 16:28:53 +0000 2020,RT @instabaeth: tell us nice things!!!!! WE LOVE OUR REAL[M] GUESTS last week ✨ @tmpllnt  @HoodieAllen  @MichelleGHunder  this week ✨ @stev…
1258381655594750000,Thu May 07 13:02:20 +0000 2020,#gems https://t.co/mvuCzFfU7E
1258369925183406000,Thu May 07 12:15:44 +0000 2020,#gems https://t.co/ESu21soJrO
1258364408495067100,Thu May 07 11:53:48 +0000 2020,#gems https://t.co/hBey2HPKJB
1258251151256031200,Thu May 07 04:23:46 +0000 2020,@WhatJuSee @IAMAIMOS Game is top 5
1258235912389103600,Thu May 07 03:23:13 +0000 2020,@Jamiersen They got some fire ass beats
1258187349185507300,Thu May 07 00:10:14 +0000 2020,RT @maggielndnphoto: HI FRIENDS! Week 4 of Real[m] comin’ at ya TOMORROW 5/7 @ 5pm EST. featuring @stevesweatpants, @samtwomiller and @__mr…
1258181664246767600,Wed May 06 23:47:39 +0000 2020,RT @_cibrah: go visit this website if you have a chance. some really inspiring work on there 💎
1258171368341995500,Wed May 06 23:06:44 +0000 2020,https://t.co/JBLWGYmwkS https://t.co/s1MnshXQXJ
1258151206570033200,Wed May 06 21:46:37 +0000 2020,RT @streetdreamsnyc: "Carribean Bike Life."   A photo story by @stevesweatpants   https://t.co/fCPLLAoUBe https://t.co/tDevemnE08
1258151178334077000,Wed May 06 21:46:30 +0000 2020,RT @S0xKrispy: @stevesweatpants Wowww I need this
1258133744382365700,Wed May 06 20:37:14 +0000 2020,#gems https://t.co/2bPqmLFYiR
1258106583558520800,Wed May 06 18:49:18 +0000 2020,#gems https://t.co/zWZJEZ5xtC
1258061287638139000,Wed May 06 15:49:19 +0000 2020,#gems https://t.co/PjmETF5OlA
1258027041137594400,Wed May 06 13:33:14 +0000 2020,@instabaeth @samtwomiller @__mrnda @maggielndnphoto Let’s gooooo !
1258026999701999600,Wed May 06 13:33:04 +0000 2020,RT @instabaeth: we've got HASHTAG art comin' for ya this week!!!!!! real[m] guests @stevesweatpants  @samtwomiller &amp; @__mrnda cya thursday…
1257764654165774300,Tue May 05 20:10:36 +0000 2020,#gems https://t.co/cjHJDcTQta
1257664284282290200,Tue May 05 13:31:46 +0000 2020,@BnardArtwork Color is really distracting and I want to focus on the subject rather then that
1257664118556889000,Tue May 05 13:31:06 +0000 2020,RT @BnardArtwork: @stevesweatpants How do you decide color or black and white??
1257658769800147000,Tue May 05 13:09:51 +0000 2020,RT @visualsbypierre: @stevesweatpants No small talk
1257463709011771400,Tue May 05 00:14:45 +0000 2020,@byDVNLLN Love brody !
1257463682285604900,Tue May 05 00:14:39 +0000 2020,RT @byDVNLLN: 🔥
1257447997211922400,Mon May 04 23:12:19 +0000 2020,@fauxly Pu-nanny?
1257447502011302000,Mon May 04 23:10:21 +0000 2020,@S0xKrispy @HonorableAnt I got the Barkley’s fresh
1257447358926860300,Mon May 04 23:09:47 +0000 2020,@fauxly https://t.co/2RtOWiNMMj
1257445022934409200,Mon May 04 23:00:30 +0000 2020,@c0nlon REAL QUESTIONS
1257444903228932000,Mon May 04 23:00:01 +0000 2020,@HonorableAnt @S0xKrispy What a set
1257442321295200300,Mon May 04 22:49:46 +0000 2020,@GregNoire Love that movie
1257429786944770000,Mon May 04 21:59:57 +0000 2020,RT @BLKGLFNKS: @stevesweatpants If this was Rise Of Skywalker, that shit would’ve had Oscars
1257425684609355800,Mon May 04 21:43:39 +0000 2020,If you have a question to ask, please just say that shit.
1257425296287989800,Mon May 04 21:42:07 +0000 2020,@BlueTheGreat @Jacob_Rochester https://t.co/twTKgJetds
