id,created_at,text
1249024415679078400,Sat Apr 11 17:20:01 +0000 2020,RT @NSHERhockey: Here’s Colby Cave’s first NHL goal. RIP❤️😔🙏🏻. https://t.co/n3RzwbIzQE
1246899602806227000,Sun Apr 05 20:36:46 +0000 2020,Gary Thorne https://t.co/UClZTUeRol
1244323851552555000,Sun Mar 29 18:01:39 +0000 2020,@mpdubs Need the sequence of you running out on the ice, eating shit, then yelling at the referee 😂
1242877646196953000,Wed Mar 25 18:14:57 +0000 2020,I wish the @GolfChannel would air some classic rounds...
1229630359970734000,Tue Feb 18 04:54:57 +0000 2020,RT @FrankCaliendo: Happy Presidents Day from  @realDonaldTrump, @BarackObama, George W. @TheBushCenter &amp; @BillClinton. https://t.co/rb09kpj…
1229281907499655200,Mon Feb 17 05:50:20 +0000 2020,RT @Condors: CONDORS GOAL!!! First in the AHL for Nolan Vesey! 5-2. #Condorstown
1222593129813094400,Wed Jan 29 18:51:31 +0000 2020,#BellLetsTalk #YouAreNotAlone
1222361427912155100,Wed Jan 29 03:30:49 +0000 2020,RT @BleacherReport: Shaq reflects on Kobe.  (via @NBAonTNT) https://t.co/BXgDiJ1L0u
1221581818216009700,Sun Jan 26 23:52:56 +0000 2020,RT @espn: Dear Kobe: https://t.co/Vy3o4nmAi2
1220586461516509200,Fri Jan 24 05:57:44 +0000 2020,RT @SportsCenter: Today will mark the first time in Tiger Woods' career that he'll play alongside someone who was born after he turned pro.…
1216617989262512000,Mon Jan 13 07:08:26 +0000 2020,RT @HistoryInPics: "All this technology is making us antisocial" - Tag your parents https://t.co/mor42EMCNQ
1204134819858395100,Mon Dec 09 20:24:47 +0000 2019,RT @OnlyInBOS: Pete Frates has passed away at the age of 34.  "The Frates family wishes to express its sincere gratitude for the abundant l…
1203755214949367800,Sun Dec 08 19:16:22 +0000 2019,A good family friend of mine, Hunter Barr, has been diagnosed with a rare pediatric brain tumor. He is four years o… https://t.co/YKbrxhKOe3
1203083736159408000,Fri Dec 06 22:48:09 +0000 2019,Ritz cheese is mind boggling https://t.co/1A0ly3Z6vc
1201975218975232000,Tue Dec 03 21:23:18 +0000 2019,RT @LLysowski: The Sabres gifted assistant equipment manager George Babcock a snowmobile for his 2,000th career game.  Zach Bogosian rode i…
1189286664033755100,Tue Oct 29 21:03:31 +0000 2019,RT @19Vesey: Wow, Good Will Hunting still one of the GOATs
1185454142535299000,Sat Oct 19 07:14:26 +0000 2019,RT @BuffaloBills: No one knows hockey like @TreWhite16.  The best goalie in Louisiana history had some questions for our locker room. 😂 htt…
