id,created_at,text
1259169731644280800,Sat May 09 17:13:52 +0000 2020,@RobinNYC @deadtome @netflix Thanks mama!!! Enjoy. Ugh, I need to get back on my Peloton! The quarantine 15 is real!!!
1258811651056234500,Fri May 08 17:30:59 +0000 2020,RT @deadtome: Pace yourselves. Dead to Me is now streaming. https://t.co/9lF6QOf8R1
1258793173779796000,Fri May 08 16:17:34 +0000 2020,RT @deadtome: 🍷🎉🍷LIVE TWEET PARTY!🍷🎉🍷 WHAT: You heard us, we're live tweeting the first episode of season 2! WHEN: Pressing play at 5pm PT…
1258616874448781300,Fri May 08 04:37:01 +0000 2020,@deadtome drops tonight at midnight. Enjoy. And don’t do what I put in the picture p https://t.co/5fK4qawy4D
1258581984432906200,Fri May 08 02:18:23 +0000 2020,It feels glib to promote.  But tonight we drop. Midnight on Netflix. I hope we take you out of the shit for a few h… https://t.co/XbcZWx47GB
1258581379425595400,Fri May 08 02:15:58 +0000 2020,https://t.co/VZMrLxQxhe
1258544093560361000,Thu May 07 23:47:49 +0000 2020,Starting in 10 minutes https://t.co/SvecoJUQxZ
1258471222678941700,Thu May 07 18:58:15 +0000 2020,RT @deadtome: TONIGHT join @lindacardellini, @1capplegate and the rest of the Dead To Me cast for a live table read, supporting World Centr…
1258143077056667600,Wed May 06 21:14:19 +0000 2020,@IJasonAlexander Poop-emojigate. Miss you dude.
1258071438528938000,Wed May 06 16:29:39 +0000 2020,Sooooo this is happening. https://t.co/AIOXGhXUf2
1257076502094426000,Sun May 03 22:36:08 +0000 2020,@PlanetFuz @mindykaling @neverhaveiever Friday
1257075849121001500,Sun May 03 22:33:32 +0000 2020,My version. https://t.co/zZwbOEu3Vq https://t.co/Z2XHBXeriE
1257075326712074200,Sun May 03 22:31:27 +0000 2020,Hey @mindykaling woke at 2:30am due to corones panic and watch all 10 eps of @neverhaveiever   Loved it!!!
1257042575615127600,Sun May 03 20:21:19 +0000 2020,@benfalcone Miss you guys
1256379416730427400,Sat May 02 00:26:10 +0000 2020,I’m very upset seeing people at beaches. In my hometown. Do you all not realize the severity of this? I would love… https://t.co/pVgpK9zrlu
1256043691682095000,Fri May 01 02:12:06 +0000 2020,@chrissyteigen  I totallly did it. Such panache. Such skill https://t.co/d6uWBdqkN7
1255958422614233000,Thu Apr 30 20:33:17 +0000 2020,First time I’ve laughed in days. https://t.co/lMxHrshA83
1255247575831187500,Tue Apr 28 21:28:38 +0000 2020,Dude the statement saying you wanted to look them in the eye is lame. It’s a mask. Not pin the tail on the donkey.… https://t.co/vBmkwsVUoY
1254862840713711600,Mon Apr 27 19:59:50 +0000 2020,RT @deadtome: when someone asks how my monday is going https://t.co/efVTlPINcP
1254828920781697000,Mon Apr 27 17:45:02 +0000 2020,RT @GameSpot: Josh Gad is hosting a Goonies reunion today. Here's how to watch it. https://t.co/EX7in2pfXk https://t.co/Iyap4L8ANQ
1254514168184492000,Sun Apr 26 20:54:20 +0000 2020,RT @thelizfeldman: New season of @deadtome is out 5/8! If you’re looking for something to do, I recommend u rewatch #DeadToMe Season 1 as a…
1253756461714292700,Fri Apr 24 18:43:28 +0000 2020,A bit more https://t.co/MwdUqm6v6P
1249785148117143600,Mon Apr 13 19:42:53 +0000 2020,RT @tearsforfears: Curt and his daughter performed this original version of ‘Mad World’ last week. A reminder that even in these uncertain…
1248644197340438500,Fri Apr 10 16:09:09 +0000 2020,https://t.co/NIhzj4vsN2
1248642361145454600,Fri Apr 10 16:01:52 +0000 2020,Well guys, here you go! May 8 https://t.co/G61uiPjDYy
1248030890472566800,Wed Apr 08 23:32:06 +0000 2020,As I sit here thinking “ this sucks! My kid won’t do school work. Have I showered? When is this over?” I’m reminded… https://t.co/3esldylG59
1247833840728461300,Wed Apr 08 10:29:05 +0000 2020,When she says it “will not come here” is she doing Opposite Day? Or is it code for “we are so fucked”? Cuz we is... https://t.co/EBaoXh5X98
1245800323244896300,Thu Apr 02 19:48:37 +0000 2020,Guys. I was on a rant. But if you can stay home, do. It’s the only way we can make this shit stop. Here is a pic of… https://t.co/GKDYN1hDHi
1245778545986531300,Thu Apr 02 18:22:05 +0000 2020,@mindykaling I love you!!
1245770054194434000,Thu Apr 02 17:48:20 +0000 2020,Hair (10/10) Movie CLIP - Let the Sunshine In (1979) HD - YouTube oh god may this be us when this is done https://t.co/LQLixJ0tyN
1245506392716263400,Thu Apr 02 00:20:39 +0000 2020,Stay home. I know we have to have food. I k ow we have to have our meds. But everyone is trying to help with that. Please. Stay home!!!
1245505736873889800,Thu Apr 02 00:18:02 +0000 2020,I’m proud of my governor @GavinNewsom who stepped up weeks ago.  And also @NYGovCuomo for being real this is awful.… https://t.co/RnJSzSkWZP
1245504975884566500,Thu Apr 02 00:15:01 +0000 2020,Hey asshole politicians. Shelter In place. This isn’t a joke. Humans are dying. This is scary. Get it together. I’m tired of this.
1244499960252358700,Mon Mar 30 05:41:26 +0000 2020,@jfreewright Jeffrey please tell me this tweet by him is from a parody account. This cAnt be real! Holy shit. Also… https://t.co/BdU1yacdsS
1244451974025642000,Mon Mar 30 02:30:46 +0000 2020,Best entertainment for corona times. https://t.co/qaTCHYtgrR
1244440106225692700,Mon Mar 30 01:43:36 +0000 2020,Bought. Thanks apple for not making me look smart. I meant bought!!! Ugh. Corona times. I’m bored https://t.co/180IwnAWDK
1244438352201265200,Mon Mar 30 01:36:38 +0000 2020,Current shirt. I bough in Catalina it made me laugh https://t.co/yOyMHl2Bnn
1244390023530606600,Sun Mar 29 22:24:35 +0000 2020,https://t.co/TloFHcRpCr
1244034909229875200,Sat Mar 28 22:53:30 +0000 2020,@raggbull Weird
1244032525359386600,Sat Mar 28 22:44:01 +0000 2020,https://t.co/UsfdNj6p4e
1243989269561016300,Sat Mar 28 19:52:08 +0000 2020,Hey. I know organizing a sing a long in the face of what the world is going through may seem glib. But we are all i… https://t.co/In1BwdsIPg
