id,created_at,text
1259286367936405500,Sun May 10 00:57:21 +0000 2020,RT @NAKHAZ: Jamie Fox is the most talented person ever born   https://t.co/swhIkcG4LE
1259258190677631000,Sat May 09 23:05:23 +0000 2020,RT @Nellie1k_: 1. That piano setup is to die for 2. That kitchen is to die for  3. That closet is to die for
1259258135933587500,Sat May 09 23:05:10 +0000 2020,RT @benwegmann: Rise &amp; Grind! https://t.co/hjXIbI8vxw
1259246868531421200,Sat May 09 22:20:23 +0000 2020,RT @_Deshawn__: The way Jamie Foxx describes the opening scene of the Mike Tyson biopic got me wanting to see it immediately. https://t.co/…
1259148277120938000,Sat May 09 15:48:37 +0000 2020,RT @INTERIORPORN1: The lights makes this interior look special 😍 https://t.co/O4EH43TjTc
1258930122708734000,Sat May 09 01:21:45 +0000 2020,RT @lovethediosa: paul milinski’s designs make me want to fall in love and write about it. https://t.co/0yKS2n6iBz
1258854136776360000,Fri May 08 20:19:49 +0000 2020,I’ve gotten better and accomplished more and more every year I been playing basketball since I really started in 11… https://t.co/QW5OZ52BTD
1258509953834217500,Thu May 07 21:32:09 +0000 2020,RT @INTERIORPORN1: The interior in this kitchen is gorgeous https://t.co/mKZIQZuuQJ
1258509185223803000,Thu May 07 21:29:06 +0000 2020,Tranquilo Mr. Ben🙇🏽‍♂️💭Now we talking...🧘🏾 https://t.co/ImJtsOosuY
1258508852548399000,Thu May 07 21:27:47 +0000 2020,RT @benwegmann: Black accents &gt; 🔥🔥🔥 https://t.co/I4OAyfCDBV
1258121064963547100,Wed May 06 19:46:51 +0000 2020,RT @TracyWalkerIII: https://t.co/SvxEY8UoyP
1258121014791286800,Wed May 06 19:46:39 +0000 2020,RT @5inchesisalot: u okay baby??  her: https://t.co/t4INHXZvGO
1258109619110580200,Wed May 06 19:01:22 +0000 2020,RT @INTERIORPORN1: The interior of this home is incredible https://t.co/H4oZlyXhgs
1258104623103119400,Wed May 06 18:41:31 +0000 2020,RT @INTERIORPORN1: THIS. IS. INSANE. 🤯😍 https://t.co/HV5xvElgcH
1258077996839243800,Wed May 06 16:55:43 +0000 2020,RT @BeforesAndAfter: Amazing transformation! https://t.co/YGaRgQfC10
1258062615819030500,Wed May 06 15:54:35 +0000 2020,RT @Rossmac212: He must have been drunk😂    https://t.co/aJXbKq6Gdt
1257452526389133300,Mon May 04 23:30:19 +0000 2020,RT @INTERIORPORN1: The interior of this home looks so modern 🔥 https://t.co/pfRdAn4JF5
1257451801361764400,Mon May 04 23:27:26 +0000 2020,RT @PhillyWRLD: One of my favorite Kobe and MJ moments. So pure😭 https://t.co/Ljq8anCmsS
1256402694438293500,Sat May 02 01:58:39 +0000 2020,🗣Viral... Movie 📽
1256398432190836700,Sat May 02 01:41:43 +0000 2020,That drake future collab very flammable 🔥🤦🏽‍♂️😂 Tranquilo fellas 🧘🏾
1256359515479576600,Fri May 01 23:07:05 +0000 2020,Going see the best of everybody who hoop after this is over lol everybody miss basketball od!
1256332310623842300,Fri May 01 21:18:59 +0000 2020,RT @Kapri_Sunnnnn: That “Hold Up! Wait a minute!” Gets me everytime 😭 https://t.co/PIS65tISVL
1256318682105630700,Fri May 01 20:24:49 +0000 2020,@thekidet Is your speed bar high? Meaning your fast🧘🏾
1256307335133159400,Fri May 01 19:39:44 +0000 2020,RT @malliexeillam: me starting the song over because i stuttered on my favorite verse
1256307183169319000,Fri May 01 19:39:08 +0000 2020,RT @honestari: Y’all the owner of @/moonxcosmeticsllc on IG, Mariee’ Revere made 1.18 million dollars in 9 minutes last night! Did I mentio…
1256285583220994000,Fri May 01 18:13:18 +0000 2020,These ball highlights y’all posting better than tv😂 why ya so tough tho Tranquilo hoopers
1256266760464056300,Fri May 01 16:58:30 +0000 2020,@rxxf4 Tranquilo mr. reef s😂
1256258041265164300,Fri May 01 16:23:51 +0000 2020,Know 2020 been 💩 but the music... the music Tranquilo 🧘🏾🔥
1256250246390259700,Fri May 01 15:52:53 +0000 2020,All I see and all I’m around is winners, I refuse to be the odd man out🧘🏾
1255875297028833300,Thu Apr 30 15:02:58 +0000 2020,Tory Lanez quietly nice
1255708427348840400,Thu Apr 30 03:59:53 +0000 2020,RT @ginandtectonica: Look at this cutie doing the #DontRushChallenge 🥺😭 https://t.co/jrO4m3ghWn
1255671450788417500,Thu Apr 30 01:32:57 +0000 2020,Beyoncé...(the rapper) is top tier too🐐 Tranquilo Ms. Knowles-Carter
1255240662578061300,Tue Apr 28 21:01:09 +0000 2020,Then the oil dropping on your scalp 🙏🏽
1255228537709244400,Tue Apr 28 20:12:59 +0000 2020,Getting your hair washed has to be top 5 feelings 🧘🏾
