id,created_at,text
1260017589058596900,Tue May 12 01:22:57 +0000 2020,@Iam_DanielleC We’re here to help! Deseándote lo mejor
1260015394179309600,Tue May 12 01:14:14 +0000 2020,Myself and my roommates are geniuses, proof here: https://t.co/SE3GUhXxeJ
1258851667421704200,Fri May 08 20:10:00 +0000 2020,Want a great workout?? Proceeds go to https://t.co/359Bu53CZV, an incredible organization helping children in foste… https://t.co/3NgjDGH6SK
1258572089658728400,Fri May 08 01:39:03 +0000 2020,It’s a mating dance https://t.co/gr8xegKic2
1258523988453556200,Thu May 07 22:27:55 +0000 2020,I'm standing ​#TogetherForHer​, in support of women &amp; children experiencing domestic violence in the time of… https://t.co/iHQSwzRpN8
1258498318994337800,Thu May 07 20:45:55 +0000 2020,I chat with @joshuahorowitz right here, within this link! https://t.co/KFGWejs4h6
1257324406751105000,Mon May 04 15:01:13 +0000 2020,I teamed up with my trainer to create a workout! Check it out here: https://t.co/l2UNfVkzDY https://t.co/dhn9AF5sQ0
1255275091472113700,Tue Apr 28 23:17:58 +0000 2020,Special guest appearance by Levon? Tune in to find out https://t.co/zO3hAor5mh
1254976324973629400,Tue Apr 28 03:30:46 +0000 2020,@Rosycoss416 For films, the year listed is the year it is released
1254828266889769000,Mon Apr 27 17:42:27 +0000 2020,Thank you! So appreciate the kind words (and I’ll take “if you say so” as a positive step forward in our evolving r… https://t.co/OOWgQsgcWx
1254195099807871000,Sat Apr 25 23:46:28 +0000 2020,Me on my quarantine beach walk of the day https://t.co/b0kvrCXFvL
1254194830873260000,Sat Apr 25 23:45:24 +0000 2020,Best horror film ever?  Food vs. music?  You guys asked and I tried to answer...  https://t.co/UvjurQeeQP
1251648390280016000,Sat Apr 18 23:06:45 +0000 2020,you're home, I'm home... so I answered some of your questions on my YouTube channel and talked about Step Brothers.… https://t.co/lcvLIkThLw
1251576405072072700,Sat Apr 18 18:20:42 +0000 2020,Check out @Amy4Syth and #maddiehasson and me in #wesummonthedarkness available on amazon and iTunes 🔥 https://t.co/dfo3MSUaWO
1249423976314458000,Sun Apr 12 19:47:43 +0000 2020,RT @MaxGDavison: I snapped a photo of the puzzle and posted it online and soon someone liked it.  Then another person liked the photo.  I f…
1249132950492504000,Sun Apr 12 00:31:17 +0000 2020,@JerryisjustOK @DreadCentral @wesummon @austinswift7 Hope you feel better soon.
1248689932832403500,Fri Apr 10 19:10:54 +0000 2020,Our film is out today on Apple TV  X https://t.co/UFUMOPYm2t
1248352674245795800,Thu Apr 09 20:50:45 +0000 2020,https://t.co/b3JJoIBjTE
1248059553763205000,Thu Apr 09 01:26:00 +0000 2020,RT @JorCru: WE SUMMON THE DARKNESS gets its digital release this weekend, and honeslty it’s one of my favorite movies of the year. It’s a b…
1247763184607363000,Wed Apr 08 05:48:20 +0000 2020,So far, my research shows the orange gummy bears are the best, i think, but I’m going to keep working on it
1247660461593510000,Tue Apr 07 23:00:09 +0000 2020,Check me out on the @unqualified podcast with the wonderful @AnnaKFaris! https://t.co/ytujok9QU7
1246838690011213800,Sun Apr 05 16:34:43 +0000 2020,This Friday, April 10th on @iTunes and Amazon @PrimeVideo... https://t.co/li82JelI5w
1246271823378968600,Sat Apr 04 03:02:11 +0000 2020,😱 https://t.co/2GxZnSxUPI
1246223030688215000,Fri Apr 03 23:48:18 +0000 2020,RT @BDisgusting: Alexandra Daddario-Starring 'We Summon the Darkness' Conjures Up Poster Art Before April 10th Release https://t.co/pkuCRZW…
1245835781903544300,Thu Apr 02 22:09:31 +0000 2020,@Jaberuski https://t.co/YYaeZQKDmu
1245773195782717400,Thu Apr 02 18:00:49 +0000 2020,https://t.co/V5DUjBjRHb
1245770509486379000,Thu Apr 02 17:50:09 +0000 2020,@Jaberuski Should I send her a recent photo? Things have changed
1244002571443777500,Sat Mar 28 20:45:00 +0000 2020,If you need a work note to self-quarentine for COVID-19 symptoms, but don’t need medical attention, skip going to t… https://t.co/mVECS1U34S
1243650507127718000,Fri Mar 27 21:26:01 +0000 2020,Hi @netflix I would like to play one of doc antle’s wives I will send in an audition tape
1243376944831320000,Fri Mar 27 03:18:59 +0000 2020,“It’s not going to kill anybody,” Trump said about the upside of trying hydroxychloroquine on coronavirus patients.… https://t.co/AkubMkdRkH
1243330095831339000,Fri Mar 27 00:12:49 +0000 2020,Spent an hour today trying to determine if my dog was a righty or a lefty
1242953662000857000,Wed Mar 25 23:17:00 +0000 2020,🤣 https://t.co/7q4QqzUReY
1242656586624987100,Wed Mar 25 03:36:32 +0000 2020,First of all, regular, voice phone calls are pointless now
1242503324709949400,Tue Mar 24 17:27:31 +0000 2020,Everything is lava
1242245384409198600,Tue Mar 24 00:22:34 +0000 2020,@HartleySawyer Not helpful, I don’t know much but I know this spider is not a cat
1242237045654741000,Mon Mar 23 23:49:25 +0000 2020,What spider is this https://t.co/j7vLf020iS
1241927464156201000,Mon Mar 23 03:19:16 +0000 2020,RT @MayorOfLA: This weekend we saw too many people packing beaches, trails and parks. So we are closing sports and recreation at @LACityPar…
1241522288987500500,Sun Mar 22 00:29:14 +0000 2020,RT @SirPatStew: https://t.co/dA92uM4Hr3
1241472016567292000,Sat Mar 21 21:09:28 +0000 2020,“Once, a long time ago, kids, you would have to go pay for a ticket to see a movie in a seperate establishment, awa… https://t.co/fHvbhT9p2I
1241082078671691800,Fri Mar 20 19:20:00 +0000 2020,💫 thank you! April 10th https://t.co/fqwTJdGmKj
1241080023622103000,Fri Mar 20 19:11:50 +0000 2020,This is what it’s like to be a dog
1240689756691771400,Thu Mar 19 17:21:03 +0000 2020,April 10th! https://t.co/X6wLipNly5
1240418789474177000,Wed Mar 18 23:24:19 +0000 2020,“If I get corona, I get corona. At the end of the day, I’m not going to let it stop me from partying.” -the future… https://t.co/qcbaKMXi5T
1240315754974564400,Wed Mar 18 16:34:54 +0000 2020,https://t.co/kLzuRji8uQ
1240005645949997000,Tue Mar 17 20:02:38 +0000 2020,35%🇮🇹 + 33%🇬🇧 + 22%🇮🇪 + 10%🇨🇿= 100% me!  Thanks #Gradient app! https://t.co/wRE2YwSETT
1239683319190532000,Mon Mar 16 22:41:50 +0000 2020,I want to remind all my younger followers to be the cool friend in your group and stay home and encourage your frie… https://t.co/tRZ7Dzzmqb
1239634362796138500,Mon Mar 16 19:27:18 +0000 2020,My mom drew godzilla in a party dress for me for my birthday. It’s very beautiful. Thank you all for the birthday w… https://t.co/OVdxyDoSfD
1239313466831192000,Sun Mar 15 22:12:10 +0000 2020,the restaurants are full. The world appears fine. You don't see a tsunami, earthquake, tornado, terrorism, in advan… https://t.co/6TqHG592UW
1239269107360583700,Sun Mar 15 19:15:54 +0000 2020,Levon https://t.co/e6yZym7JYa
1239248686833680400,Sun Mar 15 17:54:45 +0000 2020,RT @CNNPolitics: "I would like to see a dramatic diminution of the personal interaction we see in restaurants and in bars," Dr. Fauci says…
1239206412158451700,Sun Mar 15 15:06:46 +0000 2020,RT @birbigs: Younger folks should read this. This is why I rescheduled my shows this week.
1237991305726304300,Thu Mar 12 06:38:22 +0000 2020,RT @EmoPhilips: as if we needed more bad news
1237909316079886300,Thu Mar 12 01:12:34 +0000 2020,I’ve never used twitter to tweet my immediate brain thoughts but holy shit
1237908381517713400,Thu Mar 12 01:08:52 +0000 2020,Holy shit
