id,created_at,text
1255930836379025400,Thu Apr 30 18:43:40 +0000 2020,WTF! I’m on @whatthefit with my guy @KevinHart4real. I just watched it at it was legit making me gig(gle). Check it… https://t.co/qgppkpMzEQ
1247576344092786700,Tue Apr 07 17:25:53 +0000 2020,No Mushroom ep? Hum this list is incomplete. https://t.co/DKkWsHShqj
1246876141157142500,Sun Apr 05 19:03:32 +0000 2020,@PageKennedy Whose Michael Jordan?
1246314168992411600,Sat Apr 04 05:50:27 +0000 2020,RT @sarsnooks: @UncleBlazer @GrimbleLewis Cleaning out the garage during quarantine and I found my 2012 high school senior yearbook where m…
1245588735439192000,Thu Apr 02 05:47:51 +0000 2020,@MrsCatRob Millard SOUTH
1245412401899434000,Wed Apr 01 18:07:09 +0000 2020,This was a dream come true. I always wanted to be Punked. https://t.co/1FrzZjB7j4
1245376783970525200,Wed Apr 01 15:45:37 +0000 2020,Oh damn. I guess we can all go outside now? https://t.co/KniaANIpp2
1236841992165810200,Mon Mar 09 02:31:25 +0000 2020,@JrRoss26 I gotchu
1233232602531692500,Fri Feb 28 03:28:59 +0000 2020,@cleist5 Things are better on the RANCH
1232009759630319600,Mon Feb 24 18:29:50 +0000 2020,RT @BenSPLATT: ❤️ what a gift to hear that
1230723054482755600,Fri Feb 21 05:16:56 +0000 2020,@DressSweatpants Seems like a cool personality trait
1230722712949022700,Fri Feb 21 05:15:35 +0000 2020,@harrysmadre Good looking out.
1227452876852793300,Wed Feb 12 04:42:25 +0000 2020,@NiceLeanMutton “almost” positive.
1226595243316990000,Sun Feb 09 19:54:29 +0000 2020,HACK BOARD! We made this board on #workaholics. It’s all the hacky jokes we wanted to stay away from. TV writers! F… https://t.co/FgUneK7YbW
1225167885645099000,Wed Feb 05 21:22:41 +0000 2020,If you are in in the great Exuma Bahamas I’m hosting a HOT PEPPER EATTING contest at Big D’s Conch Spot off Queens… https://t.co/o0RvVG6QKq
1224130827350491100,Mon Feb 03 00:41:47 +0000 2020,When these plays got you like this   Tweet this ---&gt; #TUMSWORTHYsweepstakes And this ---&gt; 🔵 For a chance to win thi… https://t.co/AFT6HdzPU8
1224061067858411500,Sun Feb 02 20:04:35 +0000 2020,Never felt more inspired to eat wings before 🔵🔵🔵 #Totally #Ad #mitting #It https://t.co/0BIl6dypRS
1224014254044414000,Sun Feb 02 16:58:33 +0000 2020,That moment you realize you could win $54K during today’s game with the #TUMSWORTHYsweepstakes 🔵 #Sponsored… https://t.co/FHuNaBNern
1223998088957788200,Sun Feb 02 15:54:19 +0000 2020,Must be someone else. https://t.co/CMe28xGpac https://t.co/l5Mjo7SRQE
1223093716925198300,Fri Jan 31 04:00:40 +0000 2020,RT @Quibi: .@ADAMDEVINE on Quibi. BAD IDEA? More like GREAT IDEA. https://t.co/9dTPOsa6MP
