id,created_at,text
1260705868913479700,Wed May 13 22:57:56 +0000 2020,Thanks fam! ❤️ https://t.co/9Ch3JdB3CN
1260705821522038800,Wed May 13 22:57:45 +0000 2020,RT @FIFAWWC: Happy birthday to 2019 #FIFAWWC winner, @AbbyDahlkemper! 🥳  Enjoy the day with Bobby 🐶 https://t.co/3HRrUwELGG
1260705575152820200,Wed May 13 22:56:46 +0000 2020,Thank u!! https://t.co/eAEI8sxCIL
1255537550212636700,Wed Apr 29 16:40:53 +0000 2020,So much fun surprising @NCFC_Youth ! Keep up the hard work, ladies. The next time you see me might be on TikTok 👀… https://t.co/MB3nVGYxF8
1236718145727070200,Sun Mar 08 18:19:17 +0000 2020,RT @sammymewy: It's #IWD2020 and the gender pay gap still exists! We're teaming up with @TIMESUPNOW to collect your stories and make sure t…
1236685951499473000,Sun Mar 08 16:11:22 +0000 2020,Game day vs Spain. Let’s gooo 🇺🇸 @ Red Bull Arena https://t.co/oqJRYNrPiB
1234308588409098200,Mon Mar 02 02:44:34 +0000 2020,RT @MNUFC: s u b   @aaronschoenfeld IN Luis OUT https://t.co/WhbVAbVte5
1231713388453081000,Sun Feb 23 22:52:10 +0000 2020,🤪🙂 https://t.co/NIbh1V8Ya4
1231659680662835200,Sun Feb 23 19:18:45 +0000 2020,/// adidas @ Downtown Los Angeles https://t.co/Jo9EQutT9q
1227666312731779000,Wed Feb 12 18:50:32 +0000 2020,Very pleased!!! https://t.co/IuVgoTaicW
1226698336310218800,Mon Feb 10 02:44:08 +0000 2020,@lynnraenie 🚀💯 https://t.co/HDdPxxj7zi
1226686243464827000,Mon Feb 10 01:56:05 +0000 2020,RT @USWNT: Never gets old.   Never ever ever ever ever 🏆 https://t.co/D1L2juNdN8
1226021537221755000,Sat Feb 08 05:54:47 +0000 2020,RT @USWNT: If your friends don't support you like @kelleymohara, then throw them away. https://t.co/QbrA38CgPA
1226021235756155000,Sat Feb 08 05:53:35 +0000 2020,RT @USWNT: America’s Greatest Team.  I said what I said. https://t.co/HKlq7F0125
1225514298295902200,Thu Feb 06 20:19:12 +0000 2020,RT @USWNT: ONE WIN AWAY FROM TOKYO‼️ USA vs. MEXICO. FRIDAY NIGHT.  🎟 » https://t.co/goWZdpRyAr https://t.co/ICmNUNPyAw
1224878921570631700,Wed Feb 05 02:14:26 +0000 2020,RT @sammymewy: @USWNT Me in this pic https://t.co/Cvf6ONyOLA
1224878907691688000,Wed Feb 05 02:14:23 +0000 2020,RT @kelleymohara: Everyone, you’re welcome.
1222894985747386400,Thu Jan 30 14:50:59 +0000 2020,Full circle moment for me. Can’t wait to rep the brand I grew up with.  @adidassoccer @adidasWomen https://t.co/Piukss2afB
1220378087914864600,Thu Jan 23 16:09:44 +0000 2020,RT @budweiserusa: America, look beyond the labels. You might be surprised by what you find.  Watch Budweiser’s #SuperBowlLIV commercial now…
1216529321139081200,Mon Jan 13 01:16:06 +0000 2020,RT @sammymewy: Breaking footage of me going for a handshake on national television https://t.co/GkS3irioi4
1211822987386794000,Tue Dec 31 01:34:49 +0000 2019,In 2019 I found the love of my life, won a World Cup, and a NWSL Championship. Feeling extremely thankful for this… https://t.co/SlnDzEBxzU
1204509521512501200,Tue Dec 10 21:13:43 +0000 2019,RT @TheNCCourage: Merry Woofmas 🐶 featuring @AbbyDahlkemper's pup Bobby   #DogsOfTheCourage #CourageHolidayCards https://t.co/WlN7faxT6e
1201875456191942700,Tue Dec 03 14:46:53 +0000 2019,RT @nwsl_players: Auction now open! Happy bidding! https://t.co/frys5YDQOA https://t.co/wIwJoyrrIc
1201534477203361800,Mon Dec 02 16:11:57 +0000 2019,This year I’m teaming up with Holiday Heroes to bring holiday cheer to kids in need. Please join me on Dec 10 at Or… https://t.co/Jlt5dS3mYl
1200904841079509000,Sat Nov 30 22:30:00 +0000 2019,Wedding vibes ✨ Congrats @skillion16 !! @ Union 12 https://t.co/oNdfhNeM8N
1193346340484452400,Sun Nov 10 01:55:13 +0000 2019,🇺🇸 https://t.co/NldCMTkWv9
1192253730244235300,Thu Nov 07 01:33:34 +0000 2019,Dogs are life https://t.co/0h4c88ZU0j
1192109921397092400,Wed Nov 06 16:02:08 +0000 2019,I’m beyond excited &amp; proud to share this video I recently did with team @KwikGoal. It turned out amazing!… https://t.co/QKB7kOQUSn
1191473443709034500,Mon Nov 04 21:53:00 +0000 2019,🤷🏼‍♀️✌🏼 https://t.co/1Uxm0bCwwz
1188833274799349800,Mon Oct 28 15:01:54 +0000 2019,Thankful for another year of being able to do what I love with some incredible people. Thank you to my Courage team… https://t.co/c61rq5gXDX
1188596530716070000,Sun Oct 27 23:21:10 +0000 2019,Thankful to be apart of this team. https://t.co/xEEluYvbof
1188595409511428000,Sun Oct 27 23:16:43 +0000 2019,RT @abbyerceg: CTID
1188455186211246000,Sun Oct 27 13:59:31 +0000 2019,NWSL Championship 330pm ET on ESPN2 🦁 @ WakeMed Soccer Park https://t.co/SKybM502Ff
1186363480712106000,Mon Oct 21 19:27:50 +0000 2019,Mood 💃🏼 Finals next weekend 😈 @ WakeMed Soccer Park https://t.co/QCTlKRpKPd
1180885306620428300,Sun Oct 06 16:39:31 +0000 2019,Last victory tour game today vs South Korea. Chicago let’s gooo 🤘🏼 @ Soldier Field https://t.co/iWiX0B9pn3
1180131752527978500,Fri Oct 04 14:45:10 +0000 2019,A big shout out to all of the fans that came out to celebrate the game that we love with us last night in Charlotte… https://t.co/W4BuACJrsP
1179829861445247000,Thu Oct 03 18:45:33 +0000 2019,Charlotte... see ya tonight! 🇺🇸🥇 @ Bank of America Stadium https://t.co/f9RzwJCy2j
1179565193128562700,Thu Oct 03 01:13:51 +0000 2019,RT @Panthers: Welcome to the 👑 City! https://t.co/kyyImTyPTr
1178704614230761500,Mon Sep 30 16:14:13 +0000 2019,Feeling extremely thankful to be surrounded by amazing coaches and teammates pushing me to be my best everyday.… https://t.co/3qsxo95oPr
1174723329384767500,Thu Sep 19 16:34:01 +0000 2019,RT @JordanSpieth: Distracted driving is reckless.. if you see someone using a phone behind the wheel, speak up! Today is pledge day, join m…
1174723227995791400,Thu Sep 19 16:33:37 +0000 2019,Pledge Day is here! If you see someone driving distracted, speak up! Join @ItCanWait and the over 38 million pledge… https://t.co/IuTELqxEoz
1173069109887754200,Sun Sep 15 03:00:45 +0000 2019,Amazing https://t.co/wDuKNWdnAy
