id,created_at,text
1259427045395792000,Sun May 10 10:16:21 +0000 2020,RT @iyersaishwarya: WATCH: Tablighi Jamaat members welcomed by applause as they finally reach their homes close to Turkman Gate/Old Delhi o…
1259229832983900200,Sat May 09 21:12:42 +0000 2020,Haircut by wife, joint effort on the beard. Bohat bada bojh hat gaya sar se. https://t.co/Afst6mlxlF
1259154311612792800,Sat May 09 16:12:36 +0000 2020,Sir, Tarek Fatah sey itni naaraazgi ki ab aap us gareeb ki naukri bhi chheen lengay? https://t.co/O7594oia9v
1259150139664425000,Sat May 09 15:56:01 +0000 2020,Gujarat continues to make a mess of the COVID-19 crisis https://t.co/AZcFxzmKBr
1259101361238446000,Sat May 09 12:42:12 +0000 2020,Tablighi Jamaat members from one quarantine centre in Delhi to be allowed to go home.   Their long wait despite tes… https://t.co/ClG0fnt0ij
1259070827657486300,Sat May 09 10:40:52 +0000 2020,Ab aur kin nemato ko jhutlaoge? https://t.co/5YY4x9fzcN
1258990212996198400,Sat May 09 05:20:32 +0000 2020,Wasn't comfortable with glorification of Dr Saluja for shaving off his beard so that he can use N-95 mask. It unnec… https://t.co/fjWxXQQdP6
1258809329727103000,Fri May 08 17:21:46 +0000 2020,Very brave gesture by Dr Zahid. Praying for him. https://t.co/NCQ83e4VhI
1258796802267988000,Fri May 08 16:31:59 +0000 2020,Tankhwa kat gayi iska matlab yeh nahi ki boss ko sar-e-aam zaleel karwao https://t.co/SNNvAQnObc
1258713252801855500,Fri May 08 10:59:59 +0000 2020,If compensation had reached these workers, if they had been transported in the first part of lockdown, this would n… https://t.co/qfFFfmjFs8
1258468894169153500,Thu May 07 18:49:00 +0000 2020,So if an FIR is Pulitzer, jail must have been a Nobel for you? https://t.co/xMWVVJtvKo
1258410743889686500,Thu May 07 14:57:56 +0000 2020,"Mera ki kasoor je mai maarhe ghar jammeya?" is a brave song by @BawaRanjit. Not often that Punjabi pop singers tak… https://t.co/UMb4RrE3Sq
1258339820310429700,Thu May 07 10:16:06 +0000 2020,RT @ArunDev1: A group of migrant workers sent these photos. The poster says "We are prisoners in the city we built." https://t.co/ntbnlQGgag
1258267806627360800,Thu May 07 05:29:57 +0000 2020,RT @rohini_sgh: The gas leak didn’t happen because the factory was functioning during the lockdown but because it wasn’t. This tragedy was…
