id,created_at,text
1247605205644050400,Tue Apr 07 19:20:35 +0000 2020,Today is #WorldHealthDay and now more than ever the healthcare workers at @MountSinaiNYC need our support to save &amp;… https://t.co/EBJ6oiLyvS
1225107659482902500,Wed Feb 05 17:23:22 +0000 2020,What an incredible young lady! https://t.co/OPpQbQHgCP
1167087849252016000,Thu Aug 29 14:53:21 +0000 2019,Only and always positive vibes...
998643995092897800,Mon May 21 19:17:36 +0000 2018,✨✨ still dreaming about my magical week in Cannes ✨✨ https://t.co/6uA7ZlilVx
954380275697451000,Fri Jan 19 15:49:23 +0000 2018,Hello my beauties!!!! Loving my time in Germany with @Maybelline and an incredible group of smart and super cool be… https://t.co/yQ30UsA95O
936482496245411800,Fri Dec 01 06:30:00 +0000 2017,CONGRATULATIONS, SANDY! You deserve the title of @AmBeautyStar! I can’t wait for our shoot. 😉
936448522374860800,Fri Dec 01 04:15:00 +0000 2017,💫Its almost time! Who do you think should be the @AmBeautyStar? Leave me your comments below
936447263609471000,Fri Dec 01 04:10:00 +0000 2017,That metallic paint was EVERYTHING #TeamSandy! So cool. 🙌🏼@AmBeautyStar
936446006262054900,Fri Dec 01 04:05:00 +0000 2017,Hmmm…Do these looks look like the future of beauty to you guys? @AmBeautyStar
936442229429809200,Fri Dec 01 03:50:00 +0000 2017,I ❤️ this woman! It was so much fun having you on the show, @SeaBrinkley @AmBeautyStar https://t.co/j6HDfHWmxa
936439713572929500,Fri Dec 01 03:40:00 +0000 2017,I think this challenge might be hard for the contestants. 🤔 What do you all think the future of beauty will look like? @AmBeautyStar
936434680563302400,Fri Dec 01 03:20:00 +0000 2017,💋Beauties, RT if you’re tuning in with me in 10 minutes for the SEASON FINALE of @AmBeautyStar at 10:30/9:30c on Lifetime! I’m so excited!
936426547342438400,Fri Dec 01 02:47:41 +0000 2017,💋Beauties! It’s almost time for @AmBeautyStar! Who do you think will be the #AmericanBeautyStar!? Tune into Lifetim… https://t.co/n3m0XkwUpA
936351378930356200,Thu Nov 30 21:48:59 +0000 2017,✨TODAY IS THE DAY!✨ WHO WILL BE THE FIRST @AmBeautyStar 💫 🌟 TONIGHT 10:30/9:30c on Lifetime https://t.co/t8gPTKKakS
931378867461283800,Fri Nov 17 04:30:00 +0000 2017,Go #TeamSandy! #BeautyBeforeBullying @AmBeautyStar
931375092512247800,Fri Nov 17 04:15:00 +0000 2017,I’m loving the love between Sandy and Corey right now! @AmBeautyStar
931373832497258500,Fri Nov 17 04:10:00 +0000 2017,When Sandy’s look came down the runway I has sooo many questions! @AmBeautyStar
931372575304937500,Fri Nov 17 04:05:00 +0000 2017,I LOVE all of the color’s in Corey’s look! What did you guys think? @AmBeautyStar
