id,created_at,text
1260017584587436000,Tue May 12 01:22:56 +0000 2020,RT @kanikaaaaa17: My sister, Pragati, a young budding international level archery player, and merely 16 years old, suffered a brain stroke…
1259712484895752200,Mon May 11 05:10:35 +0000 2020,RT @dailyherapheri: *adds a product to cart*  app after 10 mins: https://t.co/edinzLml9l
1259366911462293500,Sun May 10 06:17:24 +0000 2020,RT @dailyherapheri: reminder - call her  #mothersday https://t.co/8zH3jJ7ueW
1259052803940466700,Sat May 09 09:29:15 +0000 2020,food: dosa and sambar  mood: in love  @spotifyindia please cook up a playlist that makes up for that failed heart-s… https://t.co/W1AFB5CbzG
1259018679863267300,Sat May 09 07:13:39 +0000 2020,Happy birthday @Shakti_Shetty! Wish I had taken more photos with you before the lockdown, so I didn't have to crop… https://t.co/mfmhm7g0x8
1258291132552958000,Thu May 07 07:02:38 +0000 2020,designed some quarantine book covers https://t.co/25dAEnd6k8
1257948262029578200,Wed May 06 08:20:11 +0000 2020,"TALL LATTE FOR X Æ A-13" - Starbucks
1257897234512969700,Wed May 06 04:57:25 +0000 2020,no one's using the 'quarantine day: number' format to say anything anymore because this is how we live now
1257682053937729500,Tue May 05 14:42:22 +0000 2020,Check out 'Into the Night' on Netflix.  10/10
1257649183114305500,Tue May 05 12:31:45 +0000 2020,RT @dailyherapheri: me: opening phone calculator for 5+7  brain: https://t.co/pqcVoR0lJi
1256915322793103400,Sun May 03 11:55:39 +0000 2020,RT @dailyherapheri: 3am quarantine group chats https://t.co/rsC5CgWuEF
1256213010768490500,Fri May 01 13:24:55 +0000 2020,these lockdown extensions are eerily reminiscent of the bas 10th paas karlo fir toh aish hi aish hai scam
1256104346615312400,Fri May 01 06:13:08 +0000 2020,me, every second of every hour of every day https://t.co/RAGsIlh9x8
1256083577155891200,Fri May 01 04:50:36 +0000 2020,april 2020 toh shuru hote hi khatam ho gaya, whereas march 2020 was like permanent hoon sir
1255742640085057500,Thu Apr 30 06:15:50 +0000 2020,Scared to check my phone in the morning. More and more with each passing day.
1255720673151877000,Thu Apr 30 04:48:33 +0000 2020,We lost a legend. Your legacy is and always will be glorious. #RishiKapoor https://t.co/aIVbqYhAMH
1255706615652614100,Thu Apr 30 03:52:41 +0000 2020,RT @dailyherapheri: no one:  shakira's hips: https://t.co/RAkSk4otpS
1255510327283900400,Wed Apr 29 14:52:42 +0000 2020,me, cooking food https://t.co/Cm20AdEgyw
1255405262854328300,Wed Apr 29 07:55:13 +0000 2020,No one has this range, and no one ever will. #IrrfanKhan https://t.co/uYWKmL9ebw
1255393745924694000,Wed Apr 29 07:09:27 +0000 2020,Terrible, terrible news. So incredibly sad right now. RIP @irrfank 💔
1255062019486519300,Tue Apr 28 09:11:18 +0000 2020,me going through instagram stories https://t.co/pS2mAcTIqy
1254327686790553600,Sun Apr 26 08:33:19 +0000 2020,murphy's law of pakoras: by the time you're done making them, it'll stop raining https://t.co/uYRNF3SWSj
1253900946196713500,Sat Apr 25 04:17:36 +0000 2020,RT @dailyherapheri: spotify after playing 3 songs https://t.co/hAVIWSO3k4
1253649097594044400,Fri Apr 24 11:36:51 +0000 2020,tgif then - thank god it's friday 🤩  tgif now - thak gaye, itne fridays 🥺
1253585626064011300,Fri Apr 24 07:24:38 +0000 2020,@ZomatoIN would've said airplanes ka khaana, but ab toh woh bhi miss kar raha hoon
1253498893343395800,Fri Apr 24 01:39:59 +0000 2020,RT @dailyherapheri: me explaining ludo https://t.co/CHc5ASZJJz
1253227982807806000,Thu Apr 23 07:43:29 +0000 2020,2 kinds of people in this quarantine https://t.co/1vvns4okAT
1252550344703275000,Tue Apr 21 10:50:48 +0000 2020,lockdown day 29 https://t.co/pLAbbLzzaO
1252457672714055700,Tue Apr 21 04:42:33 +0000 2020,me: *wakes up*  phone: https://t.co/H34dOpgX9e
1251848782985089000,Sun Apr 19 12:23:02 +0000 2020,bechaare saturday sunday ki toh koi izzat hi nahi rahi
1251405651621732400,Sat Apr 18 07:02:11 +0000 2020,jhadoo maari latak matak  kapde dhoye patak patak  wifi jaaye atak atak   aata majhi satak satak
1251025442108137500,Fri Apr 17 05:51:22 +0000 2020,hera pheras 😂😂😂 this guy is too good  👏 https://t.co/rpLEmSYg4e
1250820648227623000,Thu Apr 16 16:17:36 +0000 2020,haha this account @dailyherapheri is tooo funny just so good whoever is making these memes is a real genius
1250768770886320000,Thu Apr 16 12:51:27 +0000 2020,@shiladitya @aashishc @ixigo @Zomato 😂👏
1250685770710409200,Thu Apr 16 07:21:39 +0000 2020,youtube recommendations, 2019: movie trailers, songs, stand up comedy  youtube recommendations, 2020: dum aloo reci… https://t.co/Qikj0LHtU3
1250302850556547000,Wed Apr 15 06:00:03 +0000 2020,you've been warned https://t.co/kGhTlCqCx9
1250284983228321800,Wed Apr 15 04:49:03 +0000 2020,once this lockdown ends, I'm pretty sure I won't need another weekend for at least the next five to seven hours
1249930530176422000,Tue Apr 14 05:20:35 +0000 2020,@mihirmodi why would I delete tweets only cowards do that
1249929673779245000,Tue Apr 14 05:17:11 +0000 2020,lockdown extended till 3rd may  iss pe koi joke hi nahi aa raha aisi haalat hai
