id,created_at,text
1117666297968382000,Mon Apr 15 05:49:45 +0000 2019,The LEGAIMAT love! Who’s craving one?  #AlFanarRestaurant #AlFanarAlAin #Legaimat #EmiratiDesserts https://t.co/6MHuWMOUH3
1117666287143006200,Mon Apr 15 05:49:42 +0000 2019,Be it a private event or a corporate gathering, we are up for all kinds of catering.  DM us to inquire about our ca… https://t.co/oKqPemjlpD
1112607770325516300,Mon Apr 01 06:48:58 +0000 2019,https://t.co/RBEi29W0lW
1107696489915187200,Mon Mar 18 17:33:17 +0000 2019,نجوم العرب بعد وجبة شهية في مطعم الفنر فرع العين Always entertaining! Theatre legends after a hearty meal at Al Fan… https://t.co/VFtSMuz57m
1105828673515597800,Wed Mar 13 13:51:15 +0000 2019,استمتع بأشهى المأكولات الإماراتية في أجواء تراثية في مطعم الفنر فرع العين Enjoy delicious Emirati cuisine and revis… https://t.co/ttffBWEjze
1097442414317396000,Mon Feb 18 10:27:15 +0000 2019,استمتع بأشهى المأكولات الإماراتية في أجواء تراثية في مطعم الفنر فرع رأس الخيمة Enjoy delicious Emirati cuisine in a… https://t.co/YiwmEhaUxI
1096764197474467800,Sat Feb 16 13:32:16 +0000 2019,استمتع بأشهى المأكولات الإماراتية في أجواء تراثية في مطعم الفنر فرع رأس الخيمة Enjoy delicious Emirati cuisine in a… https://t.co/5PRFk6llbK
1095244387569799200,Tue Feb 12 08:53:05 +0000 2019,Our London venture is already in the news. Check the link in our bio for the article.  #AlFanarUK… https://t.co/e3t3OJ5Ux4
1091637471077716000,Sat Feb 02 10:00:29 +0000 2019,We literally take you back to the '70s.  It's all in the little details and our #RasAlKhaimah branch is sure one of… https://t.co/q63ihINXlZ
1085489663186489300,Wed Jan 16 10:51:17 +0000 2019,Have you visited our Al Majaz, Sharjah branch yet? #AlFanarRestaurant #AlFanarSharjah #AlMajazWaterfront https://t.co/u2HybnLdbk
1079373477789003800,Sun Dec 30 13:47:45 +0000 2018,Watch the festivities and celebrations unfold with out specially curated #NewYearSetMenu  DM us to book your table… https://t.co/1vujRlYyNF
1077205901994528800,Mon Dec 24 14:14:35 +0000 2018,Lets make your New Years Eve Special!  Watch the celebrations unfold at our #DubaiFestivalCity branch with our spec… https://t.co/ylGWWrkghx
1077198099142135800,Mon Dec 24 13:43:34 +0000 2018,Lets make your New Years Eve Special!  Watch the celebrations unfold at our #AlMajazWaterfront branch with our spec… https://t.co/mD12mhWGLX
1077196492690067500,Mon Dec 24 13:37:11 +0000 2018,Lets make your #NewYearsEve Special!  Watch the celebrations unfold at our #AlMajazWaterfront branch with our speci… https://t.co/ozAC1kp0Ps
1070655787490373600,Thu Dec 06 12:26:46 +0000 2018,🚙 COMPETITION ALERT🚙  Calling out all the #AlFanarFans !! Everyone knows about our iconic Blue Land Rover . But hav… https://t.co/Chsjgpxfm6
1069967138369220600,Tue Dec 04 14:50:19 +0000 2018,Fancy #EmiratiCuisine by the creek? Head to our newest branch at #AlSeefDubai to enjoy some authentic emirati seafo… https://t.co/rxCJzUhoYP
1069172779843444700,Sun Dec 02 10:13:49 +0000 2018,Happy 47th UAE National Day to everyone 🇦🇪❤️🇦🇪 #alfanarrestaurant #lugaimat #uaenationalday #uaenationalday47… https://t.co/Bai8BFX72b
1068129645281845200,Thu Nov 29 13:08:46 +0000 2018,Spend the #UAENationalDay weekend the #Emirati way.  Introducing the all new breakfast set menu at our newest branc… https://t.co/DbwUFfPFlM
1059813850093183000,Tue Nov 06 14:24:46 +0000 2018,كونوا جزء من الحدث و زورونا بمطعم و مقهى الفنر بسوق زعفرانة مقابل صالة الخبيصى للافراح بمنطقة الجيمى بمدينة العين م… https://t.co/8Cc3oXLW1v
1054041475644825600,Sun Oct 21 16:07:25 +0000 2018,مشتهي المشاوي؟ عيل لازم تزورونا وتجربون اطباق المشاوي الجديدة عندنا. من ريش إلى تكة بالروب. قائمة المشواي الجديدة م… https://t.co/oQqr3hDX7L
1049669765940297700,Tue Oct 09 14:35:48 +0000 2018,Craving grills for dinner? 🍢 🍗 🍖  Then you have to visit us to try our mix grills that we have added in our menu. F… https://t.co/gPE6x5Mpwp
1049666874777178100,Tue Oct 09 14:24:19 +0000 2018,Craving grills for dinner? 🍢 🍗 🍖   Then you have to visit us to try our mix grills that we have added in our menu.… https://t.co/90WcWYyVsB
1045223339105636400,Thu Sep 27 08:07:18 +0000 2018,Happy to partner with Al Ain Book Fair team and support this amazing initiative. Have you been o Al Ain Book Fair y… https://t.co/qsg9BGr4qp
1044483780755566600,Tue Sep 25 07:08:33 +0000 2018,@SAlwashahi السلام عليكم السيد سلطان الوشاحي٫ شكرا لتواصلك معنا. اولا نود ان نعتذر بتجربتك السيئة في خلال زيارتك ال… https://t.co/j5EdEVgZtF
1043818822740955100,Sun Sep 23 11:06:15 +0000 2018,#Throwback - Humbled to have @7sainaljassmi at Al Fanar Al Majaz for “hag el leila” استمتعنا بزيارة حسين الجسمي في… https://t.co/6OWWjGwZ33
1042293589496217600,Wed Sep 19 06:05:31 +0000 2018,Have you visited us at Al Fanar at Al Majaz Waterfront? هل زرتونا في مطعم الفنر في فرع الواجهة المائية في المجاز ال… https://t.co/5n2YTJfb9F
1027433837217890300,Thu Aug 09 05:58:10 +0000 2018,.@instagram Hi, for some reasons our Instagram account @alfanaruae has been blocked. We are a trusted restaurant in… https://t.co/1LXXVzYIwV
1027433181086208000,Thu Aug 09 05:55:33 +0000 2018,@instagram Hi, for some reasons our Instagram account @alfanaruae has been blocked. We are a trusted restaurant in… https://t.co/7YgSUdoNCN
1027425494722076700,Thu Aug 09 05:25:01 +0000 2018,@instagram Hi, for some reasons our Instagram account @alfanaruae has been blocked. We are a trusted restaurant in… https://t.co/VT3c8Ozatb
1027198406500991000,Wed Aug 08 14:22:39 +0000 2018,@instagram Hi, for some reasons our Instagram account @alfanaruae has been deleted by @instagram . We are a trusted… https://t.co/vEzddAhEef
1027192095080153100,Wed Aug 08 13:57:34 +0000 2018,@instagram PLEA Hi, after trying o reach IG officials via mail and DM, we are reaching out to you for a desperate,… https://t.co/S8kMmADe2i
1022377678907875300,Thu Jul 26 07:06:48 +0000 2018,Be a private party, social gathering or a corporate event...we cater to all your requests at #AlFanar… https://t.co/IFwe6QxAvj
1022376363196657700,Thu Jul 26 07:01:34 +0000 2018,Be it a private party, social gathering or a corporate event..we cater to all your requests at #AlFanar… https://t.co/S7sgx7P5Fg
1013789039164641300,Mon Jul 02 14:18:36 +0000 2018,@Marwanalsarkal @_Shurooq الف الف مبروك...تستأهل اخوي مروان كل خير و منها للأعلى
1007029712164720600,Wed Jun 13 22:39:27 +0000 2018,RT @Marwanalsarkal: اللهم احفظ جنود الوطن وانصرهم وارفع راية النصر. نقول شكرا لرجال الإمارات من القلب. نصر من الله وفتح قريب بإذن الله http…
999581676685746200,Thu May 24 09:23:37 +0000 2018,Visit us for a unique Iftar experience, with our special set Ramadan menu for only 116dhs. Guaranteed happiness.… https://t.co/tJtwJX0JGd
998297613161193500,Sun May 20 20:21:13 +0000 2018,@alaqariya17 @Marwanalsarkal نبارك سعادة مروان بن جاسم السركال ثقة صاحب السمو وترقيته الى الرئيس التنفيذي لهيئة الا… https://t.co/GZ6Ie3DRvX
998207977818677200,Sun May 20 14:25:02 +0000 2018,@Sharjahnews @_Shurooq @Bodour @Marwanalsarkal الف مبروك بو محمد تستاهل الثقه الغاليه .. بالتوفيق دائماً
