id,created_at,text
1184337197966622700,Wed Oct 16 05:16:06 +0000 2019,RT @firstpost: REVIEW: From its very outset, #ChintuKaBirthday — winner of the Viewer’s Choice Award at the recently concluded @jagranfilmf…
1184337148574490600,Wed Oct 16 05:15:54 +0000 2019,RT @vivekisms: Chintu Ka Birthday is a movie that takes place over a day. It is the kind of movie that had me smiling, cry (a little), and…
1184337093859762200,Wed Oct 16 05:15:41 +0000 2019,RT @Ahadgilz: They’ve fought for it. Shed blood, sweat and tears. A screening on Thursday too. Please go watch their labour of love on the…
1184337016126763000,Wed Oct 16 05:15:23 +0000 2019,RT @Ahadgilz: Watched #ChintuKaBirthday . A very well made, tightly written film with beautiful performances. Probably Vinay Pathak’s fines…
1131182392075415600,Wed May 22 12:57:53 +0000 2019,An update https://t.co/Jtq3nSGnwi
1049242042310828000,Mon Oct 08 10:16:11 +0000 2018,Statement https://t.co/KR5tM2sYuX
1048143978045079600,Fri Oct 05 09:32:52 +0000 2018,By harassment, we meant that Utsav called up the person, cried, apologised, putting her in an uncomfortable positio… https://t.co/RkAB9oCes2
1048136877448937500,Fri Oct 05 09:04:39 +0000 2018,A statement ; We're sorry https://t.co/Lpa9HKyORb
1046840320451854300,Mon Oct 01 19:12:36 +0000 2018,@aishsatpathy07 @RegaJha @SoKneeOh @andre @NishSwish @BuzzFeedIndia @dialogue @rkarnad @thewire_in @RougeAF… https://t.co/hIuCa3rg33
1044975030591926300,Wed Sep 26 15:40:36 +0000 2018,Seen it yet? https://t.co/JzWgznWZ4f
1044941950506287100,Wed Sep 26 13:29:09 +0000 2018,And a Story Building workshop too - https://t.co/WuIYTRLD1T
1044941795333816300,Wed Sep 26 13:28:32 +0000 2018,We will also be doing a Character Development workshop - https://t.co/7VBx6c5aRC
1044941324200206300,Wed Sep 26 13:26:40 +0000 2018,Hello Ahmedabad, we are going to be in your city with our Fundamentals of Screenwriting workshop!  Register - https://t.co/e4IqMoNY32
1044652600673677300,Tue Sep 25 18:19:23 +0000 2018,RT @MashableIndia: @AllIndiaBakchod 's maiden production, Chintu ka Birthday, will premiere at the @MumbaiFilmFest this October @thetanmay…
1044505809311486000,Tue Sep 25 08:36:05 +0000 2018,RT @NewsMobileIndia: .@AllIndiaBakchod turns Producer; @thetanmay announces the name of the film https://t.co/2oBdI3GfIY
1044409246253809700,Tue Sep 25 02:12:23 +0000 2018,Dream dream dream has come true. https://t.co/GcQJN30p54
1044276018368917500,Mon Sep 24 17:22:59 +0000 2018,RT @KDevanshuSingh: 'Chintu Ka Birthday' directed by @SatySingh and me, our first feature produced by @AllIndiaBakchod will be showcased at…
1044206439059738600,Mon Sep 24 12:46:30 +0000 2018,RT @TheQuint: .@AllIndiaBakchod enters the movie biz. #ChintuKaBirthday https://t.co/lBjasp4xzx
1044191397870370800,Mon Sep 24 11:46:44 +0000 2018,Lots more about the film, our plans with the studio and other exciting projects over the next few weeks. Big hugs t… https://t.co/7MYsB7MhAZ
1044191395806765000,Mon Sep 24 11:46:43 +0000 2018,Directed by our brothers Satyanshu Singh and Devanshu Singh Produced by AIB Premiering at Jio MAMI It plays under t… https://t.co/HUDR0ayq8F
1044191393952886800,Mon Sep 24 11:46:43 +0000 2018,So here's a sentence we've waited years and years to type. AIB has produced its first film and it's titled "Chintu Ka Birthday"
1044191392266780700,Mon Sep 24 11:46:42 +0000 2018,It's a strange, surreal thing to be given the gift of living your dream. For the last five years we've had the joy… https://t.co/R1K8kQmvo7
1044163942229073900,Mon Sep 24 09:57:38 +0000 2018,ANNOUNCEMENT: https://t.co/yUlqMkB9f2
1043225961922265100,Fri Sep 21 19:50:26 +0000 2018,RT @MumbaiPolice: Parking in no parking zones, can create real horror on streets! Be a responsible citizen. Avoid such #DarkestParkingHabit…
1042065057792716800,Tue Sep 18 14:57:25 +0000 2018,RT @hotstartweets: #OnAirWithAIB is back. And this time, your laughter can shatter a glass ceiling or two.  Catch Season 3 starting 24th Se…
1040486654614548500,Fri Sep 14 06:25:24 +0000 2018,AIB : iPhone XScessive | Parody https://t.co/ecSBkhaLou
1040469600083882000,Fri Sep 14 05:17:38 +0000 2018,RT @sujkad: Forget the supercut, this is the real sh*t! via @AllIndiaBakchod  https://t.co/hAtmBNGXtj
1040133959605137400,Thu Sep 13 07:03:55 +0000 2018,Brand integration game is strong. Big ups to our sales team. https://t.co/1vcpWMx5nu
1036217831426125800,Sun Sep 02 11:42:37 +0000 2018,RT @internetfreedom: There is a lot of news coverage on Internet shutdowns. Wondering what it’s all about ? Last year @AllIndiaBakchod made…
1034345959189241900,Tue Aug 28 07:44:28 +0000 2018,We purple you, BTS 💜 https://t.co/1XSP2BVGW8
1028304466217496600,Sat Aug 11 15:37:44 +0000 2018,Hello Mumbai folks, we are back with Fundamentals of Screenwriting workshop. Register yourself - https://t.co/uQkjqku4uc
1028189855229112300,Sat Aug 11 08:02:18 +0000 2018,Aatank by Gurbaxx is out now. Link : https://t.co/SH7STKMA1p  #BacardiHousePartySessions https://t.co/NA0KwMb37G
1025353809722138600,Fri Aug 03 12:12:53 +0000 2018,Hey doston, Singapore tomorrow! Last few tickets left!  Aajao! See you all in one sleep!  Buy tickets at:… https://t.co/HtMlMuw8Nf
1025257707673145300,Fri Aug 03 05:51:00 +0000 2018,RT @FoxLifeIndia: Get ready to witness; ‘perfection with a dash of comedy’ tonight on #MastersOfTaste #PerfectionOrNothing https://t.co/bxU…
1025257425031585800,Fri Aug 03 05:49:53 +0000 2018,RT @cyrussaysin: ICYMI: This week Cyrus speaks to @satysingh - writer, professor, film enthusiast and head of content development at @AllIn…
1021623292246085600,Tue Jul 24 05:09:08 +0000 2018,Will good things happen to bad people? Find out. #BacardiHouseParty  Link : https://t.co/B9ewzZSd09 https://t.co/UMEz10n4e5
1021406067647893500,Mon Jul 23 14:45:57 +0000 2018,Mehfil, villains aur #BacardiHouseParty https://t.co/RVWqV5dtd5
1017697329913032700,Fri Jul 13 09:08:46 +0000 2018,Hima Das - India's First World Gold Medallist On Track 👏 https://t.co/v1EErD1xlJ
1017438192847372300,Thu Jul 12 15:59:02 +0000 2018,RT @ColorsTVUK: UK, you just can't miss this! @AllIndiaBakchod is coming to you! Book your tickets here: https://t.co/xAuhcPi8oF https://t.…
1016742072055926800,Tue Jul 10 17:52:54 +0000 2018,RT @inaveedm: Hello Singapore! @AllIndiaBakchod is back after a while. August 4th, Shine Auditorium. Book your seats here.  https://t.co/l5…
1016338796860858400,Mon Jul 09 15:10:26 +0000 2018,@NiraliHingwala Bye!
1013647631581450200,Mon Jul 02 04:56:42 +0000 2018,Ruchi's flatmates have found a sundar and social roommate for her. But will she be okay with an arranged move-in? O… https://t.co/JAE4jxMekq
1013412338421190700,Sun Jul 01 13:21:44 +0000 2018,New video. Out tomorrow. #LiveBetterNow https://t.co/zWgRgpHn9E
1012806024422723600,Fri Jun 29 21:12:27 +0000 2018,@Brewkenstein @kuchhimau they is us
1012262349112111100,Thu Jun 28 09:12:05 +0000 2018,One whole hour of laughs and funniez by @stupidusmaximus at The Cuckoo, this Saturday - 30th June. Get your tix!  https://t.co/eSXODjC0zr
1010404128885915600,Sat Jun 23 06:08:11 +0000 2018,A nuanced, academic analysis of love, lust and everything in between // @NetflixIndia  Watch now : https://t.co/DtoWFiW5cB
1010238976639291400,Fri Jun 22 19:11:56 +0000 2018,Fake news https://t.co/zhqBaA9OO6
1009383795370291200,Wed Jun 20 10:33:44 +0000 2018,We have added more shows in UK owing to the demand.  Birmingham tickets : https://t.co/5qHrvzDodU  Watford tickets… https://t.co/QPzrrSOeqb
1003709588821106700,Mon Jun 04 18:46:28 +0000 2018,What a spectacular victory and such a heartwarming sight watching the packed house chanting INDIA... INDIA...… https://t.co/akLlpUMLxy
1003310893587812400,Sun Jun 03 16:22:12 +0000 2018,RT @chetrisunil11: This is nothing but a small plea from me to you. Take out a little time and give me a listen. https://t.co/fcOA3qPH8i
1002526226093781000,Fri Jun 01 12:24:12 +0000 2018,We are back with our Screenwriting and Story Building workshops, this time in Hyderabad.  Link :… https://t.co/BmnwI8OcQE
1002509911790534700,Fri Jun 01 11:19:23 +0000 2018,@kushalone Yes
1001771630996189200,Wed May 30 10:25:43 +0000 2018,@suchin545 Nope, you  heard wrong.
1000088904396148700,Fri May 25 18:59:10 +0000 2018,@TweetErrant @sonamakapoor We didn't make this. Somebody has just put our logo on the creative.
999510105287671800,Thu May 24 04:39:13 +0000 2018,A journey through highs and lows of being a cricket fan. Live now on YouTube.  Link - https://t.co/HuymyyvFik https://t.co/QJIghYU1RV
996729641887924200,Wed May 16 12:30:39 +0000 2018,We also have a Story Building workshop lined up. Register here - https://t.co/v5in1yBWmA
996728871679488000,Wed May 16 12:27:35 +0000 2018,Ahmedabad, we are coming to your city with Fundamentals of Screenwriting workshop.  Register here : https://t.co/PPIFnJJrco
992640277738238000,Sat May 05 05:40:59 +0000 2018,Super fun hanging out with Virat, Yuzi and AB. // @ErosNow   Cheggit - https://t.co/Ppgw6wwayC https://t.co/L7Ixpsy3IK
989533607969554400,Thu Apr 26 15:56:11 +0000 2018,@mahimavashisht Copyright issues label was charging a bomb
988300812819550200,Mon Apr 23 06:17:30 +0000 2018,Kutta Hee Hoon Na by @babuhaabi LIVE on YouTube now. // #BacardiHousePartySessions  Link : https://t.co/FmU5va0xd6 https://t.co/kcZF7Xe7Vh
987416411143327700,Fri Apr 20 19:43:12 +0000 2018,Thanks for your time Robert! Onwards and upwards for YouTube India! 🙌🙌🙌 https://t.co/HPI27dGh0Q
987304727955279900,Fri Apr 20 12:19:25 +0000 2018,This bot tweets daily reminder to those in power and asks for justice. Must follow! https://t.co/Cb3Mts5NK7
987290466059280400,Fri Apr 20 11:22:44 +0000 2018,Tanmay chats up with YouTube CBO, Robert Kyncl about the platform and what the future holds for creators in India.… https://t.co/C9HsSjdNYv
986883135173550100,Thu Apr 19 08:24:09 +0000 2018,This happened! https://t.co/G0QOhbAYml
984376632298360800,Thu Apr 12 10:24:12 +0000 2018,Hello Mumbai folks, a one-day introductory screenwriting workshop is happening in the city. Register here -… https://t.co/lA62c818l2
984365563202932700,Thu Apr 12 09:40:13 +0000 2018,AIB FLOW KHOTTE RAPPER-O KA ROAST HAI - new @VivianDivine jam is 🙌🙌🙌🙌🙌 https://t.co/Sg5iBbzTvZ
982515589985038300,Sat Apr 07 07:09:05 +0000 2018,RT @KarnikaKohli: On this day four years ago https://t.co/9E53WIejV0 via @AllIndiaBakchod https://t.co/EbiRCQlN6u
980784933424726000,Mon Apr 02 12:32:04 +0000 2018,Sees drugged. Sees on hard drugs. https://t.co/TMGWqlIhHP
979372389640253400,Thu Mar 29 14:59:08 +0000 2018,@urbanclap @AratiRaval Yenjoy!
978196827085324300,Mon Mar 26 09:07:52 +0000 2018,RT @FoxLifeIndia: A visit to @Indian_Accent , a meet-up with the boys from @AllIndiaBakchod, @mojorojo &amp; @gkhamba, and a mutual swapping of…
977635308241064000,Sat Mar 24 19:56:35 +0000 2018,@MiitManek It's deliberate
975422352702894100,Sun Mar 18 17:23:06 +0000 2018,Take a bow, Dinesh Karthik👏👏👏 https://t.co/O9gy8NTH6P
975364770437058600,Sun Mar 18 13:34:17 +0000 2018,aaj congress se paise nahi mile :( https://t.co/G2p4fjnIgw
