id,created_at,text
1259506400809672700,Sun May 10 15:31:41 +0000 2020,RT @sammusmusic: happy momma day + big love and hugs and kisses to everyone for whom today is difficult ❤️
1259232023060848600,Sat May 09 21:21:24 +0000 2020,@MitchGerads I mean... who is going to argue with this? Not me...
1259201943567831000,Sat May 09 19:21:52 +0000 2020,Could not love this woman more ❤️❤️❤️ https://t.co/XgChKt5rP1
1259141362999537700,Sat May 09 15:21:09 +0000 2020,RT @AngeliqueRoche: This might be the greatest thing I've accomplished in 2020...   Thiese two badasses are featured for the @msfoundation…
1259122217134313500,Sat May 09 14:05:04 +0000 2020,@ConStar24 To them themselves ... lol
1259120966107570200,Sat May 09 14:00:06 +0000 2020,RT @cheo_coker: RIP Andre. A lot of fond memories, almost all of them funny. Hopefully Hev's up there greeting you with open arms.
1258987740802285600,Sat May 09 05:10:42 +0000 2020,@iamsarahstorm Grease 2 = personal fav https://t.co/vJvt4bGqS3
1258985331988234200,Sat May 09 05:01:08 +0000 2020,@iamsarahstorm I completely forgot Maureen Teefy aka Doris Finsecker is in this movie!!!! https://t.co/bJXg7AyvLe
1258977379856388000,Sat May 09 04:29:32 +0000 2020,@JermoneJackson Its on Amazon Prime
1258976191777816600,Sat May 09 04:24:49 +0000 2020,Commitment https://t.co/HqkXGgX7HM
1258976114720092200,Sat May 09 04:24:31 +0000 2020,THIS 😍 https://t.co/ZRGYZjkhBs
1258975855713321000,Sat May 09 04:23:29 +0000 2020,Here we go... https://t.co/gbaCYi5Q4Z
1258951383170121700,Sat May 09 02:46:14 +0000 2020,Work got in the way..  Gonna be starting late but imma watch Supergirl tonight...
1258951072187637800,Sat May 09 02:45:00 +0000 2020,RT @questlove: Questlove presents James Brown Night 2 #QuestosWreckaStow https://t.co/uU77frFifu
1258855549120151600,Fri May 08 20:25:25 +0000 2020,@TomMakesMeSmile ❤❤❤
1258850884295045000,Fri May 08 20:06:53 +0000 2020,... And clearly my excitement is reflected in my blatant inability to copy edit... 🤦🏽‍♀️ https://t.co/rIovyYKznm
1258848872501334000,Fri May 08 19:58:54 +0000 2020,@sammusmusic @msfoundation No... YOU ARE!!!
1258833781613625300,Fri May 08 18:58:56 +0000 2020,This might be the greatest thing I've accomplished in 2020...   Thiese two badasses are featured for the… https://t.co/8z2sX8chXX
1258826500171800600,Fri May 08 18:30:00 +0000 2020,@SYFYWIRE This scene... utter classic https://t.co/cbqzJibCcl
1258825940592922600,Fri May 08 18:27:46 +0000 2020,@AnthonyNagatani https://t.co/BcQ45l73ur
1258825339322728400,Fri May 08 18:25:23 +0000 2020,@AnthonyNagatani I am 100 percent down to do an 80s movie watchalong  10PM ET/7PM PT? https://t.co/B5lyhDIDe1
1258824380601241600,Fri May 08 18:21:34 +0000 2020,Sticking with the 80s and NEVER leaving...  What are we watching tonight?
1258822235156107300,Fri May 08 18:13:03 +0000 2020,@SYFYWIRE This scene was an utter classic... https://t.co/kHhLOOj7aO
1258806793431638000,Fri May 08 17:11:41 +0000 2020,@rmiriam https://t.co/6efvsctZly
1258805506321322000,Fri May 08 17:06:34 +0000 2020,Good Afternoon from 1989...  #TeenWitch #NeverGonnaBeTheSameAgain https://t.co/QVIslNkhkt
1258794335446892500,Fri May 08 16:22:11 +0000 2020,@NGianforti Oh yeah and it is beautiful
1258782794572054500,Fri May 08 15:36:19 +0000 2020,@RAHeight Just trying to find the Joy...  Today... Teen Witch and Weird Science! https://t.co/4PoCEbs2a8
1258621162004926500,Fri May 08 04:54:03 +0000 2020,Saving Weird Science for tomorrow... if you haven't  watched the remastered version of Lost Boys... dooooooooo it… https://t.co/rZcToS4lxL
1258600773371474000,Fri May 08 03:33:02 +0000 2020,.@YetideBadaki is a real life goddess ... that is all... #ThatsTheTweet https://t.co/eSdlY4i8S8
1258546745778122800,Thu May 07 23:58:21 +0000 2020,@KirkWrites79 I literally hate everyone 🤣🤣🤣
1258510153206251500,Thu May 07 21:32:57 +0000 2020,RT @blackgirlgamers: Catch @supadupacurl and @Pandalilly47 representing BGG on the latest episode of #WomenOfMarvel podcast!  Thanks to @OM…
