id,created_at,text
1238466497745387500,Fri Mar 13 14:06:37 +0000 2020,@CityPowerJhb  Stage 3 load shedding!!! WHY  is 2B being load shed?
1230932794655805400,Fri Feb 21 19:10:22 +0000 2020,@vumatel  no internet in Johannesburg north, Randburg.  Multiple ISPs
1227753229389303800,Thu Feb 13 00:35:55 +0000 2020,@CityPowerJhb  power outage in Johannesburg North, randburg,  north of Witkoppen
1199764257291866000,Wed Nov 27 18:57:44 +0000 2019,Shocked that the RHodis .Anti-poaching tool contract not renewed https://t.co/MnyDDVd3XS via @IOL
1199760948250189800,Wed Nov 27 18:44:35 +0000 2019,Congratulations to the brave ranger.  https://t.co/srQxLE5RIy
1198509803917774800,Sun Nov 24 07:52:59 +0000 2019,RT @SANParksKNP: Rangers based at Malelane section, and carrying out an extended follow up operation since this morning, managed to arrest…
1184022688970559500,Tue Oct 15 08:26:21 +0000 2019,@CityPowerJhb It is now 10.25.  Is this still happening?
1176021962235273200,Mon Sep 23 06:34:19 +0000 2019,RT @Rhino_Tears: Its #WorldRhinoDay and to highlight this day and the ongoing struggle the natural world faces, we are launching a new Limi…
1175772339948195800,Sun Sep 22 14:02:25 +0000 2019,Congratulations Bonné.  A fitting tribute to the fight against poaching https://t.co/j6QuSWJvOT
1175771364357214200,Sun Sep 22 13:58:32 +0000 2019,RT @environmentza: Today, South Africa joins the world in marking #WorldRhinoDay2019. Minister @BarbaraCreecy_ has commended the collaborat…
1175463103435366400,Sat Sep 21 17:33:37 +0000 2019,Tomorrow is World Rhino Day.  What better way to celebrate than to watch the broadcast of STROOP on MNet tomorrow.… https://t.co/cKPVt1psod
1174235084725084200,Wed Sep 18 08:13:55 +0000 2019,RT @carteblanchetv: RT [WATCH] The documentary @STROOP_film - Journey Into the Rhino Horn War has won world acclaim. @DerekWatts meets the…
1172574109882081300,Fri Sep 13 18:13:47 +0000 2019,RT @CITES: Mozambique: Two #rhino poachers sentenced to 19 &amp; 17 years respectively. Rapid response, coordinated effort &amp; evidence provided…
1168484997302382600,Mon Sep 02 11:25:07 +0000 2019,RT @CITES: Yahoo Japan to ban #ivory sales on its auction site https://t.co/HqZXYs75zh
1167441284711272400,Fri Aug 30 14:17:46 +0000 2019,#FarewellGlennPhillips.  It was an honour to work with this inspirational man.  Go well sir. UniteAGAINSTpoaching
1118829386726289400,Thu Apr 18 10:51:27 +0000 2019,RT @STROOP_film: Exciting News as STROOP Launches DVDs throughout Kruger! The park shops in the Kruger National Park will be selling STROOP…
1090654850298400800,Wed Jan 30 16:55:54 +0000 2019,Well done SAPS.    Dad though that the rhinos can't be rescued.  Gotcha! SAPS bust pair trying to smuggle R2m of rh… https://t.co/ORaHraVNdS
1058088285837410300,Thu Nov 01 20:08:00 +0000 2018,Congratulations to Bonne de Bod for creating such awareness around the world. #stroop. South African rhino poaching… https://t.co/2r4Y1iyUtW
1058086638784573400,Thu Nov 01 20:01:27 +0000 2018,This is indeed an outrage.   Heaven help our poor rhinos now.  Outrage as China lifts ban on rhino horn – The Citiz… https://t.co/s9qTLuRNwd
1043506860245110800,Sat Sep 22 14:26:37 +0000 2018,Unite against Poaching notes with sadness the passing of Environment Minister Edna Molewa. Despite the dreadful rhi… https://t.co/aSl2Hf3nOf
1037423195496898600,Wed Sep 05 19:32:18 +0000 2018,Exceklent work those rangers!!.Rhino poachers nabbed after 60km chase into Mozambique https://t.co/9GT8VUn0Oc
1012574457838391300,Fri Jun 29 05:52:18 +0000 2018,Justice Will prevail for our rhinos. Poacher sentenced to 5 years | The Citizen https://t.co/7b18nlNNLz
1010761119613571100,Sun Jun 24 05:46:44 +0000 2018,Keeping rhino poaching in the spotlight https://t.co/8e4z3Dat1B
1010588657495965700,Sat Jun 23 18:21:26 +0000 2018,GO the SANPARK Rangers.  Alleged poacher arrested at Kruger National Park https://t.co/z9JpImd38Y
1010426442138693600,Sat Jun 23 07:36:51 +0000 2018,The truth behind poaching syndicates | Lowvelder https://t.co/xFMwBVFARu
1010179777125408800,Fri Jun 22 15:16:41 +0000 2018,SANParks CEO helps with arrest of KNP rhino poachers https://t.co/B3pKUsvYzw via @IOL
986856848497283100,Thu Apr 19 06:39:42 +0000 2018,RT @hodilu: Kruger N.P. head ranger Ken Maggs said a downward trend in rhino poaching in the park was being maintained https://t.co/5lj0A5k…
985019522146013200,Sat Apr 14 04:58:49 +0000 2018,RIP Dame Daphne Sheldrick.  You made the world aware of the plight of the elephants. We salute your selfless work f… https://t.co/63y8FM3inY
979981588405604400,Sat Mar 31 07:19:52 +0000 2018,RT @Bonne_de_Bod: Nice to see high sentences also happening outside the Kruger National Park area, well done Limpopo!   #rhino  #WildlifeCr…
975006814843621400,Sat Mar 17 13:51:54 +0000 2018,RT @STROOP_film: Fantastic initiative in New York, bringing awareness not only to the dire situation of the three last northern white rhino…
964932225849536500,Sat Feb 17 18:39:04 +0000 2018,RT @WildlifeDay: Happy #WorldPangolinDay! #Pangolins are the most trafficked mammals on our planet that most people have not heard of. Spre…
960597784763256800,Mon Feb 05 19:35:33 +0000 2018,RT @paulakahumbu: 1/3 It is with deep shock &amp; horror that we learn this morning of the death of long time conservationist, Esmond Bradley M…
958738908434583600,Wed Jan 31 16:29:02 +0000 2018,Hong Kong has banned the sale of ivory. Good news indeed for the elephants. https://t.co/BKXvVx7LIf
956636170263330800,Thu Jan 25 21:13:31 +0000 2018,An amazingly innovative way to monitor the movement of potential poachers in the bush and so protect our rhinos. We… https://t.co/avFwStXTSW
956049080509239300,Wed Jan 24 06:20:37 +0000 2018,RT @CITES: Vietnam: 16 organisations call for strict handling of suspected mastermind of a #wildlifetrafficking ring https://t.co/LvESSj5d3…
955880876365242400,Tue Jan 23 19:12:14 +0000 2018,RT @STROOP_film: The Rodney Landela rhino poaching  trial:  Shocking news back in July 2016 when a highly-decorated ranger, Rodney Landela,…
955496336396349400,Mon Jan 22 17:44:13 +0000 2018,It is inconceivable that  SA citizens can stoop so low. This is surely pure greed.   Local farmer joins Chinese nat… https://t.co/iDIiIJlT26
954977895868444700,Sun Jan 21 07:24:07 +0000 2018,RT @MarietieLouw: Two Chinese, a game farmer from Mpumalanga and a couple from the Free State have been arrested by the Hawks in Mpumalanga…
954818550375551000,Sat Jan 20 20:50:56 +0000 2018,This is significant.  Let's hope the law takes its course.  Asian wildlife trafficking 'kingpin' Boonchai Bach arre… https://t.co/04tQwvSYAZ
952291530395537400,Sat Jan 13 21:29:28 +0000 2018,if this process to be true, may the law takes its course.  Unite against poaching abs wildlife exploitation.  Grace… https://t.co/AAtliWWzF4
952076154596417500,Sat Jan 13 07:13:38 +0000 2018,RT @CITES: South Africa: 7 suspects arrested for dealing &amp; possession of #rhino horns https://t.co/uIIQpfqGHY via @allafrica #wildlifetraff…
946445736786513900,Thu Dec 28 18:20:22 +0000 2017,RT @hodilu: 540 people were arrested for poaching in Zimbabwe in 2017. Most of them have been convicted and jailed to the mandatory nine-ye…
935995160374149100,Wed Nov 29 22:13:30 +0000 2017,Heartbreaking that we still are not close to winning this war against Poaching. Mozambique and Kruger Park hard at… https://t.co/zn4Escf7bi
913112261417472000,Wed Sep 27 18:45:02 +0000 2017,RT @STROOP_film: "Ranger equipment valued at R2.7 million was handed over to South African National Parks (SANParks)."  https://t.co/ErGr6E…
913112149567901700,Wed Sep 27 18:44:35 +0000 2017,RT @Bonne_de_Bod: "Ranger equipment valued at R2.7 million was handed over to South African National Parks (SANParks)" @SANParksKNP   https…
900039576533729300,Tue Aug 22 16:58:51 +0000 2017,RT @John_CITES: CITES #CoP17 proposal to permit rhino horn trade from Swaziland was rejected: 26 for, 100 against &amp; 17 abstentions https://…
899946437823385600,Tue Aug 22 10:48:45 +0000 2017,RT @RhinoAwards: Conservation Practitioner Award goes to the entire Kruger National Park’s Marula South IPZ ranger team #rhinoconservationa…
899944273533177900,Tue Aug 22 10:40:09 +0000 2017,And this is for conservation??? https://t.co/qTmUMG1aMu
899943063577145300,Tue Aug 22 10:35:21 +0000 2017,RT @Bonne_de_Bod: As per the court ruling today, #rhino breeder John #Hume will receive his permit from @environmentza to legally sell 264…
899941989399089200,Tue Aug 22 10:31:05 +0000 2017,RT @John_CITES: On #WorldElephantDay we say a big thank you to all of the men &amp; women who serve on the #frontline everyday to protect these…
870366040206831600,Thu Jun 01 19:46:49 +0000 2017,RT @Bonne_de_Bod: Vet @DrWillFowlds wants stronger action after rhino poaching suspects are re-arrested  https://t.co/9l6B56X4vU
868192347900850200,Fri May 26 19:49:20 +0000 2017,About time too https://t.co/Rd0DfAfRS0
868192066395885600,Fri May 26 19:48:13 +0000 2017,Proud of you Afeefa. #youth against Poaching https://t.co/Pa4xLoG7pf
859132017895759900,Mon May 01 19:46:49 +0000 2017,Saddened to hear Tula Tula rhino orphanage is closing its doors. Thank you for your brave fight. Kudos https://t.co/ATtdvm9Vp1
857294171815772200,Wed Apr 26 18:03:52 +0000 2017,RT @DSWT: Devastating news as 2 wildlife rangers shot and killed by poachers in Congo park: https://t.co/K0vkMY9nmf
844423399736795100,Wed Mar 22 05:40:01 +0000 2017,RT @SANParks: SANParks Rangers capture ten suspected poachers and suffer the loss of one Ranger https://t.co/qTlq9fV2ao
802406057905557500,Sat Nov 26 06:58:06 +0000 2016,RT @StopRhinoPoach: Gorgeous Christmas #rhino mom and calf welcome you @ORTamboAirport Domestic Arrivals. Celebrating rhinos! https://t.co/…
802023444741234700,Fri Nov 25 05:37:44 +0000 2016,RT @rhinorage: Edna Molewa, Minister of Environmental Affairs, response to alleged rhino poaching kingpin https://t.co/VJ8d6j30LR
802021959089455100,Fri Nov 25 05:31:50 +0000 2016,RT @John_CITES: 'Chinese national bust with 18 rhino horns' https://t.co/E5FuT1wa88 @namibiansun  Great work by South African authorities i…
801395831928737800,Wed Nov 23 12:03:50 +0000 2016,RT @DrWillFowlds: 'Two Chinese nationals are in custody... for the illegal possession of a rhino horn.' #rhino #stoprhinopoaching  https://…
800588516380000300,Mon Nov 21 06:35:51 +0000 2016,RT @rhinorage: 2 COPS AMONG 6 ARRESTED FOR RHINO POACHING IN MPUMALANGA https://t.co/FnJTlifoEO
799134311006015500,Thu Nov 17 06:17:21 +0000 2016,RT @hodilu: SA Environmental Affairs minister Molewa has lauded filmmakers of the recent Al Jazeera rhino poaching documentary https://t.co…
798793130338238500,Wed Nov 16 07:41:37 +0000 2016,RT @julianrademeyer: Calls for independent investigation of the alleged link between SSA boss David Mahlobo &amp; rhino horn trafficker https:/…
797379629740859400,Sat Nov 12 10:04:52 +0000 2016,RT @SANParksHR: During this past week 18 poachers were arrested in @SANParksKNP 10 weapons confiscated. Well done! https://t.co/1xRAxxSDNv…
795995170198224900,Tue Nov 08 14:23:32 +0000 2016,So proud R1million from the sale of Rhino Tears wine to fight rhino poaching.  Unite against poaching. https://t.co/Msq2szN80B
790208762250457100,Sun Oct 23 15:10:24 +0000 2016,RT @rhinorage: Viet Nam seize nearly $1 million worth of ivory, the third major ivory seizure in Vietnam this month. #murderedelephants htt…
787388805091385300,Sat Oct 15 20:24:54 +0000 2016,Full moon is poachers moon. Stay safe all our ranger heroes and our previous rhinos. Unite against poaching
784394972246184000,Fri Oct 07 14:08:29 +0000 2016,What a hero...  you rock @Philoc72   raising funds for  Nazareth house in Cape Town https://t.co/Op4X0fA603
784394620084031500,Fri Oct 07 14:07:05 +0000 2016,RT @thebrokenwings9: @philoc72 well on the way now. 4 climbs and 4 descents done. Some tough moments but hanging in there. @CCMerchBPO @Shu…
784125215156670500,Thu Oct 06 20:16:34 +0000 2016,Come  on   do it for the rhinos https://t.co/YDnGQpUz6H
