id,created_at,text
1260227283073319000,Tue May 12 15:16:12 +0000 2020,Spot on. Much before the official announcement. https://t.co/4aprnYYWns
1260225737598161000,Tue May 12 15:10:04 +0000 2020,RT @CAPratikKarpe: Huge Huge   Historic....Historic. Salute to the leadership :@PMO @narendramodi   20 Lakh Crores Economic Package   #Aatm…
1260218183018934300,Tue May 12 14:40:03 +0000 2020,PM Modi: #AatmanirbharBharat https://t.co/SQUvYl8UNH
1260211627678294000,Tue May 12 14:14:00 +0000 2020,RT @Shehzad_Ind: इस्लामोफोबिया के नाम भारत विरोधी फ़ेक न्यूज़ फ़ैक्टरी बंद?: Anti India Lobby Exposed - YouTube link of full show with supe…
1260187129625186300,Tue May 12 12:36:39 +0000 2020,RT @FaraaahKhan: Nurses aren't someone who merely carries out instructions of doctors but angels in disguise who sweat more in their unifor…
1260166981707272200,Tue May 12 11:16:35 +0000 2020,RT @nandkrchoudhry7: @Shehzad_Ind के शो पर उनके वरिष्ठ सहयोगी @AshishSinghNews ने कहा कि आठ मार्च को दिल्ली के कैबिनेट मंत्री राजेंद्र गौतम…
1260158143604027400,Tue May 12 10:41:28 +0000 2020,🇮🇳 Army on 🇮🇳-🇨🇳: "Incidents of face off &amp; aggressive behaviour occur on LAC. Patrols disengage after local level i… https://t.co/iH2tymqcYo
1260105256668553200,Tue May 12 07:11:19 +0000 2020,Thanks. But Mumbai Police should have acted before/ prevented it before it happened.  Prevention is always better t… https://t.co/vuWreg0mkm
1260103477382054000,Tue May 12 07:04:15 +0000 2020,RT @nandkrchoudhry7: #AntiIndiaLobbyExposed  183 प्रतिष्ठित नागरिकों का खुला पत्र इस्लामोफोबिया के नाम पर फैलाया जा रहा है भ्रामक भारत विरो…
1260101850231120000,Tue May 12 06:57:47 +0000 2020,Reetesh 👍👏 https://t.co/zdPvH52csL
1260098773587497000,Tue May 12 06:45:33 +0000 2020,RT @PMOIndia: Shri @narendramodi will be addressing the nation at 8 PM this evening.
1259878724503318500,Mon May 11 16:11:09 +0000 2020,'AAP' Chronology Smajhiye👇  Most interesting story. 2 Tweets thread.  1) 08/05: AAP govt cabinet min tweets a 2017… https://t.co/C5Wv2tlHPo
1259863412152164400,Mon May 11 15:10:19 +0000 2020,3)11/5 @ 4:30pm: A serving Lt Gen rank 🇮🇳 Army officer calls min. Min doesn't delete his tweet.  4)11/5 @ 6pm: 🇮🇳 A… https://t.co/y0D2S3Wsg6
1259861312361939000,Mon May 11 15:01:58 +0000 2020,'AAP' Chronology Smajhiye👇  Most interesting story. 2 Tweets thread.  1) 08/05: AAP govt cabinet min tweets a 2017… https://t.co/flWJh4IqlH
1259833778970615800,Mon May 11 13:12:34 +0000 2020,RT @Shehzad_Ind: हिंदुस्तान को "इस्लामिक स्टेट" बनाने की साज़िश? संविधान के ऊपर शरिया?: Mujhe Jawab Chahiye - with ⁦@AshishSinghNews⁩ @yase…
1259824439459537000,Mon May 11 12:35:27 +0000 2020,Great opening debate of @Shehzad_Ind 's show in a new avatar #MujheJawabChahiye on @IndiaNews_itv at 4pm. Now peopl… https://t.co/I6Qzaxz2hr
1259819776274301000,Mon May 11 12:16:55 +0000 2020,This video is of 2017. We r now in mid 2020.  Also, let me inform u that such social media old elements r often cur… https://t.co/8yd4KrMtbu
1259806314659672000,Mon May 11 11:23:26 +0000 2020,RT @nandkrchoudhry7: @Shehzad_Ind के शो पर उनके वरिष्ठ सहयोगी @AshishSinghNews ने कहा कि ये पोस्टर तो सरासर भड़काऊ है #MujheJawabChahiye ht…
1259806251266920400,Mon May 11 11:23:11 +0000 2020,RT @nandkrchoudhry7: @Shehzad_Ind के शो पर उनके वरिष्ठ सहयोगी @AshishSinghNews ने कहा कि ऐसे लोगो मे इतनी हिम्मत आती कहा से है कि बीच सड़क…
1259786975223050200,Mon May 11 10:06:35 +0000 2020,RT @Shehzad_Ind: राइट या रोंग का नया अन्दाज़  आज से "मुझे जवाब चाहिए" का आग़ाज़ आज ३:५७ मुझे जवाब चाहिए शहज़ाद के साथ   #MujheJawabChahiye…
1259765273801797600,Mon May 11 08:40:21 +0000 2020,RT @Shehzad_Ind: #MujheJawabChahiye   हिंदुस्तान को "इस्लामिक स्टेट" बनाने की साज़िश?  संविधान के ऊपर शरिया? कोर्ट के ऊपर उलेमा? देश के ऊपर…
1259764650939310000,Mon May 11 08:37:52 +0000 2020,Watch #MujheJawabChahiye with @Shehzad_Ind @ 4pm @IndiaNews_itv   Hard hitting Qs👇  हिंदुस्तान को "इस्लामिक स्टेट"… https://t.co/BJtoz2TkE9
