id,created_at,text
1255513451855822800,Wed Apr 29 15:05:07 +0000 2020,@courtgilham You will receive it by the date that was listed on your order confirmation! Feel free to reach out to… https://t.co/7dv3YsFVEB
1255513238550319000,Wed Apr 29 15:04:17 +0000 2020,@kjbmeetsworld Hi there! We’re so sorry to hear about this - Please reach out to helpme@baublebar.com and they can look into this for you ✨
1252690498483032000,Tue Apr 21 20:07:43 +0000 2020,Did we get it right? 👇 https://t.co/piPD7PogqK
1251136843036397600,Fri Apr 17 13:14:03 +0000 2020,What new Baubles do you want to see for our Bauble BAR™️ Bracelet? ☺️
1249733215646109700,Mon Apr 13 16:16:32 +0000 2020,@ronimarie__ Hi there! Please email helpme@baublebar.com and they can help you out with this ☺️✨
1247902037980807200,Wed Apr 08 15:00:05 +0000 2020,@seeking_alex Hi there! I’m so sorry to hear about your experience. Sending you a DM to assist! ✨
1247182817622143000,Mon Apr 06 15:22:09 +0000 2020,@seeking_alex Hi there! Please reach out to helpme@baublebar.com and they can help you out ☺️✨
1244983712296644600,Tue Mar 31 13:43:42 +0000 2020,@C_Sipp1109 hi there! Make sure you’re signed into your account, as the option won’t appear unless you’re logged in… https://t.co/m2FMpzfOIg
1244768171342561300,Mon Mar 30 23:27:13 +0000 2020,@kac_a_dia stay tuned for big things coming soon! 😀
1244641521430868000,Mon Mar 30 15:03:57 +0000 2020,@SouthAndStyle Hi there! Unfortunately, Vault Points aren’t eligible on sale items. So sorry about that! ✨
1179863297778225200,Thu Oct 03 20:58:25 +0000 2019,@elysetoribio @chrissyteigen doesn't everyone love @chrissyteigen ??
1108825375608574000,Thu Mar 21 20:19:05 +0000 2019,@katieurban_ We're so happy that we were able to help and make things right! enjoy your baubles!
1108809232550424600,Thu Mar 21 19:14:56 +0000 2019,@studio_gal haha we feel you!
1108809144054747100,Thu Mar 21 19:14:35 +0000 2019,@MarissaWords @Target We love to hear that and are not surprised! :)
1108808895001231400,Thu Mar 21 19:13:35 +0000 2019,@amandaoneal75 XOXO :)
1102368816678481900,Mon Mar 04 00:43:01 +0000 2019,@BKuzan 🙌♥️
1102368395285225500,Mon Mar 04 00:41:21 +0000 2019,@CallieKlotz Thank you so much!!
1102368200979857400,Mon Mar 04 00:40:34 +0000 2019,@Glencocolaflare Thank you so much!!
1102368055211057200,Mon Mar 04 00:40:00 +0000 2019,@Alvy391 So happy to hear that! ♥️
1102367954203746300,Mon Mar 04 00:39:35 +0000 2019,@LunaLuLaRoe They look 🙌. Enjoy them!!
1102367815384948700,Mon Mar 04 00:39:02 +0000 2019,@debrascon We are here 👋
1102367689455087600,Mon Mar 04 00:38:32 +0000 2019,@carolyn29trs They look fantastic!!
1102367593124499500,Mon Mar 04 00:38:09 +0000 2019,@carawasthere I’m so sorry to hear your case didn’t arrive as expected! Please reach out to helpme@baublebar.com an… https://t.co/eLNDgAIjB1
1085223356125859800,Tue Jan 15 17:13:05 +0000 2019,@JanaUms hi! can you email us with your order number at helpme@baublebar.com ? we would love to get this sorted out for you :)
1085221339613544400,Tue Jan 15 17:05:04 +0000 2019,@PaigeSenal hi there! were you able to get in contact with someone at helpme@baublebar.com ? we apologize for the d… https://t.co/cqCfInK6OZ
1085221129273393200,Tue Jan 15 17:04:14 +0000 2019,@meeshahn Hi There! so sorry for your troubles. Did you email helpme@baublebar.com yet? we would be happy to make this right!
1074727538495291400,Mon Dec 17 18:06:27 +0000 2018,@lyndseylove7 @HilaryDuff So sorry to see that, and thank you for bringing this to our attention! Sending you a DM now.
1067442066379165700,Tue Nov 27 15:36:35 +0000 2018,@LizzieBitsy Hey! Thanks so much for shopping the sale, and so sorry you had trouble checking out! The site is back… https://t.co/8HbDfLPbsL
1067441843523252200,Tue Nov 27 15:35:42 +0000 2018,@MsKTP Hey! Thanks so much for shopping the sale, and sorry you had trouble checking out! The site is back up and r… https://t.co/g4KCLm7VLH
1067441641479422000,Tue Nov 27 15:34:54 +0000 2018,@theurbantea @KatiemusPrime Hey! Thanks so much for shopping the sale, and sorry you both had trouble checking out!… https://t.co/JAtQYlYetR
1067441537666158600,Tue Nov 27 15:34:29 +0000 2018,@charmgirl13 Hey! Thanks so much for shopping the sale, and sorry you had trouble checking out! The site is back up… https://t.co/vM0isckUnf
1067441465520021500,Tue Nov 27 15:34:12 +0000 2018,@jennifer_watz Hey! Thanks so much for shopping the sale, and sorry you had trouble checking out! The site is back… https://t.co/mul1PI1zkz
1067070764665528300,Mon Nov 26 15:01:10 +0000 2018,@nerickson25 So sorry to hear this! Mind telling me what was wrong with your order? We'd love to get this sorted out for you!
1062051165611966500,Mon Nov 12 18:35:04 +0000 2018,@ScarletKnightly Hi! Sorry to hear this--please reach out to our SWAT Style Team at helpme@baublebar.com, and they'… https://t.co/GW7oqL6hSJ
1059233616713211900,Sun Nov 04 23:59:08 +0000 2018,@Emmie_Elle So sorry to see this happened! We'd love to help you sort this out--please reach out to our SWAT Style… https://t.co/5VTF2thC6U
1055824933538930700,Fri Oct 26 14:14:15 +0000 2018,@eiffeltyler 🙌
1052594904805859300,Wed Oct 17 16:19:16 +0000 2018,@jessika_henson They should not! So sorry to see this is happening--we'd love to help you sort this out! Please rea… https://t.co/q0Zr7BGkfQ
1050435010233282600,Thu Oct 11 17:16:37 +0000 2018,@HeidiMatheny Hi there! The Alidia will be back in November!
1044225663820075000,Mon Sep 24 14:02:53 +0000 2018,@kimbot_slice So sorry to hear this happened! We'd love to help you sort this out--please reach out to our SWAT Sty… https://t.co/odNoWihAaP
1036985766998691800,Tue Sep 04 14:34:07 +0000 2018,@Elizaaabeth11 Best feeling everrr ✨
1032638041020657700,Thu Aug 23 14:37:49 +0000 2018,@FarquharFTW Hey there! Which style of personalized necklace are you interested in purchasing?
1031541921410367500,Mon Aug 20 14:02:13 +0000 2018,@mollsholls So sorry to hear this happened! We'd love to help you sort this out--please reach out to our SWAT Style… https://t.co/NA2axc2Te2
1030094742237990900,Thu Aug 16 14:11:39 +0000 2018,@ShannaCarly Oh no! So sorry to hear this happened--please reach out to helpme@baublebar.com, and they'll help you sort this out!
1026835824485298200,Tue Aug 07 14:21:52 +0000 2018,@kjbmeetsworld 💞
1021416054566907900,Mon Jul 23 15:25:39 +0000 2018,@Notjust4_show Oh no! So sorry to hear this happened--please reach out to our SWAT Style team at helpme@baublebar.c… https://t.co/fd9rDZCvWl
1017414783396540400,Thu Jul 12 14:26:01 +0000 2018,@seetouchtaste The heart wants what the heart wants 💁✨
1013165142677360600,Sat Jun 30 20:59:28 +0000 2018,@inez111 So happy to hear that! 😊
1012027030932803600,Wed Jun 27 17:37:01 +0000 2018,@brittkneecastle 🤗🌴
1004875765446512600,Fri Jun 08 00:00:26 +0000 2018,No words to describe seeing @oprah in custom #baublebar, so 😄🙌❤️😊👏💥😃 https://t.co/1qNQN3OkGk
1004073356604461000,Tue Jun 05 18:51:57 +0000 2018,@katied5678 So sorry to see this! Please reach out to our SWAT Team at helpme@baublebar.com, and they'll help you get this sorted out!
1004058529748041700,Tue Jun 05 17:53:02 +0000 2018,@thezoereport 💖
999680764462682100,Thu May 24 15:57:22 +0000 2018,@kjbmeetsworld Hi there! If you don't end up getting the $3 back, definitely reach out to our SWAT Team at helpme@b… https://t.co/ojXNf8Qmdx
999674735939280900,Thu May 24 15:33:24 +0000 2018,@ADuranzy Looove to hear that! 😊
993492370850185200,Mon May 07 14:06:54 +0000 2018,@MissyLi3 So happy to hear that! Our SWAT Style team is amazing 💥
992112160301109200,Thu May 03 18:42:26 +0000 2018,@simikagnes Hey there! Please reach out to our SWAT Team at helpme@baublebar.com. They'll be able to help you sort this out!
989503524622012400,Thu Apr 26 13:56:39 +0000 2018,@JRog410 So sorry to see this happened! Please reach out to our SWAT Style team at helpme@baublebar.com--we'd love… https://t.co/aVFqSdVjT4
989503403956072400,Thu Apr 26 13:56:10 +0000 2018,@plasticcatz So sorry to see this happened! Please reach out to our SWAT Style team at helpme@baublebar.com--we'd l… https://t.co/cA37GZrssU
988475732719493100,Mon Apr 23 17:52:34 +0000 2018,@sami_smith6 Oh no! So sorry to hear this! We'd love to help you get this sorted out--please reach out to our SWAT… https://t.co/9X17q610N5
987047573969145900,Thu Apr 19 19:17:34 +0000 2018,@melissadelag12 Hi there! Please reach out to our SWAT Style team at helpme@baublebar.com 😊
985929602353782800,Mon Apr 16 17:15:09 +0000 2018,@JacobsCarley So happy to hear this! 😊
985929426931257300,Mon Apr 16 17:14:27 +0000 2018,@MiaCate So sorry to hear this happened! We'd love to help you get this sorted out. Please reach out to our SWAT St… https://t.co/5ltHyP5f4g
980811083727409200,Mon Apr 02 14:15:59 +0000 2018,@MeganBozman 😊😊😊
980810807880675300,Mon Apr 02 14:14:53 +0000 2018,@TWCAlexWilson So happy to hear this! 😊
976890634597535700,Thu Mar 22 18:37:31 +0000 2018,RT @iShopThis: There's a new bag at @BaubleBar &amp; it's a natural for Spring! Take your pick, the chic clutch or terrific tote. https://t.co/…
976476498726137900,Wed Mar 21 15:11:54 +0000 2018,RT @aquilaleonsoon: This Co-Founder of BaubleBar's Secret for Inspiration? Always 'Keep Your Eyes Peeled.' https://t.co/7Y7vieCufA #busines…
976103904315367400,Tue Mar 20 14:31:20 +0000 2018,@Jcookfair2 Ah, so sorry to see this happened! We'd love to help you sort this out--please reach out to our SWAT Te… https://t.co/YmHoivX27f
975741797103173600,Mon Mar 19 14:32:27 +0000 2018,@SonaJesrani @BaubleBarSWAT Hi there! Please email our SWAT Team at helpme@baublebar.com 😊
970769735284555800,Mon Mar 05 21:15:15 +0000 2018,@jenkubes Ugh, such a good idea! ✨
969376910672367600,Fri Mar 02 01:00:40 +0000 2018,Meghan Markle's favorite BaubleBar ring is back in stock. @PEOPLEroyals  gives you the skinny on why she loves it a… https://t.co/rOsyTmT8oR
969289624546893800,Thu Mar 01 19:13:49 +0000 2018,@emeliaalawrence Hi there! Please reach out to our SWAT Team at helpme@baublebar.com!
968153651285020700,Mon Feb 26 15:59:52 +0000 2018,@bhampton1962 Oh no! So sorry to hear this happened--to clarify, you've already emailed the SWAT Team at helpme@baublebar.com?
968153300838252500,Mon Feb 26 15:58:28 +0000 2018,@abisepic Oh no! So sorry to see this happened. Please reach out to our SWAT Team at helpme@baublebar.com--we'd lov… https://t.co/NdfdJNEFZx
968153142549508100,Mon Feb 26 15:57:51 +0000 2018,@LaurenAlumbaugh Hi there--so sorry to see this has happened. We'd love to help you sort this out. Please reach out… https://t.co/FB4f4250Fa
968152962664149000,Mon Feb 26 15:57:08 +0000 2018,@trippingtiffies Hi there! Please reach out to our SWAT Team at helpme@baublebar.com.
967153852813381600,Fri Feb 23 21:47:02 +0000 2018,@ShopStyle ❤️
967153792235049000,Fri Feb 23 21:46:47 +0000 2018,RT @ShopStyle: You can definitely pull off these belt bags.  See how our editors are wearing the new @BaubleBar styles &gt;&gt; https://t.co/gN7N…
964635874679025700,Fri Feb 16 23:01:29 +0000 2018,@alexswan Hi there! So sorry to hear this happened--we'd love to help you sort this out. Please reach out to our SW… https://t.co/RArwJxAVOX
963941114049978400,Thu Feb 15 01:00:45 +0000 2018,Happy Valentine's Day from Mario (AKA cutest Cupid ever) and the rest of us at BaubleBar. ❤️ https://t.co/5RqkdHTUFT
963108280376709100,Mon Feb 12 17:51:22 +0000 2018,@BKDoll1 Sorry to hear this happened! Please reach out to our SWAT Team at helpme@baublebar.com so we can help you get this sorted out.
962353830766751700,Sat Feb 10 15:53:27 +0000 2018,"Nothing is perfect. Don't be nervous and afraid." - advice from our co-founder Daniella Yacobovsky to hundred of l… https://t.co/lQhNIdOyEX
962072467081543700,Fri Feb 09 21:15:25 +0000 2018,@alexswan So sorry to see this happened! Would love to get this sorted out for you--please reach out to helpme@baublebar.com.
960317086655565800,Mon Feb 05 01:00:09 +0000 2018,In honor of Puppy Bowl XIV, be sure to shop our limited edition collar/leash collection in collaboration with… https://t.co/qRaXdTrnHI
955928597671313400,Tue Jan 23 22:21:52 +0000 2018,RT @AnimalPlanet: The @BaubleBar X Puppy Bowl collection of leashes and collars look good on and off the field... Best part is, proceeds be…
955850093546082300,Tue Jan 23 17:09:55 +0000 2018,@rbomb_90 So sorry to hear this! We'd love to help you get this sorted out--please reach out to us at helpme@baublebar.com.
954881323843440600,Sun Jan 21 01:00:23 +0000 2018,As if you needed another reason: proceeds of our our limited-edition collection with @animalplanet's Puppy Bowl XIV… https://t.co/6SopVfUKNH
954518975827804200,Sat Jan 20 01:00:32 +0000 2018,You, too, can glow just like @chrissyteigen. Shop our Tinsley Tassel Earrings here: https://t.co/YfvwOTVvtr https://t.co/zroTBVoQC6
953431778789863400,Wed Jan 17 01:00:24 +0000 2018,Your pup loves baubles just as much as you do. We've launched a limited edition collection of dog collars and leash… https://t.co/hPD70hAD2o
953314648333471700,Tue Jan 16 17:14:58 +0000 2018,@eeeeeeeeeehhh Hi there! Sorry to here this--we'd love to help you sort this out. Could you please reach out to helpme@baublebar.com?
951154893678628900,Wed Jan 10 18:12:52 +0000 2018,@geeteemagee Oh no! So sorry to hear that--please email us at helpme@baublebar.com so we can get this sorted out for you.
949391853723570200,Fri Jan 05 21:27:11 +0000 2018,@MciverMarie 😊😊😊
948572864558616600,Wed Jan 03 15:12:49 +0000 2018,RT @zannarassi: How fun is this?? Love this look from on set with @BaubleBar. Shop my holiday collection here: https://t.co/Cf5C27AUFH http…
948255866322604000,Tue Jan 02 18:13:10 +0000 2018,@ShawnEileen So happy to hear it!!
946809276244398100,Fri Dec 29 18:24:56 +0000 2017,@PauldeChalain Hi there! Please reach out to us at helpme@baublebar.com.
945753720700178400,Tue Dec 26 20:30:32 +0000 2017,@StephyDeee Hi there--super sorry to hear this happened! We'd love to help you get this sorted out. Please reach ou… https://t.co/muN7h9RVNG
945752816785809400,Tue Dec 26 20:26:57 +0000 2017,@seeking_alex Hi there! Please reach out to us at helpme@baublebar.com.
945368592752742400,Mon Dec 25 19:00:11 +0000 2017,Hoping this photo of Mario makes your day all the merrier. (He decorated that bauble tree all by himself, by the wa… https://t.co/xVWvx9flky
940695020365021200,Tue Dec 12 21:29:04 +0000 2017,RT @zannarassi: Get vacation ready with these incredible pineapple earrings from @BaubleBar! See the rest of my guest collection here: http…
938548042277576700,Wed Dec 06 23:17:45 +0000 2017,RT @zannarassi: These stunners are at the top my  #Christmas wish list! Check out my @BaubleBar collection for an easy guide to last minute…
937762409338556400,Mon Dec 04 19:15:55 +0000 2017,RT @marieclaire: .@zannarassi and @BaubleBar's limited-edition statement earrings are guaranteed to lift your mood. 💯 https://t.co/w0SaQ84J…
937762355924041700,Mon Dec 04 19:15:43 +0000 2017,RT @zannarassi: Working on a very exciting project with @BaubleBar that I can’t wait to share with you all. Stay tuned!! https://t.co/UEA9s…
926237510405115900,Fri Nov 03 00:00:05 +0000 2017,@bibigoeschic proves you can mix prints and statement earrings. Shop them here: https://t.co/mHfrpQc6oI https://t.co/5noexEZ2Ne
926072505185554400,Thu Nov 02 13:04:25 +0000 2017,RT @PoorLilItGirl: This @BaubleBar bag collection is giving me LIFE!!! &gt;&gt; https://t.co/KQuFTbuAnJ https://t.co/sh6zxpXfMk
925875134996582400,Thu Nov 02 00:00:08 +0000 2017,@bibigoeschic proves you can mix prints and statement earrings. Shop the look: https://t.co/39LjSjgIpK https://t.co/Z2IgHc5mqT
