id,created_at,text
1261494775028555800,Sat May 16 03:12:46 +0000 2020,RT @nickberserker: this is the first time i've wanted to call cops 'heroes'
1261491393895305200,Sat May 16 02:59:20 +0000 2020,Wow the Blacklist finally has a fun season and Covid ruins it smh
1261487300988592000,Sat May 16 02:43:04 +0000 2020,@melissagira This is also my story but re: dress code
1261472083147542500,Sat May 16 01:42:36 +0000 2020,I'm economist.
1261467765782667300,Sat May 16 01:25:26 +0000 2020,To alleviate costs to firms the government can handle health care
1261466984010539000,Sat May 16 01:22:20 +0000 2020,Forced job sharing
1261466933766942700,Sat May 16 01:22:08 +0000 2020,If we want to increase labor demand  why not institute a 30 hour week
1261464267884093400,Sat May 16 01:11:32 +0000 2020,Attack on workers https://t.co/KANt88ZFVD
1261446339109417000,Sat May 16 00:00:18 +0000 2020,Enough of you journos know this book now that we're overdue for a profile!
1261445840045998000,Fri May 15 23:58:19 +0000 2020,One of the few shows where I actually do want to watch them sitting around and drinking and talking. https://t.co/ZGSUaNO4sZ
1261445399740465200,Fri May 15 23:56:34 +0000 2020,https://t.co/lf0Mv1DBGA https://t.co/CYJ3T9ukQ8
1261444378905555000,Fri May 15 23:52:31 +0000 2020,What's that I hear? It's the-  🚨 MELINDA COOPER SIREN 🚨 https://t.co/GUHLTgNsGN
1261443279964364800,Fri May 15 23:48:09 +0000 2020,They should have a different word for that cuz it's very cute. A cute word.
1261443083071369200,Fri May 15 23:47:22 +0000 2020,Baby next door is crying because he doesn't know how to talk yet 😍
1261429243763986400,Fri May 15 22:52:22 +0000 2020,My new reading spot is the set of Buffy the Vampire Slayer https://t.co/EOvyll1HpW
1261363283287658500,Fri May 15 18:30:16 +0000 2020,AT THE SIGHT OF A SEVERED TREE ROOT LOOKING LIKE A FALLEN MAN  Fallen. How should I rise up again? A bit of rest wo… https://t.co/53XSAQ1nVz
1261314724999893000,Fri May 15 15:17:19 +0000 2020,RT @ohevie: The quiet around childcare moving forward is deafening. There is no money to be made from it and the government knows women wil…
1261138718938800000,Fri May 15 03:37:56 +0000 2020,@gabrielwinant Tell me about it!
1261138538910933000,Fri May 15 03:37:13 +0000 2020,@kurtsoller It's true.
1261137073177845800,Fri May 15 03:31:23 +0000 2020,(We make our own)
1261136860073660400,Fri May 15 03:30:32 +0000 2020,If Vitamin D affects Covid has anyone looked at redhead impacts jw
1261089588812152800,Fri May 15 00:22:42 +0000 2020,I didn't get it til I saw that Wes Anderson movie and then I was like You know? That's fine. https://t.co/9quxSvYDn5
1261074223021383700,Thu May 14 23:21:39 +0000 2020,@Bernstein Go look at your baby! 😍
1261043217346310100,Thu May 14 21:18:26 +0000 2020,I like this survey tweet it's fun
1261042920184053800,Thu May 14 21:17:15 +0000 2020,At work you build a golem and at night it tries to choke you to death and if you survive then the next morning you… https://t.co/Wiw8xF1HJY
1260977820693602300,Thu May 14 16:58:34 +0000 2020,#DailyBrecht
1260977750292209700,Thu May 14 16:58:18 +0000 2020,THE NOT-TO-BE-FORGOTTEN NIGHT  The sky above me on that not-to-be-forgotten night Was bright enough. The chair on w… https://t.co/6yjP36laev
1260949477667549200,Thu May 14 15:05:57 +0000 2020,RT @TaylorLorenz: OnlyFans has is becoming a normalized/mainstream subscription service for many male + female influencers, who (understand…
1260774462418489300,Thu May 14 03:30:30 +0000 2020,I don't go around looking at people. I mind my business.
1260773324029821000,Thu May 14 03:25:59 +0000 2020,Don't forget that his ex just lets him hold half that stock 😂
1260772565531922400,Thu May 14 03:22:58 +0000 2020,I love that some SEO ckickbait bullshit about what Bezos will be worth in 2026 is stoking viral class rage
1260769235166470100,Thu May 14 03:09:44 +0000 2020,We need Paul Revere
1260768690322186200,Thu May 14 03:07:34 +0000 2020,I feel like we need a standard funny tweet from like dril or someone when the British people are at it again
1260767237335658500,Thu May 14 03:01:47 +0000 2020,@EmilyDWarfield I mean about my ex's dead wife!
1260765862384021500,Thu May 14 02:56:20 +0000 2020,@EmilyDWarfield I think they would have more questions!
1260764648212770800,Thu May 14 02:51:30 +0000 2020,I've never met a celebrity.
1260758944546541600,Thu May 14 02:28:50 +0000 2020,RT @BigMeanInternet: THE FRIENDS  I, the playwright Was separated by war from my friend, the set designer. The cities in which we worked ar…
1260737599502680000,Thu May 14 01:04:01 +0000 2020,Awww hi mom lol https://t.co/sujP4Vnz4K
1260737309663731700,Thu May 14 01:02:52 +0000 2020,@robjGoldberg @jaymarose It's sheepdog soda!
1260718641512943600,Wed May 13 23:48:41 +0000 2020,Capitalist class looking prettttty comfy considering that capitalism isn't even working rn.
