id,created_at,text
1239235449870323700,Sun Mar 15 17:02:09 +0000 2020,RT @IAMDJPYE: “Please do not spread coronavirus by gathering in large groups.”  College Kids: https://t.co/MT5TBmSBlu
1239232959317708800,Sun Mar 15 16:52:15 +0000 2020,RT @lonzohennessy: Yall done turned Miami into the ghetto
1239232581683593200,Sun Mar 15 16:50:45 +0000 2020,RT @HelloKennedi: Satan is going to be very happy to have them because hell is exactly where they’re going. https://t.co/lm80H8tIiv
1239227737480536000,Sun Mar 15 16:31:31 +0000 2020,RT @Dooda2018: This is Trifling y’all fucking TISSUE WIP MY ASS WITH YALL COP BITCHES NEVER HAD MY RESPECT!!!! I’m not the one to rant but…
1237916768477347800,Thu Mar 12 01:42:11 +0000 2020,Fr? https://t.co/rQXwDiGQlE
1237914578522189800,Thu Mar 12 01:33:29 +0000 2020,https://t.co/rtntod65Hh
1237913909048291300,Thu Mar 12 01:30:49 +0000 2020,RT @ABC: Pres. Trump says he "will soon be taking emergency action...to provide financial relief" for U.S. workers "who are ill, quarantine…
1237913787950342100,Thu Mar 12 01:30:21 +0000 2020,RT @Variety: Tom Hanks says he and Rita Wilson "felt a bit tired, like we had colds, and some body aches... Slight fevers too. To play thin…
1237911919547252700,Thu Mar 12 01:22:55 +0000 2020,RT @iamTannenbaum: heard the coronavirus got Tom Hanks https://t.co/dbMAOVgate
1237911903252381700,Thu Mar 12 01:22:51 +0000 2020,@iamTannenbaum And jet li
1237907395210350600,Thu Mar 12 01:04:56 +0000 2020,RT @TheMedicaIVideo: Really important point to know about sitting on chair. https://t.co/QcTNIWBdWU
1237906361062764500,Thu Mar 12 01:00:50 +0000 2020,RT @LoneChildMJB: Who wants to do the flip the switch challenge we get to it ASAP ?https://t.co/EMZb11qZSo
1237905678490108000,Thu Mar 12 00:58:07 +0000 2020,RT @cheybchey_mille: So... Ian &amp; Chey did the Flip the Switch Challenge ...😂 #sims4 #cheybchey https://t.co/XZ1XsTNYUe
1237905297592721400,Thu Mar 12 00:56:36 +0000 2020,RT @brianeamon: My boys @InnocentTamale @martinhats check this flip the switch challenge. I have even bought a spare rib cage
1237904661795033000,Thu Mar 12 00:54:05 +0000 2020,RT @_theother_i: Fat people got the best flip the switch challenge no cap😂😂😂
1237901154937438200,Thu Mar 12 00:40:09 +0000 2020,RT @AaliyahJay: What y’all see... Vs what really happens https://t.co/Ebgu0TRgZz
1237588864488726500,Wed Mar 11 03:59:13 +0000 2020,@sheikhofchic @Arabiaxo They died first 😭
1237583073694208000,Wed Mar 11 03:36:12 +0000 2020,RT @wavy_gloo: this nigga really had the audacity to treat Jayda like that 🤢😷
1237581879470985200,Wed Mar 11 03:31:27 +0000 2020,RT @OneMpyr: All cause the coffee was cold..... https://t.co/ppoHrnpHFR
1237581759845261300,Wed Mar 11 03:30:59 +0000 2020,RT @carlquintanilla: Confirmed cases:  * US: 755 * Mexico: seven.
1237577336502890500,Wed Mar 11 03:13:24 +0000 2020,RT @ILoveMyCulture: “So y’all not going to help me up” 😂😂😂 https://t.co/528PyGlqEx
1235422587485855700,Thu Mar 05 04:31:12 +0000 2020,That’s all folks https://t.co/zWiDVTRodI
1235392276022648800,Thu Mar 05 02:30:45 +0000 2020,RT @CNN: Democratic Sen. Chris Murphy calls on Pres. Trump to stop talking about the coronavirus and “let the experts talk.”  “It’d be bett…
1235391975030808600,Thu Mar 05 02:29:33 +0000 2020,Keep going hard even if they count you out‼️
1235391260615209000,Thu Mar 05 02:26:43 +0000 2020,RT @Im_Sanju_Ss: “If you truly love nature, you will find beauty everywhere.” _____________________ Laura Ingalls Wilder https://t.co/RHqiQ…
1235391015583977500,Thu Mar 05 02:25:45 +0000 2020,RT @brebanks_: LMFAOOO
1235387594105643000,Thu Mar 05 02:12:09 +0000 2020,RT @BarkyBoogz: This got deleted but it’s relevant again https://t.co/eBf4pWzaHK
1235387407354269700,Thu Mar 05 02:11:24 +0000 2020,RT @onixbey: why he ate this lil girl up like that?! 😭 https://t.co/XDJySZbCVF
1235387286679765000,Thu Mar 05 02:10:56 +0000 2020,@waydamin So you cool or nawl?
1235387216957972500,Thu Mar 05 02:10:39 +0000 2020,RT @waydamin: Once you let that hurt go everything be cool.
1235385957412634600,Thu Mar 05 02:05:39 +0000 2020,RT @BENBALLER: That LA road rage... nothing like it anywhere else 🥴🥴🥴🤡 https://t.co/rIhvAaD5I0
1235373491152736300,Thu Mar 05 01:16:07 +0000 2020,The internet is undefeated 😭😭😭😭 https://t.co/HlVY8xb4pS
1231337593947795500,Sat Feb 22 21:58:54 +0000 2020,@AriTheDon https://t.co/AxjNFTcvCn
1231334275674517500,Sat Feb 22 21:45:43 +0000 2020,@AriTheDon She wanna be Ari so bad https://t.co/HjKWsMmRoo
1231334046543818800,Sat Feb 22 21:44:48 +0000 2020,RT @thebaddiegalore: girl i am screaming!!!! joseline’s man told her to get in the house and baby she went running 😭😭😭😭😭😭 https://t.co/u00e…
1231333805434327000,Sat Feb 22 21:43:50 +0000 2020,Be real @alexisskyyyyyy  you want to be @AriTheDon  so badd 😭😭🤧 https://t.co/uuIcfLSL0W
1231308742257451000,Sat Feb 22 20:04:15 +0000 2020,@Akbar__V You a rah Ali refrigerator build asses know how to be in everybody business but your own . Ain’t u still running from kashdoll?
1231308335141576700,Sat Feb 22 20:02:38 +0000 2020,@Akbar__V Nobody even invited youre fat ass kelly price looking ass
1231307920261996500,Sat Feb 22 20:00:59 +0000 2020,Black twitter stands with MAINS not side dishes @AriTheDon  @waydamin
1231299406571475000,Sat Feb 22 19:27:09 +0000 2020,Little drama from the deal of draya https://t.co/idak8nJzAM
1231299119232245800,Sat Feb 22 19:26:01 +0000 2020,Baby has spoken https://t.co/wSjM8iUIz1
1231298904437805000,Sat Feb 22 19:25:09 +0000 2020,@___eccX3 Sis do not have those receipts 😭😭
1231298522089218000,Sat Feb 22 19:23:38 +0000 2020,RT @RachellePetite: That coke kicking her ass smh
1231298294803988500,Sat Feb 22 19:22:44 +0000 2020,@lilbaby4PF https://t.co/tCfajhntr1
1231297973683970000,Sat Feb 22 19:21:27 +0000 2020,Sis do not got those receipts y’all https://t.co/Lgw33pfbhu
1231297957246505000,Sat Feb 22 19:21:24 +0000 2020,@alexisskyyyyyy So you in fact do not have any receipts ?
1231297197368627200,Sat Feb 22 19:18:22 +0000 2020,@alexisskyyyyyy Baby probably was crying this whole time while you arguing with bitches on Twitter 😭😭
1231296524979667000,Sat Feb 22 19:15:42 +0000 2020,@alexisskyyyyyy  can you post em or was that a empty threat ? @waydamin seems likr you’ve BEEN  wanting to say some… https://t.co/YOzI4j2Men
1231295837311062000,Sat Feb 22 19:12:58 +0000 2020,@___eccX3 @biggZaddyyyy @alexisskyyyyyy Wack ass bitch we got all the tweets you tried to delete
1231295583480098800,Sat Feb 22 19:11:58 +0000 2020,RT @TheBrvery: @alexisskyyyyyy 🌩 T H E B R V E R Y E L I T E 1.5 🌩  Music by Brve  Directed by Kepo / Brve  Edited by Kepo / Brve   https:/…
1231295443121975300,Sat Feb 22 19:11:24 +0000 2020,@biggZaddyyyy @alexisskyyyyyy https://t.co/GWd2VUhWWp
1231294250282778600,Sat Feb 22 19:06:40 +0000 2020,Alexis sky implying she had a std https://t.co/TW04cLoMAD
1231294049082126300,Sat Feb 22 19:05:52 +0000 2020,@alexisskyyyyyy Are you implying that you have a std ?
1231293695586185200,Sat Feb 22 19:04:28 +0000 2020,RT @JhaylonaT: butterfly set by me🦋 https://t.co/9zws6nVLrC
1231293648794505200,Sat Feb 22 19:04:16 +0000 2020,RT @1dessdior: YIKES https://t.co/SYTAozNesk
1231293633489404000,Sat Feb 22 19:04:13 +0000 2020,This Tweet from @Black_Twiitter_ has been withheld in: India.
1231293597615612000,Sat Feb 22 19:04:04 +0000 2020,RT @yumyumeg: I HATEEEEEE BOOSIE LMAOOOOOOOO https://t.co/YXG0Nyxsxv
1231293583296278500,Sat Feb 22 19:04:01 +0000 2020,RT @AfroStunnerz: NATURAL HAIR thread for CURLY &amp; COILY hair type. Drop your pics/Vids if you fall under this hair category, let’s all appr…
1231293308275654700,Sat Feb 22 19:02:55 +0000 2020,RT @thealexush: @alexisskyyyyyy bet so drop the receipts cause baby just said don’t lie on him sis
1231292628576153600,Sat Feb 22 19:00:13 +0000 2020,@alexisskyyyyyy You need to mention you’re own child more often
1231292329782390800,Sat Feb 22 18:59:02 +0000 2020,@waydamin  @AriTheDon https://t.co/bhJj3SMBJh
