id,created_at,text
1260009625543270400,Tue May 12 00:51:19 +0000 2020,@vancanadians @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @BlueJaysAcademy @DunedinBlueJays… https://t.co/bMwOLv8tq4
1260009011883073500,Tue May 12 00:48:52 +0000 2020,@HockeyPeanut @JE83GRY @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @JaysCare… https://t.co/Jua8CclYAy
1260008930245111800,Tue May 12 00:48:33 +0000 2020,@mlbjess @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/JQvDZksNOg
1260008495631360000,Tue May 12 00:46:49 +0000 2020,RT @ryan_borucki: Thank you everyone who joined in today! I had a blast with all my boys. Hope you guys enjoyed all the laughs and Dobby, o…
1260008452249665500,Tue May 12 00:46:39 +0000 2020,@HockeyPeanut @JE83GRY @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @JaysCare… https://t.co/0QV19oizOE
1260008373698715600,Tue May 12 00:46:20 +0000 2020,@mlbjess @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/DyniDgEQEo
1260008229964112000,Tue May 12 00:45:46 +0000 2020,@KarenSoutar1 @biggles14 @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/qHAB2pyJCs
1260008104340541400,Tue May 12 00:45:16 +0000 2020,@DianneAbel20 @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/Hytts9nNOg
1260008056672288800,Tue May 12 00:45:05 +0000 2020,@snuep @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/p7QQDgFreu
1260007923796738000,Tue May 12 00:44:33 +0000 2020,@marieill @simpsondebra @biggles14 @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247… https://t.co/ypaMcC6Mh8
1260007811896885200,Tue May 12 00:44:06 +0000 2020,@aryoungson @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/cHJUg2ZQz9
1260007718577860600,Tue May 12 00:43:44 +0000 2020,@halltamm @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/fPsJTW7Jny
1260007633831866400,Tue May 12 00:43:24 +0000 2020,@TAitkins @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/Ew6qihmGvh
1260007397004738600,Tue May 12 00:42:27 +0000 2020,@Auntie_Amy @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/76KAnEroH3
1260007352234684400,Tue May 12 00:42:17 +0000 2020,@Brown01Violet @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/JUKgEyeIIz
1260006889187709000,Tue May 12 00:40:26 +0000 2020,@amandaleed31 @biggles14 @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/3ZHMAE1pGN
1260006751543464000,Tue May 12 00:39:54 +0000 2020,@metalmex21 https://t.co/hpxvYjAbUd
1260006679695044600,Tue May 12 00:39:36 +0000 2020,@mlbjess @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/edACsIm49W
1260006599734833200,Tue May 12 00:39:17 +0000 2020,@oliviatweets_ @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/gyWAHKXoZX
1260006544579506200,Tue May 12 00:39:04 +0000 2020,@vanessacg_21 @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/xbC0GZMRe6
1260006451197722600,Tue May 12 00:38:42 +0000 2020,@c14_chan @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/Ha8dM6HmUb
1260006241809698800,Tue May 12 00:37:52 +0000 2020,@KarenSoutar1 @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare… https://t.co/moWCCa8D31
1260006143474184200,Tue May 12 00:37:29 +0000 2020,@HymanGOAT @TD_Canada @doinitBIGgio23 @jparencibia9 @Ricky_Ro24 @ryan_borucki @benwag247 @JaysCare @BlueJaysAcademy… https://t.co/0g99GsYfDn
1260003308791632000,Tue May 12 00:26:13 +0000 2020,RT @benwag247: That was so much fun checking in with @thehazelmae and all the guys tonight. I’m STILL laughing about Ryan Borucki’s cat and…
