id,created_at,text
1260501149473558500,Wed May 13 09:24:27 +0000 2020,@jordan_harper 🥰🥰🥰
1257411220971405300,Mon May 04 20:46:11 +0000 2020,RT @masterpiecepbs: "The thing about Webster that really moves me is he's someone who has found himself in Paris. Paris is the place where…
1255989307166339000,Thu Apr 30 22:36:00 +0000 2020,Did anyone else catch the rainbow over Berlin this evening? One of the most beautiful things I’ve ever seen. https://t.co/2RYKuoePh7
1253971762645282800,Sat Apr 25 08:59:00 +0000 2020,Hey ya’ll! I hope you’re all safe, healthy, and hanging in there. Just a heads up - I’m going to be taking over the… https://t.co/N37gltgBrp
1250786581931266000,Thu Apr 16 14:02:14 +0000 2020,Nice mention from @nytimes - thanks for the @sense8 love! 😎 https://t.co/2exCyq9Rm4
1245001959255552000,Tue Mar 31 14:56:12 +0000 2020,@maxmauff 🙋🏻‍♂️🙋🏻‍♂️🙋🏻‍♂️🙋🏻‍♂️🙋🏻‍♂️
1244551591929110500,Mon Mar 30 09:06:36 +0000 2020,RT @BET: Huge THANK YOU to the doctors and nurses showing up everyday to make sure we are healthy and safe! ❤️ #AloneTogether #coronavirus…
1242729082997149700,Wed Mar 25 08:24:36 +0000 2020,Thanks to tobyonwumere for this shot. One of the unexpected bright spots of this experience has been walking around… https://t.co/1w6GaJFXmK
1242064702265536500,Mon Mar 23 12:24:36 +0000 2020,Hey USA, this show will be coming your way in a few weeks. We filmed it over a year ago, never imagining we’d find… https://t.co/Nf5I3y53qL
1241065924872061000,Fri Mar 20 18:15:49 +0000 2020,It’s good hard sweaty yoga, without all the added shit. And Bryan is hilarious. I’ve been doing this practice for y… https://t.co/hYx0kZZ8WS
1241065922472947700,Fri Mar 20 18:15:48 +0000 2020,Well, I’m riding it out in our hotel in Berlin. Already missing the world, and the joy of being in a crowd. I thoug… https://t.co/xdaeH0XlDe
1241063259479867400,Fri Mar 20 18:05:13 +0000 2020,I totally concur. 😊😊😊 https://t.co/MWU7StEbuP
1240277545079185400,Wed Mar 18 14:03:04 +0000 2020,RT @LionsRoar: "In a pandemic, self-isolation is called quarantine. In Buddhism, it is called retreat. From the cave of our home, like the…
1239902796943634400,Tue Mar 17 13:13:57 +0000 2020,Hello from Berlin. Just a little update from my end. Spirits are high, all things considered. We are taking a break… https://t.co/ivMRoyNXt1
1233949000321007600,Sun Mar 01 02:55:41 +0000 2020,RT @kateinmadcity: Sooo did everyone see this little peek behind the scenes yet?? 😯😱 #TheMatrix4 #Sense8 https://t.co/HAY1e0aWiL
1230577457792553000,Thu Feb 20 19:38:23 +0000 2020,‘Matrix 4’: ‘Sense8’ Alum Brian J. Smith Joins Lana Wachowski Sequel https://t.co/Qh4MteSxvj via @Deadline
1215636142126706700,Fri Jan 10 14:06:56 +0000 2020,RT @TheVersion: Watch Brian J Smith discussing new action series Treadstone  https://t.co/8onq7TdZBH  BrianJacobSmith #Treadstone #TV
1215635118402015200,Fri Jan 10 14:02:52 +0000 2020,Hey ya’ll - @treadstone is now streaming on @PrimeVideo worldwide! Get your binge on and enjoy the show. 😜 https://t.co/aCGIAj4dOe
1204508593967575000,Tue Dec 10 21:10:02 +0000 2019,🤗 https://t.co/ROV3rE8kDK
1202076092317745200,Wed Dec 04 04:04:08 +0000 2019,@kurtzellner @WormholeRiders @Concerned3rd5 @klhparker @ErnstLimat @treadstone @smithespis @USA_Network… https://t.co/SEw8zHLaIA
1202074999403765800,Wed Dec 04 03:59:47 +0000 2019,@WormholeRiders @klhparker @Hadel @ErnstLimat @Concerned3rd5 @kurtzellner @treadstone @smithespis @USA_Network… https://t.co/ShzotdcZKs
1202074953283199000,Wed Dec 04 03:59:36 +0000 2019,@odnago @treadstone Enjoying a nice break. Much needed, it’s been an intense year.
1202073977478418400,Wed Dec 04 03:55:44 +0000 2019,@Rowdyroderick @treadstone Awww wouldn’t that be nice! I guess anything is possible!
1202073376589791200,Wed Dec 04 03:53:21 +0000 2019,@MarkPerigard @treadstone Lots of rehearsal time, the more the better. Not a good time to work on improv skills 😂
1202071808024961000,Wed Dec 04 03:47:07 +0000 2019,@AOeves @treadstone 😚
1202071608585867300,Wed Dec 04 03:46:19 +0000 2019,@klhparker @Hadel @WormholeRiders @ErnstLimat @Concerned3rd5 @kurtzellner @treadstone @smithespis @USA_Network… https://t.co/0nABZuc2oV
1202071516806037500,Wed Dec 04 03:45:57 +0000 2019,@G_Man_124 @treadstone There are a lot more agents out there than first thought. Not sure exactly how many, but eno… https://t.co/CfGNhCmA43
1202071253143736300,Wed Dec 04 03:44:54 +0000 2019,@deepachaturvedi @treadstone It’ll be streaming worldwide on Amazon starting in January. Not sure how they work the… https://t.co/e0FzjOxLL6
1202071059845042200,Wed Dec 04 03:44:08 +0000 2019,@AOeves @treadstone Hehe
1202071018208145400,Wed Dec 04 03:43:58 +0000 2019,@imranhmm @treadstone Ha I miss everything about that city. Great friends there I haven’t seen in way too long. I m… https://t.co/BtsVy5CXvK
1202070672329101300,Wed Dec 04 03:42:36 +0000 2019,@rebels_beth @treadstone There were amazing bars/clubs in Budapest, but that was just on the weekends. It’s truly a magical city.
1202070174242877400,Wed Dec 04 03:40:37 +0000 2019,@kurtzellner @WormholeRiders @Concerned3rd5 @klhparker @ErnstLimat @treadstone @smithespis @USA_Network… https://t.co/8eYujuqkKB
1202070005476659200,Wed Dec 04 03:39:57 +0000 2019,@odnago Thank you David!
1202069916662337500,Wed Dec 04 03:39:36 +0000 2019,@mikkelsenart @treadstone I think they’re hoping the storylines will all intersect physically at some point, yes. B… https://t.co/1ia4z7kpZq
1202069376679190500,Wed Dec 04 03:37:27 +0000 2019,@Hadel @WormholeRiders @klhparker @ErnstLimat @Concerned3rd5 @kurtzellner @treadstone @smithespis @USA_Network… https://t.co/uht2VXSSdq
1202068743788093400,Wed Dec 04 03:34:56 +0000 2019,@imranhmm @treadstone Aw thank you - I’m glad to hear it.
1202068396608819200,Wed Dec 04 03:33:33 +0000 2019,@Keoni510 @treadstone 😚
1202068143306412000,Wed Dec 04 03:32:33 +0000 2019,@mikkelsenart @treadstone There are going to be a few crossing of storylines by the end of the season. I remember t… https://t.co/1ABIRXB4CX
1202067523237220400,Wed Dec 04 03:30:05 +0000 2019,@thenidus @treadstone @WorldOnFireTV That’ll air on PBS in the states in April, I believe. Beautiful show!
1202066600402309000,Wed Dec 04 03:26:25 +0000 2019,@jeff_daniel_16 @treadstone Thanks my man
1202066545993801700,Wed Dec 04 03:26:12 +0000 2019,@Concerned3rd5 @kurtzellner @WormholeRiders @ErnstLimat @klhparker @treadstone @smithespis @USA_Network… https://t.co/WdeHp4lpMq
1202066152953958400,Wed Dec 04 03:24:38 +0000 2019,@RandySGooch1 @treadstone Nah, all the Virginia stuff was done in Hungary (the landscape actually resembles Kentuck… https://t.co/0nFedL49pG
1202065773616881700,Wed Dec 04 03:23:08 +0000 2019,@mikkelsenart @treadstone Unfortunately we didn’t get to work together! Not this season at least.
1202065669413621800,Wed Dec 04 03:22:43 +0000 2019,@TBL_John @treadstone Try harder to keep up bro 🤷🏻‍♂️
1202065047293513700,Wed Dec 04 03:20:15 +0000 2019,@kurtzellner @WormholeRiders @ErnstLimat @klhparker @treadstone @smithespis @USA_Network @MishkaForbes… https://t.co/IJUJ6Xltqr
1202064824957579300,Wed Dec 04 03:19:22 +0000 2019,@AUOHS @treadstone I think it’s gonna start streaming on Amazon worldwide, January I believe.
1202064692681818000,Wed Dec 04 03:18:50 +0000 2019,@gusknowsnoshame @treadstone I would have been a disaster on that bike lol. They filmed closeups of me on a picture… https://t.co/kN5ga6m0Ks
1202064478323576800,Wed Dec 04 03:17:59 +0000 2019,@jzeigler18 @treadstone 😛
1202064424548421600,Wed Dec 04 03:17:46 +0000 2019,@WormholeRiders @treadstone Yeah, and we did get some opportunities to hang out during filming, although it was har… https://t.co/aqgYLnGdCb
1202064181173870600,Wed Dec 04 03:16:48 +0000 2019,@bemcnure @treadstone Hah! Well I dont mind as long as it serves the story
1202064035518304300,Wed Dec 04 03:16:13 +0000 2019,@karenecwriter @treadstone Exactly!
1202063967348236300,Wed Dec 04 03:15:57 +0000 2019,@slayerangel78 @treadstone Toby is in town this week! Can’t wait to see him.
1202063881750950000,Wed Dec 04 03:15:37 +0000 2019,@PhylC3 @treadstone Aw!!! Gosh!
1202063824049909800,Wed Dec 04 03:15:23 +0000 2019,@whozairi @treadstone Torn rotator cuff and one seriously messed up back
1202063683360350200,Wed Dec 04 03:14:50 +0000 2019,@thenidus @treadstone We’ve been trying to keep that ball in the air as long as we can. I don’t want to spoil it tho haha
1202063162180358100,Wed Dec 04 03:12:45 +0000 2019,@andrecullen @treadstone Feels fab :)
1202062146445725700,Wed Dec 04 03:08:43 +0000 2019,@WormholeRiders @treadstone I’ve gotta think about that! I have a feeling the last episode might be my favorite, but I haven’t seen it yet.
1202061926714499000,Wed Dec 04 03:07:51 +0000 2019,@gusknowsnoshame @treadstone We do try to wrap up certain questions, but the mysteries just keep piling up as the story progresses.
1202061427080671200,Wed Dec 04 03:05:52 +0000 2019,@karenecwriter @treadstone Stage is where I feel most at home. I like really getting to dig into things, that can b… https://t.co/TzGBlL2krM
