id,created_at,text
1260836413358198800,Thu May 14 07:36:40 +0000 2020,RT @Brindisa: CHORIZO ROLL 😍 We are now stocking a Chorizo Roll Box! Repeatedly voted as TimeOut and Evening Standard’s best eats, you can…
1260516409970434000,Wed May 13 10:25:06 +0000 2020,CHORIZO ROLL 😍 We are now stocking a Chorizo Roll Box! Repeatedly voted as TimeOut and Evening Standard’s best eats… https://t.co/tsb3HdKtq5
1260283748828012500,Tue May 12 19:00:35 +0000 2020,Our friends at @cheese_academy are live now showing off how to use our Valdeon Blue Cheese with their Tuesday Night… https://t.co/qVGSNLyrrb
1260217261140447200,Tue May 12 14:36:23 +0000 2020,How to visit Barcelona without leaving home   'Brindisa has a fine selection of regional produce and recipe suggest… https://t.co/a3fP82dFdy
1260213797555515400,Tue May 12 14:22:37 +0000 2020,RT @EaterWriter: Today I made sourdough coco bread just to put @Brindisa chorizo in. https://t.co/ZEPsWsPWGq
1260148696441925600,Tue May 12 10:03:56 +0000 2020,Recipe: Gambas Al Ajillo - just four ingredients are needed for this classic Spanish dish 😍  https://t.co/9CKPnyj74g
1259878540801081300,Mon May 11 16:10:26 +0000 2020,@nickscroggie @RipOffSurcharge @RoyalMail Hello Nick, point taken. I've fed back this info to our E-Commerce team t… https://t.co/XDsJDA5ddk
1259874860110618600,Mon May 11 15:55:48 +0000 2020,@nickscroggie @RipOffSurcharge I'd like to offer my apologies again as I can see why you are disappointed. Thank yo… https://t.co/Adbe8rTCbM
1259874366642360300,Mon May 11 15:53:50 +0000 2020,@nickscroggie @RipOffSurcharge our service provider. This is something I will flag again to the team to try and fix… https://t.co/nywt2a52uO
1259873769461477400,Mon May 11 15:51:28 +0000 2020,@nickscroggie @RipOffSurcharge Hola Nick, Ollie from the team here. You're quite right, this is a fairly extortiona… https://t.co/eUdPCXjcnw
1259846942772940800,Mon May 11 14:04:52 +0000 2020,Cook This: Tapas Brindisa's Orange and Almond Cake https://t.co/GYn5aiKY6s via @meeleelou
1258070278300672000,Wed May 06 16:25:02 +0000 2020,The wonderful ‘The Corner Plot’ created this beautiful Niçoise salad using @conservasortiz bonito tuna, anchovies a… https://t.co/93jJxHUHk4
1257963120276000800,Wed May 06 09:19:14 +0000 2020,RT @Brindisa: @lynseykayporter Sautéed Chorizo with Red Wine:  https://t.co/SiVkJtrR6h
1257963107378434000,Wed May 06 09:19:11 +0000 2020,RT @Brindisa: @lynseykayporter Butter Beans with Chorizo and Panceta: https://t.co/x8YfayRjTb
1257963089271677000,Wed May 06 09:19:06 +0000 2020,RT @Brindisa: @lynseykayporter Chickpea and Chorizo Stew: https://t.co/ZMT1IbdXIH
1257963078001594400,Wed May 06 09:19:04 +0000 2020,RT @Brindisa: @lynseykayporter Ok, here we go: The Famous Chorizo Roll https://t.co/s5GbL6BqE5
1257963006736109600,Wed May 06 09:18:47 +0000 2020,RT @Brindisa: @lynseykayporter Oh dear Lynsey, that is a fair bit to get through!! Do they all have fairly long shelf lives? We can have a…
1257962865740447700,Wed May 06 09:18:13 +0000 2020,@lynseykayporter Hope some of these help Lynsey 🥰
1257962673767174100,Wed May 06 09:17:27 +0000 2020,@lynseykayporter Sautéed Chorizo with Red Wine:  https://t.co/SiVkJtrR6h
1257962533522202600,Wed May 06 09:16:54 +0000 2020,@lynseykayporter Chicken and Chorizo Stew recipe by Angela Hartnett: https://t.co/PlBVKc3Bdj
