id,created_at,text
1260751732130418700,Thu May 14 02:00:11 +0000 2020,@GraceLambA #preach
1260751642338766800,Thu May 14 01:59:49 +0000 2020,@Hollliipop Thank holly! 😉
1260751509924520000,Thu May 14 01:59:18 +0000 2020,@AmyHoogervorst Thanks for tuning in Amy! 💙
1260706755358666800,Wed May 13 23:01:27 +0000 2020,@JMatter_TV @UNCHussman @DeanSusanKing I spy a tv rundown!
1260706666359783400,Wed May 13 23:01:06 +0000 2020,@kreshleman @UNC @HereAtUNC Which q was yours!
1260706582540755000,Wed May 13 23:00:46 +0000 2020,🐏💙 https://t.co/pepRXzwK6S
1260706247785005000,Wed May 13 22:59:26 +0000 2020,@kcknows Thank u for tuning in! GO HEELS!
1260581044937515000,Wed May 13 14:41:56 +0000 2020,#COVID experience from my friend, mother, ⁦@theriveterco⁩ exec ⁦@GioLockhart⁩:  “These aren't normal times, so we n… https://t.co/Eov1CovTFw
1260352236103794700,Tue May 12 23:32:43 +0000 2020,TAR... https://t.co/PmTTR9UNDc
1259568455264743400,Sun May 10 19:38:16 +0000 2020,HAPPY MOTHERS DAY! 🌸🌺🌹 https://t.co/YXWJKLnLcQ
1259097760076378000,Sat May 09 12:27:53 +0000 2020,Well done Terell. #truth https://t.co/0Q9m0TA9ge
1259097403178786800,Sat May 09 12:26:28 +0000 2020,RT @CNNTonight: @donlemon "It's a harsh reality," says Terell Wright about being a black teen living in a small town in Georgia. @voxroxatl…
1259096906191507500,Sat May 09 12:24:29 +0000 2020,RT @CNNnewsroom: “Companies have treated them — and our own President is treating them — as disposable objects, and they're not.” Kim Cordo…
1259096859949367300,Sat May 09 12:24:18 +0000 2020,RT @CNNnewsroom: Coronavirus can persist in men's semen even after they have begun to recover, according to Chinese researchers.   “We lear…
1259096804903313400,Sat May 09 12:24:05 +0000 2020,RT @CNNnewsroom: President Trump confirmed that Katie Miller, Vice President Mike Pence’s press secretary, is the staffer who tested positi…
1258488536371810300,Thu May 07 20:07:03 +0000 2020,Socially distant 👋🏼 https://t.co/Lm7faS5lIl
1258470694117167000,Thu May 07 18:56:09 +0000 2020,Ok, that made me lol.  I needed that. 😉  (Answer 5’9”) https://t.co/TMOUBWC57B
1258053439977906200,Wed May 06 15:18:08 +0000 2020,Thank you @oprahmagazine for the interview ❤️ — read below about my experience with joy and loneliness — plus why I… https://t.co/uavDAhKIOj
1257829075688870000,Wed May 06 00:26:35 +0000 2020,❤️❤️❤️ @wolfblitzer https://t.co/RZhLZDfeDc
1257403363328655400,Mon May 04 20:14:57 +0000 2020,Bucket list ✅  Thank you @TheEllenShow for asking me to come on your show... for your point about kindness and for… https://t.co/oL3eWqUL6m
1257348746851111000,Mon May 04 16:37:56 +0000 2020,CONGRATULATIONS TAR HEELS Class of 2020! 🙌🏼🙌🏼🙌🏼 https://t.co/qpnIKS68F0
1256973754963558400,Sun May 03 15:47:51 +0000 2020,This is BEAUTIFUL. 🎼   Take 5 minutes and watch this @NYTimes ⁦video 👇🏻👇🏻👇🏻 #COVID #classicalmusic https://t.co/p0YyRxzWUV
1256781048064729000,Sun May 03 03:02:06 +0000 2020,Important conversation today about #Syria in the age of the #COVIDー19 pandemic. My pleasure to moderate the discuss… https://t.co/2JNBS5bWaZ
1256316426178027500,Fri May 01 20:15:51 +0000 2020,RT @ecbevier: Join SAMS tomorrow for a webinar about COVID-19 in #Syria featuring our own Drs. Ikram Habboush and Mufaddal Hamadeh and CNN’…
1256316291268436000,Fri May 01 20:15:19 +0000 2020,RT @CNNPolitics: Democratic Rep. Elissa Slotkin following Trump's tweets in support of Michigan protesters: "If the President is supporting…
1256316224629354500,Fri May 01 20:15:03 +0000 2020,He IS so good! https://t.co/ErzXGJEzdM
1256316086359928800,Fri May 01 20:14:30 +0000 2020,#done 👊🏼 #Journalism https://t.co/lbtidH3lk6
1256022024046219300,Fri May 01 00:46:00 +0000 2020,RT @CNNnewsroom: "It was a very tough fight. You know, I thought I'd been through everything that could be thrown at me with cancer and the…
1256021975270654000,Fri May 01 00:45:49 +0000 2020,RT @CNNnewsroom: A barbershop owner tells @BrookeBCNN that he will defy California’s order and reopen his shops.  “I’d rather get citations…
1256021924351787000,Fri May 01 00:45:37 +0000 2020,RT @CNNnewsroom: Dr. George Diaz is the first doctor to treat a coronavirus patient with Remdesivir.  "Our experience with the first patien…
1255586167040495600,Wed Apr 29 19:54:04 +0000 2020,RT @CNNnewsroom: Writer @MitchAlbom describes to @BrookeBCNN how he is publishing a chapter of his new book, “Human Touch,” each week to ra…
1255586136845672400,Wed Apr 29 19:53:57 +0000 2020,RT @CNNnewsroom: Pig farmer Mike Patterson says he will soon be forced to euthanize hogs on his farm.   “At some point, there's … no way we…
1255088084112363500,Tue Apr 28 10:54:52 +0000 2020,Top E.R. Doc Who Treated Coronavirus Patients Dies by Suicide Her father to ⁦@nytimes⁩: “She was truly in the trenc… https://t.co/kYF9ifevPi
1254861876858466300,Mon Apr 27 19:56:00 +0000 2020,Here’s what I wrote that I read off the top of my show today.   Remember: “We have the power to take care of one an… https://t.co/AkmHU0VqjU
1254836875078099000,Mon Apr 27 18:16:39 +0000 2020,&lt;&lt;blushing&gt;&gt; How incredibly kind, my friend Piers. (Thanks to ALL of you sending me tweets. My phone keeps vibratin… https://t.co/nnhFMbvEQw
1254810536333709300,Mon Apr 27 16:31:59 +0000 2020,SEE YOU on 📺 on #CNN today! I’m on 1-3pmET. Got a special message to read off the top of the show... to all of you. ❤️
