id,created_at,text
1260652028205740000,Wed May 13 19:23:59 +0000 2020,RT @HayesGardner: In a composite of mock drafts compiled by @BryanKalbrosky, Jordan Nwora is projected to go No. 45 overall. He could poten…
1260643165083582500,Wed May 13 18:48:46 +0000 2020,It was very cool to see @rg_ducksports write about my 2021 mock draft mentions of @OregonMBB returners Will Richard… https://t.co/7rRB0Sf426
1260631114818994200,Wed May 13 18:00:53 +0000 2020,Thanks to @AlexKennedyNBA for letting me co-host the @hoopshype podcast episode with @BleacherReport's #GameOfZones… https://t.co/GLiARJp4er
1260598187213152300,Wed May 13 15:50:03 +0000 2020,It is hard to find someone more ready for the NBA than longtime @CofCBasketball star Grant Riller. He was 70.4% wit… https://t.co/WQxMjCgxx2
1259898199705292800,Mon May 11 17:28:33 +0000 2020,NCAA star Jared Butler (@J_Hooper11) knows how good @BaylorMBB was this season. We discussed losing a chance to win… https://t.co/ASBhYt7OBf
1258872485942112300,Fri May 08 21:32:44 +0000 2020,I enjoyed speaking about Mason Jones and Isaiah Joe with @RuscinIsRanting and @RuscinZach on @HitThatLineAR. I gave… https://t.co/aVT2aq3XOF
1258477603452858400,Thu May 07 19:23:36 +0000 2020,the most emotional that i’ve been in a very long time was listening to @RheaButcher talk about how much they miss b… https://t.co/eb8BFNTC9b
1258443926442315800,Thu May 07 17:09:47 +0000 2020,I asked college basketball star and 2020 NBA draft prospect Jared Butler the important questions. We talked about U… https://t.co/99jkP4sBsn
1258420585123786800,Thu May 07 15:37:02 +0000 2020,Published my 2021 NBA Mock Draft today! Top NCAA returners:  Keyontae Johnson  Trayce Jackson Davis David Johnson M… https://t.co/aQlhjWmZ3V
1257750761389404200,Tue May 05 19:15:24 +0000 2020,RT @BryanKalbrosky: Georgetown w/ Mac McClung ON the court (2019-20) Offensive Rating: 117.7 Defensive Rating: 107.3 Net Rating: 10.4   Geo…
1257750742418575400,Tue May 05 19:15:19 +0000 2020,Georgetown w/ Mac McClung ON the court (2019-20) Offensive Rating: 117.7 Defensive Rating: 107.3 Net Rating: 10.4… https://t.co/eNsfzEiUI9
1257708960263667700,Tue May 05 16:29:17 +0000 2020,RT @RuscinZach: Story on @masonjones2 by @BryanKalbrosky... we'll have Bryan on the show Thursday to talk about it.  https://t.co/02UrzYmwbf
1255937113608110000,Thu Apr 30 19:08:36 +0000 2020,Sports/comedy news: Golden State Warriors head coach @SteveKerr will be the special guest on @TheSecondCity's… https://t.co/suO7hUtEKV
1255895856022241300,Thu Apr 30 16:24:40 +0000 2020,NBA prospect Mason Jones studies Luka Doncic, James Harden and Manu Ginobili. The @RazorbackMBB star told me that h… https://t.co/Zxn9lejbrq
1255544508445491200,Wed Apr 29 17:08:32 +0000 2020,My latest NBA Draft big board is officially live. Some players I'm a bit higher on than consensus:   100) Jon Axel… https://t.co/9BVxSkTsMe
1255333896939606000,Wed Apr 29 03:11:38 +0000 2020,The most intriguing prospect I hadn't seen reported before whose name appeared on the 2020 NBA Draft Early-Entry ca… https://t.co/NABh3n3Jsv
1255275713038614500,Tue Apr 28 23:20:26 +0000 2020,I spoke with NBA prospect @MalikFitts about his love for Kobe Bryant. The @saintmaryshoops star told me about his f… https://t.co/uz0kzbruud
1255173921827160000,Tue Apr 28 16:35:57 +0000 2020,cade cunningham would like a word with you shams drop your location he just wants to talk https://t.co/tZPRMoHXPH
1254958637799309300,Tue Apr 28 02:20:29 +0000 2020,@abovethebreak3 about to subscribe but curious: you got a big board on there?
1254587862177235000,Mon Apr 27 01:47:10 +0000 2020,RT @brandonjinx: Rodman needs royalties for rap’s current aesthetic
1254561643280978000,Mon Apr 27 00:02:59 +0000 2020,Top NCAA prospects who have not yet declared for 2020 NBA Draft. The deadline is midnight.  Aaron Henry Romeo Weems… https://t.co/K2ZcyYRSRs
1254515336902258700,Sun Apr 26 20:58:58 +0000 2020,Vrenz Bleijenbergh will not declare for the 2020 NBA Draft, source confirms. The Belgium-born prospect averaged 9.3… https://t.co/b6q10JeCNI
1253747474952585200,Fri Apr 24 18:07:46 +0000 2020,wow that is the @ThrowingFits difference. @Dr_TacoMD literally spoke this into existence on the pod just three days… https://t.co/PNP7FjIbcZ
1253041667432681500,Wed Apr 22 19:23:08 +0000 2020,RT @AlexKennedyNBA: Tyrell Terry (@tyterry05) may be the best shooter in the 2020 NBA Draft and he's even drawing some comparisons to Steph…
1252974055214452700,Wed Apr 22 14:54:28 +0000 2020,Tyrell Terry (@tyterry05) gave me his first interview since declaring for the 2020 NBA Draft. The 6-foot-2 guard to… https://t.co/K8S7aHROWg
1252643534399770600,Tue Apr 21 17:01:06 +0000 2020,Deandre Williams (@MbkDmann) just officially declared for the 2020 NBA Draft. He is also in the NCAA transfer porta… https://t.co/BYvwMGaDzY
1252331294819786800,Mon Apr 20 20:20:22 +0000 2020,Deandre Williams, who has entered the NCAA transfer portal, tells @RookieWire that all options (including going pro… https://t.co/HvzcF9PVVl
1252316055021719600,Mon Apr 20 19:19:49 +0000 2020,Last time I went LIVE on IG, this happened. I am doing it again all day for my birthday with surprise guests on Thu… https://t.co/Kh8jBk1LbM
1252023049198678000,Sun Apr 19 23:55:31 +0000 2020,Chicago-born 2020 NBA Draft prospect Ayo Dosunmu (@AyoDos_11) on Michael Jordan documentary series: "If you play ba… https://t.co/yBCiTpvRNT
1251993581956534300,Sun Apr 19 21:58:25 +0000 2020,RT @AchingKneeJoint: Pitchfork has finally awarded its first perfect 10 in a decade to... Sy Ableman?!? https://t.co/bPzZJfgU0c
1251288899592355800,Fri Apr 17 23:18:16 +0000 2020,Sabrina Ionescu is now the face of the New York Liberty. I am rooting passionately for the @OregonWBB star. She + I… https://t.co/p65S40eZ3q
1251271129903349800,Fri Apr 17 22:07:39 +0000 2020,NBA prospect @cassius_stanley was a perfect 10-for-10 on transition leak outs. He had no turnovers + drew a couple… https://t.co/f7XUHXUvIN
1251242626545864700,Fri Apr 17 20:14:23 +0000 2020,Jabri Abdur-Rahim tells @RookieWire he has "no intentions" of playing for the G League Select Team or anywhere but… https://t.co/YivS8dYL3t
1251210050032541700,Fri Apr 17 18:04:56 +0000 2020,I was a guest on @countthedings "Live After Dark" last night. They made fun of me for calling Kevin Durant "Kev" bu… https://t.co/CrgkNFCyfM
1251143547929137200,Fri Apr 17 13:40:41 +0000 2020,My profile on Cassius Stanley is my most expansive yet. It includes original videos, data and (of course) plenty of… https://t.co/gKqvTjCc1z
1250947682874667000,Fri Apr 17 00:42:23 +0000 2020,RT @Erik_Gundersen: Klutch Sports announced that they have added Kentucky's Tyrese Maxey, who @BryanKalbrosky had going No. 7 in his last m…
1250939594427768800,Fri Apr 17 00:10:15 +0000 2020,I've updated the link to include some speculation about Cliff Omoruyi (Rutgers) and Che Evans (San Diego State) pot… https://t.co/270bIxT38V
1250852849468289000,Thu Apr 16 18:25:33 +0000 2020,Putting together a list of NBA prospects who have already been linked to the G League Select Team:  Jalen Green  Is… https://t.co/tO7k5Ekf1E
