id,created_at,text
1260936516106440700,Thu May 14 14:14:27 +0000 2020,RT @CISAgov: Our goal for #REMCDP is to examine barriers within #EmergencyComms infrastructure &amp; find innovative ways to address those barr…
1260936508216881200,Thu May 14 14:14:25 +0000 2020,RT @CISAgov: #REMCDP #NOFO is open through June 24, 2020. Eligible applicants may receive up to $2,000,000 for a 2-year period of performan…
1260936499442450400,Thu May 14 14:14:23 +0000 2020,RT @CISAgov: We just released a new Notice of Funding Opportunity to improve #rural medical communications &amp; address gaps identified by the…
1260913961073074200,Thu May 14 12:44:49 +0000 2020,RT @CISAgov: #Hiring: Regional #telework positions available to #DefendTodaySecureTomorrow as a #CISAgov Protective Security Advisor. #Secu…
1260707124692365300,Wed May 13 23:02:55 +0000 2020,RT @NSAGov: Our partners at @CISAgov and @FBI are warning organizations performing research on #COVID19 that they may be the target of mali…
1260676518415646700,Wed May 13 21:01:18 +0000 2020,RT @CISAgov: Check it out! We have new guidance for school officials, parents, and students on how to stay safe while participating in remo…
1260623144668233700,Wed May 13 17:29:13 +0000 2020,Offerings fall into three buckets: - CISA remote services (ex: vulnerability scanning) - Self-administered services… https://t.co/YnfpVvOMJm
1260623142034256000,Wed May 13 17:29:12 +0000 2020,Check out the latest @CISAgov &amp; @FBI tag team effort. More to come on this front as we #ProtectTheResponse. Any org… https://t.co/CHua4anBK4
1260224902109499400,Tue May 12 15:06:45 +0000 2020,RT @CNMF_VirusAlert: 5 New malware samples attributed to DPRK by  @FBI:https://t.co/zScGUiJAVb . These malware are used for phishing and re…
1258775186020712400,Fri May 08 15:06:05 +0000 2020,One of the most exciting jobs in the USG right here, folks. Help lead the team that’s out in front on understanding… https://t.co/Cm0t04IsZx
1258748266730131500,Fri May 08 13:19:07 +0000 2020,RT @CISAgov: Have you heard? We’re hiring a Deputy Assistant Director for the #CISAgov National Risk Management Center. Looking for senior…
1258378699826757600,Thu May 07 12:50:36 +0000 2020,RT @CISAgov: Find your way with our new Commercial Routing Assistance App for #truckers &amp; commercial drivers. Enter your start &amp; stop locat…
1257832740080226300,Wed May 06 00:41:09 +0000 2020,RT @NCSC: An advisory for international healthcare and medical research organisations has been published today, advising staff to change an…
1257825708501602300,Wed May 06 00:13:12 +0000 2020,@MartNation @JimBridenstine https://t.co/Jpl2zgOGWg
1257503024328724500,Tue May 05 02:50:58 +0000 2020,RT @AusAmbCyber: Not able to jump on a plane ✈️ &amp; meet in person - but always time for a phone call with @robstrayer to check in and work t…
1257419361171771400,Mon May 04 21:18:32 +0000 2020,Clearly us #cybersecurity professionals have our work cut out for us. If you want to join the @CISAgov alliance, vi… https://t.co/03Q6D9N3eH
1257419159069167600,Mon May 04 21:17:43 +0000 2020,Finally, Grand Moff Tarkin, the Emperor, &amp; Darth Vader clearly didn’t see the CISA #CyberEssentials or they would h… https://t.co/ZD9x5sYkIq
1257419056967233500,Mon May 04 21:17:19 +0000 2020,In Rogue One, the Empire CISO put way too much confidence in the Shield Gate (firewall, much?) at Scarif. A brute f… https://t.co/Kh3xYVO4Tl
