id,created_at,text
1259705523823423500,Mon May 11 04:42:55 +0000 2020,RT @IMAO_: “If the guy was so innocent, why did he stab me after I tried to strangle him?”
1259705234189844500,Mon May 11 04:41:46 +0000 2020,@debitking wut
1259705091503857700,Mon May 11 04:41:12 +0000 2020,RT @Reuters: South Korea scrambles to contain new coronavirus outbreak that is threatening to spread throughout the densely populated capit…
1259704533783056400,Mon May 11 04:38:59 +0000 2020,RT @RexChapman: I miss sports.🌎❤️🏀 https://t.co/2HVFipCBME
1259703985080021000,Mon May 11 04:36:48 +0000 2020,RT @ESPNNFL: Game respects game 🔥   #TheLastDance https://t.co/24adyQlqhF
1259703882562916400,Mon May 11 04:36:24 +0000 2020,RT @LoneStarTexian: Crazy bright double rainbow going on rn 🌈 https://t.co/F4YuIA4XFk
1259703864783143000,Mon May 11 04:36:20 +0000 2020,@LoneStarTexian So intense!
1259703724894756900,Mon May 11 04:35:46 +0000 2020,Despite all my rage I am still just a brain in a cage. https://t.co/wbl7qikqbA
1259703388842926000,Mon May 11 04:34:26 +0000 2020,I'm so sick of layabouts coasting off the hard work of microbes. https://t.co/MbojzBNVSQ
1259703132864610300,Mon May 11 04:33:25 +0000 2020,Did a butter butter this? https://t.co/0wJNKVwOUX
1259702948252319700,Mon May 11 04:32:41 +0000 2020,RT @newscientist: Egyptian pyramids really were aligned with the compass points https://t.co/sbDxOBsI2b https://t.co/3cXtQpXhL9
1259702652667138000,Mon May 11 04:31:31 +0000 2020,btw this is a great pick-up line https://t.co/61Szg0qyCM
1259702416469045200,Mon May 11 04:30:34 +0000 2020,RT @nmk537: @CalebHowe Red planet bad
1259701994702463000,Mon May 11 04:28:54 +0000 2020,RT @Neoavatara: Good job, everyone. Kudos.   https://t.co/XmhEmP1pBI
1259701400227008500,Mon May 11 04:26:32 +0000 2020,RT @WIREDScience: Images of space are typically dazzling, showing a universe awash in color and light. That's not what these are. Here's wh…
1259699768214814700,Mon May 11 04:20:03 +0000 2020,Actually that arrow points to madness. https://t.co/mQHCCpDWJP
1259698522271744000,Mon May 11 04:15:06 +0000 2020,@fisherofmeh I can't even say the word cry out loud
1259697955046658000,Mon May 11 04:12:51 +0000 2020,RT @ABC: A 7-month-old Koala joey made its first appearance from its mother’s pouch just in time for Mother’s Day. https://t.co/Ocu6sUKK13…
1259697818278801400,Mon May 11 04:12:18 +0000 2020,@JoePCunningham You should write a post.
1259697610748825600,Mon May 11 04:11:29 +0000 2020,@HaikuJonah @BoydRBurke SO HARD.
1259697534441791500,Mon May 11 04:11:10 +0000 2020,@HaikuJonah @BoydRBurke I cannot tell you how hard I laughed at this.
1259696751453356000,Mon May 11 04:08:04 +0000 2020,Did you mean "predictably"? https://t.co/NdicBVc5Zq
1259696651729502200,Mon May 11 04:07:40 +0000 2020,Yes, uh, I too want to know about this. Because of how much I... do that. https://t.co/dr61uOX87q
1259695747110514700,Mon May 11 04:04:04 +0000 2020,RT @YahooNews: 'Our life is in danger': Hawaii battles record unemployment with no end in sight https://t.co/fg73DANBXu https://t.co/BdEoWb…
1259695302929457200,Mon May 11 04:02:18 +0000 2020,I'm already mad at Trump about this. https://t.co/Li3Uyp45up
1259694847319060500,Mon May 11 04:00:30 +0000 2020,RT @newschannelnine: A SAVED CONCERT: Devastated after her graduate recital was canceled due to coronavirus concerns, Brooke Mead nearly ga…
