id,created_at,text
1260301892913115100,Tue May 12 20:12:41 +0000 2020,@ME_Says Don’t ask questions!!!!
1260300514966847500,Tue May 12 20:07:12 +0000 2020,@annharada YASSSSSS LINDA THE STAGE MANAGER LIVES LETS GOOO
1260296859584692200,Tue May 12 19:52:41 +0000 2020,@mikebickerton That is in fact the point and I’m proud of you!!!
1260290302167875600,Tue May 12 19:26:37 +0000 2020,@Johnny_Allman She did say don’t forget me and bitch we listened!!!
1260289710016127000,Tue May 12 19:24:16 +0000 2020,@chocobohomo Lfgggggggg Hilty hive
1260289133504856000,Tue May 12 19:21:59 +0000 2020,I am literally hysterically laughing we will never ever as long as we live let this two-season musical series die 😂😂😂😂😂😂😂😂😂😂
1260288300029554700,Tue May 12 19:18:40 +0000 2020,HOLY FUCK https://t.co/PyF2rKy7i3
1260286783859970000,Tue May 12 19:12:38 +0000 2020,@cashleelee It’s such a wonderful show! I wish more people were talking about it.
1260282136768233500,Tue May 12 18:54:10 +0000 2020,COMMIT 👏 TO 👏 SOMETHING 👏 in your life as much as Sarah Jessica Parker is committed to doing her NEIL 👏 SIMON 👏 FARCE 👏
1260275918221828000,Tue May 12 18:29:28 +0000 2020,@MsErinFoster @PSpsychsarah It does. But the fall seemed realistic only a few weeks ago too. I think it’s best (for… https://t.co/cMOJST4QQe
1260265083978109000,Tue May 12 17:46:25 +0000 2020,@PSpsychsarah I am not an expert and merely have the same access to information as you do but I regret to inform yo… https://t.co/9X65ZHFFTT
1260246707155218400,Tue May 12 16:33:23 +0000 2020,@jamesholod Me too :)
1260239899065815000,Tue May 12 16:06:20 +0000 2020,@jamesholod I’m gonna be at Band’s Visit!
1260235841508704300,Tue May 12 15:50:13 +0000 2020,I have no idea when I’ll get to see a play again other than a long time from now. But I swear that first show back,… https://t.co/dUCJpwOCU2
1260201103393726500,Tue May 12 13:32:11 +0000 2020,@scientologyh8er What do you use? Facebook jump or something
1260200782185541600,Tue May 12 13:30:54 +0000 2020,@SorayaMcDonald Omg my fellow Taurus I SHOULD HAVE KNOWN
1260050326784262100,Tue May 12 03:33:03 +0000 2020,Thank GOD for Timehop, which just alerted me of the fact that five years ago tonight I took this picture with my fr… https://t.co/Ot9Sy78YOC
1260046073017622500,Tue May 12 03:16:08 +0000 2020,@RHAVote lol I get it and, yes
1259932804500074500,Mon May 11 19:46:03 +0000 2020,@jamesholod If you make me the Something Good/Different mashup I deserve I will overlook your bad tweets for a whole calendar month
1259931113910386700,Mon May 11 19:39:20 +0000 2020,@jamesholod The reason I’m so hard on you is because I see so much of myself in you :(
1259927113110630400,Mon May 11 19:23:26 +0000 2020,“The Sound of Music” dir. Daniel Fish (2023) https://t.co/f81CcGtnP6
1259904290090619000,Mon May 11 17:52:45 +0000 2020,My first season as a member of the Outer Critics Circle was cut a bit short, yes, but I am still thrilled to have c… https://t.co/RNsdTcFpN6
1259618142785069000,Sun May 10 22:55:42 +0000 2020,@AyannaPrescod !!!!!!! Look at this gd SQUAD spitting straight FLAMES across the BOARD HOW truly DARE each and ever… https://t.co/4EZv5VZBhg
1259560358869680000,Sun May 10 19:06:05 +0000 2020,@laurjbrown Don’t encourage this kind of behavior
1259510851511488500,Sun May 10 15:49:22 +0000 2020,Oh you “love” your “mom”? Well my mom is a shady B who taught me everything I know about how to be one, too. But I… https://t.co/XbgIf0q0qO
1259285558565769200,Sun May 10 00:54:08 +0000 2020,@MaximusBahneman @TheAcademy It is her best performance to date and DONT even get me started on who ended up winnin… https://t.co/5i1WfTyTiF
1259284650347901000,Sun May 10 00:50:31 +0000 2020,@EllaMai234 You’re amazing and I love the lil dance you do just before to get yourself there 😭
1259250673671196700,Sat May 09 22:35:31 +0000 2020,@EllaMai234 Every time someone’s responded to this, making it reappear in my timeline, I watch it through another t… https://t.co/MKTvxOq1f4
1259241930225062000,Sat May 09 22:00:46 +0000 2020,@MaximusBahneman @TheAcademy I always say you need to watch it twice because it’s an entirely different story upon… https://t.co/qkZBuKu85j
