id,created_at,text
1260027902768197600,Tue May 12 02:03:56 +0000 2020,@TaelorBenoit Lookin' gooooood 😎
1259947518193959000,Mon May 11 20:44:31 +0000 2020,Thank you so much @JaniKingClean for keeping our team safe so we can continue our season ❤️🐐 https://t.co/Ue6Gexm5HE
1259895188715196400,Mon May 11 17:16:35 +0000 2020,Did you miss our first week of action?   @RocketMortgage has you covered with our Play of The Week 🏀  (ft.… https://t.co/ZiNT7J9MYV
1259844618197381000,Mon May 11 13:55:38 +0000 2020,@stephenhalphen Happy birthday, Stephen! 🎁
1259482642493440000,Sun May 10 13:57:16 +0000 2020,Happy Mother’s Day to @MamaStrainer @olarrysmom and all of the @NBA2KLeague moms!   Thank you for your love and support ❤️
1258227551228571600,Thu May 07 02:49:59 +0000 2020,GG @HornetsVenomGT   We lose the series 0-2 which puts us at a 1-1 regular season record. We'll be back next week!… https://t.co/tWJVvv2VSe
1258218272199147500,Thu May 07 02:13:07 +0000 2020,Halftime Update:  Legion 31 @HornetsVenomGT 38  @JaimeMorales put up 16 points to lead scoring for the good guys. Onto the 2nd half!
1258210991562776600,Thu May 07 01:44:11 +0000 2020,Final Score in Game #1  Legion 56 @HornetsVenomGT 65  Time to run it back for Game #2 https://t.co/XG1hOBaWZC
1258208386463813600,Thu May 07 01:33:50 +0000 2020,3rd Quarter Update:  Legion 37 @HornetsVenomGT 48   Don't count us out yet! 1 full quarter remaining https://t.co/5k0ejpEkNy
1258206854334820400,Thu May 07 01:27:45 +0000 2020,DOZAAAAAA https://t.co/qlX0jUxEjF
1258205007587016700,Thu May 07 01:20:24 +0000 2020,.@AllHailTrey for 3! make sure to tune in for the second half of Game #1 https://t.co/qOsw2Gjbi8 https://t.co/qSwKaiy2Xm
1258203624561410000,Thu May 07 01:14:55 +0000 2020,RT @JeffEisenband: Strainer (@JaimeMorales) is an absolute @NBA2KLeague junkie. In Vegas last year for "The Turn," we had a 9 a.m. crew cal…
1258203083714281500,Thu May 07 01:12:46 +0000 2020,Starting Lineup for the Legion  @JaimeMorales  @oLARRY2K  @AllHailTrey  @ImSoFarAhead_  @godddof2k https://t.co/9NuUZps8UL
1258199872362238000,Thu May 07 01:00:00 +0000 2020,We are LIVE! Tune in now for our Best of 3 matchup against @hornetsvenomgt  #BeWarned ⚔️  https://t.co/qOsw2Gjbi8 https://t.co/tjubeY49du
1258095380790743000,Wed May 06 18:04:47 +0000 2020,Nothing like a little pre-game ritual... @hotpockets coming in CLUTCH 🔥 https://t.co/qvQ5yR7bjw
1258087745706221600,Wed May 06 17:34:27 +0000 2020,@HornetsVenomGT It’s surprisingly accurate 😂 https://t.co/PTIgKR1x05
1257846842806714400,Wed May 06 01:37:11 +0000 2020,Missed the games tonight?  Take a peak at some of the Legion's stat lines 📈 https://t.co/sQgbtaV4Fi
1257838167132168200,Wed May 06 01:02:43 +0000 2020,⚔️ Player Highlight ⚔️  @JaimeMorales balled out tonight 🏀 https://t.co/3C05S6f6oy
1257837124155564000,Wed May 06 00:58:34 +0000 2020,⚔️ That's Game! ⚔️  We take the series 2-0 against @PacersGaming  We'll see you tomorrow for our match against… https://t.co/4uURgpj7WR
1257836504623308800,Wed May 06 00:56:06 +0000 2020,RT @MamaStrainer: WAY TO GO @CavsLegionGC !  Great Teamwork!!!!!😊❤️❤️❤️❤️
1257835173753880600,Wed May 06 00:50:49 +0000 2020,.@AllHailTrey is the GREEN MACHINE 🟢 https://t.co/vvgYMzvvpn
1257834263153709000,Wed May 06 00:47:12 +0000 2020,RT @IcyTayne: All the talk about @CavsLegionGC about how they don’t have a PG, but @Strainer2KL steps up and plays that role really well.
1257833272454910000,Wed May 06 00:43:16 +0000 2020,Don't call it a comeback!!  You're not going to want to miss the final frame.. https://t.co/qOsw2Gjbi8 https://t.co/i5HibWhhwy
1257830619175891000,Wed May 06 00:32:43 +0000 2020,HALFTIME UPDATE  Game 2: Legion 22 @PacersGaming 33  Lots of basketball yet to play 🏀 https://t.co/kW8Q4ebL4a
1257829103132201000,Wed May 06 00:26:42 +0000 2020,.@oLARRY2K with the Takeover badge! https://t.co/3mTyrt18bh
1257826604367188000,Wed May 06 00:16:46 +0000 2020,.@oLARRY2K throws it DOWN 🔨 https://t.co/196ajVP5vs
1257823769881718800,Wed May 06 00:05:30 +0000 2020,⚔️ VICTORY ⚔️  Game 1 Final Score: Legion 64 @PacersGaming 50  Onto Game #2! https://t.co/FjksF3MFEH
1257820149324841000,Tue May 05 23:51:07 +0000 2020,OPEN THE FLOOD GATES   @JaimeMorales isn't playing around #ThisIsNotAGame @NBA2KLeague https://t.co/SwtQzOdsSk
1257819729214963700,Tue May 05 23:49:27 +0000 2020,.@ImSoFarAhead_ ITS GREEEEEEN https://t.co/fDUWdVM287
1257819631991079000,Tue May 05 23:49:04 +0000 2020,RT @egoldie80: Bro @CavsLegionGC be locking teams down! 🔒 🔒
1257819358987980800,Tue May 05 23:47:58 +0000 2020,.@AllHailTrey making it RAIN with threes! https://t.co/NrVGolocM1
1257818545616011300,Tue May 05 23:44:45 +0000 2020,HALFTIME UPDATE   Legion 24 @PacersGaming 21   (We play a best of 3) https://t.co/wFPNOk3kGE https://t.co/QXnaGkEyHw
1257807286195482600,Tue May 05 23:00:00 +0000 2020,TUNE IN!  We are Live with our season debut on ESPN 2 and https://t.co/qOsw2G1zTy https://t.co/9XAlDJSwhK
1257794318573752300,Tue May 05 22:08:28 +0000 2020,RT @cavsyouthsports: Good luck to @cavslegiongc as they start Season 3 tonight! #BeWarned ⚔️  Tune in:⁣ 📺 ESPN2 or https://t.co/Ou2VTrViFt…
1257779749247684600,Tue May 05 21:10:35 +0000 2020,RT @CavsTeamShop: Who's ready to watch @CavsLegionGC start their season tonight?! 👋🎮  #BeWarned ⚔️ https://t.co/9QRyox3sAr
1257770110070243300,Tue May 05 20:32:17 +0000 2020,@ItsAlphaGFX https://t.co/Q9i1U87hEs
1257770029715767300,Tue May 05 20:31:57 +0000 2020,RT @ItsAlphaGFX: "Do you feel the buzz or is it just me?" SEASON 3 starts tonight on ESPN at 7pm EST!  🚨  Good luck to all the fellas playi…
1257768141276528600,Tue May 05 20:24:27 +0000 2020,Big thank you to @hotpockets for our game fuel before our Season 3 debut! 🔥 We are READY! ⚔️ https://t.co/HtMoVEjgEf
1257731702874689500,Tue May 05 17:59:40 +0000 2020,Happy Cinco de Mayo! 🎊 @JaimeMorales https://t.co/FIcCEUfb6r
1257704813279809500,Tue May 05 16:12:49 +0000 2020,RT @ESPNPR: ESPN networks present @NBA2KLeague LIVE throughout the 2020 season  Matches on ESPN2 will be the first-ever linear telecast of…
1257444899420504000,Mon May 04 23:00:00 +0000 2020,⚔️ TOMORROW ⚔️  Legion takes on @PacersGaming in our season 3 debut at 7pm EST! Make sure to tune in at… https://t.co/06ZGSOzhE8
1257324104849387500,Mon May 04 15:00:01 +0000 2020,🚨 Season 3 is here! 🚨  Six-Week Schedule and More Info: https://t.co/SlO0kEE867 https://t.co/Zu9plQrBTg
1256297761357598700,Fri May 01 19:01:41 +0000 2020,Our Season 3 schedule is here! 🔥  We will be playing remotely out of the @LegionLairTCP for the first six weeks of… https://t.co/EtXYECDIC0
1256282236153991200,Fri May 01 18:00:00 +0000 2020,Even though our season will be played online this year, @WebaroundGaming still gives us that @NBA2KLeague studio fe… https://t.co/3MGJz4nTBT
1256252682270060500,Fri May 01 16:02:34 +0000 2020,Thank you to all the essential workers who are doing what they do best so we can keep doing what we do best. 🙏🙏🙏… https://t.co/aGNIcLr9Qj
1256033760514125800,Fri May 01 01:32:39 +0000 2020,RT @NBA2KLeague: A stacked roster featuring @AllHailTrey and @oLARRY2K down low and @godddof2k and @JaimeMorales on the wing.  With @ImSoFa…
1255952754666766300,Thu Apr 30 20:10:45 +0000 2020,A huge thank you to all the essential workers out there. 🙏💫 It's always about the bounce back! #EveryoneKnowsAHero… https://t.co/WVjcfJEstX
1255527266265657300,Wed Apr 29 16:00:01 +0000 2020,Defense is the most important part of the game and our essential workers are the best out there. Thank you!!… https://t.co/I6cL33ciZx
1255181152379428900,Tue Apr 28 17:04:41 +0000 2020,We have the best recipe hands down 🔥👖 https://t.co/vSfqtdh7Fo https://t.co/Qsw21l66yc
1254860981102170000,Mon Apr 27 19:52:26 +0000 2020,RT @NBA2KLeague: Can’t wait for the games to begin.  Season 3 starts May 5. #ThisIsNotAGame  🎶 Tr!zzy @djtrackaddict https://t.co/Drqi3kmWSK
1254575400484835300,Mon Apr 27 00:57:39 +0000 2020,https://t.co/7L4gUXBRck  We are LIVE with @JoshJay__ on the sticks 🎮
1254537478817697800,Sun Apr 26 22:26:57 +0000 2020,https://t.co/7L4gUXBRck  @ImSoFarAhead_ is LIVE 🔴
