id,created_at,text
1213734030119596000,Sun Jan 05 08:08:37 +0000 2020,@liverserjun @MumbaiPolice It's the noise and the people creating a ruckus. This is a residential area. Usually peo… https://t.co/raN44jUSFs
1213645684290637800,Sun Jan 05 02:17:34 +0000 2020,@MumbaiPolice Thank you! Stopped in 15 minutes or so :)
1213597886530965500,Sat Jan 04 23:07:38 +0000 2020,Someone playing rashqe qamar and kaho na pyar hai at 430 am around Kirti College signal. What is wrong with people?… https://t.co/TObaOOTkB5
1201120815258857500,Sun Dec 01 12:48:12 +0000 2019,@akil_bakhshi Your tweet makes me want to throw up. But these dialogues are disgusting and make me cringe.… https://t.co/MZT4FCnNdf
1200799295730933800,Sat Nov 30 15:30:36 +0000 2019,@MumbaiPolice Hoping there's some relief soon.
1200799097961058300,Sat Nov 30 15:29:49 +0000 2019,I feel like I'm a part of these weddings. Should go and eat some food there. Probably add 4-5 plates to their bill.
1200794619664928800,Sat Nov 30 15:12:01 +0000 2019,https://t.co/ZfOs9QAKFK
1200793897665872000,Sat Nov 30 15:09:09 +0000 2019,Day 2 of this music. Who is handing out these permissions? And why is there no noise level prescribed? #ShivajiPark #Dadar @MumbaiPolice
1200595636627751000,Sat Nov 30 02:01:20 +0000 2019,@MumbaiPolice You guys are awesome!
1200456713272299500,Fri Nov 29 16:49:18 +0000 2019,@MumbaiPolice there is a bunch of people playing drums and dhols near Kirti College since around 2 in the afternoon… https://t.co/az1hyWgQ9O
1165673184093339600,Sun Aug 25 17:11:58 +0000 2019,RT @shivanand2989: Well done, @UberUK. The driver doesn't reach the destination, doesn't call to inform me, then asks me to walk to his sto…
1152900250169794600,Sun Jul 21 11:16:54 +0000 2019,What was that landing @IndiGo6E 809?! Also, the airhostess shifted my bag and didn't bother to even keep it properl… https://t.co/9NV9n1YNKP
1131601861893484500,Thu May 23 16:44:42 +0000 2019,Spotted the lamp 114 times! #StarMoviesSecretScreening
1131601632637071400,Thu May 23 16:43:48 +0000 2019,And another 54. #StarMoviesSecretScreening
1131583876365557800,Thu May 23 15:33:14 +0000 2019,60 times spotted! Spot the lamp at #StarMoviesSecretScreening
1131565877327872000,Thu May 23 14:21:43 +0000 2019,Spotted the lamp #StarMoviesSecretScreening https://t.co/00rJEuVmay
1131564427214372900,Thu May 23 14:15:57 +0000 2019,Best seats in the house with my homie @ObvioBro #StarMoviesSecretScreening https://t.co/a0d89DwKMo
1131563555801559000,Thu May 23 14:12:29 +0000 2019,RT @ObvioBro: Best seats in the house with my movie date @ChachiChaudhari at #StarMoviesSecretScreening https://t.co/JUNSSxADIH
1129295471728480300,Fri May 17 07:59:56 +0000 2019,This is unacceptable. No information provided and the staff is extremely uncooperative. @airindiain
1129287593785405400,Fri May 17 07:28:38 +0000 2019,What the hell @airindiain is randomly deboarding passengers without any damages refund.
1111520724135673900,Fri Mar 29 06:49:26 +0000 2019,@UberFacts We're not getting pets. But if you've tagged cuz I make your days better then awww so sweet 💜
1029251623166636000,Tue Aug 14 06:21:24 +0000 2018,https://t.co/ffT79OJNaI
1029250995895889900,Tue Aug 14 06:18:54 +0000 2018,@TezbyGoogle I made a transaction today morning to Hathway and it says on the app that it has been received by the… https://t.co/7kemBgisZh
993385349693964300,Mon May 07 07:01:38 +0000 2018,Illustrations featured on The Wire https://t.co/xgvDFzvTwg https://t.co/FBYFTFufoL
982664798973382700,Sat Apr 07 17:01:59 +0000 2018,RT @nehmatks: Long gone are the days of performative allyship. Utilise resources from the internet, read up, ask questions and learn how to…
982664790098239500,Sat Apr 07 17:01:57 +0000 2018,RT @nehmatks: 8. Don’t forget that they are still the same person https://t.co/TfgMLe3qeg
982664778731671600,Sat Apr 07 17:01:54 +0000 2018,RT @nehmatks: 7. Log kya kahenge? https://t.co/GAOOB8LVnm
982664719600406500,Sat Apr 07 17:01:40 +0000 2018,RT @nehmatks: 6. Unsolicited advice is a no-no https://t.co/ENsMjc7QIs
982664708951040000,Sat Apr 07 17:01:38 +0000 2018,RT @nehmatks: 5. Let them do the coming out https://t.co/mTXUEEGupU
982664695466352600,Sat Apr 07 17:01:35 +0000 2018,RT @nehmatks: 4. Don’t nag them with inappropriate questions https://t.co/wzG6Zmrulj
982664683713941500,Sat Apr 07 17:01:32 +0000 2018,RT @nehmatks: 3. Listen https://t.co/5U2muuiayU
982664672292819000,Sat Apr 07 17:01:29 +0000 2018,RT @nehmatks: 2. Don't question their past https://t.co/UHDa5HK7ku
982664645113798700,Sat Apr 07 17:01:23 +0000 2018,@nehmatks @skhndh Thank you!!
982664386975322100,Sat Apr 07 17:00:21 +0000 2018,RT @nehmatks: This will be one of the coolest things you'll see today. @skhndh and @ChachiChaudhari have come up with guidelines for how yo…
831409277873037300,Tue Feb 14 07:46:33 +0000 2017,I bees a Secret Keeper!! #SoExcited #StarMoviesSecretScreening https://t.co/yeaebxKeS5
799918295902097400,Sat Nov 19 10:12:38 +0000 2016,Hey @glblctznIN, please consider letting people enter till 6. Roads are badly jammed and we've paid a bomb for this! #GlobalCitizenIndia
799917992309948400,Sat Nov 19 10:11:25 +0000 2016,RT @R_Diaries: Hey @glblctznIN, please consider letting people enter till 5. Roads are badly jammed. Taken 2 hours for a 30 minute route. #…
799917782452162600,Sat Nov 19 10:10:35 +0000 2016,Traffic jam and we've paid a bomb for this!Do the gates remain open post 4? @GlblCtznImpact #GlobalCitizenIndia #GlobalCitizenFestivalIndia
783004902033199100,Mon Oct 03 18:04:50 +0000 2016,Life is, after all, a collection of moments :) . . Inktober Day 3 - Collect . #Day3 #collect… https://t.co/DtMHzQWmvP
782792666287222800,Mon Oct 03 04:01:29 +0000 2016,Every day, every month, every year passes by so quick. And there's so much you want to do!!… https://t.co/2MhrWuhGmv
782792513975230500,Mon Oct 03 04:00:53 +0000 2016,Say hello to my brain! It's mostly noisy and mixed up and all over the place! . . #Day2 #Noisy… https://t.co/JLQpQKP2A1
782659651087110100,Sun Oct 02 19:12:56 +0000 2016,Say hello to my brain! It's mostly noisy and mixed up and all over the place! . . #Day2… https://t.co/JLQpQKP2A1
782434368539078700,Sun Oct 02 04:17:45 +0000 2016,Every day, every month, every year passes by so quick. And there's so much you want to do!!… https://t.co/DdqQp1JvR3
741860888232108000,Sun Jun 12 05:13:13 +0000 2016,Chachi featured in The Telegraph! https://t.co/M4ZLIrxaXl https://t.co/KtZ9bppGrN
728494433159651300,Fri May 06 07:59:42 +0000 2016,RT @laungii: 1 week of 100 % water cut, constant follow up and complaints lead to a supply of contaminated mud colour water #bmc https://t.…
714749184960827400,Tue Mar 29 09:40:59 +0000 2016,Small wins this week as @anjana_iyer and I begin our collaborative attempt at talking about… https://t.co/aubtmMk5KG
697359631337857000,Wed Feb 10 10:01:07 +0000 2016,Because 'Ghumad Ghumad Ghoom Ghoom, Chak Dhoom Dhoom, Chal Dhoom Dhoom'   Okay. #LetsGetLost
695245993458208800,Thu Feb 04 14:02:16 +0000 2016,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative https://t.co/mdQw8k85hg via @CupickOfficial
695241615263273000,Thu Feb 04 13:44:52 +0000 2016,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative https://t.co/4JGcgGeF1T via @CupickOfficial
694392013815312400,Tue Feb 02 05:28:51 +0000 2016,LIVE on #Periscope: #FromMyWindow https://t.co/4RsnOUSUVr
691609765609365500,Mon Jan 25 13:13:12 +0000 2016,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative https://t.co/dboAstzIsJ via @CupickOfficial
691609073415016400,Mon Jan 25 13:10:27 +0000 2016,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative https://t.co/WPJx2yIKki via @CupickOfficial
691606937889189900,Mon Jan 25 13:01:58 +0000 2016,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative https://t.co/v2ZGKIc7Em via @CupickOfficial
691604947834642400,Mon Jan 25 12:54:03 +0000 2016,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative https://t.co/qNoYGN3XED via @CupickOfficial
682873021451771900,Fri Jan 01 10:36:30 +0000 2016,Chachi featured on Homegrown! https://t.co/pFS3IanXVv https://t.co/vD30YyKiIh
681897780118421500,Tue Dec 29 18:01:14 +0000 2015,RT @anjana_iyer: Finally meeting @chachichaudhari Inspring afternoom indeedeeeek! :D https://t.co/9cVESU1aOO
678094775485079600,Sat Dec 19 06:09:27 +0000 2015,RT @IamPosterGuy: Rules - Upload Pout Selfies using #PoutPosterGuy and win big from https://t.co/a6d3gvF9qd - No regular selfies- Use Pout
671977024915939300,Wed Dec 02 08:59:42 +0000 2015,@marketeer_ Lolololololol
669115166978678800,Tue Nov 24 11:27:42 +0000 2015,That was me https://t.co/1nLVJHXx9n
669115068609667100,Tue Nov 24 11:27:18 +0000 2015,RT @sidbafna: @Diet_Tamasha @ChachiChaudhari @swapnamk007 @m_goenka oh ya but u make WhatsApp groups and then delete me from them! Big mout…
669110081372495900,Tue Nov 24 11:07:29 +0000 2015,@swapnamk007 @sidbafna @Diet_Tamasha let's meet next year!!!
669108862788706300,Tue Nov 24 11:02:38 +0000 2015,@sidbafna @Diet_Tamasha @swapnamk007 between 14th-18th?
669108471078498300,Tue Nov 24 11:01:05 +0000 2015,@Diet_Tamasha @sidbafna @swapnamk007 I'm not there 8th -14th. So after 15th?
669108028310974500,Tue Nov 24 10:59:20 +0000 2015,@sidbafna @swapnamk007 @Diet_Tamasha why?
669102347730161700,Tue Nov 24 10:36:45 +0000 2015,@swapnamk007 @Diet_Tamasha @sidbafna conclusion : this weekend.
669101880417640400,Tue Nov 24 10:34:54 +0000 2015,@Diet_Tamasha @sidbafna @swapnamk007  this weekend! Or Monday... Upsa? Swaps?
669101674712211500,Tue Nov 24 10:34:05 +0000 2015,@Diet_Tamasha @swapnamk007 @sidbafna hahahahahhahahahahahhhhhhh
669101223291801600,Tue Nov 24 10:32:17 +0000 2015,@sidbafna @Diet_Tamasha @swapnamk007 what?
669100734542123000,Tue Nov 24 10:30:21 +0000 2015,@Diet_Tamasha @swapnamk007 @sidbafna I think we have come to a conclusion. Make a plan.
669098632994553900,Tue Nov 24 10:22:00 +0000 2015,@sidbafna @Diet_Tamasha arre arre. Premmmmm @swapnamk007
669098220665053200,Tue Nov 24 10:20:21 +0000 2015,@Diet_Tamasha @sidbafna calm down brewskis. Let's plannnnn something @swapnamk007
666309232128614400,Mon Nov 16 17:37:55 +0000 2015,So proud of this girl! @Diet_Tamasha @upasanapuria  https://t.co/R5hsmKGy6t
666308832382070800,Mon Nov 16 17:36:19 +0000 2015,#chachichaudhari  https://t.co/8daqwee85t
666308321876574200,Mon Nov 16 17:34:18 +0000 2015,#chachichaudhari  https://t.co/uQLT2VKR52
665786690913587200,Sun Nov 15 07:01:31 +0000 2015,Just downloaded FREE Farm Breakfast iPhone 6 Mockup that helped sparkle my presentation. Check it on https://t.co/tVBnKL1Ma1 @mockupdeals
665784207889821700,Sun Nov 15 06:51:39 +0000 2015,RT Latest Design: 12 Blurred Backgrounds  https://t.co/siMilxxS1C
659279338739634200,Wed Oct 28 08:03:37 +0000 2015,https://t.co/JZ9kFdclAq https://t.co/LBjHIreQpu
659275334836072400,Wed Oct 28 07:47:43 +0000 2015,Big Bad List of Typography Artists! https://t.co/hcDy75lxBI https://t.co/oLCqVkHBnU
659273925164011500,Wed Oct 28 07:42:07 +0000 2015,Feature – Big Bad List of Batman Artwork https://t.co/dVbjqeX5nE https://t.co/3i9YVAMFYf
659271800904257500,Wed Oct 28 07:33:40 +0000 2015,Happy customers! https://t.co/ZyRpwmRCyf https://t.co/Z5fnpJI1h6
659271494770389000,Wed Oct 28 07:32:27 +0000 2015,Featured – Big Bad List of Music Posters! https://t.co/wbjQ8WbhDl https://t.co/XOF2DXrWsk
659266674319716400,Wed Oct 28 07:13:18 +0000 2015,https://t.co/6e7K6DlAHk https://t.co/mTa2bHe62r
659265205763903500,Wed Oct 28 07:07:28 +0000 2015,Featured #ArtistOfTheDay on Cupick! https://t.co/hdhvgxME6m https://t.co/eNuExxVVZP
658904395212390400,Tue Oct 27 07:13:44 +0000 2015,:D :D  https://t.co/xwqx3YMEAl
654510525041147900,Thu Oct 15 04:14:04 +0000 2015,:D :D  https://t.co/PRxf8WNahY
654510391066673200,Thu Oct 15 04:13:32 +0000 2015,This @Diet_Tamasha is on twitter now!!!
642210495877910500,Fri Sep 11 05:38:08 +0000 2015,@MissTalks_a_Lot thank you! @TaariniNB Do get in touch! @WeAreMumbai
639896009192161300,Fri Sep 04 20:21:11 +0000 2015,@jessicawalsh @zakmulligan Mumbaiiiii!
638714536980144100,Tue Sep 01 14:06:27 +0000 2015,New Artwork! @Behance portfolio: "Cigarette smoking is injurious to health." http://t.co/9Of0sgV7FS
636983855388319700,Thu Aug 27 19:29:20 +0000 2015,@Maverick_3 hello! Tell me more? Would love to collaborate! @PickPattern
634310371306704900,Thu Aug 20 10:25:52 +0000 2015,@kaunmann chal done!
634300499508858900,Thu Aug 20 09:46:38 +0000 2015,@kaunmann Now meet!
613341763177033700,Tue Jun 23 13:44:06 +0000 2015,@saviojoseph yaar I just saw this :(
613340508375486500,Tue Jun 23 13:39:07 +0000 2015,@saviojoseph Friday tak wait karna hai kya?
613220558386397200,Tue Jun 23 05:42:28 +0000 2015,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative http://t.co/akXHupXtEb via @CupickOfficial
613219932080201700,Tue Jun 23 05:39:59 +0000 2015,@designtaxi "Love in the time of Social Media"  on my @Behance portfolio. Go seeeee --&gt; http://t.co/U3gxM8nM2K http://t.co/KpfJTtTRPE
613218095088275500,Tue Jun 23 05:32:41 +0000 2015,@bpbmumbai "Love in the time of Social Media"  on my @Behance portfolio. Go seeeee --&gt; http://t.co/U3gxM8nM2K
613218035046809600,Tue Jun 23 05:32:27 +0000 2015,@WeAreMumbai "Love in the time of Social Media"  on my @Behance portfolio. Go seeeee --&gt; http://t.co/U3gxM8nM2K
613217990327210000,Tue Jun 23 05:32:16 +0000 2015,@ScoopWhoop "Love in the time of Social Media" on my @Behance portfolio. Go seeeee --&gt; http://t.co/U3gxM8nM2K
613215383391043600,Tue Jun 23 05:21:55 +0000 2015,@prashant4e Thengyuu! :D
613209193898725400,Tue Jun 23 04:57:19 +0000 2015,Added a new artwork on Cupick. Be nice, take a look. Share some ♥ #Art #Creative http://t.co/n4aiPxnbXq via @CupickOfficial
613200236417126400,Tue Jun 23 04:21:43 +0000 2015,"Love in the time of Social Media"  on my @Behance portfolio. Go seeeee --&gt; http://t.co/U3gxM8nM2K
608493975087947800,Wed Jun 10 04:40:43 +0000 2015,@sunshine_np Singapore celebration #2 @bpbmumbai @IndigoDelis
607755820231573500,Mon Jun 08 03:47:33 +0000 2015,@laungii lolwut! No chance!
607386989525004300,Sun Jun 07 03:21:57 +0000 2015,@laungii gorgeous! @designtaxi
607252523544485900,Sat Jun 06 18:27:38 +0000 2015,Thunder and lightning!!! #Mumbai #Weather #ExciteMuch #YouProbablyHeardItTooButIStillWantToTweetAboutTheWeather
606710412680167400,Fri Jun 05 06:33:29 +0000 2015,Contingency. http://t.co/aBdEQfOSLd
606453275898937300,Thu Jun 04 13:31:42 +0000 2015,It's 7:00 pm. Why so much day light?
606384868570894300,Thu Jun 04 08:59:53 +0000 2015,@TheLiveUpApp think I got the pout wrong with this selfie. #ChallengeNo1 #LiveUp #ChallengeYourFriends http://t.co/h3NRkdQOC0
606383605967765500,Thu Jun 04 08:54:52 +0000 2015,RT @TheLiveUpApp: #ChallengeNo1 for #LiveUp - Send us a really, really funny selfie! Make it as funny as you can!
