id,created_at,text
1260577506937254000,Wed May 13 14:27:52 +0000 2020,Hello developers, we need you opinion 👋  We are currently experimenting with a new visual UX for JS breakpoints and… https://t.co/nEnzk9vSJQ
1260499535241121800,Wed May 13 09:18:02 +0000 2020,RT @addyosmani: Tip: In @ChromeDevTools, hold shift while hovering over a request and it will highlight the initiator in green and dependen…
1260459721632428000,Wed May 13 06:39:50 +0000 2020,RT @dalmaer: Wishing Shoreline wasn’t empty, and I was able to be hanging with my team mates and community. Will pour one out for I/O 2020,…
1260459468539732000,Wed May 13 06:38:50 +0000 2020,RT @Jack_Franklin: Testing tip: when testing invalid data, make it incredibly obvious that it's deliberately bad. Use obviously silly strin…
1260459082810613800,Wed May 13 06:37:18 +0000 2020,RT @petele: Excited to see 'Read files in JavaScript' migrated and updated from https://t.co/gG66gzIw1b! Thanks to @kaycebasques who did mo…
1260443962390782000,Wed May 13 05:37:13 +0000 2020,RT @____lighthouse: 👋 We're looking forward to releasing Lighthouse 6.0 (final) soon with support for Core Web Vitals and other goodness. L…
1258616192090194000,Fri May 08 04:34:18 +0000 2020,RT @Jack_Franklin: If you've been blocked upgrading to Node 14 because of Puppeteer, v3.0.4 that we just shipped should solve your problems…
1258616167561859000,Fri May 08 04:34:12 +0000 2020,RT @v8js: Logical &amp;&amp;= assignment ||= feature ??= explainer 🔥 https://t.co/TMLBYSQgFU  In which @_shu shows how to use a new ECMAScript synt…
1258616112922660900,Fri May 08 04:33:59 +0000 2020,RT @addyosmani: ⚡ Announcing the Core Web Vitals Chrome extension: https://t.co/xG2Hs7GmTn ~ instantly measure quality signals key to great…
1258516343390781400,Thu May 07 21:57:33 +0000 2020,https://t.co/Hjw1RvqL0N https://t.co/Q3ebwZj5vs
1257709779381878800,Tue May 05 16:32:33 +0000 2020,RT @dalmaer: ★ Working on our Web Vitals together  We need your help to improve the collective Web Vitals. We are putting as much weight as…
1257706636631781400,Tue May 05 16:20:03 +0000 2020,RT @maudnals: ~more news~ 🔥 THRILLED.  Today I'm joining the Chrome DevRel team at Google, as a Developer Advocate on Privacy and Security.…
1257706587453632500,Tue May 05 16:19:52 +0000 2020,RT @v8js: 🔥 What’s new in V8 v8.3? Faster ArrayBuffer tracking, bigger WebAssembly memories, bug fixes and API changes.  https://t.co/VaNum…
1257706010304819200,Tue May 05 16:17:34 +0000 2020,RT @Jack_Franklin: As of today if you want to contribute to Puppeteer, you'll almost certainly write TypeScript, not JavaScript! Just finis…
1257705967292162000,Tue May 05 16:17:24 +0000 2020,RT @addyosmani: Introducing Web Vitals: https://t.co/4ZTPMxtbL8 - quality signals key to delivering great UX on the web. Lighthouse, PageSp…
1257705823226257400,Tue May 05 16:16:49 +0000 2020,RT @JecelynYeen: Today is my first day at @Google. I'll be working on @googlechrome, @ChromeDevTools ! #web ❤️  This photo reflects exactly…
1255531424280608800,Wed Apr 29 16:16:32 +0000 2020,RT @addyosmani: Automate WebPerf tests with Puppeteer: https://t.co/coi78y7EQB - a collection of JavaScript snippets I use.  - Get a perfor…
1255520622148571100,Wed Apr 29 15:33:37 +0000 2020,Exciting to see this collaboration bear fruits! https://t.co/XuAqvPEnsi
1255511248533364700,Wed Apr 29 14:56:22 +0000 2020,RT @ChromeDevTools: The DevTools colorpicker now produces modern CSS color syntax, as opposed to the legacy comma-based syntax. https://t.c…
