id,created_at,text
1260869766845210600,Thu May 14 09:49:12 +0000 2020,Girls Make Waves: The Story of the A-Bay Girls Surf Club. Arugam Bay in Sri Lanka a surf mecca for travellers from… https://t.co/IEOQufvBni
1260581110511218700,Wed May 13 14:42:11 +0000 2020,RT @la_riviere: @mith_ens We do have a Patreon - but really we need a proper commission to provide the resources we need. We can continue t…
1260581025610113000,Wed May 13 14:41:51 +0000 2020,RT @la_riviere: FAB response to ep 3 of Nebula-75. We're so pleased that it's got an audience who love the characters, the daft plots and t…
1260580822358294500,Wed May 13 14:41:03 +0000 2020,2/2 Director: @teeeezyc DOP: @chalkdop Producer: Ben Pengilly #artists #musicians #banger #musicvideo #filmmaking… https://t.co/WsTyEsMz34
1260580528526426000,Wed May 13 14:39:53 +0000 2020,1/2 Nafe Smallz &amp; M Huncho reunite on "Part of the Plan", the music video's stunning visuals were directed by… https://t.co/gl4rfE6iwI
1260450966639464400,Wed May 13 06:05:03 +0000 2020,Psychedelic funk Khruangbin "Time (You and I)" video stars Stephen K Amos &amp;  Lunga Anele-Skosana. Shot on S16mm, pr… https://t.co/66JsAv8Th0
1260130433565687800,Tue May 12 08:51:22 +0000 2020,We are open &amp; able to provide a full range of services. Our highest priority is to help ensure the health &amp; safety… https://t.co/Yw9zxw7OkJ
1260120515450228700,Tue May 12 08:11:57 +0000 2020,"You can tell a lot about a person by what's on their playlist" Please subscribe to our YouTube channel, updated pl… https://t.co/en5rhxHGWE
1257677799931994000,Tue May 05 14:25:28 +0000 2020,2/2 @V2bull in feature re scratch animation "It doesn’t matter if it has been shot on film or digital. Film becomes… https://t.co/ph3FdM00Ew
1257675997106839600,Tue May 05 14:18:18 +0000 2020,1/2.  Digital Film/Scratch/Direct Animation continued: https://t.co/5EDhYZehJD
1257672792180428800,Tue May 05 14:05:34 +0000 2020,If you'd like to know more, we are here to help ..😀 https://t.co/nQblZNf4Z8
1257664217823445000,Tue May 05 13:31:30 +0000 2020,1/2 Continuing "Guide to Cinelab London's Digital Film Services". Film isn’t just manipulated in post-production, H… https://t.co/Oi9y7aNKV0
1257274241017356300,Mon May 04 11:41:52 +0000 2020,3/3 When it comes to shooting film for example what is the biggest challenge you run into? Would you like to join u… https://t.co/WG6GbCzCyJ
1257271732139892700,Mon May 04 11:31:54 +0000 2020,2/3 Many of you are freelancers &amp; don't benefit from regular contact with co-workers. If we can help filmmakers con… https://t.co/cwmql5g95w
1257270989731266600,Mon May 04 11:28:57 +0000 2020,1/3 We hope you are all doing as well as possible under the current circumstances! What a challenging time we are a… https://t.co/IEz0hdXzYl
1257248171077574700,Mon May 04 09:58:17 +0000 2020,Kevin Castanheira's dream-like film for Rimowa makes us yearn for peaceful, calm, happy holidays in beautiful surro… https://t.co/DmxdDxTotP
1256310146537451500,Fri May 01 19:50:54 +0000 2020,Stills from SILENT MADNESS Yves Tumor stars in Silent Madness, the new short film from Nigerian-British designer Mo… https://t.co/5Wae10vR46
1255832618861543400,Thu Apr 30 12:13:23 +0000 2020,These are riveting stills from "OUT THERE"- the compelling short film with @traphousetattooer. Dir @lylelindgren… https://t.co/NEjFwHlLY5
1255460384896700400,Wed Apr 29 11:34:15 +0000 2020,Cinelab London’s brilliant young talent Charlotte Hayde &amp; Scott Liddle hold a vital role in the world of film &amp; are… https://t.co/rbq340cXQu
