id,created_at,text
1250486076772438000,Wed Apr 15 18:08:08 +0000 2020,RT @anjunabeats: This is not a drill! @tonymcguinness is recreating the first episode of Trance Around The World now on https://t.co/CVQrcu…
1250482504072671200,Wed Apr 15 17:53:56 +0000 2020,A nice little break from my homework with @tonymcguinness 😊🖤 #TATW #TATW001 https://t.co/poAdf00t6U
1248610041684344800,Fri Apr 10 13:53:26 +0000 2020,@cocokins87 Yay!!! ❤️❤️❤️
1248452151614951400,Fri Apr 10 03:26:02 +0000 2020,@allidoisowen A few years ago, Austin wasn’t like that..
1246601052813774800,Sun Apr 05 00:50:26 +0000 2020,@LorenzoHall @yashar @wusa9 @MayorBowser Oh my...🤦🏻‍♀️
1246584916357394400,Sat Apr 04 23:46:19 +0000 2020,@iBluestone Happy happy birthday Ilan! 🥳
1246199089156493300,Fri Apr 03 22:13:10 +0000 2020,@Miyahoka @yashar Happy birthday ❤️
1245567570704576500,Thu Apr 02 04:23:45 +0000 2020,Saddened to hear the news about Adam Schlesinger. #RIPAdamSchlesinger #coronavirus  https://t.co/zclCHE7RvP
1245419657055658000,Wed Apr 01 18:35:59 +0000 2020,LOL 😂  But really though... #CaroleBaskinKilledHerHusband #TigerKing https://t.co/NbB6vrGEVS
1244339505059987500,Sun Mar 29 19:03:51 +0000 2020,@PasqualeRotella Dreamstate!
1242554966239318000,Tue Mar 24 20:52:44 +0000 2020,@davidguetta 🤣
1242488879745323000,Tue Mar 24 16:30:07 +0000 2020,@w_terrence @Madonna 😂🤣
1242146683355574300,Mon Mar 23 17:50:21 +0000 2020,@SophNar0747 @RisenPhoenixD 🤬
1240489574507450400,Thu Mar 19 04:05:36 +0000 2020,@BenjaminEnfield 😂
1240001322046435300,Tue Mar 17 19:45:27 +0000 2020,@yashar @VanessaHudgens Isn’t she like 31? How embarrassing.
1238193421652824000,Thu Mar 12 20:01:30 +0000 2020,RT @LindsayAWatts: Can you help?  We told you about the DC woman who was beat up by 2 guys who stole her dog Diva. The dog was found, but n…
1237092839877730300,Mon Mar 09 19:08:11 +0000 2020,@RedNationRising 🤦🏻‍♀️🤣
1236656362811199500,Sun Mar 08 14:13:47 +0000 2020,@alexsalvinews Dementia
1235675246289551400,Thu Mar 05 21:15:11 +0000 2020,@bennyjohnson What the crazy..
1235079403371032600,Wed Mar 04 05:47:31 +0000 2020,@fox5dc Lol. 😂  NO!
1232534081168081000,Wed Feb 26 05:13:18 +0000 2020,@IvankaTrump Beautiful dress!
1232503844363436000,Wed Feb 26 03:13:09 +0000 2020,RIP David Roback  https://t.co/QP64JcyhCB
1229609084502134800,Tue Feb 18 03:30:25 +0000 2020,@dodo @HSIGlobal 😭
1229608534037405700,Tue Feb 18 03:28:14 +0000 2020,@o_rips Sad and very disturbing. 👀
1229559033163665400,Tue Feb 18 00:11:32 +0000 2020,@BarackObama Actually, no.
1228066566387982300,Thu Feb 13 21:21:00 +0000 2020,@RealJamesWoods 😖
1227275188397650000,Tue Feb 11 16:56:21 +0000 2020,Got my tickets for #ABAcoustic at the Kennedy Center in DC!!   I’m so overwhelmed with happiness! See you in May #anjunafamily ❤️🧡💛💚💙💜🖤
1226858303508054000,Mon Feb 10 13:19:48 +0000 2020,@GregAbbott_TX That dementia showing
1226556751262212000,Sun Feb 09 17:21:32 +0000 2020,@fox5dc I’m all for immigration, legally. But this is wrong.
1226546359794360300,Sun Feb 09 16:40:14 +0000 2020,@TomFitton Wow. Tax dollars hard at work.
1225654539623100400,Fri Feb 07 05:36:28 +0000 2020,@Mike2020 🤣🤣🤣 this is awfully painful to watch.
1225282097587327000,Thu Feb 06 04:56:31 +0000 2020,@jordylancaster My goodness...
1225188153444786200,Wed Feb 05 22:43:13 +0000 2020,My heart is so happy! 🖤 #anjunafamily #ABAcoustic https://t.co/eTinbHeUXT
1225035715437826000,Wed Feb 05 12:37:29 +0000 2020,@SpeakerPelosi Oh please 🙄
1224901157627277300,Wed Feb 05 03:42:48 +0000 2020,@AOC So petty.
1223251653652033500,Fri Jan 31 14:28:15 +0000 2020,@elonmusk 💃🏻🖤
1222941461215355000,Thu Jan 30 17:55:40 +0000 2020,@ewarren Funny, coming from you. 🤪😂 https://t.co/NAPV6lzmHU
