id,created_at,text
1260915237303332900,Thu May 14 12:49:53 +0000 2020,Tune in at 9:05 AM EST to @wtam1100:  @SecBernhardt will join @GeraldoRivera to discuss how @Interior is working to… https://t.co/1PjD5yd09N
1260608504810942500,Wed May 13 16:31:03 +0000 2020,RT @SecBernhardt: .@YellowstoneNPS and @GrandTetonNPS will begin welcoming the public back next week! https://t.co/EBwq8Linwk
1259954008766193700,Mon May 11 21:10:19 +0000 2020,RT @SecBernhardt: President @realDonaldTrump is working to make the United States stronger than ever before, and it starts with getting peo…
1259906581128458200,Mon May 11 18:01:51 +0000 2020,PRESS RELEASE: @Interior Approves Plan for the Largest Solar Project in U.S. History. https://t.co/JcWfYhsdfR
1259142167139954700,Sat May 09 15:24:21 +0000 2020,ICYMI: @Interior continues to restore public access to public lands. https://t.co/Ndkqb9setH
1258868505925083100,Fri May 08 21:16:55 +0000 2020,RT @SecBernhardt: Honored to join #WWII veterans &amp; @RealDonaldTrump at the @NationalMallNPS today to commemorate the 75th anniversary of #V…
1258736128187924500,Fri May 08 12:30:53 +0000 2020,RT @NatlParkService: The National Park Service remains dedicated to the conservation of the American bison. Learn more about the Bison Cons…
1258546515485659100,Thu May 07 23:57:26 +0000 2020,RT @SecBernhardt: .@FLOTUS' advocacy for children to #BeBest is needed and greatly appreciated. Our national parks and public lands serve a…
1258508736097742800,Thu May 07 21:27:19 +0000 2020,Except most are not closed and more are becoming accessible to the public each week as we work with Governors to Op… https://t.co/FD1WpYdm7L
1258351873460969500,Thu May 07 11:04:00 +0000 2020,Happening soon: @SecBernhardt is joining @HenryHinton1 on @1037WTIB at 7:15 AM EST. https://t.co/PuK6eBCPGT
1258103340686286800,Wed May 06 18:36:25 +0000 2020,RT @SecBernhardt: Incredible view today from Bryce Point @BryceCanyonNPS. The park is no longer closed and is accessible to the public agai…
1258098967910416400,Wed May 06 18:19:02 +0000 2020,Gov. @GavinNewsom continues to recklessly jeopardize the water supply and security of millions of Californians… https://t.co/IGzJ6Bsly3
1258056185531568000,Wed May 06 15:29:02 +0000 2020,RT @SecBernhardt: Enjoyed the chance to visit with our fantastic employees @GreatSmokyNPS! On May 9th, the public will once again have acce…
1257761311678759000,Tue May 05 19:57:19 +0000 2020,RT @ASIndianAffairs: @realDonaldTrump T/Y for all of your efforts to support Tribes across the country during this pandemic.  Quyanaqpak (t…
1257381384965980200,Mon May 04 18:47:37 +0000 2020,RT @SecBernhardt: Last night, @Interior &amp; @NationalMallNPS were visited by President @realDonaldTrump, @VP, &amp; Sec. @stevenmnuchin1 for a vi…
1257264499645649000,Mon May 04 11:03:10 +0000 2020,TUNE IN: @SecBernhardt to join @107WChv with Joe Thomas at 7:35 AM EST to discuss how @Interior is working to safel… https://t.co/yzvPWP9rOO
1256309709549842400,Fri May 01 19:49:10 +0000 2020,RT @WhiteHouse: This afternoon, President @realDonaldTrump will recognize individuals who have made exceptional contributions to their comm…
1255913653712363500,Thu Apr 30 17:35:23 +0000 2020,PRESS RELEASE: @Interior Announces $24.7 Million in Support for Habitat Conservation in Big Game Migration Corridor… https://t.co/bn2tqJRikc
1255581604057174000,Wed Apr 29 19:35:56 +0000 2020,RT @usbr: ICYMI:  Coalition of water providers suing CA over state permit that could disrupt water deliveries to the great communities in C…
1255544242514133000,Wed Apr 29 17:07:28 +0000 2020,RT @ASIIADomenech: America's territories are not forgotten 🇺🇸 🇦🇸 🇬🇺 🇲🇵 🇻🇮 https://t.co/htnwewrejq
1254861828900794400,Mon Apr 27 19:55:48 +0000 2020,RT @BLMNational: .@realDonaldTrump and @Interior have taken important actions to lessen our dependence on foreign critical minerals, like l…
1254830950980243500,Mon Apr 27 17:53:07 +0000 2020,ICYMI - @NatlParkService has kept about two-thirds or 260 park units open throughout the pandemic for the public to… https://t.co/LqsSVy9KlR
1254579400345038800,Mon Apr 27 01:13:32 +0000 2020,RT @SiriusXMPatriot: Coming up on @BreitbartNews Sunday with @joelpollak, @SecBernhardt on reopening the #NationalParks! https://t.co/GYAzJ…
1254569600764821500,Mon Apr 27 00:34:36 +0000 2020,RT @joelpollak: Another great show coming up shortly on @BreitbartNews Sunday on @SiriusXMPatriot 125 -- special guests include:  @RepThoma…
1254366218519281700,Sun Apr 26 11:06:26 +0000 2020,@SusanCampell @SecBernhardt @realDonaldTrump @NatlParkService Nearly all of our wildlife refuges have been and rema… https://t.co/yrCbRvIL9g
1254249885127381000,Sun Apr 26 03:24:10 +0000 2020,RT @SecBernhardt: @realDonaldTrump has directed me to promptly restore access to our magnificent national parks, and we will be doing just…
1253449424497512400,Thu Apr 23 22:23:25 +0000 2020,RT @USIndianAffairs: For @BIAOJS "The Honor is to Serve" is more than a slogan, it's an action. Officers are staffing 2 mobile command unit…
1253051171700342800,Wed Apr 22 20:00:54 +0000 2020,RT @SecBernhardt: President @realDonaldTrump, @VP and I are committed to working with governors and local public health officials to gradua…
1253043082209177600,Wed Apr 22 19:28:45 +0000 2020,RT @usbr: Statement from the Commissioner's Office  #CAWater  https://t.co/EqPTJgEARp https://t.co/2VEB21oc4O https://t.co/mqfxUKHXuq
1252991338859069400,Wed Apr 22 16:03:09 +0000 2020,RT @SecBernhardt: Thrilled to join @POTUS, @FLOTUS, @VP, @SecondLady and everyone at the @WhiteHouse for today’s tree planting to honor our…
1252989239408689200,Wed Apr 22 15:54:48 +0000 2020,Happening Soon: @SecBernhardt will join @POTUS @realDonaldTrump and @FLOTUS at the @WhiteHouse for a tree planting… https://t.co/GnFQe9X7Ro
1252349680454742000,Mon Apr 20 21:33:26 +0000 2020,From the last year of the Obama Administration to now, @BSEEgov has: ✅ increased inspections by 46% ✅ increased saf… https://t.co/LzoFEQxgWE
1252296958175260700,Mon Apr 20 18:03:56 +0000 2020,.@Interior is implementing more than 40 restoration projects with Gulf States and other partners, furthering our co… https://t.co/KcqPLAgTof
