id,created_at,text
1258360360874045400,Thu May 07 11:37:43 +0000 2020,Its Extremely Disturbing to see the Visual about the #VizagGasLeak. Heartfelt Condolences to the families of those… https://t.co/LEXMUG0I6T
1254454962051928000,Sun Apr 26 16:59:04 +0000 2020,#Corona has given time for healing planet Earth,  #OzoneHole healed itself but what's going to happen when everythi… https://t.co/2KHMqOJnbY
1250063075509702700,Tue Apr 14 14:07:16 +0000 2020,On this auspicious occasion, May you all be blessed with Happiness, Prosperity and Success......... Happy… https://t.co/0XnfRGRSB3
1246852458531283000,Sun Apr 05 17:29:26 +0000 2020,My family &amp; me Participating in #LightForIndia #9PM9minute initiative by our PM @narendramodi to thank the selfless… https://t.co/sH60VoQAPT
1244664498608201700,Mon Mar 30 16:35:15 +0000 2020,Staying Healthy at Home, Both Mentally and Physically in this Time of #SocialDistancing doing  #yoga with… https://t.co/B9Ny9gb0Ql
1243486909441003500,Fri Mar 27 10:35:56 +0000 2020,#HappyBirthdayRamCharan  Hope this is Worth the Wait !!!! #BheemforRamaraju @tarak9999 @AlwaysRamCharan @aliaa08… https://t.co/2Z2HPY1sUc
1243442086449275000,Fri Mar 27 07:37:50 +0000 2020,@KChiruTweets @tarak9999 @AlwaysRamCharan Siiiiiir You are Waiting, Sooooo we Have to make it Worth the Wait.
1243408060460060700,Fri Mar 27 05:22:37 +0000 2020,New Experience Of working on the Video  Of #BheemForRamaraju #RRR with People who r following the  #WorkFromHome St… https://t.co/B7aXHmhSlR
1243253540174196700,Thu Mar 26 19:08:37 +0000 2020,#BheemForRamaraju Tomorrow at 10AM Be Ready to be SURPRISED. With a Special Video. #JrNTR, #RamCharan, #AliaBhatt a… https://t.co/QE56tX5b8P
1243191217497739300,Thu Mar 26 15:00:58 +0000 2020,Photos of the Robots Living Among Us https://t.co/03uwkxg5sK
1242728363342479400,Wed Mar 25 08:21:45 +0000 2020,#RRRMotionPoster - Tamil - இரத்தம் ரணம் ரௌத்திரம் https://t.co/4rgArJtSww
1242724559050047500,Wed Mar 25 08:06:38 +0000 2020,Enjoy the Motion Poster of #RRR #RRRMotionPoster @tarak9999 #RamCharan @ajaydevgn @aliaa08 @OliviaMorris891… https://t.co/ch3MpB09Gm
1241999669401538600,Mon Mar 23 08:06:11 +0000 2020,By Ryaan #corona #coronavirus #StaySafe #StayHealthy #COVIDー19 https://t.co/V0VgF0IGav
1241554195062206500,Sun Mar 22 02:36:01 +0000 2020,#JanataCurfew #Covid19India "Stay Home" "Stay Safe" "Stay Healthy". 🙏🙏🙏🙏🙏
1241354864929587200,Sat Mar 21 13:23:57 +0000 2020,RT @narendramodi: On 22nd March 2020, let us observe a Janata Curfew and add strength to the fight against COVID-19. #IndiaFightsCorona. ht…
1241031033274822700,Fri Mar 20 15:57:10 +0000 2020,After 7 years of long battle justice served for #Nirbhaya Salute these two brave WOMEN🙏🙏🙏 #NirbhayaVerdict https://t.co/tIXLWK0rCf
1240365377550336000,Wed Mar 18 19:52:05 +0000 2020,The Venice canals are crystal clear, Air is Cleaner in China. Perhaps the planet is speaking up,  Stay Hygienic, St… https://t.co/MtPRuU8hfv
1239735579463409700,Tue Mar 17 02:09:29 +0000 2020,This not a time for panic – it is time to be prepared. #CoronavirusOutbreak  #StaySafe #stayhygenic https://t.co/R2ks76Ssgg
1238680504687198200,Sat Mar 14 04:17:00 +0000 2020,HERE'S 5 PANDEMIC MOVIES WHERE WE ULTIMATELY BEAT THE VIRUS #Corona #CoroeVirius  https://t.co/7uBhh5adq8
1238670588874391600,Sat Mar 14 03:37:36 +0000 2020,Color psychology in the media.   How Good and Bad characters are typically associated with Color in Disney Movies… https://t.co/2rPbtobUqF
1237582024669446100,Wed Mar 11 03:32:02 +0000 2020,The #Envision Glasses speak about the user's visual surroundings. A Dutch startup has teamed up with #GoogleGlass t… https://t.co/mE153ksDlf
1235542450740985900,Thu Mar 05 12:27:30 +0000 2020,@DileepDazzz ..
1234678580673564700,Tue Mar 03 03:14:47 +0000 2020,#COVID19 is an infectious disease caused by a new #coronavirus. The virus spreads from person to person mainly thro… https://t.co/BFFyAj7I5g
1230815325555310600,Fri Feb 21 11:23:35 +0000 2020,Wishing you and your family happy #Mahashivratri !! May Lord Shiva bless you and your Family with Good Health, Happ… https://t.co/ncQha8sBgm
1230050432480735200,Wed Feb 19 08:44:10 +0000 2020,Congratulations to  God of Indian Cricket SACHIN, on Being honoured with the prestigious Laureus Sporting Moment Aw… https://t.co/cKlY0Ke99q
1227947478244188200,Thu Feb 13 13:27:47 +0000 2020,Lumière Brothers’ 1895 Short ‘Arrival of a Train’ Goes Viral With Fan-Made 4K Restoration https://t.co/njN7C7VBio via @indiewire
1227820457430147000,Thu Feb 13 05:03:03 +0000 2020,Congratulations to @SamRowleyPhoto for The perfectly timed shot of the 'station squabble', it is a portrait of urba… https://t.co/hL4uPwDdAG
1226705404945555500,Mon Feb 10 03:12:14 +0000 2020,Congratulations to #RogerDeakins on his 2nd #AcademyAwards win for Best Cinematography  #1917Movie #Oscars Truly De… https://t.co/2DWte16prD
1225031692458414000,Wed Feb 05 12:21:30 +0000 2020,#RRR is all set to  hit the screens on January 8th, 2021. #RRROnJan8th https://t.co/EzFEMzoLRa
1223123254035878000,Fri Jan 31 05:58:02 +0000 2020,🦠 #CoronavirusOutbreak The Corona virus is fast spreading, Let us take precaution. Here’s what you need to know abo… https://t.co/lvJNWMWegn
1221358901859192800,Sun Jan 26 09:07:08 +0000 2020,Celebrating 71 years of Sovereignty, Unity and Integrity  of our country.  Wishing you all a Very #HappyRepublicDay… https://t.co/y5QmhMVKQd
1216400532257955800,Sun Jan 12 16:44:21 +0000 2020,Paying tributes to the Great Philosopher and Nationalist, #SwamiVivekananda on his Birth Anniversary. His Life &amp; Te… https://t.co/y3Zo3DNyPO
1215597535730909200,Fri Jan 10 11:33:31 +0000 2020,13 most innovative gadgets expected to come in 2020.... interesting gadgets, innovative products, ‘weird’ TVs, robo… https://t.co/moY8qPe377
1212309067844243500,Wed Jan 01 09:46:20 +0000 2020,Looking forward to a New Year and New Decade Full of Opportunities. Wishing you all a joyous and prosperous 2020… https://t.co/PknIwOTFxj
1209611371756703700,Tue Dec 24 23:06:39 +0000 2019,#MathuVadalara Releasing Tomorrow  All The Best to this Young and  Extremely Talented Team. @simhakoduri2302… https://t.co/wlgjsslipe
1200009583034425300,Thu Nov 28 11:12:34 +0000 2019,Most innovative city in the world. Building the future through innovation........🙏🙏🙏 https://t.co/5OPNJWIpMi
1199183627537354800,Tue Nov 26 04:30:31 +0000 2019,#ConstitutionDay (National Law Day), also known as #SamvidhanDiwas,     is celebrated in India on 26 November every… https://t.co/DSELuxcf3v
1198570776682647600,Sun Nov 24 11:55:16 +0000 2019,CHAMPIONS !!!  #TeamIndia continues the domination in Test Cricket, India become the first team to register four co… https://t.co/O7EYP4vrey
1198161402688524300,Sat Nov 23 08:48:33 +0000 2019,The accuracy level is Unbelievable............🙏🙏🙏 Got This on one of the #whatsappGroups. https://t.co/YqnycCCjeV
1197443802555912200,Thu Nov 21 09:17:04 +0000 2019,RT @IFFIGoa: "It's not about just making a film, there is a lot of thought process involved. If you are not willing to put equal efforts in…
