id,created_at,text
1259285431490719700,Sun May 10 00:53:37 +0000 2020,RT @ALLIE_LONG: Throwing it back to LA BLANQUITA!! Just went live on Instagram with Via Futsal talking all things futsal. Especially how mu…
1258646372896497700,Fri May 08 06:34:14 +0000 2020,And they need to pull up his “former” cases ... smfh https://t.co/bwy5I07FFK
1258631813473292300,Fri May 08 05:36:23 +0000 2020,RT @oregon_girl3: @Dame_Lillard Wtf is right. I can’t believe he said that out loud.
1258620124858159000,Fri May 08 04:49:56 +0000 2020,Wtf https://t.co/hncibIM5xe
1258185800140775400,Thu May 07 00:04:05 +0000 2020,Rod Wave gettin me through the days.
1257449202180907000,Mon May 04 23:17:06 +0000 2020,RT @Will_Lew: @Dame_Lillard real recognize real...  hot gets cold, classic stays classic https://t.co/2q5Z96F8mW
1257409959530094600,Mon May 04 20:41:10 +0000 2020,Consistency is boring. https://t.co/pzFoWK3GOd
1257183103438557200,Mon May 04 05:39:43 +0000 2020,My name ain’t in there 🤷🏽‍♂️... but his is https://t.co/agYzLwbsSN
1257181871005286400,Mon May 04 05:34:50 +0000 2020,but why all y’all actin like #11 ain’t a top 3 pg in the history of the game?
1256299120127381500,Fri May 01 19:07:05 +0000 2020,RT @trailblazers: Hoop dreams can start anywhere.   #RipCity Stories Presents: "@dame_lillard's Milk Crate Hoop"  Animated by Japhy Riddle…
1256055554578935800,Fri May 01 02:59:15 +0000 2020,💪🏾💪🏾 https://t.co/7kocJOqEMo
1255690059015053300,Thu Apr 30 02:46:54 +0000 2020,That was a sick move lol https://t.co/U2NR4av7kK
1255608308892758000,Wed Apr 29 21:22:03 +0000 2020,RT @SHOsports: .@trailblazers' @Dame_Lillard is training like a champ 🥊  #AllTheSmoke with @ErrolSpenceJr: https://t.co/8rsIF4dzJa https://…
1255202928597426200,Tue Apr 28 18:31:13 +0000 2020,RT @PUSHA_T: Ready for lacing up and ballin’ with my dawg!! @dame_lillard adidas #HomeTeam #CreatedWithAdidas @ Bethesda, Maryland https://…
1255015101209309200,Tue Apr 28 06:04:51 +0000 2020,RT @fakeshoredrive: People sleep on Bone Thugs-N-Harmony’s resume:   - 7 platinum albums (1 EP) - 2 gold albums  - 4 platinum singles - 3 g…
1254553661704818700,Sun Apr 26 23:31:16 +0000 2020,Who wana do the cover art for my new single? Hit me!
1253926692298453000,Sat Apr 25 05:59:54 +0000 2020,@PrettiBrownBee Lmao... you wana do it or not
1253864620114108400,Sat Apr 25 01:53:15 +0000 2020,RT @GalloLocknez: Ayyee man! Soooo I won the @4barfriday cypher today! What an experience! So much love to the community and the people tha…
1253852079577116700,Sat Apr 25 01:03:25 +0000 2020,Congrats to @GalloLocknez for winning Week 4 of my #4BarFriday x @Genius IG Live Cypher Series. He went crazy over… https://t.co/NCfysmxzyt
1253777581481967600,Fri Apr 24 20:07:24 +0000 2020,RT @WeberStateMBB: Weber State All-American and two-time #BigSkyMBB MVP Damian Lillard has been named the Weber State Men's Basketball Play…
1253765647911121000,Fri Apr 24 19:19:58 +0000 2020,RT @Genius: 😤 TODAY 😤 we're back with another #4BarFriday featuring all-new live cyphers and beats by @manniefresh tune in ➡️ @Dame_Lillard…
1253748718760636400,Fri Apr 24 18:12:42 +0000 2020,If you missed last week’s cypher, here’s an example of what the MCs have been doing every week. @chiefwakil went cr… https://t.co/UdDphR6Aql
1253747435165245400,Fri Apr 24 18:07:36 +0000 2020,Don’t miss out on Week 4 of my #4BarFriday x @Genius IG Live Cypher Series today at 2pm PT/5pm ET. 8 new  under the… https://t.co/W5Gn8qRiN5
1253435234600620000,Thu Apr 23 21:27:02 +0000 2020,RT @Dame_Lillard: If you missed last week’s cypher, here’s an example of some of the 🔥🔥🔥 the MCs were spittin. @SicarioSosa was one of the…
1253435157010239500,Thu Apr 23 21:26:43 +0000 2020,RT @Dame_Lillard: 🚨Week 4 of my #4BarFriday x @Genius IG Live Cypher Series is back tomorrow at 2pm PT/5pm ET. 8 new under the radar MCs ba…
1253375309065281500,Thu Apr 23 17:28:54 +0000 2020,RT @RobMarkman: We got Dame D.O.L.L.A. and Mannie Fresh shinning light on 8 up and coming MCs.
1253358573158985700,Thu Apr 23 16:22:24 +0000 2020,If you missed last week’s cypher, here’s an example of some of the 🔥🔥🔥 the MCs were spittin. @SicarioSosa was one o… https://t.co/RyXYU4WDF7
1253354226543181800,Thu Apr 23 16:05:08 +0000 2020,RT @brkicks: A year ago @Dame_Lillard hit this shot wearing the Adidas Dame 5 ⌚️👋 https://t.co/BqkBWd9798
1253354088684761000,Thu Apr 23 16:04:35 +0000 2020,🚨Week 4 of my #4BarFriday x @Genius IG Live Cypher Series is back tomorrow at 2pm PT/5pm ET. 8 new under the radar… https://t.co/9apn5ygrgt
1253345856377565200,Thu Apr 23 15:31:52 +0000 2020,RT @BeBetterBeDiff: Our first resource to impact and influence the next generation of players is finally here! There is NOTHING like this!…
1253345833501638700,Thu Apr 23 15:31:47 +0000 2020,RT @CoachMontySmith: @BeBetterBeDiff @PhilBeckner You are NOT going to want to miss  this.... @PhilBeckner will explore topics that most ar…
1253019540763504600,Wed Apr 22 17:55:13 +0000 2020,RT @ScottimusRhymes: Real talk I wanna shout out @Dame_Lillard @4BarFriday @RealSway @thehappyhourwHB 4 givin these artists a platform and…
1253005477903917000,Wed Apr 22 16:59:20 +0000 2020,All the ladies that participated in @TeezySoDope’s cypher yesterday impressed @thehappyhourwHB, @RealSway and the… https://t.co/OUpzDDU0xA
1253000855726391300,Wed Apr 22 16:40:58 +0000 2020,Shoutout to all the femcees that participated in @TeezySoDope’s #TeezyTuesday cypher on the @4barFriday IG yesterda… https://t.co/D2Z9ncPVIr
1252992632256491500,Wed Apr 22 16:08:17 +0000 2020,RT @NBATV: Dame let em know what time it was ⌚️  Rockets vs. Trail Blazers, 2014 Western Conference 1st Round Game 6 - 1pm ET on NBA TV! ht…
1252842952155488300,Wed Apr 22 06:13:31 +0000 2020,RT @flyguyhuey5: Vote for my brother dondrae Campbell https://t.co/i3GPquYWJY
1252708699807772700,Tue Apr 21 21:20:02 +0000 2020,It’s Tuesday, but #4BarFriday OG @TeezySoDope is hosting a special #TeezyTuesday all female MC cypher on the… https://t.co/IAJpZNmxQx
1252701148940652500,Tue Apr 21 20:50:02 +0000 2020,I’m in bra. #ALLINCHALLENGE ... give me some time to come up with mine and I got you/y’all 🙏🏽 https://t.co/VkOKUpl42X
1252630754179215400,Tue Apr 21 16:10:19 +0000 2020,RT @Jammer2233: Damian Lillard’s range is crazy   @Dame_Lillard https://t.co/Yy6HSawLHk
1252630744641355800,Tue Apr 21 16:10:16 +0000 2020,💪🏾💪🏾 https://t.co/XSIIzpazai
1252464813306830800,Tue Apr 21 05:10:55 +0000 2020,RT @trailblazers: Father. Athlete. Inspiration.   Some of our favorite @Dame_Lillard photos so far this season.   @bruceely: https://t.co/k…
1252355186888073200,Mon Apr 20 21:55:18 +0000 2020,RT @trailblazers: 4th in the NBA in triples 5th in the NBA in scoring 6th in the NBA in assists  Here are the top plays from @dame_lillard'…
1252355143221178400,Mon Apr 20 21:55:08 +0000 2020,Blessings #RipCity https://t.co/2sJvyhblYD
1252314337156292600,Mon Apr 20 19:12:59 +0000 2020,RT @NBA: Tonight’s #NBATogetherLive classic game will feature @Dame_Lillard’s big @trailblazers performance (40p/11a/6r) in OKC on December…
1252058750774505500,Mon Apr 20 02:17:22 +0000 2020,Mike from another planet lol... #TheLastDance ... Pip slept on like a mf too smh
1252051818571391000,Mon Apr 20 01:49:50 +0000 2020,RT @tobias31: @Dame_Lillard 💯💯💯
1252049043431108600,Mon Apr 20 01:38:48 +0000 2020,Leon Wood sighting on the gold medal team with Jordan in 84’ ! ... #TheLastDance
1252048312221307000,Mon Apr 20 01:35:54 +0000 2020,RT @AshleyNevel: Jerry Krause really ruined the Bulls chances of winning even more championships because he needed attention
1252048252246974500,Mon Apr 20 01:35:39 +0000 2020,#TheLastDance ... Mike really was different different
1252047491723219000,Mon Apr 20 01:32:38 +0000 2020,Facts. https://t.co/59IuxQDHUn
1251973464417685500,Sun Apr 19 20:38:29 +0000 2020,RT @KellyAuCoin77: @chuckgalore3_14 @Dame_Lillard He’s been bringing it! Look at the metrics!
1251970021456138200,Sun Apr 19 20:24:48 +0000 2020,That’s new? https://t.co/7FSNZL13kQ
1251969591783198700,Sun Apr 19 20:23:05 +0000 2020,RT @KellyAuCoin77: This was moment we won the series.   #RipCity #BombsAwayBaby @Dame_Lillard @trailblazers https://t.co/GyWAnE4kuG
1251464538949431300,Sat Apr 18 10:56:11 +0000 2020,RT @RoyalJC2: Still the best @Dame_Lillard song in my opinion https://t.co/lVWLSAdEsD
1251463697785995300,Sat Apr 18 10:52:51 +0000 2020,RT @espn: This sequence by Damian Lillard is still iconic 😲 https://t.co/yZfuiLLfWx
1251463355409170400,Sat Apr 18 10:51:29 +0000 2020,RT @whobetterthand: @Dame_Lillard Mr.Lillard why you do that? 🤦🏾‍♂️😂😂 https://t.co/UAyKZPBrMc
1251462098749550600,Sat Apr 18 10:46:30 +0000 2020,RT @JadedCobain: That “Dame and Wayne/Damon Wayne” scheme was fire https://t.co/5r5NMc6PtK
1251462074179281000,Sat Apr 18 10:46:24 +0000 2020,RT @therealmak_: I be up at 2am genuinely tuned into the @Dame_Lillard &amp; Joe show.
1251395177253466000,Sat Apr 18 06:20:34 +0000 2020,RT @Dame_Lillard: Each week of my #4BarFriday x @Genius IG Live Cypher Series keeps getting better. Just trying to give under the radar MCs…
1251297669416247300,Fri Apr 17 23:53:07 +0000 2020,Each week of my #4BarFriday x @Genius IG Live Cypher Series keeps getting better. Just trying to give under the rad… https://t.co/eQskOSM4ii
1251232030307709000,Fri Apr 17 19:32:17 +0000 2020,RT @Genius: 😤 TODAY 😤 we're back with another #4BarFriday featuring all-new live cyphers and custom beats by @_Hitmaka tune in ➡️ @Dame_Lil…
