id,created_at,text
1260225239377739800,Tue May 12 15:08:05 +0000 2020,Truth Teller   ! https://t.co/abZSOjtrbx
1259521804252708900,Sun May 10 16:32:53 +0000 2020,A wonderful way to celebrate Mother’s Day 💞 https://t.co/3l1rlKHTEN
1259515267450900500,Sun May 10 16:06:55 +0000 2020,Thank you dear James for being so  thoughtful.   We think of Sylvia today and every day, her joyous spirit is with… https://t.co/smFGRbSqXo
1258771942724771800,Fri May 08 14:53:12 +0000 2020,Looking forward to the “Best Day Ever” when we open @btlmusical in 2021   https://t.co/7qh5yeY41d
1258476739115745300,Thu May 07 19:20:10 +0000 2020,Get your virtual Love, Loss and What I Wore by Nora Ephron &amp; Delia Ephron tickets today! @92Y https://t.co/jbYF4V5nDI
1258033585707257900,Wed May 06 13:59:14 +0000 2020,Watch Arielle Jacobs Perform 'Talkin' to Oliver' From ⁦@BTLMusical⁩  https://t.co/HtS3sfjU4Q
1256324152694194200,Fri May 01 20:46:34 +0000 2020,Oh my 2005 ...what a wonderful photo memory https://t.co/K7Bt6fU1SW
1256238189804761000,Fri May 01 15:04:58 +0000 2020,Love, Loss and What I Wore by Nora Ephron &amp; Delia Ephron will be streaming on the ⁦@92Y⁩ website from May 4-28. Get… https://t.co/1njZywHXzZ
1255514291672940500,Wed Apr 29 15:08:28 +0000 2020,Honored to induct the amazing @AnnaDeavereS into the Playwrights Sidewalk for the 2020 #LortelAwards https://t.co/X9IbiZC4D0
1255199312872706000,Tue Apr 28 18:16:51 +0000 2020,RT @LPTWomen: #Theatrewomen &amp; @LPTWomen #OralHistory interviewees @VogelPaula &amp; @Daryl_Roth have launched the #RothVogelCommission to be gi…
1255199047842959400,Tue Apr 28 18:15:48 +0000 2020,RT @OfficialBPeters: ❤️For All the  Healthcare workers❤️❤️❤️🙏🙏👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼❤️❤️❤️❤️💐💐💐💐💗💗💗💗💗 https://t.co/uNDNaf6Mko
1255135011583307800,Tue Apr 28 14:01:20 +0000 2020,RT @funder: BREAKING: Trump is “sidelining” Dr Fauci for at least the next two weeks. What an outrage. We need Dr Fauci to give these brief…
1254618925855375400,Mon Apr 27 03:50:36 +0000 2020,Treasures upon treasures , gifts to fill our souls , such talent , such heart , thank you for reminding us ‘no one… https://t.co/GXmOuv0hqg
1254502676257267700,Sun Apr 26 20:08:40 +0000 2020,Credibility ....Lost 😥 https://t.co/yqM2zIL7ER
1254066745859608600,Sat Apr 25 15:16:26 +0000 2020,Thank goodness for @RandyRainbow ,his creative clever wit gives us a way to laugh at the absurdities and craziness… https://t.co/OZsev0O9EA
1253121621201768400,Thu Apr 23 00:40:51 +0000 2020,RT @NewYorkTheater: Tonight was going to be the Broadway opening of @VogelPaula's Pulitzer winning "How I Learned to Drive" w/original cast…
1253121555636330500,Thu Apr 23 00:40:35 +0000 2020,@Avi33Hoffman @VogelPaula @vineyardtheatre Hope you and your loved ones  are safe and well .
1253005690911756300,Wed Apr 22 17:00:11 +0000 2020,https://t.co/hLixzuqt5w
1252980114746478600,Wed Apr 22 15:18:33 +0000 2020,@UzoAduba Doing well , thank you, as I hope you are. So grateful to be safe and healthy🙏🏻
1252952183106162700,Wed Apr 22 13:27:33 +0000 2020,@UzoAduba Your portrayal of Shirley  in ‘Mrs. America’  was brilliant ,Bravo
1252632673882968000,Tue Apr 21 16:17:56 +0000 2020,Honored to create the Roth-Vogel New Play Commission with @VogelPaula and @vineyardtheatre    https://t.co/eJ7E8qqKjm
1251990284101193700,Sun Apr 19 21:45:19 +0000 2020,RT @JoeNBC: This is the most devastating political ad I’ve seen in years. It reveals the truth about Trump and China, and that truth is ugl…
1251988877121925000,Sun Apr 19 21:39:43 +0000 2020,@ReliableSources @brianstelter The news plus sensitive and thoughtful messaging 🙏🏻
1251960371902111700,Sun Apr 19 19:46:27 +0000 2020,@kenolin1 😱
1250851708567195600,Thu Apr 16 18:21:01 +0000 2020,@RandyRainbow Wonderful .... love you 😘
1250803580090683400,Thu Apr 16 15:09:46 +0000 2020,@JaniceEllig Thank you for wonderful time talking  theatre together ... looking forward to next time and brighter days ahead
1250803165353717800,Thu Apr 16 15:08:08 +0000 2020,@RandyRainbow After the waffles can you please make another video to keep us laughing ... we need your wit and wisdom @RandyRainbow
