id,created_at,text
1260029880156078000,Tue May 12 02:11:48 +0000 2020,Retweeting again. Because, why not? And fuck FB. https://t.co/LTmFjOiRTn
1260011212588241000,Tue May 12 00:57:37 +0000 2020,@xeni @junkyardmessiah The closest I come to genius is a good day doing the NYT Spelling Bee. It’s Chris Mundy and… https://t.co/QyVk3BEvKC
1259987702847426600,Mon May 11 23:24:12 +0000 2020,@dylanlscott Alien
1259983573005684700,Mon May 11 23:07:47 +0000 2020,RT @RonaldKlain: Trump lied and 100,000 died. https://t.co/dvLmi5mTnr
1259975930073604000,Mon May 11 22:37:25 +0000 2020,@stuartpstevens @senatemajldr And then Trump flees like the whiny little bitch that he is.
1259313268352376800,Sun May 10 02:44:14 +0000 2020,RT @SheaSerrano: just for the record: we all stayed home for two months and these dumb fucks in charge didn't use that time for anything ot…
1259183348766797800,Sat May 09 18:07:59 +0000 2020,Just because... https://t.co/qir5sjcGws
1259166333561761800,Sat May 09 17:00:22 +0000 2020,@xeni 'The past is never dead. it's not even past'.                                                         William  Faulkner.
1258760393482055700,Fri May 08 14:07:19 +0000 2020,RT @KatrinaNation: “What else do you call mass death by public policy”/ Yale epidemiologist’s searing assessment of the United States’ botc…
1258581184432402400,Fri May 08 02:15:12 +0000 2020,RT @IndivisibleTeam: In times of crisis, character is revealed. Ordinary Americans are doing their part every single day to help us through…
1258570776313081900,Fri May 08 01:33:50 +0000 2020,@stuartpstevens Why didn't the reporter ask him about undermining the Special Counsel's authority? If a political a… https://t.co/piBNCPbzSA
1258159053802401800,Wed May 06 22:17:48 +0000 2020,RTing just because I want to see its numbers rise. Each RT is a kick in Trump’s elf-sized testicles. https://t.co/LTmFjOiRTn
1258155667010941000,Wed May 06 22:04:21 +0000 2020,@RonBrownstein If your goal is to destroy democracy, turn the US into a beggar nation, and watch passively while a… https://t.co/5jcgSntfuL
1258019083133481000,Wed May 06 13:01:36 +0000 2020,Ahem. https://t.co/tyq33VYEg2
1257683643503218700,Tue May 05 14:48:41 +0000 2020,RT @Alyssa_Milano: .@realDonaldTrump is freaking out about this ad. It would be a shame if everyone rtd it. https://t.co/hhFfq7gcjk
1257522299516801000,Tue May 05 04:07:34 +0000 2020,This made me happy. https://t.co/yqd0FhtpTh
1256005612854370300,Thu Apr 30 23:40:48 +0000 2020,@joshtpm The definition of quid pro quo.
1255624916969255000,Wed Apr 29 22:28:03 +0000 2020,@stuartpstevens Or Orson Welles made to Joseph Cotton on the Ferris wheel in The Third Man: Would you feel any pity… https://t.co/Gp9HMKcr2T
1255309743457030100,Wed Apr 29 01:35:40 +0000 2020,@tribelaw Do me a favor...
1254872436157243400,Mon Apr 27 20:37:57 +0000 2020,Praying... https://t.co/QhE76lB4Zf
1254798709692366800,Mon Apr 27 15:45:00 +0000 2020,...A beggar nation in utter chaos.                                          George Packer https://t.co/fi8vaDGfgA
1253857483015086000,Sat Apr 25 01:24:54 +0000 2020,RT @TheRickWilson: It's time to choose a side. Please have a look at the latest ad from @ProjectLincoln https://t.co/V0pJ9hy7tt
1253699388196532200,Fri Apr 24 14:56:41 +0000 2020,@AdamSerwer Or the DSM-5.
1253694641343312000,Fri Apr 24 14:37:49 +0000 2020,@JimSwiftDC As her soul leaves her body.
1253694180234113000,Fri Apr 24 14:35:59 +0000 2020,Never liked Duke, but I may be changing my mind. https://t.co/6lnewqpbOe
1253496813727830000,Fri Apr 24 01:31:43 +0000 2020,@JamesGleick Jack D. Ripper has become president. Precious bodily fluids is next up.
1253106928596598800,Wed Apr 22 23:42:28 +0000 2020,@stuartpstevens Otis is offended. https://t.co/iqiOtG2SnJ
1253101222254403600,Wed Apr 22 23:19:47 +0000 2020,Nothing to add to perfection. https://t.co/ymweXSNB1K
1253097371300294700,Wed Apr 22 23:04:29 +0000 2020,RT @MeidasTouch: @gtconway3d New ad: Are you better off than you were four years ago?  https://t.co/y0lpp6zm0n
1252975454652227600,Wed Apr 22 15:00:02 +0000 2020,RT @danpfeiffer: This is the most important story in politics today. https://t.co/4rgqQQRcyz
1252974343606263800,Wed Apr 22 14:55:37 +0000 2020,@TheRickWilson ‘I do not avoid women, Mandrake...but I do deny them my essence.’ General Jack D. Ripper
