id,created_at,text
1261317304366911500,Fri May 15 15:27:34 +0000 2020,Sounds like the same passion @realDonaldTrump supporters had in 2016 for Making America Great.   #Winning… https://t.co/H3A5XN8Bph
1261288742846894000,Fri May 15 13:34:04 +0000 2020,America can’t afford Sleepy @JoeBiden   #TeamTrump https://t.co/VAVXVBIBmn
1261282810159075300,Fri May 15 13:10:30 +0000 2020,RT @Citizens_United: The contrast is undeniable. @realDonaldTrump has been right on China from the start and Sleepy Joe has been wrong on C…
1261282565266256000,Fri May 15 13:09:31 +0000 2020,Thank you for all you do @RealJamesWoods in the fight for America’s future. https://t.co/ICGVu4AWzb
1261275654630359000,Fri May 15 12:42:04 +0000 2020,David Bossie: Biden wrong on China his entire career – let's look at the record | Fox News  ⁦@realDonaldTrump⁩ will… https://t.co/IKwDl73HkJ
1261131048664076300,Fri May 15 03:07:27 +0000 2020,State Department emails indicate Yovanovitch met with Burisma rep, despite testimony | Fox News https://t.co/Nlmorgehrr
1261096336033792000,Fri May 15 00:49:31 +0000 2020,RT @David_Bossie: Want impeachment witnesses?  How about Schiff witness David Holmes' wife, Stephanie.  She got Russia-related emails from…
1261095854032773000,Fri May 15 00:47:36 +0000 2020,What in the Sam Hell did he just say? https://t.co/WBJPfb2b8G
1261092093537198000,Fri May 15 00:32:39 +0000 2020,A life well lived.  Rest In Peace Hero https://t.co/fDBneMVukX
1261087577689505800,Fri May 15 00:14:43 +0000 2020,RT @Citizens_United: CU FOIA work: https://t.co/nCurZTl71i
1261080960323461000,Thu May 14 23:48:25 +0000 2020,RT @Citizens_United: CU in the news https://t.co/rq0fAljjOG
1261039684165218300,Thu May 14 21:04:24 +0000 2020,RT @BrookeSingman: State Dept. emails obtained by conservative group @Citizens_United indicated that #Yovanovitch was involved in discussio…
1261039652368253000,Thu May 14 21:04:16 +0000 2020,RT @jeremiahmorgan: Great work by @Citizens_United in uncovering these documents and for @jsolomonReports in putting the pieces together! h…
1261034435727761400,Thu May 14 20:43:33 +0000 2020,RT @Citizens_United: Important document request from @JudiciaryGOP &amp; @Jim_Jordan referencing new docs secured via CU's FOIA litigation vs.…
1261032571154174000,Thu May 14 20:36:08 +0000 2020,RT @Citizens_United: "...Jordan referenced State Dept emails which were obtained by the conservative group Citizens United this week throug…
1260984837802000400,Thu May 14 17:26:27 +0000 2020,RT @Citizens_United: These are docs CU pried loose from the State Dept. through our ongoing FOIA litigation. https://t.co/MCUX7QufQa
1260978905558769700,Thu May 14 17:02:53 +0000 2020,Could not agree more. https://t.co/r8M0zV4ghA
1260976760415490000,Thu May 14 16:54:22 +0000 2020,Because he should https://t.co/O8g6I2lpFc
1260976450305495000,Thu May 14 16:53:08 +0000 2020,I am thankful for @RepLeeZeldin He caught Amb Yovanovitch lying during her testimony against @realDonaldTrump in th… https://t.co/yY5OZqzDJG
1260962654421684200,Thu May 14 15:58:19 +0000 2020,RT @Citizens_United: BV chats with Citizens United President David Bossie on the DOJ dropping the case against Michael Flynn and allegation…
1260941861948133400,Thu May 14 14:35:41 +0000 2020,This must happen.  We must get to the bottom of Obama’s corruption.  They tried to destroy our great President… https://t.co/3XyUckPdvD
1260906267033378800,Thu May 14 12:14:15 +0000 2020,RT @Citizens_United: Sleepy Joe says he knows nothing about Tara Reade, Hunter's business deals, or Michael Flynn even though there's evide…
1260889161940295700,Thu May 14 11:06:17 +0000 2020,Sleepy @JoeBiden has some explaining to do about spying on @GenFlynn and @realDonaldTrump @CLewandowski_  and I det… https://t.co/RmBawwcaLn
1260770934014828500,Thu May 14 03:16:29 +0000 2020,Ha https://t.co/x0tvc8EIO2
1260732352990449700,Thu May 14 00:43:10 +0000 2020,RT @Citizens_United: CU FOIA work:  "Just the News reported Tuesday that newly unearthed memos show a Blue Star representative met directly…
1260656163281989600,Wed May 13 19:40:25 +0000 2020,RT @Citizens_United: CU v. State Dept. Document Release Part 2 (Ukraine Embassy-Burisma-Biden) See more docs here: https://t.co/PSgZJN7iUD
1260656153941311500,Wed May 13 19:40:23 +0000 2020,RT @Citizens_United: CU v. State Dept. Document Release Part I (Ukraine Embassy-Burisma-Biden) See the docs here: https://t.co/q91bst6W9a
1260644631026393000,Wed May 13 18:54:36 +0000 2020,RT @cupvf: Looks like Sleepy Joe lied on @GMA  https://t.co/6L3CmiIprv #FoxNews
1260638394264289300,Wed May 13 18:29:49 +0000 2020,Hey Sleepy @JoeBiden I think we have some questions for you and your friend the fired FBI Director. Obama and Biden… https://t.co/kqrmMInAVv
1260581319802830800,Wed May 13 14:43:01 +0000 2020,RT @Citizens_United: "These records clearly don't support Amb. Yovanovitch's testimony under oath during Schiff's sham impeachment. Her swo…
1260581290149019600,Wed May 13 14:42:54 +0000 2020,RT @David_Bossie: Big Scoop https://t.co/XZEUHeKnNM
1260550656156467200,Wed May 13 12:41:10 +0000 2020,Big Scoop https://t.co/XZEUHeKnNM
1260550279642206200,Wed May 13 12:39:41 +0000 2020,Ambassador Yavanovitch Exposed as a liar in ⁦@realDonaldTrump⁩ Sham impeachment.  Impeachment Boomerang: Contacts e… https://t.co/WfTuJIlV1u
1260517539580346400,Wed May 13 10:29:35 +0000 2020,RT @Citizens_United: "The discussions about Burisma inside Yovanovitch’s embassy were so extensive, in fact, that they filled more than 160…
1260380173259755500,Wed May 13 01:23:44 +0000 2020,This is great stuff https://t.co/6VnoHqeNnW
1260368057932931000,Wed May 13 00:35:36 +0000 2020,Please tune in.  I’m looking forward to joining the show https://t.co/t4ktEwp1y1
1260288057846235100,Tue May 12 19:17:42 +0000 2020,.⁦@kayleighmcenany⁩ is one of the bravest and kindest people I have the pleasure to know. And an amazing mom.  Kayl… https://t.co/9DkiWeZKK5
1260272093742194700,Tue May 12 18:14:16 +0000 2020,RT @Citizens_United: https://t.co/EU8Wl9763s
1260263460836905000,Tue May 12 17:39:58 +0000 2020,RT @Citizens_United: David Bossie joins the show to discuss the Russia hoax, the 2020 election, and Joe Biden. https://t.co/dzpeAqnuC2
1260205979175719000,Tue May 12 13:51:33 +0000 2020,RT @Citizens_United: He also denied speaking with his son Hunter about his overseas business dealings. https://t.co/yqs5VP82kE via @nypost
1260194152832262100,Tue May 12 13:04:33 +0000 2020,Obama and Biden Lie.   Don’t worry, Justice is coming https://t.co/6H41EStoK6
1260027829602750500,Tue May 12 02:03:39 +0000 2020,Ha!  Looks like she is desperately trying to become the news..not report it https://t.co/XAkg3bzyVe
1260009763280019500,Tue May 12 00:51:52 +0000 2020,Fake news!!!  We are all one big team to help re-elect @realDonaldTrump https://t.co/HQ3ES27kJ5
1259947804514009000,Mon May 11 20:45:39 +0000 2020,RT @Citizens_United: Recall that Obama was paying very close attention to details of the Hillary email investigation. Can we assume he was…
1259910374327038000,Mon May 11 18:16:55 +0000 2020,RT @Citizens_United: David Bossie speaks about the Democrats’ complete ignorance in the handling of the Joe Biden/Tara Reade scandal.  Phil…
1259858625687965700,Mon May 11 14:51:18 +0000 2020,RT @cupvf: The road to remove Pelosi from power runs through PA-17. Sean Parnell is an outstanding candidate who will listen to the wishes…
1259853146588942300,Mon May 11 14:29:31 +0000 2020,I'm proud to endorse decorated combat vet @SeanParnellUSA for Congress in PA-17. Sean will work w/ @realDonaldTrump… https://t.co/7mH27OHk3c
1259847012687765500,Mon May 11 14:05:09 +0000 2020,RT @Citizens_United: Which Democrat Super PAC - NY Times, Wash Post, CNN, NBC - has the guts to ask Obama &amp; Biden what they knew and when t…
1259830887472078800,Mon May 11 13:01:04 +0000 2020,We now know that @BarackObama ran the op against @realDonaldTrump @GenFlynn and others out of the Oval Office led b… https://t.co/VJvhHxviF7
1259705834445181000,Mon May 11 04:44:09 +0000 2020,100 percent Fake News.  They are Super PACs for the Left https://t.co/BW0rCeZ33J
1259640477537783800,Mon May 11 00:24:27 +0000 2020,Not surprising https://t.co/u5sXkmBTio
