id,created_at,text
1260238306375336000,Tue May 12 16:00:00 +0000 2020,In one month, meet the next criminal mastermind 🕶️ #ArtemisFowl is streaming exclusively June 12 on #DisneyPlus. https://t.co/BtR0L8uVij
1260182260097024000,Tue May 12 12:17:18 +0000 2020,Surprise! The original Broadway production of Hamilton, filmed LIVE onstage at the Richard Rodgers Theatre, is now… https://t.co/nUu3uje3Gb
1259513529708630000,Sun May 10 16:00:00 +0000 2020,Make Mother’s Day magical and join the #DisneyFamilySingalong VOLUME II for more music, more magic, and more stars… https://t.co/bOhyPh1L7o
1257309002922262500,Mon May 04 14:00:00 +0000 2020,The #SkywalkerSaga is complete. All 9 films, including Star Wars: The Rise of Skywalker, are now streaming on… https://t.co/EuXJAGrTrd
1257293906380755000,Mon May 04 13:00:01 +0000 2020,An entire galaxy, all in one place. The complete Skywalker Saga, the first episode of Disney Gallery: The Mandalori… https://t.co/W9PgqvepAl
1256976816184520700,Sun May 03 16:00:01 +0000 2020,Tomorrow, the complete Skywalker Saga arrives ✨Start streaming Star Wars: The Rise of Skywalker, only on… https://t.co/d7MEL9IMHM
1256331126940958700,Fri May 01 21:14:16 +0000 2020,RT @Disney: A story full of pride! ☀️ Join @jdmccrary, Young Simba in 2019’s The Lion King, for a roaring tale from “5-Minute Disney Classi…
1256282237017960400,Fri May 01 18:00:00 +0000 2020,From Olaf’s home to yours, thank you for joining us for #AtHomeWithOlaf! We hope you enjoy the final episode “Sound… https://t.co/Nl7B1pg4JK
1256252042009550800,Fri May 01 16:00:01 +0000 2020,“Ice” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/BtbqUshK5f
1256206739982016500,Fri May 01 13:00:00 +0000 2020,The complete Skywalker Saga, all in one place. Stream all 9 movies this May the 4th, only on #DisneyPlus. https://t.co/H9uXzgvGl1
1255965148910477300,Thu Apr 30 21:00:00 +0000 2020,Watch as Lilo &amp; Stitch Supervising Animator Alex Kuperschmidt shows you how to draw Stitch! https://t.co/jn03GpuibO… https://t.co/HwvgyHBfNv
1255889651035848700,Thu Apr 30 16:00:00 +0000 2020,“Hobbies” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/acPR6ihs1y
1255617858844885000,Wed Apr 29 22:00:00 +0000 2020,Learn how to draw #Frozen2’s Bruni from the character’s Animation Supervisor Trent Correy! https://t.co/omDY96zeSy… https://t.co/kVGpAHIAl0
1255527263413526500,Wed Apr 29 16:00:00 +0000 2020,“Doggies” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/eyVxTHZasP
1255164873123811300,Tue Apr 28 16:00:00 +0000 2020,“Pink Lemonade” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/KkhNeCOpVW
1254802485094551600,Mon Apr 27 16:00:00 +0000 2020,“Adventure” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/cvOK8qcRfB
1254787391472062500,Mon Apr 27 15:00:01 +0000 2020,All 9 films, all in one place. Stream the complete Skywalker Saga on May the 4th, only on #DisneyPlus. https://t.co/tbg2vUtN1l
1254772833307078700,Mon Apr 27 14:02:10 +0000 2020,RT @disneyplus: Celebrate the Saga! Reply with your favorite #StarWars memory and you may see it somewhere special on #MayThe4th.
1254757189001941000,Mon Apr 27 13:00:00 +0000 2020,The complete Skywalker Saga, all in one place. Start streaming all 9 films, including Star Wars: The Rise of Skywal… https://t.co/Od2dxOUr2n
1253783927413772300,Fri Apr 24 20:32:37 +0000 2020,RT @Disney: Take a swim down memory lane with the voice of Ariel herself! Disney Legend @thejodibenson reads "The Little Mermaid" from "Dis…
1253715324987494400,Fri Apr 24 16:00:01 +0000 2020,“Candy” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/xezRg3MutN
1253413465609261000,Thu Apr 23 20:00:32 +0000 2020,Join Ralph Breaks the Internet Story Artist Natalie Nourigat as she shows you how to draw Vanellope!… https://t.co/R390Et3sOf
1253386327489499100,Thu Apr 23 18:12:41 +0000 2020,Explore a secret world. Celebrate #WorldBookDay today with the original Artemis Fowl book by @EoinColfer, and start… https://t.co/OPT9NvvGZp
1253352935481766000,Thu Apr 23 16:00:00 +0000 2020,“Swing” #AtHomeWithOlaf created at home by Hyrum Osmond. Voiced from home by Josh Gad. #DisneyMagicMoments https://t.co/MBODZMGRaQ
1253308151056732200,Thu Apr 23 13:02:03 +0000 2020,Disney Gallery: #TheMandalorian, an Original Series, starts streaming May the 4th, only on #DisneyPlus. https://t.co/pVcuRgfFej
1253307543377625000,Thu Apr 23 12:59:38 +0000 2020,Go beyond the making of #TheMandalorian. Disney Gallery: The Mandalorian, an Original Series, starts streaming May… https://t.co/jeH12Mei0c
