id,created_at,text
1259867317200191500,Mon May 11 15:25:50 +0000 2020,@RosenthalHealth Oh Elizabeth. This is heartbreaking. May her memory be a blessing and bring you comfort, especiall… https://t.co/IPzubkuQQb
1259814184239448000,Mon May 11 11:54:42 +0000 2020,Always a true comedian. RIP. https://t.co/JGJriB2HAe
1259460471394099200,Sun May 10 12:29:10 +0000 2020,Wishing all the Moms a Happy Mother’s Day! 💗#MothersDay #MyGreatestGift https://t.co/v7SVhLBw2l
1259206319975944200,Sat May 09 19:39:16 +0000 2020,#SaturdayVibes #NaturePhotography https://t.co/tmcL9u5Bkh
1259112794022203400,Sat May 09 13:27:37 +0000 2020,Congratulations! https://t.co/brBvBnmsg4
1259108373322137600,Sat May 09 13:10:03 +0000 2020,RT @MarkMilliganDPT: I stopped on my bike ride at #223 because #IRunwithAhmaud.  I #RunWithMaud to protest his murder I #RunWithMaud to dem…
1259107970320937000,Sat May 09 13:08:27 +0000 2020,RT @choo_ek: Highly prevalent and highly contagious disease spreads amongst group of people repeatedly showing up in public congregated tog…
1259107835595628500,Sat May 09 13:07:55 +0000 2020,@jmugele 😂
1259107607639400400,Sat May 09 13:07:01 +0000 2020,@judithconsult @CoherenceMed It’s unbelievable that restaurants and retail are both opening here on Monday. Masks e… https://t.co/ygFVlChyH4
1259106732959248400,Sat May 09 13:03:32 +0000 2020,RT @Carrasquillo: Guy Fieri has helped raise $21.3 million for restaurant workers, which will send a $500 check to more than 40,000 people.…
1259105347727433700,Sat May 09 12:58:02 +0000 2020,@Postmates_Help @Postmates_Help Why send me an email &amp; process a pick up for @PapaJohns when they won’t release an… https://t.co/D9ccKtKQQ4
1258901642549907500,Fri May 08 23:28:35 +0000 2020,@JohnNosta Darker. Definitely. 😎
1258789464282931200,Fri May 08 16:02:50 +0000 2020,RT @RasuShrestha: It's game time! Join me now.   The role of leadership amidst a crisis, and arguably at other times too, is not to provide…
1258765663566467000,Fri May 08 14:28:15 +0000 2020,Check out my latest blog post @Bossoft: Leveraging Automation in Healthcare: https://t.co/mAIQL7Sxxh #automation… https://t.co/sFFfjoEpRS
1258482876171137000,Thu May 07 19:44:33 +0000 2020,@DillonSteinDO Thank you for all you do, Dillon. Much appreciated - Linda 💖
1258436730748899300,Thu May 07 16:41:11 +0000 2020,@MaramMPH Absolutely agree, and we have experienced as well....so sad!
1258426381853229000,Thu May 07 16:00:04 +0000 2020,RT @A_AMilne: The Forest was full of gentle sounds, which all seemed to be saying to Pooh, "Don't listen to Rabbit, listen to me." So he go…
1258424938819653600,Thu May 07 15:54:20 +0000 2020,@MaramMPH Its very sad. I noticed the same hatred on our neighborhood group today. Intolerance and injustice cannot be ignored. 💙
1258387750954336300,Thu May 07 13:26:34 +0000 2020,@maritorri Someone sent me a clip. Can’t take it. I’m a Fauci fan. And I can’t listen to baby tissue stories....
