id,created_at,text
1259651952096546800,Mon May 11 01:10:03 +0000 2020,.@johnlegend and @IAMJHUD teamed up to provide one of the biggest highlights of the night during #disneysingalong https://t.co/lUkXHEfgLk
1259651648999350300,Mon May 11 01:08:50 +0000 2020,#ChristinaAguilera's daughter has been practicing trying to hit those high notes  https://t.co/9YlyDsEBER https://t.co/wJzI9p11FM
1259649476207222800,Mon May 11 01:00:12 +0000 2020,A Mother's Day message from Kristen Wiig. #SNLAtHome https://t.co/JP8IHmARz9
1259648174618263600,Mon May 11 00:55:02 +0000 2020,.@Pharrell delivers virtual commencement address to the @Norfolkstate class of 2020 https://t.co/gimBXgU7sb
1259646921603518500,Mon May 11 00:50:03 +0000 2020,"Thank you for making me a father. For trusting me enough to embark on this journey together. I am humbled more and… https://t.co/cSjAGokODi
1259645709281869800,Mon May 11 00:45:14 +0000 2020,.@shakira belts out #TryEverything during the #DisneyFamilySIngalong https://t.co/mxNiWrVihp https://t.co/wEAu9AEFjx
1259644404308029400,Mon May 11 00:40:03 +0000 2020,.@justinbieber and #TomHolland are loving his fan-made music video https://t.co/zG2nivSb6p
1259644399736234000,Mon May 11 00:40:02 +0000 2020,Fans can't stop talking about the hat that @joshgad was wearing #FrozenII #DisneyFamilySingalong https://t.co/z6q4aBQLWB
1259640734170390500,Mon May 11 00:25:28 +0000 2020,.@derekhough, @Dance10Hayley and @juliannehough put on show stopping performance for #DisneyFamilySingalong… https://t.co/MolAkp3ZHl
1259638107902787600,Mon May 11 00:15:02 +0000 2020,.@billieeilish and her father team up for #meanddadradio for @AppleMusic's @Beats1    https://t.co/A0q6uLvqqj
1259635593019035600,Mon May 11 00:05:02 +0000 2020,A magical performance from @idinamenzel and @BenSPLATT! #DisneyFamilySingalong https://t.co/PoAUcBAHYV
1259633995496722400,Sun May 10 23:58:42 +0000 2020,.@halsey takes part in the #DisneyFamilySingalong performing one of her favourite songs https://t.co/KiSIDq9fLw https://t.co/pYYhNr01oL
1259633075035746300,Sun May 10 23:55:02 +0000 2020,#JonGosselin &amp; #KateGosselin celebrate their sextuplets' 16th birthday https://t.co/RhHcmJ8hC9
1259629130804535300,Sun May 10 23:39:22 +0000 2020,#KatyPerry dressed as an elephant while singing to her poodle dressed as #Dumbo for the #DisneyFamilySingalong… https://t.co/1Om0nzQKFn
1259626642890281000,Sun May 10 23:29:29 +0000 2020,.@Sethrogen and @TheMuppets open the #DisneyFamilySIngalong https://t.co/rrsT8Fo2EW https://t.co/gIHz5AMzX4
1259625522826485800,Sun May 10 23:25:02 +0000 2020,#RodStewart pays tribute to moms with special #MothersDay performance of #ForeverYoung for #UNICEFWontStop virtual… https://t.co/BjmvD1Pd14
1259617974492762000,Sun May 10 22:55:02 +0000 2020,#LoriLoughlin’s daughters honour her on #MothersDay following a judge’s refusal to dismiss charges against her https://t.co/775qja5NFE
1259616716704960500,Sun May 10 22:50:02 +0000 2020,.@juliannehough gave her mom the ultimate #MothersDay surprise https://t.co/CU9Ulf4HkS
1259614673852403700,Sun May 10 22:41:55 +0000 2020,#KennyChesney lands his 9th No. 1 debut album breaking #Drake's streak who also had a new album… https://t.co/eitP8Z9AtJ
1259612947799781400,Sun May 10 22:35:03 +0000 2020,.@serenawilliams, @chrissyteigen and more of the best Instagram moms https://t.co/38obojRrlv https://t.co/FPJgqmBC6z
1259611729794871300,Sun May 10 22:30:13 +0000 2020,Why spend #MothersDay with your family when you can spend it with @BonJovi? https://t.co/AfRF58SL7W https://t.co/lHW0CxNR04
1259610426104578000,Sun May 10 22:25:02 +0000 2020,#JamieDornan introduces his new drag alter-ego "Jenny" courtesy of a makeover from his daughters  https://t.co/lngDXbnvMa
