id,created_at,text
1260263866971435000,Tue May 12 17:41:35 +0000 2020,Guys going after @PKessel81 https://t.co/jzf3kR0c7B
1260010579676196900,Tue May 12 00:55:06 +0000 2020,RT @NAHLHockey: Breaking News: The #NAHL has approved the relocation of the Wilkes-Barre/Scranton Knights (@WBSKnights) to Danbury, CT for…
1259869460778844200,Mon May 11 15:34:21 +0000 2020,RT @NWHL: SIGNING NEWS: The @CTWhale_NWHL have re-signed @hbeattie13, @TayMarchin &amp; @RussKatelynn for next season 🐳  📰: https://t.co/Zkt8we…
1259869448254693400,Mon May 11 15:34:18 +0000 2020,RT @NWHL: Hear from @RussKatelynn following her re-signing news this morning 💚  #NWHLSigned // @CTWhale_NWHL https://t.co/aZQoaeWHru
1259869313395298300,Mon May 11 15:33:46 +0000 2020,RT @NWHL: Here’s a message from @hbeattie13 to all of you 💚   #NWHLSigned // @CTWhale_NWHL https://t.co/KChPZewxl5
1259869302448099300,Mon May 11 15:33:43 +0000 2020,RT @NWHL: A snowy message from @TayMarchin 💚  #NWHLSigned // @CTWhale_NWHL https://t.co/Nt8KalxfCp
1251298958372200400,Fri Apr 17 23:58:14 +0000 2020,RT @SDoyle_6: Watching the #WNBA draft and can’t help but picturing this being @DaniRylan and the #NWHL soon! 🔥 Proud of these leagues and…
1250873313276108800,Thu Apr 16 19:46:52 +0000 2020,I don’t even know what @tiktok_us is! I just don’t like one ply! https://t.co/pqzWc6y8jB
1250538507233362000,Wed Apr 15 21:36:28 +0000 2020,RT @_bscolaro: If anyone in the #NWHL or #hockey community would like to speak to a #mentalhealth professional but doesn't know how to, ple…
1249798721983873000,Mon Apr 13 20:36:50 +0000 2020,RT @NWHL: Hey hockey parents! The @NHL &amp; @NHLPA are offering FREE digital learning tools for students. Join today to learn more about their…
1248656131792212000,Fri Apr 10 16:56:35 +0000 2020,RT @SDoyle_6: Season 6 for #6 🐳🔥 Can’t wait to be back on the ice with the Pod and get #Isobel in Connecticut 🏆😏
1248634759850459100,Fri Apr 10 15:31:39 +0000 2020,RT @NWHL: Theo and @SDoyle_6 have a message for you all 🐶💚  #NWHLSigned // @CTWhale_NWHL https://t.co/caV1grCJAB
1248631665775304700,Fri Apr 10 15:19:22 +0000 2020,RT @NWHL: SIGNING NEWS: All-Star and @CTWhale_NWHL captain @SDoyle_6 has re-signed for her sixth season 🐳  📰: https://t.co/UJhhnTaAIs https…
1247942474569527300,Wed Apr 08 17:40:46 +0000 2020,RT @NWHL: Hey everyone 👋   Pickles, aka @emmavlasic has a message for you all 💚  #NWHLSigned // @CTWhale_NWHL https://t.co/fuSfUmC68c
1247942372459049000,Wed Apr 08 17:40:21 +0000 2020,RT @NWHL: SIGNING NEWS: All-Star and @CTWhale_NWHL top goal scorer @emmavlasic has re-signed for her second season with the Pod 🐳    📰: htt…
1247143881482870800,Mon Apr 06 12:47:26 +0000 2020,@IMHockeyskills “Bring your green Hat, Let’s Go!” https://t.co/d36BSBZdgm
1246908378275893200,Sun Apr 05 21:11:38 +0000 2020,@AaMarc22 Thank you A A-Ron
1246860733985497000,Sun Apr 05 18:02:19 +0000 2020,@allielac @DRdiabloTHW @NWHL @mocamocek https://t.co/UHcH8P8MMb
1246858134938882000,Sun Apr 05 17:51:59 +0000 2020,@DRdiabloTHW @NWHL You better be ready to compete Dan!
1245467618850541600,Wed Apr 01 21:46:34 +0000 2020,Congrats Brooke! https://t.co/qRWUSRrCdX
1245429863768563700,Wed Apr 01 19:16:33 +0000 2020,RT @NWHL: Make sure your fins are up because @wolj_e has a message to all of you 💚  #NWHLSigned // @CTWhale_NWHL https://t.co/tjsu48xp8m
1245356208715894800,Wed Apr 01 14:23:52 +0000 2020,RT @NWHL: SIGNING NEWS: Goaltender @wolj_e of the @CTWhale_NWHL has re-signed for next season.   Happy to have you back for your second sea…
1245089950896447500,Tue Mar 31 20:45:51 +0000 2020,RT @e_orlando14: Thank you @GamerDoc_ for doing such an amazing job telling the players stories and growing the game on #NWHLOpenIce ! Had…
1244777509788496000,Tue Mar 31 00:04:19 +0000 2020,RT @laurayobrennan: Thanks for the nod @EnforceOrr Can’t wait to get back on the ice 🐳 I nominate @vogt30dickerman @thegoalieclub @allielac…
1244715842144743400,Mon Mar 30 19:59:17 +0000 2020,RT @ThePaulieMara: @EnforceOrr @BaystateHD @laurayobrennan @mikebonelli @BillyMcCreary Thanks @BaystateHD...my first coaching job was teach…
1244667694022041600,Mon Mar 30 16:47:57 +0000 2020,@JeffVeillette I know Jeff. Could you imagine what I could have done in my career with out all those injuries.
1244665338349961200,Mon Mar 30 16:38:36 +0000 2020,@MattFalkenbury She beautiful! Congrats Matt.
1244665013614379000,Mon Mar 30 16:37:18 +0000 2020,Thanks @BaystateHD you beauty 👊🏻 here is a photo of one of our many battle vs you, @ThePaulieMara and the Boston Pr… https://t.co/bYvo0TplAY
1244322896727683000,Sun Mar 29 17:57:51 +0000 2020,@mwheeler37 @BaruchelNDG Buds or spuds 🥔!
1244005109278834700,Sat Mar 28 20:55:05 +0000 2020,RT @johnscott_32: Doug "The Thug" Smith, who the movie The Goon was filmed after, talked about training NHL players to fight, including @En…
1244004985928630300,Sat Mar 28 20:54:35 +0000 2020,@BmwWalsh Thanks Walshy 👊🏻
1243654499190833200,Fri Mar 27 21:41:53 +0000 2020,@Phil_Mackenzie1 Congrats to you and Brodie. They are very handsome and what a great birthday! If they need a right… https://t.co/9pBl0y0so1
1243543452559736800,Fri Mar 27 14:20:37 +0000 2020,Yesterday my wife Sabrina and I Welcomed a Big beautiful baby boy Cash Lin Douglas Orr to the world. 8lbs 14oz and… https://t.co/1Z2xg6kGax
1242913217539707000,Wed Mar 25 20:36:17 +0000 2020,@KylaJLane https://t.co/6FLzSUUTfz
1242799999991394300,Wed Mar 25 13:06:24 +0000 2020,@therealorrsy Cody Jamison Orr 😂
1242559458359816200,Tue Mar 24 21:10:35 +0000 2020,@DRdiabloTHW Thank you Dan
1242556210261504000,Tue Mar 24 20:57:40 +0000 2020,@stingslikeali Carmichael
1242546735341338600,Tue Mar 24 20:20:01 +0000 2020,My old teammate  @c_ash15 suggested that one as well. https://t.co/ZpwneLQb3d
1242545424537354200,Tue Mar 24 20:14:49 +0000 2020,@ChrisRBarron Thanks Chris. Hopefully the pucks with pros gets rescheduled and I’ll see you on the ice.
1242540679491977200,Tue Mar 24 19:55:57 +0000 2020,Charlotte, Colton JR and Clarke. That’s not bad thanks Kyle from Whitby. Keep the suggestions coming.  Having a Bab… https://t.co/cWLNISBoOd
1242509301090078700,Tue Mar 24 17:51:16 +0000 2020,RT @mcauz56: Today on 'Game Day': 2:20pm: The return of our 'Game of Thrones Insider Colton Orr (@EnforceOrr) 2:55pm: Radio's hottest segme…
1241731069742919700,Sun Mar 22 14:18:51 +0000 2020,@ChrisRBarron Are they better then Mocha Joe’s Scones #CurbYourEnthusiasm #LatteLarrys #MochaJoe
1240326401414385700,Wed Mar 18 17:17:12 +0000 2020,Congrats Coach https://t.co/0ew8RI3Q64
1237495071014031400,Tue Mar 10 21:46:31 +0000 2020,RT @SDoyle_6: Thank you to my teammates, coaches and all involved with the @CTWhale_NWHL this season. It is always an honor to wear the Wha…
