id,created_at,text
953273193376165900,Tue Jan 16 14:30:14 +0000 2018,RT @KevinFarzad: canceling plans is ok. staying home to cook is ok. disappearing for a bit to get your life together is ok. resurfacing in…
953234763556573200,Tue Jan 16 11:57:32 +0000 2018,RT @AndreaCoravos: Wait. @instagram strategically *withholds* "likes" from users that they believe might disengage hoping they'll be disapp…
953162972477747200,Tue Jan 16 07:12:16 +0000 2018,@EmiratesNBD been receiving a fake email stating some money has been deposited in the account. The email leads to a… https://t.co/3QjjqokvdC
953150609796026400,Tue Jan 16 06:23:08 +0000 2018,RT @RazanQraini: I have this persistent feeling of “I’m not doing enough” combined with “I don’t have the energy to do anything” and it jus…
953143295558987800,Tue Jan 16 05:54:04 +0000 2018,@aaditee &lt;3
953139037027618800,Tue Jan 16 05:37:09 +0000 2018,@aaditee I can only have the juice. It is just so easy to walk into a restaurant and order one.
953136767452008400,Tue Jan 16 05:28:08 +0000 2018,@aaditee Sure. I've already wasted a few hundred while watching YouTube videos and what not. Besides, all that effo… https://t.co/JYkcWDH8tv
953135377295999000,Tue Jan 16 05:22:37 +0000 2018,How to eat a pomegranate: 1.Cut off the top to reveal its bright red seeds 2. Make fine cuts through the peel so yo… https://t.co/BsL54wkb1S
953135024941031400,Tue Jan 16 05:21:12 +0000 2018,@runjhunmehrotra In and out for a bit! How have you been? How are your trolls!
953125795752443900,Tue Jan 16 04:44:32 +0000 2018,What a sick, twisted psychotic couple to have done this. https://t.co/TCnaqU1oE4
952962543135445000,Mon Jan 15 17:55:50 +0000 2018,It's like 2017 all over again... :-( https://t.co/m3H5QIsgNY
952913991520739300,Mon Jan 15 14:42:54 +0000 2018,@amreekandesi It will come. Just be at it ✌
952913882925948900,Mon Jan 15 14:42:28 +0000 2018,@Pinkzenjoy Ugh. You know i also started hating that guy towards the last few seasons.
952908092416692200,Mon Jan 15 14:19:28 +0000 2018,@QuirkyLogic Couldn't have been better, thank you for checking in.
952907966252011500,Mon Jan 15 14:18:57 +0000 2018,Horror movie idea: you go to lunch with someone who chews with their mouth open.
952842414934421500,Mon Jan 15 09:58:29 +0000 2018,@FlirtingKaapi In fact I deliberately make morning plans for some weekends so that I can get out of bed and start e… https://t.co/muskNm0gPz
952830345149403100,Mon Jan 15 09:10:31 +0000 2018,@FlirtingKaapi I recently signed up for a non charity event to help set up school kits priviledged children, they c… https://t.co/8bnemTdHm2
952817488064077800,Mon Jan 15 08:19:26 +0000 2018,@nabilazaidi Done. Will msg you soon!
952815564942184400,Mon Jan 15 08:11:47 +0000 2018,@nabilazaidi I know. And i hope you'll still let me rant about my agency life when we meet next!
952801444146577400,Mon Jan 15 07:15:41 +0000 2018,@Pinkzenjoy Lol reading this is making me more anxious.
952801305755574300,Mon Jan 15 07:15:08 +0000 2018,@amreekandesi Im good still waiting for your new new new book please tell me when you'll be publishing
952801118567968800,Mon Jan 15 07:14:23 +0000 2018,@nabilazaidi Don't tell me you've become that client now. The #agencylife gods will never forgive you.
952777926830972900,Mon Jan 15 05:42:14 +0000 2018,Things that make my morning anxiety worse: - people walking slow in front of me taking up the entire sidewalk - cli… https://t.co/S0D7lUt8BZ
952520469667827700,Sun Jan 14 12:39:11 +0000 2018,@nicolexavier111 No. https://t.co/KITkbnlHVB
952508061289275400,Sun Jan 14 11:49:53 +0000 2018,@Lady_Ghagra Yeah man. Full political promotion.
952507894322421800,Sun Jan 14 11:49:13 +0000 2018,@nicolexavier111 A big hello to you - one of the last 3 F.r.i.e.n.d.s fans left on earth. Do you realise the year i… https://t.co/IwrlAJtLsi
952485206870708200,Sun Jan 14 10:19:04 +0000 2018,@Lady_Ghagra All paid tweets man
952483927175913500,Sun Jan 14 10:13:59 +0000 2018,Winters for the rest of the world: keep it warm indoors, wear winter clothes outdoors. Winters in Dubai: set air co… https://t.co/GgSbLvLLVc
952419654500266000,Sun Jan 14 05:58:35 +0000 2018,@Lady_Ghagra No time or motivation. How about I outsource my tweets, are you up for It? I'll pay you in RTs
952401080658333700,Sun Jan 14 04:44:47 +0000 2018,@surekhapillai So am I hny2u2 ♡
952400625324699600,Sun Jan 14 04:42:58 +0000 2018,@lady_gabbar Sounds like a dream 😍
952400332625252400,Sun Jan 14 04:41:48 +0000 2018,@lady_gabbar Let's enter together!
952399745577873400,Sun Jan 14 04:39:28 +0000 2018,@surekhapillai Yes. New year resolution is to keep creative juices flowing by checking Twitter twice a day. I chose… https://t.co/3k19Tso4Pa
952399140067201000,Sun Jan 14 04:37:04 +0000 2018,@surekhapillai No. We need to bring Tom cruise top gun days back. Because what about some of us men who are semi-ha… https://t.co/XrX0qybkPE
952398434379751400,Sun Jan 14 04:34:16 +0000 2018,@Lady_Ghagra Why don't you say this to the guy from the credit card company who calls me 3 times a day for missed payments.
951309205885071400,Thu Jan 11 04:26:03 +0000 2018,RT @NeelaVanam: Loneliness and Solitude. https://t.co/gQTmJuujgF
951309092919930900,Thu Jan 11 04:25:36 +0000 2018,@Lady_Ghagra Omg yes it was You! It is all coming back to me now.
951177740467699700,Wed Jan 10 19:43:40 +0000 2018,@Lady_Ghagra What's wrong with this one? Are you implying that this one is not Nice?
951177529368432600,Wed Jan 10 19:42:49 +0000 2018,@QuirkyLogic Lol you should have clicked a photo of it and texted it to me instead. I'd have appreciated the effort either way.
951177105789849600,Wed Jan 10 19:41:08 +0000 2018,@Lady_Ghagra Yeah you must have so much to tweet about, given that you were off the internet for the last 10 years,… https://t.co/UZSVgyoeIm
951175121926049800,Wed Jan 10 19:33:15 +0000 2018,@QuirkyLogic Oh yeah, that way you could have just hand delivered that note you sent me via the pigeon who probably… https://t.co/KcUeffwfgY
951174403886379000,Wed Jan 10 19:30:24 +0000 2018,@Lady_Ghagra Yes. Working on my ultimate come back tweet which will rip through everyone's timelines bringing me ov… https://t.co/wL26EOUv8Z
951173729769410600,Wed Jan 10 19:27:43 +0000 2018,@QuirkyLogic Now that's something you should celebrate instead of this stupid Twitter anniversary.
951172981279031300,Wed Jan 10 19:24:45 +0000 2018,@QuirkyLogic Wow. How exciting.
951172570388320300,Wed Jan 10 19:23:07 +0000 2018,@Lady_Ghagra You are nothing but your aadhar card number. Obviously.
951170465707581400,Wed Jan 10 19:14:45 +0000 2018,@EvilToothfairy Yo. 🙆‍♂️
949490407263662100,Sat Jan 06 03:58:48 +0000 2018,RT @ClassicallyWild: The kind of thoughts that keep me awake at night https://t.co/8tWgXwyk2U
947809111055286300,Mon Jan 01 12:37:56 +0000 2018,@Lady_Ghagra @NehaT_ @Noirenne Thank you, happy whatevs to you too. Here is a whatsapp fwd to make you feel special. https://t.co/FJu9KG5o0f
945999851094814700,Wed Dec 27 12:48:34 +0000 2017,@Lady_Ghagra I'm travelling so no access to internet much. But now that you're here I'll try and be more active so… https://t.co/5io9dlodWJ
945646520757510100,Tue Dec 26 13:24:34 +0000 2017,@Hardism Thank you brotha😎
945644132776607700,Tue Dec 26 13:15:05 +0000 2017,@Lady_Ghagra @NehaT_ @Noirenne Dude. You are back??? Do you have any idea how much I've tried looking for you all o… https://t.co/9oskmvAZkX
