id,created_at,text
1237407302568669200,Tue Mar 10 15:57:45 +0000 2020,@ZakirHtabla happy belated birthday for yesterday 🎂🎉
1212623387828179000,Thu Jan 02 06:35:19 +0000 2020,When life gets harder, you just get stronger. Iss saal #Toofan uthega. Releasing on 2.10.2020!   @FarOutAkhtar… https://t.co/4jJML2avkG
1203181267543449600,Sat Dec 07 05:15:42 +0000 2019,There’s always something to look forward to ... in our case it’s #Toofan #Toofaninthemaking #NewProfilePic https://t.co/hFlKxRPxwv
1196335803699355600,Mon Nov 18 07:54:17 +0000 2019,#NewProfilePic https://t.co/gvafEq7HV7
1183586977360146400,Mon Oct 14 03:35:00 +0000 2019,RT @gaurdhruv03: Watched #TheSkyisPink the movie which touches your heart and soul. No detailed review for this movie I would just say that…
1183586655514456000,Mon Oct 14 03:33:43 +0000 2019,RT @Tweetrivesh: #SkyisPink is beyond words. Just can't limit the emotions in verbal form..... @priyankachopra @FarOutAkhtar
1183586642558218200,Mon Oct 14 03:33:40 +0000 2019,RT @nisswani: The sky is pink is a magnificent movie which tells people how to live a life with so many hurdles but what should always stay…
1183586624451428400,Mon Oct 14 03:33:35 +0000 2019,RT @ChahakTweets: Absolutely loved #TheSkyIsPink and how its actors have showcased every emotion so intricately and handled them so delicat…
1183586610685694000,Mon Oct 14 03:33:32 +0000 2019,RT @TheBongWoman: The sky is pink is a beautiful movie about parenting, caregiver burnout, dealing with grief, &amp; family dynamics. It uneart…
1183586592335642600,Mon Oct 14 03:33:28 +0000 2019,RT @MITHUNDDAS: #TheSkyIsPink, by Shonali Bose is an amazing, soul-touching film told in a manner that it'll linger in your mind for ever..…
1183586580750930000,Mon Oct 14 03:33:25 +0000 2019,RT @ayonbiswas0702: What a comeback @priyankachopra ...... Me and my sister we cried so hard.....  I couldn't speak after the movie.....  S…
1183586565517217800,Mon Oct 14 03:33:21 +0000 2019,RT @SmritiPathania1: What an amazing movie..!! Thanku @priyankachopra @FarOutAkhtar for letting us into Aisha’s world! #TheSkyIsPink
1183586532608708600,Mon Oct 14 03:33:14 +0000 2019,RT @toshalgandhi: “Your Sky can be the colour you like it to be!”   #TheSkyisPink is a beautifully woven story of emotions.  Makes you reth…
1183586493085798400,Mon Oct 14 03:33:04 +0000 2019,RT @NehaPan54888479: Watched #TheSkyisPink Yesterday with my family, it's the best film of the year, couldn't help but got moist eyed for m…
1183586464849784800,Mon Oct 14 03:32:57 +0000 2019,RT @HarshMe88557771: this movie ❤❤ each part from the beginning of the film till the end, everything was heart touching, it shown us many p…
1183586438341783600,Mon Oct 14 03:32:51 +0000 2019,RT @madhurinkaushik: If you haven’t already, go watch #TheSkyIsPink today! A beautiful beautiful movie. Take a bow @priyankachopra @FarOutA…
1183586413972836400,Mon Oct 14 03:32:45 +0000 2019,RT @SaloniM68593466: Just watched this gem of a movie #TheSkyIsPink  Man! Amazing performance by @FarOutAkhtar @priyankachopra  Go watch th…
1183586389679456300,Mon Oct 14 03:32:39 +0000 2019,RT @slimshady_TD: Just watched The Sky is Pink. Trust me, almost everyone in the theatre were in tears. Movie was too good and yes, Panda,…
1183586353679757300,Mon Oct 14 03:32:31 +0000 2019,RT @aksh5589: A dialogue from #skyispink - Main nahi hongi, tab bhi hamesha hongi. Wonderful movie. Touched. @FarOutAkhtar versatile is the…
1183586329428258800,Mon Oct 14 03:32:25 +0000 2019,RT @trollipara: #SkyIsPink made me tear up multiple times. definitely one of the most brilliant works of art this year. it’s wonderful — EV…
1183586314093875200,Mon Oct 14 03:32:21 +0000 2019,RT @Hayubz: Finally saw #TheSkyIsPink. Mehn👏! Directing 💯, Excellent storyline. U're truly an international star with that oscar worthy per…
1183586300911206400,Mon Oct 14 03:32:18 +0000 2019,RT @1990_singhal: The Sky is Pink. One of the best movies I have ever watched. A very wonderfully directed movie. Cried in almost half of t…
1183586243801571300,Mon Oct 14 03:32:05 +0000 2019,RT @pujat_GOODTIMES: Sky is Pink is beautiful! Tears and laughs, a lovely and unmissable @priyankachopra @FarOutAkhtar @RSVPMovies @treeshu…
1183546477378850800,Mon Oct 14 00:54:04 +0000 2019,RT @TheAnujRadia: Time has just flown by... My dream of interviewing THE @iamsrk &amp; a special/impromptu chat with @FarOutAkhtar ON STAGE cam…
1183437007789281300,Sun Oct 13 17:39:04 +0000 2019,RT @preeti_bhamra: #TheSkyIsPink beautifully worked it’s magic. It was a brilliant take on life, death &amp; also illness and how a family when…
1183432582798573600,Sun Oct 13 17:21:29 +0000 2019,RT @RitushreeSarkar: It’s been more than 48 hours that I watched #TheSkyIsPink &amp; I am still in its trance.I left the theatre but the film d…
1183432524455800800,Sun Oct 13 17:21:15 +0000 2019,RT @VishalK45698505: #Skyispink Bahut achhi film hai.bahut hi emotional film hai.  @FarOutAkhtar he is far better actor than many overrated…
1183432510614556700,Sun Oct 13 17:21:12 +0000 2019,RT @NikitaVaswani3: I wish i could describe all the emotions that #SkyIsPink gave me. Each frame of the story has an emotion attached with…
1183424439750283300,Sun Oct 13 16:49:08 +0000 2019,RT @AnshBajpai4: @priyankachopra @FarOutAkhtar  what a movie.. well written,directed and brilliantly played every character by each one of…
1183424378278596600,Sun Oct 13 16:48:53 +0000 2019,RT @harsh_sep: Saw THE SKY IS PINK and loved it. Towards the end it gets too emotional and i couldn't hold my tears. The honesty of the act…
1183423781710135300,Sun Oct 13 16:46:31 +0000 2019,RT @ritikasingh75: #TheSkyIsPink - haven’t stopped bawling !!   Life is so short - all we need is love and kindness.   #MomentOfTruth #oned…
1183423730342482000,Sun Oct 13 16:46:18 +0000 2019,RT @debaleenapaul: Everyone should watch #TheSkyIsPink. Such a beautiful and emotional story told with so much simplicity. @priyankachopra…
1183423186005713000,Sun Oct 13 16:44:09 +0000 2019,RT @ChopraLover: BTW #Paani (Marathi) trailer looks like another masterpiece in line by @priyankachopra @PurplePebblePic ! Saw the trailer…
1183423129479106600,Sun Oct 13 16:43:55 +0000 2019,RT @deepthEYE: #TheSkyIsPink is intense and moving. Its been 4 hours since my show, but #Zaira and #Farhan are still in my mind. Good work…
1183422878223483000,Sun Oct 13 16:42:55 +0000 2019,RT @jilmistri: Last Night i watched #TheSkyIsPink very emotional attached inspiration &amp; A special film explaining the value of having paren…
1183422819918442500,Sun Oct 13 16:42:41 +0000 2019,RT @_donttagme: Just finished watching #TheSkyIsPink and at one point the whole hall was silent and all I could hear were sobs (mine includ…
1183399629674532900,Sun Oct 13 15:10:32 +0000 2019,RT @iamKunall: #SkyisPink beautiful movie that I really enjoyed watching!! It's just Beautiful!! 5/5 @FarOutAkhtar @priyankachopra u guys m…
1183399609877450800,Sun Oct 13 15:10:28 +0000 2019,RT @adarshtiwari2: Watching #TheSkyIsPink and its a interval time but I have to say that this movie has touched my heart ❤.It is a heartwar…
1183399553073995800,Sun Oct 13 15:10:14 +0000 2019,RT @ShitalAgarwal11: Amazing movie &amp; acting @FarOutAkhtar @priyankachopra @ZairaWasimmm, well directed @ShonaliBose. The story of Aisha Cho…
