id,created_at,text
1261015968068915200,Thu May 14 19:30:09 +0000 2020,Get going with these tips to reach the climax faster https://t.co/XeoeUCDybo
1261008905443909600,Thu May 14 19:02:06 +0000 2020,Try these positions for a better climax next time https://t.co/lxKcSI0wUm
1261005951097692200,Thu May 14 18:50:21 +0000 2020,An easy tutorial on how to ace bronze-hued lids. https://t.co/CoBZF45PoW
1260999594076450800,Thu May 14 18:25:06 +0000 2020,Watch out, scammers on the prowl    https://t.co/MR5aeoJYkK
1260993652844826600,Thu May 14 18:01:29 +0000 2020,Behold Queen Bey's beauty tips. #beauty https://t.co/WiVzyguCKl
1260987009532866600,Thu May 14 17:35:05 +0000 2020,More than just a highlighter! https://t.co/eJCUUQXbxB
1260981265525665800,Thu May 14 17:12:16 +0000 2020,#FeminaStyleInspo: Take your summer style inspiration from music festivals and make it quirky. Photographs:… https://t.co/yrxsrw66V3
1260978562829619200,Thu May 14 17:01:31 +0000 2020,Such a star!    https://t.co/mpLRl5Bxaq
1260978379307835400,Thu May 14 17:00:48 +0000 2020,#FeminaTalkies: "I have parents who are godly to me (laughs). That is what matters the most. My parents told me to… https://t.co/1o7xSXEDSA
1260974403761967000,Thu May 14 16:45:00 +0000 2020,Here’s an easy-to-make remedy to exfoliate your skin and bring out that inner glow. Try it today. https://t.co/ik2tCRvt2c
1260970683439480800,Thu May 14 16:30:13 +0000 2020,FACTS. https://t.co/smLvqo8rhe
1260963242857422800,Thu May 14 16:00:39 +0000 2020,Our top five breakfast picks in Amritsar https://t.co/OOIidxMlbL
1260955555075678200,Thu May 14 15:30:06 +0000 2020,Check out easy-to-whip recipes to amp up your looks with chia seeds. https://t.co/sJAjt6fkft
1260948559739981800,Thu May 14 15:02:18 +0000 2020,Good for your health, but is it good for your jewellery's health? #brides https://t.co/lNhkYLDhMc
1260945493573722000,Thu May 14 14:50:07 +0000 2020,Mood. @shrutihaasan https://t.co/ItGA6zmeXf
1260944204974317600,Thu May 14 14:45:00 +0000 2020,Can you handle so much hotness 🔥? Watch this behind the scenes video with @TheAaryanKartik from our cover shoot. https://t.co/hhIrbXm1Kx
1260940508467277800,Thu May 14 14:30:19 +0000 2020,#FeminaMustReads: Oatmeal is packed with many benefits especially if you are looking for a healthy digestive system… https://t.co/dCKH6Mp0JG
1260940487600603100,Thu May 14 14:30:14 +0000 2020,Wearing prints made easy! Check out this celebrity style guide. https://t.co/u2NrvESlPm
1260940456906707000,Thu May 14 14:30:06 +0000 2020,Planning a trip to #Bangkok in the future? This guide is all you need! #travel https://t.co/rsdc38dFcv
1260940302245720000,Thu May 14 14:29:29 +0000 2020,Here's how to ace a perfect base and a simple makeup routine! #makeup101 https://t.co/7LfYSsY54H
1260932884023705600,Thu May 14 14:00:01 +0000 2020,Here's the story behind each famed 'little black dress'! https://t.co/orDFHwdfLv
1260930391130529800,Thu May 14 13:50:06 +0000 2020,Stunner 💮 @DishPatani https://t.co/TwV8yEYFAM
1260928118644039700,Thu May 14 13:41:05 +0000 2020,When fashion meets Indian food    https://t.co/i4ueTi10ba
1260925418305020000,Thu May 14 13:30:21 +0000 2020,Priyanka Chopra Jonas dishes out her beauty secrets https://t.co/JhHot8Yb65
1260925407555174400,Thu May 14 13:30:18 +0000 2020,Gentle reminder: download our latest issue today! It's free.  https://t.co/VR4BY6jhMe #FeminaWithYou https://t.co/vJ7Q8pbSFH
1260918057888813000,Thu May 14 13:01:06 +0000 2020,5 cute outfit ideas for your next digital date. https://t.co/Log2h6ovEj
1260916294058233900,Thu May 14 12:54:05 +0000 2020,This little wonder is the C U T E S T thing you'll see today! #InaayaNaumiKemmu 📷 : @kunalkemmu https://t.co/6w7i3gVOJW
1260910302075420700,Thu May 14 12:30:17 +0000 2020,Sripriya Ganesan and Rambha Seth,the principal architects of Chennai-based award-winning multi-disciplinary design… https://t.co/hbvWl1sCxB
1260910285734531000,Thu May 14 12:30:13 +0000 2020,Consider these factors before spending on your beauty products.   https://t.co/KRLNHYG4hI
1260902763636109300,Thu May 14 12:00:19 +0000 2020,Get ready to get dazzled in Singapore  https://t.co/JsZnBn9vrp https://t.co/ZbrROmoFDS
1260898906348466200,Thu May 14 11:45:00 +0000 2020,Happy vibes ✨! @iamsonalibendre and #SussanneKhan are giving us major feels in this BTS video. Tune in, guys! https://t.co/JrQ4452wjq
1260895278917456000,Thu May 14 11:30:35 +0000 2020,These pics by #SaraAliKhan will make you miss your girl squad! Tag them and show them love 💕 https://t.co/xkYEqFQIyC
1260895132838064000,Thu May 14 11:30:00 +0000 2020,#FeminaBeautyInspo Take inspiration from your zodiac sign and favoured planets to bring out a galactic beauty look.… https://t.co/4jaHZySRUF
1260891418475757600,Thu May 14 11:15:15 +0000 2020,We're not crying, you're crying. https://t.co/K7mEDgyLeI
1260888220067192800,Thu May 14 11:02:32 +0000 2020,⚡️ “Femina With You: All Things Fitness And Wellness”  https://t.co/Cm8w4FYb4s
1260887100704149500,Thu May 14 10:58:05 +0000 2020,Distance athlete struggles during lockdown https://t.co/fyG4tceipV
1260880102004572200,Thu May 14 10:30:16 +0000 2020,Your favourite breakfast meal just got a healthy twist! #feminafood #pancakes https://t.co/KPuE5XuWo7
