id,created_at,text
1259589490924048400,Sun May 10 21:01:51 +0000 2020,@MattPalumbo12 And that makes them even better
1259589444325249000,Sun May 10 21:01:40 +0000 2020,RT @gayletrotter: I would challenge each one of these Very Smart Expert Persons™ to read the government’s motion to dismiss the criminal in…
1259555393933643800,Sun May 10 18:46:21 +0000 2020,RT @dbongino: CNN coffee-boy George Costanza is melting down because the conspiracy theories he has been pushing for years have entirely fa…
1259527192914137000,Sun May 10 16:54:18 +0000 2020,@RosenIsRight I’m really sorry for your friend. BDE.
1259527043697520600,Sun May 10 16:53:42 +0000 2020,@RosenIsRight Who’s politicizing it on the conservative side? We just want it to end and want people’s liberties re… https://t.co/430y3D2fiU
1259519746350907400,Sun May 10 16:24:42 +0000 2020,And this is how you know who the panic lockdown crowd is. It’s just a continuation of what the Left has been doing… https://t.co/Z52BNLtBx1
1259519613458681900,Sun May 10 16:24:11 +0000 2020,RT @dbongino: By her own perverse logic she wants hospitals bankrupted, the food supply to dry up, businesses shut down, and people to suff…
1259519283882754000,Sun May 10 16:22:52 +0000 2020,RT @dbongino: Anyone citing Brian Stelter, Ben Wittes, Darcy, Moscow Maddow, Chuck Todd, or any of the collusion hoaxers at the Wash Post o…
1259504637197136000,Sun May 10 15:24:40 +0000 2020,@SaraGonzalesTX I love how no one can actually prove any of these quotes or memes yet they want them so much to be… https://t.co/WYjqN8Jeie
1259504332464181200,Sun May 10 15:23:27 +0000 2020,RT @joelpollak: Trump Warns Democrats Are Trying to Rig Special Election in CA-25  https://t.co/WYZpoBik3F
1259504227384246300,Sun May 10 15:23:02 +0000 2020,RT @marklevinshow: Blockbuster Life, Liberty &amp; Levin on Fox at 8 PM eastern this Mother’s Day Sunday!  If you can’t watch it Live be sure t…
1259503902476599300,Sun May 10 15:21:45 +0000 2020,@WilkowMajority .@WilkowMajority is there any way to get your show on demand? @SiriusXMPatriot
1259503570078007300,Sun May 10 15:20:26 +0000 2020,RT @AndrewCMcCarthy: Why do I think that, if a Democrat were targeted, classified leaks, perjury traps, massaging FBI reports, misleading a…
1259499964432027600,Sun May 10 15:06:06 +0000 2020,@LegallyAutumn Congrats!
1259499598873276400,Sun May 10 15:04:39 +0000 2020,RT @BorisEP: Vindman isn’t preening for the cameras now, is he?
1259499463149850600,Sun May 10 15:04:07 +0000 2020,RT @RichLowry: This case, like everything related to the Russia investigation, got weaker and weaker the more we learned about it. What a f…
1259497031422423000,Sun May 10 14:54:27 +0000 2020,RT @EliLake: I’ve been going through the interview transcripts that ODNI forced @AdamSchiff to release. It’s now clear why every Republican…
1259496812848742400,Sun May 10 14:53:35 +0000 2020,RT @realDonaldTrump: Thank you to Eli Lake!
1259489389958365200,Sun May 10 14:24:05 +0000 2020,RT @DonaldJTrumpJr: 👋
1259488916731805700,Sun May 10 14:22:12 +0000 2020,RT @retinaldoctor: #ObamaGate  Wow look what's trending on Twitter.  I'll bet these guys aren't laughing today. https://t.co/CE7oikhZmM
1259456774010212400,Sun May 10 12:14:29 +0000 2020,RT @DonaldJTrumpJr: You’d think that someone would be criminally charged for making up things that lead to an impeachment based on false pr…
1259453085874892800,Sun May 10 11:59:49 +0000 2020,RT @realDonaldTrump: A great man for Washington! Will Drain the Swamp!
1259453061824725000,Sun May 10 11:59:44 +0000 2020,RT @realDonaldTrump: Mike has my complete &amp; total endorsement. We need him badly in Washington. A great fighter pilot &amp; hero, &amp; a brilliant…
1259448074470133800,Sun May 10 11:39:55 +0000 2020,RT @SteveDeaceShow: It’s been 15 days, a full #coronavirus incubation period, since @GovKemp was trashed by the media and criticized by @re…
1259447505089106000,Sun May 10 11:37:39 +0000 2020,RT @JennaEllisEsq: @DewayneSpell Our @TeamTrump coalitions are the best resource — click the Election Day Team here: https://t.co/84cVak3sd7
1259447486718062600,Sun May 10 11:37:34 +0000 2020,RT @JennaEllisEsq: PROTECT THE VOTE!  https://t.co/gj8UMxQcqd 🇺🇸
1259446835585912800,Sun May 10 11:34:59 +0000 2020,@SidneyPowell1 Documented Communist voter seems quite nervous.
1259446584913387500,Sun May 10 11:33:59 +0000 2020,But it’s all great because everyone is SAFE! Am I doing this right, lefties? https://t.co/Pj72KmfFVj
1259446162408509400,Sun May 10 11:32:19 +0000 2020,RT @Jim_Jordan: House Democrats are now considering #coronavirus legislation that PAYS states to let criminals out of prison.   But those s…
1259445716285558800,Sun May 10 11:30:32 +0000 2020,RT @MZHemingway: If you are wondering why Obama leaked audio of himself regarding Flynn, my latest on him being implicated in the operation…
1259445293877211100,Sun May 10 11:28:52 +0000 2020,RT @JohnWHuber: Live shot of man living rent free inside Adam Schiff’s head https://t.co/6WhL0iMy70
1259434799984410600,Sun May 10 10:47:10 +0000 2020,Joe Biden calls coronavirus an “incredible opportunity…to fundamentally transform the country” Make no mistake: Joe… https://t.co/lrjJRL6nCK
1259431711986856000,Sun May 10 10:34:53 +0000 2020,@ericbolling I’m so sorry. Can’t imagine what you and your wife must be going through and live with every day. God… https://t.co/amuu5u43oB
1259431302585081900,Sun May 10 10:33:16 +0000 2020,RT @RyanGirdusky: “Those names include former Sen. Jeff Flake, Charlie Sykes, Bill Kristol, Michael Steele, Steve Schmidt, former Rep. Davi…
1259429032753533000,Sun May 10 10:24:15 +0000 2020,RT @marklevinshow: The Tara Reade interview that Biden and the Democrat Party-press don’t want you to watch https://t.co/zZKSzfu2Ea
1259429009718423600,Sun May 10 10:24:09 +0000 2020,RT @marklevinshow: The disgusting, Israel-hating New York Slimes https://t.co/aCrTtESKpw
1259428900876288000,Sun May 10 10:23:43 +0000 2020,RT @realDonaldTrump: https://t.co/iIaEP3Kxek
1259315450707677200,Sun May 10 02:52:55 +0000 2020,RT @realDonaldTrump: CA25 is a Rigged Election. Trying to steal it from @MikeGarcia2020.  @GavinNewsom must act now!
1259315348245004300,Sun May 10 02:52:30 +0000 2020,RT @MikeGarcia2020: 2/The right to vote is sacred and something I fought to protect for nearly two decades. But our citizens should also ex…
1259315319119675400,Sun May 10 02:52:23 +0000 2020,RT @MikeGarcia2020: 1/@ChristyforCA25 and her liberal Dem allies didn’t say anything for weeks even though the polling places were in full…
1259315110826442800,Sun May 10 02:51:34 +0000 2020,RT @realDonaldTrump: Governor @GavinNewsom of California won’t let restaurants, beaches and stores open, but he installs a voting booth sys…
