id,created_at,text
1257745525178282000,Tue May 05 18:54:35 +0000 2020,What a pleasure to know that when Hollywood shakes the dust off herself and starts up again, I'm going back to work… https://t.co/jXDSvuRqc3
1257745201701040000,Tue May 05 18:53:18 +0000 2020,From the first audition, he went out of of his way to fit me into the project. That whole summer his door was open… https://t.co/13iJ6qKQf8
1257745119702286300,Tue May 05 18:52:58 +0000 2020,I wasn't a fully shaped human yet, barely knew who I was or what was coming but the work and the people were so fun… https://t.co/rYRlWqMd0t
1257745003574710300,Tue May 05 18:52:31 +0000 2020,Life is strange and surprising even without a pandemic. 20 years ago i had the pleasure of working with these lovel… https://t.co/XjbNwsbFSX
1252712114650787800,Tue Apr 21 21:33:37 +0000 2020,Found the perfect gif for those anti-lockdown re-open protesters. #wakeupandscream #coronavirus #COVID19… https://t.co/gW4Ks99RXg
1250487938502320000,Wed Apr 15 18:15:32 +0000 2020,How's everyone doing on this fine Wednursuniday? #whatdayisit https://t.co/jRDSHeZp4R
1247260836667719700,Mon Apr 06 20:32:11 +0000 2020,Thank you @BrittanyCurran for picking up my knife when i dropped it and handing it back to me so I could threaten y… https://t.co/Ufc9GyPR2M
1246892872818929700,Sun Apr 05 20:10:01 +0000 2020,Must be Sleepy Sunday #SleepySunday https://t.co/ZXCM6TNr8V
1243232579932823600,Thu Mar 26 17:45:19 +0000 2020,Now, more than ever, the world needs the music of STARHOLE. So many of us have only one thing left to do. May our c… https://t.co/X7HDfNICY9
1242543676162637800,Tue Mar 24 20:07:52 +0000 2020,@MichaelGladis That's @mikedamus' dog Tatiana. I call her Tater Tati.
1242509351727829000,Tue Mar 24 17:51:28 +0000 2020,The pups were always prepared. No 🧻 necessary. https://t.co/ox276ifRMM
1239584045505396700,Mon Mar 16 16:07:21 +0000 2020,#WomensHistoryMonth https://t.co/XHgYxSUCpc
1236768478377492500,Sun Mar 08 21:39:17 +0000 2020,However you feel about Warren, it's sad a woman isn't in the presidential race any longer, especially when she is s… https://t.co/gEAn6yaRqP
1236765771075895300,Sun Mar 08 21:28:32 +0000 2020,RT @RealEOC: Buster Keaton sings and playing ukulele https://t.co/UhTCcIXSOH
1235640095308382200,Thu Mar 05 18:55:30 +0000 2020,RT @NasaPersevere: Call me Perseverance.  I'm headed for Mars: driven to search for signs of ancient life, test new tech to help future hum…
1235392770564554800,Thu Mar 05 02:32:43 +0000 2020,Who loves @MagiciansSYFY? Tune in to @SYFY in half an hour to see me on tonight's episode.  I (quite unprofessional… https://t.co/CRvB0fr2dX
1235392417664204800,Thu Mar 05 02:31:19 +0000 2020,RT @popcultureview: We always cherish #TheMagicians but with the announcement that the show will end with this season, each episode is even…
1235347162420015000,Wed Mar 04 23:31:29 +0000 2020,RT @DirkMaggs: It’s nearly three decades since @neilhimself and I first discussed bringing #Sandman to audio - now thanks to @DCComics and…
1234296869553135600,Mon Mar 02 01:58:00 +0000 2020,This entire thread is a gift https://t.co/1DbMI6wLA2
1232820860332990500,Thu Feb 27 00:12:52 +0000 2020,RT @JillFilipovic: I keep seeing this take and it’s almost like... maybe Warren doesn’t see this as Celebrity Death Match, but as an actual…
1232388517013094400,Tue Feb 25 19:34:53 +0000 2020,🙌🏽 https://t.co/a21shrwLOp
1229220881911754800,Mon Feb 17 01:47:50 +0000 2020,I love to bake bread so this thread is a real trip. https://t.co/XKOApyLfqs
1225471982118088700,Thu Feb 06 17:31:03 +0000 2020,@MrJCLynch Thank you my friend 🙏🏽
1225467999441821700,Thu Feb 06 17:15:13 +0000 2020,Single malt Scotch courtesy of the lovely people at @abramsartists &amp; Door 24. They know how to send off a guy prope… https://t.co/S5no9dRi5o
1225125715026350000,Wed Feb 05 18:35:06 +0000 2020,https://t.co/f6iOosORJ5
1219376340652232700,Mon Jan 20 21:49:09 +0000 2020,RT @MadSecFans: #MadSecFans WHO IS THE MOST RESPONSIBLE STATE DEPARTMENT STAFF &amp; WHY? EXCLUDING #MadamSecretary https://t.co/Slo4IGj04D
1215317220949209000,Thu Jan 09 16:59:39 +0000 2020,⚡️⚡️⚡️ #RIPDavidBowie #davidbowie #BowieForever https://t.co/DrOtY7eJMd
1214931444939837400,Wed Jan 08 15:26:43 +0000 2020,Happy birthday to my all-time favorite musician and wax collaborator @davidbowie. I'll never stop missing you. Than… https://t.co/5RPPpzBSK9
1213191435115212800,Fri Jan 03 20:12:32 +0000 2020,Whoa https://t.co/wVZ4cyaD6p
1208263935943696400,Sat Dec 21 05:52:25 +0000 2019,AMAZON Prime Pakistan. Hope they got that extended warranty. #karachi #karachistreetstyle https://t.co/9ZjCleidX7
1205187342769762300,Thu Dec 12 18:07:08 +0000 2019,https://t.co/RYCjOE9GmJ
1205187264994775000,Thu Dec 12 18:06:49 +0000 2019,https://t.co/rVltlzUbTs
1205187099571474400,Thu Dec 12 18:06:10 +0000 2019,WHO ARE ALL THESE GEOFFREYS https://t.co/xo8JAPnGSe
1201960070625538000,Tue Dec 03 20:23:06 +0000 2019,Wake me up for the weekend adult Zou Zou says. I'm ready for fun, Tater Tati says, what is a week end, every day is… https://t.co/kLckiZgqao
1192508399537315800,Thu Nov 07 18:25:32 +0000 2019,Just a few more @SHO_TheAffair #bts shots for a very good #tbt post. More on my insta: @GeoffreyArend  #showtime… https://t.co/pgU0iyxBQh
1191087333287829500,Sun Nov 03 20:18:44 +0000 2019,How do I make this happen for me and the Zou https://t.co/svEIHjhtHu
1191067977187307500,Sun Nov 03 19:01:49 +0000 2019,Who's ready for tonight's series finale of @sho_theaffair? #showtime #TheAffair #EmilyBrowning #minoltaautocord… https://t.co/pfaXn8JNBE
1190423564563992600,Sat Nov 02 00:21:09 +0000 2019,🐶🐾 https://t.co/Vp9NBlNUSn
1189960074636210200,Thu Oct 31 17:39:24 +0000 2019,I love you NYC https://t.co/FphPYcJFMw
1188871825255743500,Mon Oct 28 17:35:05 +0000 2019,🔂🕰️ https://t.co/qZGvy1DhRm
1188148288291250200,Sat Oct 26 17:40:01 +0000 2019,🤔 https://t.co/LL5WvPop2Z
1187780683332239400,Fri Oct 25 17:19:17 +0000 2019,#fbf to #selfcare at #GalaxysEdge #starwars #disney #jedi #disneyland #jediknight #usetheforce https://t.co/4CiwrhpfPD
1184632417090494500,Thu Oct 17 00:49:12 +0000 2019,🌆😎💜  #SpotTheZou #ZouZou #SonyRX1 #photography #sonycybershot #digitalphotography #digitalcamera #lasunset… https://t.co/LFlZEXAeE6
1180928749921013800,Sun Oct 06 19:32:09 +0000 2019,I want to wish my @MadamSecretary family a fantastic final season. Being part of such a talented group of people, o… https://t.co/NbvFIPjZ8c
1180549619996070000,Sat Oct 05 18:25:37 +0000 2019,RT @tcsced: @GeoffreyArend As someone who loves photography and also appreciates the art of film over digital sometimes, I stumbled upon th…
1179115234398748700,Tue Oct 01 19:25:53 +0000 2019,RT @MadamSecretary: Of all the reasons we love Madam Secretary, YOU are the main one! Tweet why you love #MadamSecretary with #WatchMadamSe…
1176251837827158000,Mon Sep 23 21:47:46 +0000 2019,RT @kylegriffin1: Greta Thunberg at #UNGA: "This is all wrong. I shouldn’t be up here. I should be in school on the other side of the ocean…
1175459965609414700,Sat Sep 21 17:21:09 +0000 2019,Happy #BatmanDay 🦇🖤🦇🖤🦇 https://t.co/9QVZHU30oQ
1175104945839902700,Fri Sep 20 17:50:26 +0000 2019,RT @NewYorker: Watch a live stream of the #ClimateStrike in New York City led by the the sixteen-year-old climate activist Greta Thunberg.…
1174384388177629200,Wed Sep 18 18:07:11 +0000 2019,RT @Horror31: Devil, directed by John Erick Dowdle and starring Chris Messina, Logan Marshall-Green, Geoffrey Arend, Bojana Novakovic, Jenn…
1173335981140918300,Sun Sep 15 20:41:12 +0000 2019,Really missing my #NYC family on this overcast Vancouver Sunday. #familyphotos #family https://t.co/cIl1cbC7aj
1172988381674004500,Sat Sep 14 21:39:57 +0000 2019,Hello Vancouver! Thanks for the do. #canada #actorlife #humidityhair #curlyhair #bedhead #thankyoucanada https://t.co/gZArvJ28Pb
1172612675156795400,Fri Sep 13 20:47:02 +0000 2019,RT @_SJPeace_: This breaks my heart   Stories that are never heard.  #afterseptember11 💔 https://t.co/FePg2DLH8L
1172236459513983000,Thu Sep 12 19:52:05 +0000 2019,Like our President, as one very loud example https://t.co/BO3UX2u8iM
1171121741663539200,Mon Sep 09 18:02:36 +0000 2019,Cannot even begin to describe the magic of seeing @KarenO and @DangerMouseJuke this weekend. It goes beyond music.… https://t.co/r9iXuZcjbs
1170017586190463000,Fri Sep 06 16:55:05 +0000 2019,It's #NationalReadABookDay so #BeLikeBowie and read a book. https://t.co/RDa6QDubFY
1169685472198692900,Thu Sep 05 18:55:22 +0000 2019,Squad goals https://t.co/y9CTLLdaEG
1168999256625164300,Tue Sep 03 21:28:36 +0000 2019,🤜🏼🤛🏼 https://t.co/VDPhF3TjWA
1168200533460574200,Sun Sep 01 16:34:45 +0000 2019,RT @telemooon: This is 水写纸, it's meant for calligraphy practice. I've never seen anyone use its strange properties for animation and I'm gi…
1167476077188538400,Fri Aug 30 16:36:02 +0000 2019,RT @TonyAtamanuik: That’s me.  As I’ve said many times when this video makes the rounds.  She was whip smart. https://t.co/5auS9SYfol
1167251776946475000,Fri Aug 30 01:44:44 +0000 2019,This is incredibly sad. Having a hard time recognizing the city I grew up in. https://t.co/63ms92Nj3a
1167139867089920000,Thu Aug 29 18:20:03 +0000 2019,@BebeNeuwirth Did I get my Madams mixed up? 😉
1167133945097531400,Thu Aug 29 17:56:31 +0000 2019,I feel so much better about life in general after watching this https://t.co/4Kn5tkpvLm
1167108896701472800,Thu Aug 29 16:16:59 +0000 2019,#tbt to @BebeNeuwirth knitting away on the set of @MadamSecretary #madamsecretary #knitting #filmisnotdead #film… https://t.co/I1AWrKDTvO
1166765413985898500,Wed Aug 28 17:32:06 +0000 2019,RT @NewYorker: In the late 1960s, Iggy Pop helped invent and refine punk rock. Now, at the age of 72, he remains an enthusiastic student of…
1166401095075270700,Tue Aug 27 17:24:26 +0000 2019,RT @TonyAtamanuik: This @BernieSanders vs @ewarren bullshit on twitter is absurdity. They would both make fine nominees, relax yourselves.
1166125743149068300,Mon Aug 26 23:10:17 +0000 2019,Happy International Dog Day to Zou Zou, please enjoy these photos from when she was just a baby and we were first g… https://t.co/X7BVUFMvhZ
1165745447878762500,Sun Aug 25 21:59:07 +0000 2019,Proud to say I appear in the final season of @SHO_TheAffair which begins airing tonight! https://t.co/C4sM01EdqZ
1165431802279993300,Sun Aug 25 01:12:48 +0000 2019,RT @BarackObama: With summer winding down, here’s a sampling of what Michelle and I have been listening to — some new, some old, some fast,…
1165006986389467100,Fri Aug 23 21:04:44 +0000 2019,RT @ava: In May 1989, Trump took out a full page ad in the @NYTimes pushing the idea of the death penalty around the case of the Central Pa…
1164667389365170200,Thu Aug 22 22:35:18 +0000 2019,SIGNAL BOOST any/all of the above organizations. Spread the word, tell your friends and family, make your voice hea… https://t.co/hTKFIOKuKY
1164666840620175400,Thu Aug 22 22:33:07 +0000 2019,Contact your elected officials and demand action https://t.co/GJUL1wAwl2 6/
1164666495684743200,Thu Aug 22 22:31:45 +0000 2019,Donate to @AFrontlines https://t.co/7yWNvRAZue 5/
1164665789120700400,Thu Aug 22 22:28:57 +0000 2019,Donate to @AmazonWatch https://t.co/CvQHUQ1ylN 4/
1164665460186603500,Thu Aug 22 22:27:38 +0000 2019,Donate to @RnfrstAlliance to promote sustainable living 3/ https://t.co/8TWVqciaWr
1164665075640230000,Thu Aug 22 22:26:07 +0000 2019,Donate to @RAN with Protect-an-Acre https://t.co/o22kr3T6Aa 2/
1164664579265372200,Thu Aug 22 22:24:08 +0000 2019,This is disturbing news. The Earth's lungs are being destroyed. Here's what we can do 1/ https://t.co/oX9mrHHKmx
1164583630817112000,Thu Aug 22 17:02:29 +0000 2019,.@phil_bourassa's Riddler for #BatmanHush 🙌🏽 https://t.co/zdDxqxDj5W
1164237253666902000,Wed Aug 21 18:06:06 +0000 2019,#BatmanHush is now available on @iTunes India and @YouTubeIndia! 🇮🇳 https://t.co/vcgpPKKDrz
1163630938892488700,Tue Aug 20 01:56:49 +0000 2019,RT @BowieLyricsBot: The music is outside It's happening outside The music is outside It's happening, now Not tomorrow Yesterday Not tomorrow
1163578120491929600,Mon Aug 19 22:26:56 +0000 2019,Still don't fully know what it's about; still excited. 🤷🏻‍♂️ https://t.co/iiMPO3Waw5
1163565573340639200,Mon Aug 19 21:37:05 +0000 2019,.@BurrowJoseph made this gorgeous food and for a second I felt like I was in Europe. Nothing like a passport meal--… https://t.co/5au4QoZvGP
1163138331540119600,Sun Aug 18 17:19:22 +0000 2019,RT @SuperPRGuy: Good to know the voice of #Riddler, ⁦@GeoffreyArend⁩, got his ⁦@BestBuy⁩ exclusive copy of #BatmanHush (complete with colle…
1162840320280801300,Sat Aug 17 21:35:11 +0000 2019,These kids are amazing. Look at what they're doing with a broken iPhone. Proving if you want to make your art, MAKE… https://t.co/jRSCFVwFqx
1162405653337559000,Fri Aug 16 16:47:58 +0000 2019,RT @TaimurODar: I think I'm the only person who thought to compare @GeoffreyArend's first VO job as Upchuck in Daria to his latest role as…
1162064548502880300,Thu Aug 15 18:12:33 +0000 2019,Every day is better with a dog. https://t.co/1970UxgOx3
1161767690027098000,Wed Aug 14 22:32:56 +0000 2019,Important thread👇🏼 https://t.co/kXc2GDbjOY
1160985803113283600,Mon Aug 12 18:46:00 +0000 2019,New project tentatively titled Geoffrey: Hush because I'm not allowed to say anything about it yet. https://t.co/P1looOdCuQ
1160622512490852400,Sun Aug 11 18:42:24 +0000 2019,RT @joe_hill: Do some good &amp; make an idea go viral. September 23rd is Ecological Debt Day. Let's plant 230 million trees in the U.S. to com…
1160215244326625300,Sat Aug 10 15:44:04 +0000 2019,My awesome and talented sister wrote a true crime story for casefile! Listen for nightmares.  #Repost @flossiearend… https://t.co/rYH84pfjLo
1159931038287704000,Fri Aug 09 20:54:44 +0000 2019,RT @ambernoelle: At the darkest moments I like to think maybe this world was created just for David Bowie to live in for a while, and after…
1159919523652427800,Fri Aug 09 20:08:59 +0000 2019,RT @AVForums: Movie Review: Batman: Hush Blu-ray.   A superior Batman tale gets the movie treatment in this 15-rated adaptation, which is o…
1159550510870990800,Thu Aug 08 19:42:39 +0000 2019,❔😈❔ https://t.co/gj4CNupjcb
1158967104827220000,Wed Aug 07 05:04:25 +0000 2019,His performance as the Riddler helped inspire mine. HBD @RealJohnGlover https://t.co/4Vw9RAcpsb
1158834982238019600,Tue Aug 06 20:19:24 +0000 2019,Imperial Palace Batman wants you to get Batman: Hush on Blu-ray. Don't disappoint him.#BatmanHush #Batman… https://t.co/BIYaPQMKNy
