id,created_at,text
1061005288650682400,Fri Nov 09 21:19:07 +0000 2018,It’s been a really rough few days for my hometown of Thousand Oaks. My heart is broken for those who were affected💔
1061004912849412100,Fri Nov 09 21:17:38 +0000 2018,💔💔💔
1055936200127602700,Fri Oct 26 21:36:23 +0000 2018,RT @SI_Swimsuit: HAILEY IS BACK, Y'ALL! #SISwim 2019 👙 https://t.co/KyjJXjdsrL https://t.co/mxnm5tn1kX
1048705003374825500,Sat Oct 06 22:42:11 +0000 2018,❤️ https://t.co/iqcIMMikZb
1046468767323054100,Sun Sep 30 18:36:11 +0000 2018,Let’s go packersssss!! #GoPackGo
1041399002921660400,Sun Sep 16 18:50:45 +0000 2018,#GoPackGo 💥
1020193758787309600,Fri Jul 20 06:28:41 +0000 2018,RT @SI_Swimsuit: A day is not complete without a little Hailey Clauson! https://t.co/PnH7Bfle1J https://t.co/x03hFmzyXM
1018270686585020400,Sat Jul 14 23:07:04 +0000 2018,RT @KateUpton: Such an inspiring day with these women! #SISwimSearch @katebock @SeaBrinkley @Hailey_Clauson @SI_Swimsuit https://t.co/w8Wlp…
1006345342663573500,Tue Jun 12 01:20:01 +0000 2018,⚓️💙Happy Monday💙⚓️ https://t.co/6I0w16nmSW
1001200609544958000,Mon May 28 20:36:41 +0000 2018,RT @giuseppezanotti: Unveiling the new #GZFW18 campaign, lensed by #SebastianFaena and featuring model @Hailey_Clauson. https://t.co/xfCLle…
999383870704250900,Wed May 23 20:17:37 +0000 2018,@haileyoutland Saint Laurent 😜❤️
999351072853381100,Wed May 23 18:07:17 +0000 2018,Long time no talk twitter followers!! Sending my love ❤️ https://t.co/wK2LLQqvaZ
986011273253961700,Mon Apr 16 22:39:41 +0000 2018,RT @SI_Swimsuit: H A I L E Y 🙌🏼 https://t.co/wAg1ltfbJB https://t.co/WgRd2PjLig
976336346011770900,Wed Mar 21 05:54:58 +0000 2018,RT @fashgonerogue: #HaileyClauson Models Biker Glam Fashions for GQ Style UK @Hailey_Clauson https://t.co/I9Y2BbcuIQ https://t.co/PQAQaiyQ9e
975448531375939600,Sun Mar 18 19:07:07 +0000 2018,RT @wwd: .@Hailey_Clauson has re-signed with @FordModels in New York, where she began her career a decade ago: https://t.co/3A2DCeF7xP http…
974397239903866900,Thu Mar 15 21:29:40 +0000 2018,RT @FordModels: #NowRepresenting @Hailey_Clauson | #FORDmodels #HaileyClauson https://t.co/LQ3sABBr6C
971555605746864100,Thu Mar 08 01:18:01 +0000 2018,RT @SI_Swimsuit: HBD to BOMBSHELL @Hailey_Clauson! https://t.co/cbP7uR2K9l
968578227823312900,Tue Feb 27 20:06:59 +0000 2018,Fight like a girl?! Bet your sweet ass I do! 💪🏼😜👊🏼 Thank you @ellenvonunwerth for having me on the first cover of y… https://t.co/7KqxPyPD1z
967068457501188100,Fri Feb 23 16:07:42 +0000 2018,RT @SI_Swimsuit: YAS, QUEEN. @Hailey_Clauson​ 🙌🏼  #SISwim 2018 https://t.co/A3o8usZHu9
966672847010713600,Thu Feb 22 13:55:41 +0000 2018,Honored to have been apart of the beautiful @maxmara show today...thank you for your continued support… https://t.co/StC1Av6DRI
963883367447097300,Wed Feb 14 21:11:17 +0000 2018,RT @extratv: Ready for a special #ValentinesDay treat? @Hailey_Clauson is taking over our @extratv Instagram story for tonight's @SI_Swimsu…
963429580345413600,Tue Feb 13 15:08:06 +0000 2018,I’m back for my fourth year of @SI_Swimsuit baby!!👙💪🏼🌊 https://t.co/RaW01xaxBB
963429410979418100,Tue Feb 13 15:07:25 +0000 2018,Big news!! Can anyone guess what it is?? https://t.co/95UW6irCeM
963429042799239200,Tue Feb 13 15:05:58 +0000 2018,RT @SI_Swimsuit: #SISwim 2018 is here and Danielle Herrington is your cover model! 😍 https://t.co/T3yEQZElYG https://t.co/HAEaKOPyvP
953409218727612400,Tue Jan 16 23:30:45 +0000 2018,#BTS from my shoot in ST.Lucia today 🌺✨🌊 https://t.co/Jsfv6hWtQD
949556420667695100,Sat Jan 06 08:21:07 +0000 2018,RT @bwodders: @Hailey_Clauson looked lovely at the @wmag #BestPerformances celebration https://t.co/YTuKRxUN8u
948265177824206800,Tue Jan 02 18:50:10 +0000 2018,RT @OceanDriveMag: A @SI_Swimsuit veteran and supermodel on the rise, @Hailey_Clauson recreates the first ever #OceanDriveMag cover featuri…
947968384758452200,Mon Jan 01 23:10:49 +0000 2018,Happy new year everyone!!💖
945425457322659800,Mon Dec 25 22:46:08 +0000 2017,Merry Christmas! Sending everyone lots of love and happiness 🎄❤️🎅🏼 https://t.co/Jo9S8PJKFY
940936663643099100,Wed Dec 13 13:29:17 +0000 2017,RT @bwodders: @Hailey_Clauson looked fantas6at the #CRGirls2018 launch https://t.co/1xPgdrsc4R
940000502766387200,Sun Dec 10 23:29:18 +0000 2017,Getting in the holiday mood🎄🔥🎅🏼 and sooo excited about the @packers win!! #GoPackGo https://t.co/DTDOLMDS7p
939606308763852800,Sat Dec 09 21:22:55 +0000 2017,RT @MichaelKors: The new noir: @Hailey_Clauson in Resort 2018 #MichaelKorsCollection. #FameFrames https://t.co/GJWgw1ld2d
937431676896002000,Sun Dec 03 21:21:43 +0000 2017,#gopackgo 🤩🏈💪🏼🧀💚💛
937413484827983900,Sun Dec 03 20:09:25 +0000 2017,Behind the scenes for a secret project✨📸 #staytuned #bts https://t.co/8OkdL832Bf
934658983645687800,Sun Nov 26 05:44:01 +0000 2017,RT @SI_Swimsuit: Go BTS on @Hailey_Clauson's #SISwim 2017 shoot! https://t.co/dlZvSKg33s https://t.co/2j10Y0vJWi
933763954588782600,Thu Nov 23 18:27:29 +0000 2017,Happy thanksgiving from California ❤️ https://t.co/von1NVpIbR
930128133461762000,Mon Nov 13 17:40:02 +0000 2017,The sunset last night was amazing!💖✨💖 https://t.co/FbGo7g2pZE
929816859540463600,Sun Nov 12 21:03:09 +0000 2017,#GoPackGo 💪🏼🍻 https://t.co/FXZoZkSmHx
921088695729504300,Thu Oct 19 19:00:32 +0000 2017,Thank you for helping raise money to find a cure @mrvasfivictor https://t.co/V9dTg2aRlT
919621472481509400,Sun Oct 15 17:50:19 +0000 2017,@reputaytion_89 @AaronRodgers12 😭🙏🏼
919616512683659300,Sun Oct 15 17:30:36 +0000 2017,#GoPackGo ❤️
916076185242734600,Thu Oct 05 23:02:37 +0000 2017,RT @SI_Swimsuit: Throwing it back to @Hailey_Clauson's rookie shoot for #SISwim! https://t.co/K3Cz0Hwwwv https://t.co/jN4aSUrBHN
915688552939352000,Wed Oct 04 21:22:18 +0000 2017,RT @CRFASHIONBOOK: Hot wheels, hot fashion, hot girls. @hailey_clauson in our favorite looks from Milan Fashion Week this season. https://t…
913574078992306200,Fri Sep 29 01:20:08 +0000 2017,#GoPackGo 🏈🧀 https://t.co/L3e5g0BGn2
912775552200839200,Tue Sep 26 20:27:04 +0000 2017,You guys would be proud I'm number one in my fantasy football league! https://t.co/60HGsbTuAJ
912301460326686700,Mon Sep 25 13:03:12 +0000 2017,RT @Yamamay: .@Hailey_Clauson said goodbye to #Milan in the most glamourous way! 🌟 #repost #ad #BEGLAMOUR #BEYOURSELF https://t.co/apWw1dGd…
910994460900757500,Thu Sep 21 22:29:39 +0000 2017,RT @amfAR: #amfARMilano's biggest models come together to make AIDS history. Will you join them in the fight &amp; give for a cure? https://t.c…
909557143807909900,Sun Sep 17 23:18:16 +0000 2017,#GoPackGo 🏈💚💛
907363154157559800,Mon Sep 11 22:00:08 +0000 2017,Last days of summer🍒 https://t.co/7DRktYJlsi
906973518725877800,Sun Sep 10 20:11:52 +0000 2017,@reputaytion_89 @packers Yes I am!!🏈
906972503528091600,Sun Sep 10 20:07:50 +0000 2017,We are ready for the game! 🏈#GoPackGo #footballsunday 💛💚 https://t.co/B6SAbcPBXt
906584207929069600,Sat Sep 09 18:24:53 +0000 2017,RT @TheHannahFerg: #HELP &amp; #SHARE❗️❗️❗️ 🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽 #Repost theracheldavis ・・・ People in The Virgin Islands are… https://t.co/0e5b3jyz8K
906584176316620800,Sat Sep 09 18:24:45 +0000 2017,Always think big and never give up on your dreams❤️
906581807604420600,Sat Sep 09 18:15:21 +0000 2017,https://t.co/UfGVN9bWoA
906581754189946900,Sat Sep 09 18:15:08 +0000 2017,Last night for the @harpersbazaarus icons party! ✨🥂 https://t.co/b9k2WxAd7j
905952507314278400,Fri Sep 08 00:34:44 +0000 2017,Chopped 10 inches of hair off and it feels amazing!💇🏼 https://t.co/T8E2sJ65St
905205036225105900,Tue Sep 05 23:04:33 +0000 2017,👏🏼👍🏼❤️ Models Talk: Racism, Abuse and Feeling Old at 25 https://t.co/eXNasGXFrf via @nytvideo
904140695002341400,Sun Sep 03 00:35:14 +0000 2017,RT @Fendi: Saturday mood. @Hailey_Clauson sizzles in a sheer scarlet #FendiFW17 look. @ZoeyGrossman for CMagazine https://t.co/dAD4T1EdnB
903681321146384400,Fri Sep 01 18:09:51 +0000 2017,Who's ready for the long weekend?! I know I am! 💤🌊🍔 https://t.co/80uJdmmHxh
903352956371787800,Thu Aug 31 20:25:02 +0000 2017,Who excited for football season starting up again??I'm doing my first fantasy league this year!😜🏈 #GoPackGo https://t.co/h0KKJo0RDJ
903269130886946800,Thu Aug 31 14:51:57 +0000 2017,Any donations will help! You can also donate to @SavetheChildren
903267720673755100,Thu Aug 31 14:46:21 +0000 2017,I support the American Red Cross https://t.co/wlwnKW7Pb8
903263473471246300,Thu Aug 31 14:29:28 +0000 2017,Sending my love to everyone in Houston❤️
901085417897943000,Fri Aug 25 14:14:39 +0000 2017,@Aly_Raisman Miss you too!❤️
900786548458868700,Thu Aug 24 18:27:03 +0000 2017,Stomping through the streets of NYC!🍎 https://t.co/gNQq9HyOni
900373213938503700,Wed Aug 23 15:04:36 +0000 2017,#NewProfilePic https://t.co/Q7Yc6RRqp9
899738563729739800,Mon Aug 21 21:02:44 +0000 2017,Be the best you for YOU, no one else!❤️
899687218842939400,Mon Aug 21 17:38:43 +0000 2017,RT @SI_Swimsuit: Can't get enough of Hailey Clauson! https://t.co/d8tQCZrxhX https://t.co/jaTI7cA8OH
892869788841594900,Wed Aug 02 22:08:41 +0000 2017,Sending love from Mexico ❤️🌵 https://t.co/kh1gBMWy5B
891061575284609000,Fri Jul 28 22:23:29 +0000 2017,What are you drinking tonight?🍸 https://t.co/53vUr1FijR
889539357031493600,Mon Jul 24 17:34:44 +0000 2017,RT @Yamamay: Urban chic and sporty romantic. Snap from @Hailey_Clauson  backstage! https://t.co/L6EER8iEGh #Preview #Lingerie #Autumn #AI17…
889539314106990600,Mon Jul 24 17:34:33 +0000 2017,RT @CRFASHIONBOOK: .@Hailey_Clauson's ultimate guide to globe trotting and summer cocktails: https://t.co/8DFLRmu5ec https://t.co/pt2u0WoVxQ
888928346532347900,Sun Jul 23 01:06:47 +0000 2017,RT @SI_Swimsuit: A few special guests are joining us tonight! #SISwimSearch #SISwim 👯 @WSOBE @samanthahoopes @Hailey_Clauson https://t.co/I…
884528327008112600,Mon Jul 10 21:42:41 +0000 2017,Please click on the link below to help donate for this girls surgery🙏🏼 https://t.co/QsAkN3k0sk
884462252715331600,Mon Jul 10 17:20:08 +0000 2017,🌟🌙🌟 Hi guys!! Sorry I haven't been tweeting much. Hope everyone is having a good summer! 💖 https://t.co/rfoI6njMlh
883035982546706400,Thu Jul 06 18:52:38 +0000 2017,RT @funnyordie: Wish you could marry fashion model @Hailey_Clauson? Why not try proposing to her on Instagram? https://t.co/b9FDPSikxf
882628480508207100,Wed Jul 05 15:53:22 +0000 2017,RT @GQdotcoza: 13 Reasons why we love cover girl @Hailey_Clauson: https://t.co/uAcDxGktyy https://t.co/2grdiWAxyJ
879430537995100200,Mon Jun 26 20:05:53 +0000 2017,New cover of GQ South Africa out today! 💛😇 https://t.co/OjN25oA9IF
872923574222417900,Thu Jun 08 21:09:32 +0000 2017,RT @SI_Swimsuit: .@Hailey_Clauson​ is the ICE QUEEN. ❄️ 👑 https://t.co/D1irSCtJhl
870323667862933500,Thu Jun 01 16:58:26 +0000 2017,RT @SI_Swimsuit: .@Hailey_Clauson​ shooting with water buffalo is one of the coolest things we've ever seen! https://t.co/7JJHtWjPHV
868869731956256800,Sun May 28 16:41:01 +0000 2017,At a winery in the hamptons!🍷 https://t.co/9wFQ3MoIpk
868556880188231700,Sat May 27 19:57:51 +0000 2017,✨🥂✨ https://t.co/n9mDrTM3PM
866090150576738300,Sun May 21 00:35:57 +0000 2017,🦋had fun today at Coney Island🦋 https://t.co/LLzjBz9jEC
864960104029933600,Wed May 17 21:45:33 +0000 2017,Having a blast in Turks and Caicos!💃🏼 https://t.co/EN9CJ7zRss
862131804341493800,Wed May 10 02:26:54 +0000 2017,Good night world🌟🌙⚡️ #bts from today shoot! https://t.co/3OIbmbP5iS
861277320295977000,Sun May 07 17:51:29 +0000 2017,Hope everyone is having an awesome weekend 🙋🏼 https://t.co/6kbUDQnJFU
860914041711099900,Sat May 06 17:47:57 +0000 2017,Caption this 😂 https://t.co/slem1Zs0qQ
859596935749136400,Wed May 03 02:34:14 +0000 2017,Walking across the Williamsburg bridge today💕 https://t.co/q32ZTjL5NK
859498112108376000,Tue May 02 20:01:33 +0000 2017,💙🦋💙 https://t.co/nhXhUauF30
859084084043239400,Mon May 01 16:36:21 +0000 2017,Have a good Monday everyone 😇 https://t.co/6ASUrduH8D
858062038689603600,Fri Apr 28 20:55:06 +0000 2017,RT @ToniGarrn: Whoever has the longest arm 📸 https://t.co/FOI2D0MUrB
858061953457152000,Fri Apr 28 20:54:46 +0000 2017,RT @illustratedbr: Hailey Clauson via Instagram. https://t.co/YeRpOejgFg
856913408360194000,Tue Apr 25 16:50:51 +0000 2017,@harrisxu45 @SI_Swimsuit Thank you!
856913348868284400,Tue Apr 25 16:50:37 +0000 2017,@DStraker90 @SI_Swimsuit 😘
855451069215760400,Fri Apr 21 16:00:03 +0000 2017,Did someone say Friday? 😉 @SI_Swimsuit #FridayFeeling https://t.co/V6vs1StemH
855111781622063100,Thu Apr 20 17:31:50 +0000 2017,@bmaccc34 ❤️❤️
855111266578219000,Thu Apr 20 17:29:47 +0000 2017,@rumpolekid Thank u! 😊
855111125632929800,Thu Apr 20 17:29:14 +0000 2017,#TBT to shooting @VogueParis with @joansmalls. 📷 Shot by Josh Olins 💖 https://t.co/IhHnXCQQMe
854802026034757600,Wed Apr 19 21:00:59 +0000 2017,RT @SI_Swimsuit: "Pretty much, I was bottomless in a yoga pose." 😂 https://t.co/A2jKsRg4tr
854768593778507800,Wed Apr 19 18:48:08 +0000 2017,@KPL2383 😊
854768526837432300,Wed Apr 19 18:47:52 +0000 2017,@Jh57742269 👍👍
854765084823887900,Wed Apr 19 18:34:11 +0000 2017,Back in NYC 🙋🏼 https://t.co/p2ZjorCjl2
854726301491572700,Wed Apr 19 16:00:04 +0000 2017,Couldn't ask for a better way to start my day #pilates #WorkoutWednesday https://t.co/LKeduIlmzu
854447484558426100,Tue Apr 18 21:32:09 +0000 2017,@DQ_the_Man @bebe_Stores Thanks Danny! 😊
854447428434444300,Tue Apr 18 21:31:56 +0000 2017,@hotburrito9 @SI_Swimsuit Yep 😉
854393176265642000,Tue Apr 18 17:56:21 +0000 2017,Canadian tuxedo 👖💕😎 @bebe_Stores #BebeBabe https://t.co/LKTcJw8Ged
854119169461076000,Mon Apr 17 23:47:33 +0000 2017,@harrisxu45 Thx 😄
854100480821125100,Mon Apr 17 22:33:17 +0000 2017,🌸🌸🌸 https://t.co/t9WvTBw64Z
854033068838969300,Mon Apr 17 18:05:25 +0000 2017,@DQ_the_Man Hot!
854033038237253600,Mon Apr 17 18:05:18 +0000 2017,@rumpolekid @REVOLVE Almost 😂
854032967630413800,Mon Apr 17 18:05:01 +0000 2017,@JedBrown5 @REVOLVE I had a blast ❤
854018989172826100,Mon Apr 17 17:09:28 +0000 2017,Now that was a party 😉 @REVOLVE #coachella https://t.co/JxsAHkcojv
853042071657037800,Sat Apr 15 00:27:33 +0000 2017,@AtMikeBrady haha 😉
853022117306155000,Fri Apr 14 23:08:15 +0000 2017,Soaking up some sun before heading to the festival 🍒 https://t.co/hop3FRMIcV
852914359269376000,Fri Apr 14 16:00:04 +0000 2017,It was a lovely day to be in NYC ❤💐 #FridayFeeling #FlashbackFriday https://t.co/1mmBlQYYST
852661130279264300,Thu Apr 13 23:13:49 +0000 2017,@JFields85 #coachella17 🙌
852661033629925400,Thu Apr 13 23:13:26 +0000 2017,@MichaelMar54 Thank you ❤
852621877377773600,Thu Apr 13 20:37:51 +0000 2017,On my way to Palm Springs! Who's going to Coachella? 🌴 https://t.co/rPID7wtX69
852551960398102500,Thu Apr 13 16:00:01 +0000 2017,Stranded in @reformationx 🌞🌵 #RefBabe https://t.co/qYXtSEsonE
852300177696112600,Wed Apr 12 23:19:31 +0000 2017,@DStraker90 hehe 😉
852300129012817900,Wed Apr 12 23:19:20 +0000 2017,@DQ_the_Man Thank u! Happy Wednesday to you too!
852276904195366900,Wed Apr 12 21:47:03 +0000 2017,What's up California ✌🏼☀️🌼 https://t.co/aAjBAeMthd
852274271808143400,Wed Apr 12 21:36:35 +0000 2017,RT @SI_Swimsuit: .@Hailey_Clauson and Bo Krsmanovic are so 🔥  we were afraid the ice would melt in Finland! https://t.co/jZLVH8Do24
852231424287457300,Wed Apr 12 18:46:19 +0000 2017,@nycphotocorp @SI_Swimsuit Lol thank you! 😂
852231254351138800,Wed Apr 12 18:45:39 +0000 2017,@myfloodmap @SI_Swimsuit I'll try 😉
852189572394045400,Wed Apr 12 16:00:01 +0000 2017,Just a casual day at work 😉 @SI_Swimsuit ❄️ https://t.co/0wTJGFs9va
851852738233106400,Tue Apr 11 17:41:34 +0000 2017,@faheem_kpk ❤
851852646142980100,Tue Apr 11 17:41:12 +0000 2017,@MrJR_4 @BARCanimals You should get one!
851827182850658300,Tue Apr 11 16:00:01 +0000 2017,Happy #NationalPetDay! ❤ Salvador Dali isn’t my pet, but he could be yours!! You can adopt him from @BARCanimals 🐶 https://t.co/V9KK7Rmc65
851579997345034200,Mon Apr 10 23:37:47 +0000 2017,@cjreview3 @SI_Swimsuit haha 😉
851491989010825200,Mon Apr 10 17:48:04 +0000 2017,@MStepney71 @SI_Swimsuit ❤️
851491933897629700,Mon Apr 10 17:47:51 +0000 2017,@PhilJ_Rose @SI_Swimsuit Yay! 😎
851481449261711400,Mon Apr 10 17:06:11 +0000 2017,Hope this brightens up your Monday just a bit 😉 @SI_Swimsuit 🌞 https://t.co/XoDiwcUFoU
850435438917451800,Fri Apr 07 19:49:43 +0000 2017,@MichaelMar54 thanks Michael!
850389516980330500,Fri Apr 07 16:47:14 +0000 2017,@JedBrown5 Yep ❤️
