id,created_at,text
1260550083784949800,Wed May 13 12:38:54 +0000 2020,RT @nancywyuen: Get a “taste” of ASIAN AMERICANS documentary series airing on PBS starting tomorrow, May 11-12 8/7c, w/these amazing cookie…
1260550026092261400,Wed May 13 12:38:40 +0000 2020,RT @scottwongDC: "ASIAN AMERICANS," the 5-part @PBS series "is the most ambitious documentary project ever to chronicle the history of the…
1260549930487332900,Wed May 13 12:38:17 +0000 2020,RT @latimes: As Asian Americans face racist attacks, a PBS series celebrates their unsung history https://t.co/7MhVlgSJw2
1260250203669627000,Tue May 12 16:47:17 +0000 2020,@sekkyoyo Thanks!
1260249971431026700,Tue May 12 16:46:22 +0000 2020,@KyleExplores Thanks!!!
1260222815535587300,Tue May 12 14:58:27 +0000 2020,RT @ajplus: "I felt like my life had been put at risk."  Passengers aboard American Airlines say the airline didn't follow social distancin…
1260217646148173800,Tue May 12 14:37:55 +0000 2020,Asking for suggestions of Chinese-language media/Weibo accounts I should follow plz.  Thanks for watching my latest… https://t.co/0ALsLfLlov
1260048727185784800,Tue May 12 03:26:41 +0000 2020,RT @michaelharriot: You wanna know why the Ahmaud Arbery story is so disturbing for a lot of us?   Because many black people can recall a s…
1260046857943822300,Tue May 12 03:19:16 +0000 2020,RT @soledadobrien: The racism is strong, but reporters will normalize this press conference in their coverage tomorrow.
1260046698367324200,Tue May 12 03:18:38 +0000 2020,@gabrielledrolet Aww I see. It’s always good to feel something tho right? ☺️ good luck with your reporting!
1260046300944437200,Tue May 12 03:17:03 +0000 2020,@LaCharles88 I really don’t understand why people think they are safe in general just by being 6 feet apart tho. Th… https://t.co/PlRVETrUHz
1260044712322519000,Tue May 12 03:10:44 +0000 2020,RT @Swerdlick: “And maybe that’s a question you should ask China.”  “Sir, why are you saying that to me, specifically?”  https://t.co/ilHlX…
1260043949294653400,Tue May 12 03:07:42 +0000 2020,@gabrielledrolet I always try to be as transparent as I can with interviewees about how my work operates, so they c… https://t.co/IzLBRqZWoS
1260007448103903200,Tue May 12 00:42:40 +0000 2020,@WangAnd1 谢谢❤️
1260006337297203200,Tue May 12 00:38:15 +0000 2020,@GenePark Hahahah it’s a given ;)
1260004043075866600,Tue May 12 00:29:08 +0000 2020,I heard humor helps.  https://t.co/AySzoPPuTJ https://t.co/KGgja6TXj1
1259993962875695000,Mon May 11 23:49:04 +0000 2020,Very grateful for @CNStorytellers’ support. They found me and told me the news before I even saw it online. https://t.co/ZGJ8rq7PpY
1259986715290329000,Mon May 11 23:20:17 +0000 2020,RT @jinkding: 72 hours after DHS's new visa rule. I am still sitting here waiting for any of those media outlets which have Chinese mainlan…
