id,created_at,text
1259863664770850800,Mon May 11 15:11:19 +0000 2020,The African Ranger Awards @ParadiseFdn are aiming to illuminate the role of rangers in nature conservation and help… https://t.co/XHGoiBYiX6
1259846631333286000,Mon May 11 14:03:38 +0000 2020,“Finding solutions that promote restoration and conservation of healthy ecosystems whilst addressing societal inequ… https://t.co/vIvj7z1exB
1259845147497500700,Mon May 11 13:57:44 +0000 2020,Now she's up, exploring and all is well @DEFCCOfficial https://t.co/IdvMlGSmWx
1259843460783366100,Mon May 11 13:51:02 +0000 2020,Oh my goodness, don't you just want to rush over and help her up - although I'm sure Mum would have something to sa… https://t.co/1epJ6GMDay
1259796306823983000,Mon May 11 10:43:40 +0000 2020,RT @OlPejeta: WELCOME BABY RHINO JOJO!  Ol Pejeta was thrilled to hear that North Carolina Zoo (@NCZoo ) has named their most recent additi…
1259780760308981800,Mon May 11 09:41:53 +0000 2020,RT @indiablooms: Assam: Poachers kill one-horned @HelpingRhinos #rhino in #Kaziranga amid #Covid19 #lockdown https://t.co/OnhsX0Ii7S @AntiP…
1259391971468234800,Sun May 10 07:56:59 +0000 2020,In many countries around the world, today is #MothersDay, so we take this opportunity to salute all the mums out th… https://t.co/q5eHrtZ3dP
1259047031928225800,Sat May 09 09:06:19 +0000 2020,Pangolin immune system may shed light on how to defeat Covid-19 https://t.co/UkeNXudwvm
1258691379431170000,Fri May 08 09:33:04 +0000 2020,RT @Independent: 15 of Sir David Attenborough's best quotes https://t.co/GfoEqsUjPC
1258686421432483800,Fri May 08 09:13:22 +0000 2020,RT @HelpingRhinos: Innovation for conservation as rhinos battle for survival https://t.co/pCxOAoed9h
1258675883465998300,Fri May 08 08:31:30 +0000 2020,HAPPY 94th BIRTHDAY #DavidAttenborough.  You remain an inspiration to us all. https://t.co/rd2ZNQ1lzC
1258668006097518600,Fri May 08 08:00:12 +0000 2020,Indulge the one you love with stunning @Rhino_Tears jewellery.  Every piece is helping to #ProtectTheLastRhinos  Sh… https://t.co/cTKblWOn5e
1258634782214443000,Fri May 08 05:48:11 +0000 2020,Innovation for conservation as rhinos battle for survival https://t.co/pCxOAoed9h
1258419159165276200,Thu May 07 15:31:22 +0000 2020,South China Guangdong Province bans wildlife trade as food, wild animals as pets. 'The revised law will set up an e… https://t.co/8x4uzsVimB
1258411432699408400,Thu May 07 15:00:40 +0000 2020,Do you mind if I also clap for my wonderful carers @zululandrhino orphanage and all the rangers helping to… https://t.co/htSV5XexBF
1258381394675478500,Thu May 07 13:01:18 +0000 2020,Unbelievable!! SA now proposing that rhino and many other precious and threatened wildlife species may be slaughter… https://t.co/E9x8qiM6gg
1258315649023172600,Thu May 07 08:40:03 +0000 2020,How the Coronavirus changes poaching strategies.  “Poaching has ramped up significantly since the nationwide lockdo… https://t.co/3aZlb4Byep
1258302750238146600,Thu May 07 07:48:48 +0000 2020,@SiblingSuicide The baby rhino has not yet been born so we must wait to see, when it does arrive, if it is male or female.
1258000883880779800,Wed May 06 11:49:17 +0000 2020,RT @TRAFFIC_WLTrade: Latest @UNEP film: Wildlife crime - a threat to our health https://t.co/RvB9fgfjbp via @YouTube
1257995678908899300,Wed May 06 11:28:36 +0000 2020,Richard Vigne, MD of @OlPejeta one of distinguished panel discussing the future of wildlife post Covid-19, hosted b… https://t.co/AdHPeny5dL
1257993795435745300,Wed May 06 11:21:07 +0000 2020,RT @Junglelens_: Rhinos rest on the wide-open plains of @OlPejeta Conservancy in northern Kenya. @OlPejeta is the largest sanctuary for the…
1257988203694473200,Wed May 06 10:58:54 +0000 2020,Can the last wild rhinos be saved from extinction? 'If the rhinos of Earth should be vanquished by the greed that i… https://t.co/CoLzAbVZYV
1257987812114288600,Wed May 06 10:57:21 +0000 2020,RT @JournoJane: The #coronavirus threat to our nearest relatives: https://t.co/RGi922MNZN
1257953708626907100,Wed May 06 08:41:50 +0000 2020,RT @DrWillFowlds: Have a look at one way the @WildernessFdnSA is working to support both people and places, by bringing community and conse…
1257946181700923400,Wed May 06 08:11:55 +0000 2020,RT @HORNi_Rhino: Did you know that #HORNi is an anagram of #RHiNO?  Visit our website for information on how HORNi is helping to protect rh…
1257945856545902600,Wed May 06 08:10:38 +0000 2020,When hippos Charlie and Moomin grew too big for the rhino mud pools @zululandrhino, something much larger was requi… https://t.co/F1ZQRA2WN6
1257942279278428200,Wed May 06 07:56:25 +0000 2020,Love your work @edu_GetCreative for @blackmambasapu #educational  #motivational https://t.co/dhFt8N9jN6 https://t.co/BxVXR31JAU
1257934131553620000,Wed May 06 07:24:02 +0000 2020,RT @blackmambasapu: ‼️Snares=#Poaching‼️  @blackmambasapu are doing regular snare sweeping which is not an easy job. The ladies should stay…
1257347509564948500,Mon May 04 16:33:01 +0000 2020,Top Ten Rhino Facts with @HelpingRhinos.  Which is the largest of the rhino species?  What is rhino horn made of?… https://t.co/ZGzv7q5L4U
1257337950687330300,Mon May 04 15:55:02 +0000 2020,Exclusive: Botswana is quietly evacuating black rhinos amid poaching threat https://t.co/teiG9JsXwX via @NatGeo
1257314813467717600,Mon May 04 14:23:05 +0000 2020,'I hope there are better days ahead for rhinos. Saving mother earth is a collective responsibility and as a team we… https://t.co/38IuFA9zhm
1257303623232393200,Mon May 04 13:38:38 +0000 2020,RT @DrWillFowlds: 'Although the benefits of biodiversity and natural areas are universal, the costs of protection are high and disproportio…
1257299119351173000,Mon May 04 13:20:44 +0000 2020,RT @RussellRhino_: Have you tried the new @RussellRhino_ candles?! Vegan friendly ☀️ 100% natural ingredients 🌿🏡 Lovely to brighten up the…
1257298824420180000,Mon May 04 13:19:33 +0000 2020,RT @KateTerriere: My first @HORNiOrg coffee. It's fabulous and tastes even better knowing you're @HelpingRhinos too! #coffee #conservation…
1257225105765212200,Mon May 04 08:26:37 +0000 2020,#MondayMotivation Great team @blackmambasapu https://t.co/AB5mdPjI6K
1257222957279129600,Mon May 04 08:18:05 +0000 2020,Fabulous - thank you @crimsonmedici - great songs. https://t.co/HA7Aqc4uk4
1256568542729822200,Sat May 02 12:57:41 +0000 2020,RT @NatGeo: Next, @Dina_Maron is following how COVID-19 and tourism declines are breeding an uptick in poaching in Botswana... https://t.co…
1256493673480687600,Sat May 02 08:00:10 +0000 2020,THANK YOU to everyone who entered our #NameABabyRhino competition. Congratulations to the winner (to be announced s… https://t.co/zoq5TLibOT
1256248203441328000,Fri May 01 15:44:46 +0000 2020,DON'T MISS IT! Just two hours to go to Name a Baby Rhino and Safari @KariegaGameRes (when travel allows).  Every en… https://t.co/7O9pWVVaIs
1256222254033244200,Fri May 01 14:01:39 +0000 2020,@PeterJHowson Ah yes I wondered if that name would surface 🤣 but only the winner gets to choose so do enter... https://t.co/Toaa2IJH82
1256213538458271700,Fri May 01 13:27:01 +0000 2020,#FridayFeeling Feeling lucky? Last chance TODAY to enter to #Win... https://t.co/Toaa2IJH82. Prize Draw close… https://t.co/wcCws20pyl
1256207895584297000,Fri May 01 13:04:36 +0000 2020,“Not only does the win shine a spotlight on the rhino crisis, but it is extremely relevant due to the current coron… https://t.co/iXVKk8Io11
1256191017193275400,Fri May 01 11:57:32 +0000 2020,RT @julianrademeyer: Poaching fears rise as tourism to Kenya’s national parks collapses amid the coronavirus pandemic via @FT https://t.co/…
1256190030734930000,Fri May 01 11:53:36 +0000 2020,RT @KariegaGameRes: #WORKERSDAY We salute our anti-poaching team who protect our rhino. We have been fundraising for the last month to help…
1256141793655226400,Fri May 01 08:41:56 +0000 2020,#MayDay #MayDay Last chance to enter our Prize Draw to 'Name A Baby Rhino &amp; a 3 night Safari to @KariegaGameRes (wh… https://t.co/YEjzl4ObEj
1256132340155396000,Fri May 01 08:04:22 +0000 2020,RT @NYTScience: “We are tracking significant amounts of new trafficking activity in multiple countries, which seems to indicate that traffi…
1256130308883218400,Fri May 01 07:56:18 +0000 2020,RT @blackmambasapu: Morning encounter with a family of #giraffes during the regular foot patrol😄🦒🦒🦒🌳 https://t.co/yI6wDauZjb
1256130062962876400,Fri May 01 07:55:19 +0000 2020,RT @blackmambasapu: #Sergeants Cute and Belinda are on duty, during the morning patrol in Grietjie, #GreaterKruger. Our Mambas have been wo…
1255858972973830100,Thu Apr 30 13:58:06 +0000 2020,ONE day left for your chance to WIN 'Name a Baby Rhino' &amp; 3 Night Safari @KariegaGameRes  Enter here...… https://t.co/rXuRPL9uP4
1255850933235351600,Thu Apr 30 13:26:09 +0000 2020,Hear now from @sjones10, CEO @HelpingRhinos and @DrWillFowlds on how #COVID19 is impacting #rhino #conservation in… https://t.co/4XcoQDH2FF
1255795032847790000,Thu Apr 30 09:44:02 +0000 2020,#BeMoreRhino Check out some #funfacts about the different #rhino species and then test your knowledge with our rhin… https://t.co/0sVZ5gwDLV
1255789845705826300,Thu Apr 30 09:23:25 +0000 2020,TODAY 19:00 BST / 14:00 EST Simon Jones, CEO @HelpingRhinos will be joining a virtual panel to discuss the plight o… https://t.co/2G4llJQhXn
1255771950351294500,Thu Apr 30 08:12:18 +0000 2020,This pandemic will devastate Africa’s wildlife unless we rally right now @NoelleSalmi @OlPejeta https://t.co/etRnQgLznJ via @MatadorNetwork
1255770214542848000,Thu Apr 30 08:05:24 +0000 2020,UK Electro duo, @crimsonmedici have produced a stunning recording of #1 song ‘Survivor’, offering a lifeline and su… https://t.co/JJZhVcQu5N
1255491475649048600,Wed Apr 29 13:37:48 +0000 2020,For all the Ranger support and #rhino protection your entry will provide we say a very big 'Thank You'. Just a coup… https://t.co/zfzSfAa1Xm
1255490027485790200,Wed Apr 29 13:32:03 +0000 2020,Still time to complete your #TwoPointSixChallenge or even start another one! #Rhinos thank you 🦏🥰… https://t.co/kwDU847V0k
1255488394181988400,Wed Apr 29 13:25:33 +0000 2020,RT @SANParksKNP: As a warm winter's day comes to an end, elephants quench their thirst at a waterhole outside of Bateleur Bushveld Camp.  P…
1255487302022955000,Wed Apr 29 13:21:13 +0000 2020,RT @UNEP: We can build back better to create a healthy, resilient, prosperous, just &amp; decarbonized world after the #COVID19 crisis subsides…
1255486046399332400,Wed Apr 29 13:16:13 +0000 2020,Simply wonderful (and not a rhino in sight!). https://t.co/3tqgMHHU51
1255485693041746000,Wed Apr 29 13:14:49 +0000 2020,RT @OlPejeta: We have some exciting news for our #SofaSafari on Friday. We will be joined by award winner Nat Geo photographer, @amivitale.…
1255411596496720000,Wed Apr 29 08:20:23 +0000 2020,RT @RussellRhino_: Check out Evie in her @RussellRhino_ hoodie! Get your hoodie or garment customised online via the Russell Rhino everyday…
1255406821415833600,Wed Apr 29 08:01:25 +0000 2020,G20 Countries urged to take action on wildlife markets to reduce the risk of new diseases like COVID-19 spilling ov… https://t.co/ER3pUE53m0
1255054702234030000,Tue Apr 28 08:42:13 +0000 2020,@RobynGwilt @KariegaGameRes Great suggestions but don't forget to enter to be in with a chance to #win the opportun… https://t.co/R1H9zPnIYY
1255053156091932700,Tue Apr 28 08:36:04 +0000 2020,RT @KariegaGameRes: What would you NAME A BABY RHINO as brave as this one? Last week to enter our @HelpingRhinos Name a Baby Rhino Prize Dr…
1255052932694843400,Tue Apr 28 08:35:11 +0000 2020,@nicolakidsbooks @nicolakidsbooks Thank you - you can reach us via our website https://t.co/xclpcD8rB7 or a DM with… https://t.co/82d9qXNH2a
1255051251554885600,Tue Apr 28 08:28:30 +0000 2020,Do enter https://t.co/Toaa2IJH82 and you never know... it could be you! https://t.co/2eLXd01BNy
1255022914979729400,Tue Apr 28 06:35:54 +0000 2020,Halt destruction of nature or suffer even worse pandemics, say world’s top scientists https://t.co/JjrZDOz3jq
1255022355652456400,Tue Apr 28 06:33:41 +0000 2020,RT @Zambia_Reports: Latest: 4 Kilos Of Rhino Horns Land Priest, Police Officer And A Lusaka Businessman In Court! https://t.co/EUTaJvclR1
1254824438576578600,Mon Apr 27 17:27:14 +0000 2020,As lockdown continues and tourists remain conspicuous by their absence, ranger and financial resources are stretche… https://t.co/s7CPjkNLpD
1254742041591984000,Mon Apr 27 11:59:49 +0000 2020,RT @DrWillFowlds: Tragic news from @gorillacd our condolences to all those affected by this terrible event. 'At least 17 people, including…
1254736656575402000,Mon Apr 27 11:38:25 +0000 2020,Competitions, quizzes and questions answered. So much to do each week with @HelpingRhinos #BeMoreRhino… https://t.co/ka5E8Qca76
1254726597409636400,Mon Apr 27 10:58:27 +0000 2020,#MondayMotivaton #socute 6 year old Eva has chosen her baby #rhino name. What name will you choose? Hurry, hurry, j… https://t.co/iJgvhuGsy4
1254722757704781800,Mon Apr 27 10:43:11 +0000 2020,RT @crimsonmedici: Follow the inspirational story of Thandi the Rhino... A true Survivor.   Please support @HelpingRhinos  Watch the video…
1254709098333044700,Mon Apr 27 09:48:55 +0000 2020,The huge challenge facing @FollyFarmWales amid the coronavirus although two-month old Glyndŵr is not bothered, as l… https://t.co/41wGMStY7n
1254690537384403000,Mon Apr 27 08:35:09 +0000 2020,Thula Thula rhino poaching attempts foiled. Thula Thula Managing Director, Francoise Anthony, said two groups of po… https://t.co/YfVe41mht7
1254688345164259300,Mon Apr 27 08:26:27 +0000 2020,Hawks pounce on suspects in possession of six rhino horns in Mpumalanga, South Africa. https://t.co/0FONZnMz5u via @News24
1254686898641133600,Mon Apr 27 08:20:42 +0000 2020,At least six rhinos have been killed in Bostwana after the country's tourism dries up due to coronavirus ...… https://t.co/tryj1EhxvJ
1254682576079523800,Mon Apr 27 08:03:31 +0000 2020,Grasslands management, restoration of wetlands and anti-erosion matters preferred by conservationists, rather than… https://t.co/iRX8XPvkuo
1254679309471690800,Mon Apr 27 07:50:32 +0000 2020,BBC Travel Presenter, Simon Reeve, warns lockdown has left animals vulnerable to poachers. With rangers laid off, e… https://t.co/KH7HmucT9W
1254675378922233900,Mon Apr 27 07:34:55 +0000 2020,RT @RussellRhino_: @ElizabethShaw12 @HelpingRhinos Hey! We have a few available online! 🥰 They are under the accessories section! #HelpingR…
1254675081814515700,Mon Apr 27 07:33:44 +0000 2020,It's not too late to take part... https://t.co/2ek2KJ3dOm https://t.co/ybCHibxxwW
1254674721137885200,Mon Apr 27 07:32:18 +0000 2020,RT @AnithaRobinson: Update! In anticipation of the publication of my #PB about an orphaned rhino, I completed the @HelpingRhinos 2point6-ch…
1254473478813687800,Sun Apr 26 18:12:38 +0000 2020,THANK YOU to everyone who donated to @helpingrhinos and @olpejeta as part of the #twopointsixchallenge. DOn't forge… https://t.co/ymNC056KWW
1254447723790700500,Sun Apr 26 16:30:18 +0000 2020,#TwoPointSixChallenge An elephant never forgets and neither do we! @HelpingRhinos and @OlPejeta thank you from the… https://t.co/SDDkNJ3RUB
1254394931214499800,Sun Apr 26 13:00:31 +0000 2020,#TwoPointSixChallenge 26 brush strokes of your pussy cat (he or she will love it) or a catwalk in your living room… https://t.co/up39KtWF6r
1254342001832706000,Sun Apr 26 09:30:12 +0000 2020,#TwoPointSixChallenge Man’s closest living relative would like to show you how he can get 26 termites on a stick in… https://t.co/gQ3VGjJ3my
1254319672972972000,Sun Apr 26 08:01:28 +0000 2020,This is good news, but we must remember that the international borders are closed, so getting horn out of the count… https://t.co/GPWaueHAzI
1254318772925669400,Sun Apr 26 07:57:54 +0000 2020,South Africa's Department of Environment, Forestry and Fisheries (DEFF) reports “a significant decrease” in poachin… https://t.co/y34Y9T4rzn
1254304276303798300,Sun Apr 26 07:00:17 +0000 2020,Ancestors of the #Rhino have been on this earth for more than 26 million years. @HelpingRhinos and @OlPejeta would… https://t.co/ziYXbbQfMu
1254077859787874300,Sat Apr 25 16:00:36 +0000 2020,#TwoPointSixChallenge 26 brush strokes of your pussy cat (he or she will love it) or a catwalk in your living room… https://t.co/iSQbuVQSjp
1253972090119651300,Sat Apr 25 09:00:18 +0000 2020,#TwoPointSixChallenge Yes, we're in it! We've teamed up with @olpejeta for #wildlife to protect the fastest, larges… https://t.co/3g2n8l8YDa
1253717388379521000,Fri Apr 24 16:08:12 +0000 2020,#TwoPointSixChallenge @HelpingRhinos have teamed up with @OlPejeta to take part in the 2.6 Challenge.  Get involved… https://t.co/IUVWWE0Mrq
1253690051227156500,Fri Apr 24 14:19:35 +0000 2020,#BeMoreRhino so many interactive programmes for everyone, to do at home to learn more about rhinos and rhino conser… https://t.co/eGYXG8Rolg
1253669632600346600,Fri Apr 24 12:58:27 +0000 2020,@zaf_zafariqbal @KariegaGameRes Very appropriate @zaf_zafariqbal. I do hope you will enter to be in with a chance o… https://t.co/pgcjl2eSQF
1253669226986037200,Fri Apr 24 12:56:50 +0000 2020,@elize_roets @KariegaGameRes Great name @elize_roets I do hope you will enter to be in with a chance of winning and… https://t.co/mgsfpOZ0dT
1253668818762829800,Fri Apr 24 12:55:13 +0000 2020,@lizthomasswift @KariegaGameRes Great names @lizthomasswift I do hope you will enter to be in with a chance of winn… https://t.co/8YH9oOqMXR
1253628706343604200,Fri Apr 24 10:15:49 +0000 2020,RT @KariegaGameRes: @SiyaKolisi_Bear Your name has been suggested for the next baby rhino born at Kariega Game Reserve. What name would you…
1253623986514247700,Fri Apr 24 09:57:04 +0000 2020,Valuable assistance given by @SANParksKNP and Minister @BarbaraCreecy_ @environmentza to local communities living a… https://t.co/sAJ0v7Fecm
1253618201675608000,Fri Apr 24 09:34:05 +0000 2020,@miryanna1 @KariegaGameRes Many thanks - all sorted. https://t.co/Toaa2IJH82
1253618097010937900,Fri Apr 24 09:33:40 +0000 2020,@LouPotts50 @KariegaGameRes Thank you - all sorted. https://t.co/Toaa2IJH82
1253617821877244000,Fri Apr 24 09:32:34 +0000 2020,RT @blackmambasapu: Did you know that The Black Mambas wake up before the #sunrise🌞, and start their foot patrol? #Healthy regime, discipli…
1253617604339675100,Fri Apr 24 09:31:42 +0000 2020,1 week to go! Your chance to name the next #rhino born on  @KariegaGameRes &amp; visit it on a 3 Night Safari when trav… https://t.co/hBJOuhWajS
1253610786800504800,Fri Apr 24 09:04:37 +0000 2020,@SunilKu95467606 It's a white rhino.
1253599415438278700,Fri Apr 24 08:19:26 +0000 2020,RT @ScienceIsNew: When you run out of moisturiser... 🧴 ⁣ ⁣ Rhinoceros skin can be up to 5cm thick! Their horn is made up of thickly matted…
1253598331424702500,Fri Apr 24 08:15:07 +0000 2020,#RhinoFriday #FridayFeeling Not sure they've heard of social distancing! https://t.co/XneQZCMdqd
1253369299923861500,Thu Apr 23 17:05:02 +0000 2020,Conservation and COVID-19. The ripple effect from the collapse in tourism could spell disaster for rhino conservati… https://t.co/Rssl7FI2v4
1253350158714183700,Thu Apr 23 15:48:58 +0000 2020,@RussellRhino_  What you name would you give to the next baby rhino born at @KariegaGameRes https://t.co/Toaa2IJH82… https://t.co/KwUOf0KGBm
1253345665998041000,Thu Apr 23 15:31:07 +0000 2020,RT @HelpingRhinos: Name a Baby Rhino - what name would YOU choose? Before you enter, here are just a few suggestions. But hurry just a week…
1253345596020228000,Thu Apr 23 15:30:50 +0000 2020,RT @nicolakidsbooks: V.excited!Just got the PDF the very 1st book I have written AND illustrated.Can't WAIT to share. Sneak preview of a ti…
1253337935555920000,Thu Apr 23 15:00:24 +0000 2020,Want to know the difference between black and white rhino? @Artfamcdk has put together this easy guide. https://t.co/xaIosZIs4F
1253284740116988000,Thu Apr 23 11:29:01 +0000 2020,@rickygervais What you name would you give to the next baby rhino born at @KariegaGameRes https://t.co/Toaa2IJH82.… https://t.co/q7uQHpsGFL
1253283028199235600,Thu Apr 23 11:22:13 +0000 2020,Where are you mom? Your baby needs you. Here's hoping the foresters @kaziranga_ can find her. https://t.co/Hv6LZdG2J7
1253280331811209200,Thu Apr 23 11:11:30 +0000 2020,The name Joona has been chosen for the new baby rhino @DenverZoo, meaning 'treasure' or 'joyful in nature' in Nepal… https://t.co/XvY8WnE5jM
1253275171793842200,Thu Apr 23 10:51:00 +0000 2020,@stephenfry what name would you choose?  Every entry to https://t.co/Toaa2IJH82 is helping to protect the next gene… https://t.co/NSBKrHSGt1
1253271566168752000,Thu Apr 23 10:36:40 +0000 2020,Kenya’s black rhino Akinyi gives birth to 4th calf https://t.co/WLKpg4lTYf via @newsghana
1253264777238982700,Thu Apr 23 10:09:42 +0000 2020,@DeborahMeaden How about you?  What you name would you give to the next baby rhino born at @KariegaGameRes… https://t.co/LLa8PvDFW8
1253262002279141400,Thu Apr 23 09:58:40 +0000 2020,RT @PeterEgan6: Such an important fundraiser @HelpingRhinos Name a Baby Rhino Prize Draw WIN &amp; you can name the rhino Every entry is helpin…
1253261231089225700,Thu Apr 23 09:55:36 +0000 2020,Name a Baby Rhino - what name would YOU choose? Before you enter, here are just a few suggestions. But hurry just a… https://t.co/SbfPz80Spe
1252996173310439400,Wed Apr 22 16:22:21 +0000 2020,#EarthDay #EarthDay2020 #EarthDay50  Thank you to the rangers, the wildlife vets, the rhino orphan carers who are h… https://t.co/czKc87zemb
1252959076587372500,Wed Apr 22 13:54:57 +0000 2020,An international initiative aims to do away with the old 'Big Five' of wildlife – based on the toughest animals to… https://t.co/O7qDPUX5QH
1252909184640835600,Wed Apr 22 10:36:42 +0000 2020,Good article 'Save the Species, Save the World' by Ted Alan Stedman @LuxuryCardLLC and @HelpingRhinos CEO… https://t.co/IXbFIb7wo2
1252895548190920700,Wed Apr 22 09:42:31 +0000 2020,RT @jaglancy: #EarthDay2020 #EarthDay https://t.co/SSIXgr0MYn
1252876954782453800,Wed Apr 22 08:28:38 +0000 2020,#EarthDay #WorldEarthDay #WednesdayWisdom  A timely reminder that every stitch we unpick of the fabric of life, eve… https://t.co/oxonEiBbXM
1252867722666360800,Wed Apr 22 07:51:56 +0000 2020,RT @FergClarkPhoto: See how you can help one of SA's most precious characters, go to https://t.co/TRmk4ak0ZQ enter &amp; think of a good name.…
1252646386786599000,Tue Apr 21 17:12:26 +0000 2020,RT @crimsonmedici: Don't forget to watch the Thandi Survivor story on YouTube ...   https://t.co/MnCtUel1JT  #helpingrhinos #survivorHR
1252551306163769300,Tue Apr 21 10:54:37 +0000 2020,Coronavirus outrage: How traders peddle 'tiger bone, bear bile and rhino horn' as cure https://t.co/DJbAqUK6Za
1252520001531195400,Tue Apr 21 08:50:13 +0000 2020,WATCH Lindy Sutherland from @KariegaGameRes  on @cbbc  Newsround talking about #Thandi, her 3 miracle calves and th… https://t.co/K1bJrcYr9N
1252263798360154000,Mon Apr 20 15:52:10 +0000 2020,Congratulations baby Holly, sister to Schofe born on Easter w/end. Both #rhinos named after @hollywills and @schofe… https://t.co/Ft4BXpMQby
