id,created_at,text
1259433966630830000,Sun May 10 10:43:51 +0000 2020,RT @NWOGlobal: Thank you Your Excellency @FranceinIndia for an insightful and thought-provoking essay. We are honoured to have published it.
1259432620221517800,Sun May 10 10:38:30 +0000 2020,RT @rishi_suri: Thank you for this thought provoking OpEd your excellency. @NWOGlobal @HindolSengupta @VasudevanBrinda @IshanDhar
1259430069845426200,Sun May 10 10:28:22 +0000 2020,RT @FranceinIndia: Read my op-ed about multilateralism and how 🇫🇷, as a founding member of the 🇪🇺 and 🇮🇳 as a democratic power must intensi…
1259429674016538600,Sun May 10 10:26:48 +0000 2020,RT @JNUAbhishek: At a time when the world finds itself in the midst of a historic public health and economic crisis, multilateralism may ap…
1259426207461974000,Sun May 10 10:13:01 +0000 2020,@Dilleye Many thanks !
1259420005172539400,Sun May 10 09:48:22 +0000 2020,Excellent essay by HE Emmanuel Lenain @FranceinIndia on the importance of multilateralism in the post-Covid-19 worl… https://t.co/lcMFH84Dcd
1259419534907240400,Sun May 10 09:46:30 +0000 2020,RT @NWOGlobal: In this exclusive essay, the French ambassador to India  @FranceinIndia (HE Emmanuel Lenain) writes about the future of mult…
1259377116199579600,Sun May 10 06:57:57 +0000 2020,*diametrically 'opposite'
1259375847024156700,Sun May 10 06:52:54 +0000 2020,At the heart of the struggle of the idea of India lie two diametrically conceptions of the nation. But at origin, t… https://t.co/7Eu9kKdCJC
1259361204574666800,Sun May 10 05:54:43 +0000 2020,RT @grin_news: In which @hinduprof (Prof Jeffery D. Long) who teaches religion and Asian studies at Elizabethtown College at Pennsylvania s…
1259293737525473300,Sun May 10 01:26:38 +0000 2020,This is true for people too. In the people we inherit, we may have 20, 30, 40 years of memories; in the people who… https://t.co/3FTx9maZiZ
1259157352999092200,Sat May 09 16:24:41 +0000 2020,RT @TheEconomist: India’s government has used the digital-payments system to make emergency transfers to street vendors https://t.co/3EOOiv…
1259084233986855000,Sat May 09 11:34:08 +0000 2020,RT @VasudevanBrinda: @NWOGlobal @rishi_suri @HindolSengupta Thank you! Excited about where this will go :-)
1259083913252622300,Sat May 09 11:32:52 +0000 2020,RT @NWOGlobal: We are most pleased to welcome @VasudevanBrinda who was Head of Desk and Managing Editor for Fortune India for a decade as M…
1259071425194803200,Sat May 09 10:43:14 +0000 2020,@nicoblar @ameyaprataps Sure, happy to concede that, finally, nothing is of course 'always'. Interesting to know that the headline was FP's.
1259062130738819000,Sat May 09 10:06:18 +0000 2020,Superb argument against what @nicoblar and Sumit Ganguly recently wrote on India and the Gulf by @ameyaprataps Hint… https://t.co/S2qPWhSKB0
1259027169847709700,Sat May 09 07:47:23 +0000 2020,RT @NWOGlobal: Perhaps no two political figures in modern Indian history have been considered more antithetical to one another than #Nehru…
1258997691515695000,Sat May 09 05:50:15 +0000 2020,Low oil prices have given India windfall savings. But that is not enough to secure its energy future. Financial inn… https://t.co/KeeL0dSuVv
1258971937780363300,Sat May 09 04:07:55 +0000 2020,RT @rishi_suri: A must read for anyone interested in India’s relationship with the Gulf region. @ameyaprataps @HindolSengupta @IshanDhar @a…
1258968236894244900,Sat May 09 03:53:12 +0000 2020,RT @NWOGlobal: In his latest essay @ameyaprataps explains why #India’s relationship with the #Gulf is stronger than you think. https://t.co…
1258762382572216300,Fri May 08 14:15:13 +0000 2020,RT @AbhiSeeTheRamen: My latest piece on what’s in store for China’s Belt and Road Initiative, especially given COVID-19 and our current glo…
1258694109444726800,Fri May 08 09:43:55 +0000 2020,Neither rejecting, nor unquestioningly embracing, @narendramodi has used the Non-Aligned Movement is a far more nua… https://t.co/107jVho4Ic
1258693597018255400,Fri May 08 09:41:53 +0000 2020,RT @NWOGlobal: In our latest article @ruchir_p writes about #India’s #energy options after #COVID-19. https://t.co/UIBQEB7VJn @HindolSengup…
1258693586914144300,Fri May 08 09:41:51 +0000 2020,RT @rishi_suri: Fantastic analysis by @ruchir_p. A must read! @HindolSengupta @sseomangal @monika_bd @vidsagaram @AIYouthDialogue @manuraj1…
1258640815015919600,Fri May 08 06:12:09 +0000 2020,Has the #covid19 pandemic irretrievably stopped China's Belt and Road dream? An opportunity for India in push-back… https://t.co/X53OrdHRjA
1258621369799057400,Fri May 08 04:54:53 +0000 2020,RT @NWOGlobal: .@AbhiSeeTheRamen writes on the problems and prospects of #China’s Belt Road Initiative. https://t.co/1siFR9UWLg @HindolSeng…
1258621338937430000,Fri May 08 04:54:45 +0000 2020,RT @rishi_suri: Insightful article by @AbhiSeeTheRamen on the Belt &amp; Road Initiative &amp; #China’s strategy. A must read! @HindolSengupta @Ish…
1258399231527710700,Thu May 07 14:12:11 +0000 2020,RT @NWOGlobal: Our latest essay by @ameyaprataps analyses PM @narendramodi’s re-orientation towards #NAM and #SAARC and what this means for…
1258365000768295000,Thu May 07 11:56:10 +0000 2020,RT @HindolSengupta: In an absolutely brilliant essay, Dr. Bhaswati Bhattacharya  Fulbright Specialist 2018-2022 in Public Health/Integrativ…
1258364871944441900,Thu May 07 11:55:39 +0000 2020,RT @HindolSengupta: Longtime Japan watcher @rjayal has penned a fine overview of the potential of the Asia Africa Corridor with a new wave…
1258311081421766700,Thu May 07 08:21:54 +0000 2020,RT @NWOGlobal: Thread on the statement from the French Embassy in India 👇🏼 @FranceinIndia @rtirou
1258268793559584800,Thu May 07 05:33:52 +0000 2020,Longtime Japan watcher @rjayal has penned a fine overview of the potential of the Asia Africa Corridor with a new w… https://t.co/HKxIv6hVpF
1258266651188801500,Thu May 07 05:25:21 +0000 2020,@BDUTT @themojo_in Your stamina and hunger to chase the story on the ground after all these years is inspiring.
1258265318926872600,Thu May 07 05:20:04 +0000 2020,RT @rjayal: Thank you, Rishi. My article on possibilities for India-Japan relations for the wonderful new initiative @NWOGlobal
1258260306029015000,Thu May 07 05:00:08 +0000 2020,RT @Cold_Peace_: Hizbul Mujahideen is not a group of "rebels." It is an Islamist terrorist organization. It has been formally designated a…
1258245275119952000,Thu May 07 04:00:25 +0000 2020,RT @NWOGlobal: With greater #India-#Japan partnership in a post-#COVID world, can a powerful #Asia-#Africa Corridor emerge writes @rjayal.…
1258245250151338000,Thu May 07 04:00:19 +0000 2020,RT @rishi_suri: Superb piece by @rjayal on the #India #Japan relationship in a post #COVID world. A must read! @HindolSengupta @EOJinIndia…
1258059320350011400,Wed May 06 15:41:30 +0000 2020,RT @HindolSengupta: Meticulous essay on Nepal, India and China - and the shadowy games in Himalayas.   https://t.co/VHFDzmVJs7
1258059244286296000,Wed May 06 15:41:12 +0000 2020,RT @ameyaprataps: My take on why India should play a more prominent role in brokering peace on the Korean Peninsula. @Diplomat_APAC https:/…
1257971671509524500,Wed May 06 09:53:13 +0000 2020,RT @RobGMacfarlane: Joy &amp; heart-soar! First swifts back over our little patch of earth, high in the blue. Spin world, spin! A screaming com…
1257888884928569300,Wed May 06 04:24:15 +0000 2020,Meticulous essay on Nepal, India and China - and the shadowy games in Himalayas.   https://t.co/VHFDzmVJs7
1257874583425822700,Wed May 06 03:27:25 +0000 2020,@rishi_suri @rdjunkie Happy birthday :)
1257874470133477400,Wed May 06 03:26:58 +0000 2020,RT @NWOGlobal: Dr. #GautamSen in his latest essay writes on how #Nepal is in #China’s Political Orbit and #India’s Ejection. https://t.co/q…
1257609414703448000,Tue May 05 09:53:44 +0000 2020,RT @PenguinIndia: @StargazerKamal SACRED SWORD by @HindolSengupta
1257585621138194400,Tue May 05 08:19:11 +0000 2020,RT @NWOGlobal: In our latest essay Dr. @drbhaswati writes about the new frontier of pre-scientific laws of epidemics. https://t.co/tjIOp6nq…
1257585589785776000,Tue May 05 08:19:04 +0000 2020,RT @rishi_suri: Excellent essay on @nwoglobal by @drbhaswati on how #Ayurveda remains the ideal model for a public health centered medical…
1257556937614323700,Tue May 05 06:25:12 +0000 2020,In an absolutely brilliant essay, Dr. Bhaswati Bhattacharya  Fulbright Specialist 2018-2022 in Public Health/Integr… https://t.co/MoeJfXZqOO
1257540550787399700,Tue May 05 05:20:05 +0000 2020,Excellent case study of the work done by the Indian Railways during #COVIDー19 -&gt; https://t.co/rW1nur3Xhf https://t.co/JnLUvTdRyw
1257515508783550500,Tue May 05 03:40:35 +0000 2020,This is why capitalism has got a bad name. Because of actions of corporations like these. This kind of corporate be… https://t.co/6FWRUJbKCO
1257511581681942500,Tue May 05 03:24:59 +0000 2020,In a workaholic China, the stressed-out find a refuge with monks and Sanskrit - The Washington Post (But in India t… https://t.co/aRDUlrP4G1
1257214185756221400,Mon May 04 07:43:14 +0000 2020,Ramakrishna Mission monks at Kamarpukur helping villagers in the field as farm workers have become scarce. https://t.co/Bn08Vc1g7G
1257213291421593600,Mon May 04 07:39:41 +0000 2020,@neeleshmisra Good to know that seniors in the profession have slept in edit meetings; those who came afterwards al… https://t.co/jI4wRcrRdF
1257210014130778000,Mon May 04 07:26:39 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta If you have come across similar books on Hinduism that are e…
1257210000729976800,Mon May 04 07:26:36 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta If you are on a journey to explore what it means being a Hin…
1257209972607209500,Mon May 04 07:26:29 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta Other than how science and progress is intrinsic part of Hin…
1257209961219682300,Mon May 04 07:26:27 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta “It is because of this deeply interwoven, holistic point of…
1257209947193872400,Mon May 04 07:26:23 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta “One of Hinduism’s greatest achievements is this recognition…
1257209930450210800,Mon May 04 07:26:19 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta “..the practicing Muslim or Christian is more certain about…
1257209929485578200,Mon May 04 07:26:19 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta Hindol found a short essay by an African writer “How to writ…
1257209896128311300,Mon May 04 07:26:11 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta “I realized that acutely scholarly though they are, some Wes…
1257207547653615600,Mon May 04 07:16:51 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta “..the average Hindu is far less articulate about distilling…
1257207446730240000,Mon May 04 07:16:27 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai @HindolSengupta Hindol describes how, over the years, he came across various…
1257207431316140000,Mon May 04 07:16:24 +0000 2020,RT @IndicBookClub: @Shail_CFO @AbhinavAgarwal @rchanakyapillai Good afternoon Indic Jan! Thanks for your response to yesterday’s overview o…
1257181180006248400,Mon May 04 05:32:05 +0000 2020,A very happy birthday to @neeleshmisra - may you always tell stories... slowly. :)
