id,created_at,text
1259931330088968200,Mon May 11 19:40:12 +0000 2020,Thank you so much for your continued support. New music is definitely in the making! Make sure to check out origina… https://t.co/4oELWyAHNu
1257855073876672500,Wed May 06 02:09:54 +0000 2020,RT @MichaelKorteDuh: creative folk: so many of us were fighting for a seat at the table before corona. for better or worse the virus has co…
1254929964450721800,Tue Apr 28 00:26:33 +0000 2020,We think we have it bad? Think again my loves. 💛 #loveanimals #animal #wildlife #AnimalCrossingNewHorizions… https://t.co/MvktkOiiEF
1253433934823649300,Thu Apr 23 21:21:52 +0000 2020,@smibeans Wait I want to help! 😍😘
1252220037689204700,Mon Apr 20 12:58:16 +0000 2020,High Praise 🙌 https://t.co/X3LZK4BRnE
1252219885243023400,Mon Apr 20 12:57:40 +0000 2020,RT @NBA: #TheLastDance continues 📺  Episodes 3 &amp; 4 begin Sunday, April 26 at 9:00 PM ET on ESPN. https://t.co/PoWOIsgsOV
1251659731208491000,Sat Apr 18 23:51:49 +0000 2020,Can’t stop watching @chrisdelia 😂 if you haven’t watched his stand up #nopain or listened to him on the @joerogan e… https://t.co/agTJcbXqpJ
1250935997342326800,Thu Apr 16 23:55:57 +0000 2020,We constantly keep pursuing.  We keep exploring &amp; transforming, evolving, progressing, surviving, coming closer...… https://t.co/e2iwMGOui6
1250845516549763000,Thu Apr 16 17:56:25 +0000 2020,I love you #Minneapolis https://t.co/2R4PoabNnP
1249685627047739400,Mon Apr 13 13:07:26 +0000 2020,RT @GretaThunberg: ”New research shows that the natural world is at far greater risk from climate breakdown than previously thought.”  Our…
1247256088531042300,Mon Apr 06 20:13:19 +0000 2020,@iliza watched last night... we’re #obsessed witchu woman! 💛 #lookatthat https://t.co/NHoFDYYtS8
1244844442844094500,Tue Mar 31 04:30:17 +0000 2020,When in love with the world. #unknown #blessings #love https://t.co/oak1iTZTgH
1242134825672290300,Mon Mar 23 17:03:14 +0000 2020,Even the darkest night will end and the sun will rise. https://t.co/axPB3AOEQi
1240870947508412400,Fri Mar 20 05:21:02 +0000 2020,I don’t want to abuse your grace, God I need it everyday. It’s the only thing that ever really makes me want to cha… https://t.co/P1AHkUbIIv
1240869603657552000,Fri Mar 20 05:15:42 +0000 2020,RT @MusaTariq: “The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and r…
1240651189714378800,Thu Mar 19 14:47:48 +0000 2020,#Quarantine https://t.co/FLyve6xhHL
1235978525171163100,Fri Mar 06 17:20:18 +0000 2020,I didn’t come here to put out your fire, I don’t fear your flames. https://t.co/qbB1RTPVbG
1232728403893203000,Wed Feb 26 18:05:29 +0000 2020,When you start seeing your worth, you’ll find it harder to stay around people who don’t. https://t.co/56x9Z04Y9R
1230206103151136800,Wed Feb 19 19:02:45 +0000 2020,The beauty you see in me is a reflection of you. https://t.co/Q9wjIDQUwY
1228334129764339700,Fri Feb 14 15:04:12 +0000 2020,Love yourself first. #happyvalentinesday #valentinesday #onlylove #selflove #love https://t.co/RLWL4KGBvT
1218598148194566100,Sat Jan 18 18:16:53 +0000 2020,Thank you all so much! 🙏🙌💛 lets get 30k more! Click to listen 👉 https://t.co/McOKAmjn3R #SaturdayMotivation… https://t.co/1gCMMLZ5bn
1212784259448090600,Thu Jan 02 17:14:34 +0000 2020,I just want to thank you all from the bottom of my heart for all your support of “Self Preservation”. 2019 was an e… https://t.co/bkTru8nstg
1209871609873473500,Wed Dec 25 16:20:44 +0000 2019,@nlambert6 Merry Christmas!
