id,created_at,text
1260671739211571200,Wed May 13 20:42:19 +0000 2020,RT @CurtTheGuru: LOOOOOOOOL I’M DEAD, THE FACT HE TRIED TO OPEN UP PROVERBS AS IF HE WAS DOING BIBLE STUDIES HAS KILLED ME 😂😂 https://t.co/…
1259986222677495800,Mon May 11 23:18:19 +0000 2020,RT @Sysy_lian: Period cramps + period diarrhea will literally have you like this
1259136662191341600,Sat May 09 15:02:28 +0000 2020,RT @Caitlyn_Sauceda: me pausing my music to see if the siren is in the song or it’s outside
1256601961002152000,Sat May 02 15:10:28 +0000 2020,RT @ChampChong: Every single time in Warzone https://t.co/Dpp4KX9esT
1253421492148113400,Thu Apr 23 20:32:25 +0000 2020,RT @iamdesibanks: 😂 When You Got A Crazy Girl At Home During Quarantine.😂🤦🏾‍♂️ https://t.co/LlbrmnMg1M
1252249099958497300,Mon Apr 20 14:53:45 +0000 2020,RT @enimsaj_naoj: HELL NA somebody did voodoo on this lady and turned her into a WILD HORSE, watch how she run away at the endddd 😭 https:/…
1251314990239252500,Sat Apr 18 01:01:56 +0000 2020,RT @jeunellexo: me entertaining the strange men talking to me so I don’t get killed
1251314887587856400,Sat Apr 18 01:01:32 +0000 2020,RT @hoopfiends: Say it louder for the MFers in the back🗣🗣🗣 https://t.co/3g6OAXxoAo
1251314419620933600,Sat Apr 18 00:59:40 +0000 2020,RT @TeeJayTheArtist: 😂😂😂 white liq vs dark liq https://t.co/gb8BChdQtY
1249513093735932000,Mon Apr 13 01:41:51 +0000 2020,RT @panda_DaDon: This is an abusive relationship too. It ain’t always physical ladies and gentlemen
1249025075744878600,Sat Apr 11 17:22:38 +0000 2020,RT @sheistyler: Visual representation of December 31, 2019 driving us into 2020: https://t.co/GS1yRQvAFH
1249024883352195000,Sat Apr 11 17:21:52 +0000 2020,RT @rahm3sh: They sick of one another 😩😭😭☠️ https://t.co/pf0Iwt8jRA
1248431075904258000,Fri Apr 10 02:02:17 +0000 2020,RT @DEADMAN_pt2: https://t.co/8pvnfwWScD
1248269745834455000,Thu Apr 09 15:21:13 +0000 2020,RT @SadittyACEKitty: Let’s replace the tootsie slide with this. https://t.co/1Wymmpq24h
1248265975809495000,Thu Apr 09 15:06:14 +0000 2020,RT @rahm3sh: Lil man got caught red handed at 4 in the morning 🤣🤣🤣 https://t.co/4iEnY85gFk
1248265638092537900,Thu Apr 09 15:04:54 +0000 2020,RT @NBATV: .@chrisbosh was a beast during his 13 seasons 😤 #TBT https://t.co/kg8BeKpICV
1248065802923700200,Thu Apr 09 01:50:50 +0000 2020,RT @SavinTheBees: Bro I opened Tik Tok and I HAD to share this lmfao what the fuck is this  Why they look like they’re in the Gulag bro htt…
1245758024976707600,Thu Apr 02 17:00:32 +0000 2020,RT @DesigningLex: Me randomly trying to remember where my social security card is..
1245757155669446700,Thu Apr 02 16:57:05 +0000 2020,RT @Three_Cone: Not knowing All of the Lights should be a felony https://t.co/6VyXcBGNNA
1245548235923443700,Thu Apr 02 03:06:55 +0000 2020,RT @CrispyAnime: Bringing back this SpongeBob Naruto voice over  🤣 https://t.co/oe3XAngcyH
1245424819002167300,Wed Apr 01 18:56:30 +0000 2020,RT @dmarcushammond_: The word “epidemic” put Floyd Mayweather on the ropes. 💀💀💀 https://t.co/CUabTCoSqK
1243907279335723000,Sat Mar 28 14:26:20 +0000 2020,RT @ThunderPlsWin: “The Wi-Fi Password is on the back of the router.”   Back of the router: https://t.co/ge3EJpAayX
1242042837903999000,Mon Mar 23 10:57:43 +0000 2020,RT @UNC_Basketball: Redeemed.  #GetIntoIt https://t.co/f4GsYGyXX5
1241672291261599700,Sun Mar 22 10:25:18 +0000 2020,RT @OnlyFans____: January: Netflix released Pandemic a docu-series about the next globally-spread disease.   The Circle a show that involve…
1241669541811363800,Sun Mar 22 10:14:22 +0000 2020,RT @aldaszn: There’s a show on Netflix called Pandemic... 100% recommend DON’T watch it. Everything that’s happening now, happens in it. An…
1241595193188593700,Sun Mar 22 05:18:56 +0000 2020,RT @BradBallisLife: Gang Sign John Wall was a wild time 😂  https://t.co/BCvjYEINtd
1241370497755086800,Sat Mar 21 14:26:04 +0000 2020,RT @chrilliamsX: But can we talk about yet again how the Prince of Egypt is the greatest animated film of all time?
1241329191062298600,Sat Mar 21 11:41:56 +0000 2020,RT @Saberspark: March 2020: man this virus sucks but hopefully next month will be better  April 2020: https://t.co/tzxS7T5pEc
1241328842385641500,Sat Mar 21 11:40:33 +0000 2020,RT @joshtpm: A good illustration of why the surgical hand washing technique is really very important  https://t.co/zI3W5Ym4ZA
1241328756201054200,Sat Mar 21 11:40:12 +0000 2020,RT @BleacherReport: He just redefined the Euro-Step 🤯  (via @Hoopmixtape) https://t.co/lItoICddGu
1241328592379883500,Sat Mar 21 11:39:33 +0000 2020,RT @rahm3sh: Even toddlers catching onto the TikTok dance wave lmaoo she was dead serious too💃🏽🤣🤣 https://t.co/o8B10BW4pF
1241269159452971000,Sat Mar 21 07:43:23 +0000 2020,RT @aanthonyy07: Day 6 of quarantine https://t.co/AYhps3JoR5
1241087267906769000,Fri Mar 20 19:40:37 +0000 2020,RT @Drebone7: Cali on lockdown and the I’m watching the purge and see this March 21,2020 https://t.co/ogCJo3gUmX
1240617658548195300,Thu Mar 19 12:34:34 +0000 2020,RT @KingTrillaX: “It can only get better after this”   Next month when we see aliens falling out the sky: https://t.co/0gdBwmwq0q
1240211827092529200,Wed Mar 18 09:41:56 +0000 2020,RT @TheNBACentral: Crazy stat lines from Westbrook’s MVP season   50 PTS - 16 REB - 10 AST 57 PTS - 13 REB - 11 AST 58 PTS - 3 REB - 9 AST…
1240201654114418700,Wed Mar 18 09:01:30 +0000 2020,RT @despawnedfather: "2020 sucks! It can't possibly get any worse"  April: https://t.co/jYj7uM0gw8
1240199526323011600,Wed Mar 18 08:53:03 +0000 2020,RT @JahmalUsen: The funniest video you’d see today 😂😂😂😂💀 https://t.co/QE0j2SrOml
1240195272787067000,Wed Mar 18 08:36:09 +0000 2020,RT @Sydneyy_Alexiss: This what Corona do when you outta school for 2 weeks &amp; home w ya mama 😂😂😂🤦🏾‍♀️ https://t.co/bz4u2p2JZM
1240195152775430100,Wed Mar 18 08:35:40 +0000 2020,RT @notorious_KRG: Dogs bc their owners have to stay home all day  https://t.co/ZkUOH9JpoI
1240193997387300900,Wed Mar 18 08:31:05 +0000 2020,RT @friedgreentits: Nobody:  Me at 5 a.m.: https://t.co/Chp81M0Rw9
1240193860275507200,Wed Mar 18 08:30:32 +0000 2020,RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ
1240166660998398000,Wed Mar 18 06:42:27 +0000 2020,RT @hunchohuso: Day 7 in quarantine: https://t.co/f6sa9molK5
1240049135107166200,Tue Mar 17 22:55:27 +0000 2020,Should I stream🎧🎮🎬#warzone #xbox https://t.co/vbRtpFs41D
1239987816823750700,Tue Mar 17 18:51:48 +0000 2020,RT @karen_samathi: WAIT!!! this is a bop!!! 🔥🔥 Cardi B - Coronavirus (Remix)  https://t.co/ULs3zdGmlg
1239929095368200200,Tue Mar 17 14:58:27 +0000 2020,RT @BradBallisLife: NBA players when they finally come back from Corona Quarantine 😂  https://t.co/Z0lNe9jqv4
1239800973972902000,Tue Mar 17 06:29:21 +0000 2020,RT @EnesKanter: Speechless 🤦🏻‍♂️ https://t.co/WVHzbsfMI7
1239800689993437200,Tue Mar 17 06:28:13 +0000 2020,RT @davdchristmas: Day 4 with no sports:   Marble1 racing is intense!   https://t.co/StgO4fY8VG
1239640221421129700,Mon Mar 16 19:50:34 +0000 2020,RT @cutcreaser: WE- https://t.co/J3EvgMt66f
1239629760403210200,Mon Mar 16 19:09:00 +0000 2020,RT @AOAkpobiyeri: Hey folks! I am seeking more participants for a research study I am a part of. If you or someone you know meets the crite…
1239607227692056600,Mon Mar 16 17:39:28 +0000 2020,RT @pickuphoop: https://t.co/ATxs1xXrY2
1239383685171945500,Mon Mar 16 02:51:11 +0000 2020,RT @jstrong_20: Gotta let him suffer for minute since wanted go right back in there
1239296447742386200,Sun Mar 15 21:04:32 +0000 2020,RT @ESPNNBA: .@KDTrey5 is way too tall to have a crossover this elite 😳 https://t.co/8bb0umoJuP
1239296352598872000,Sun Mar 15 21:04:10 +0000 2020,RT @JasonYanowitz: If you'e still hanging with friends, going to restaurants/bars, and acting like this isn't a big deal, get your shit tog…
1239095608457265200,Sun Mar 15 07:46:28 +0000 2020,RT @SportsCenter: Here are about 3 minutes of @KyrieIrving's best handles.   Poetry in motion 🤯 https://t.co/BE9lsbLNqZ
1239094186512711700,Sun Mar 15 07:40:49 +0000 2020,RT @GGunlerden: 2011 | James Harden vs Kobe Bryant #MambaForever https://t.co/Nj2F4Kyu78
1239088055568552000,Sun Mar 15 07:16:28 +0000 2020,RT @ThrowbackHoops: .@ESPN should drop this now. https://t.co/qlxdi0HLvD
1239087314103607300,Sun Mar 15 07:13:31 +0000 2020,RT @Danny8bit: Disney turning Tarzan into a surfer is still one of the most inspired creative decisions they’ve ever made https://t.co/HKR6…
1239086915846111200,Sun Mar 15 07:11:56 +0000 2020,RT @tinaqueen_15: Day 13 of being quarantined   https://t.co/IimxYBkw6c
1239086575193129000,Sun Mar 15 07:10:35 +0000 2020,RT @MY57R0: I know you lot saw what I just saw!?! https://t.co/9u8Mfd7amz
1239085756649484300,Sun Mar 15 07:07:20 +0000 2020,RT @Brink_Thinker: my soul would leave my body if I saw this... https://t.co/EhZg6ZAU9R
1238907439166238700,Sat Mar 14 19:18:45 +0000 2020,RT @CurrenSy_Spitta: I love y’all and y’all are gonna love this...  https://t.co/SvGG7xCp7Z
1238842966925611000,Sat Mar 14 15:02:34 +0000 2020,RT @briantylercohen: Holy shit. Katie Porter holds the CDC Director's feet to the fire and gets him to commit to FREE TESTING for coronavir…
1238571321166049300,Fri Mar 13 21:03:09 +0000 2020,RT @luka7doncic: https://t.co/hMVnGyK3bA
1238127217114329000,Thu Mar 12 15:38:26 +0000 2020,RT @AllThatandMoore: So black people can get it?! https://t.co/lraqqJtPri
