id,created_at,text
1261130771143803000,Fri May 15 03:06:21 +0000 2020,A real and serious question for ⁦@AIPAC⁩ : In light of this statement, what Israeli steps might actually warrant a… https://t.co/zIDsUwTcz3
1261129623846498300,Fri May 15 03:01:47 +0000 2020,So much for that! https://t.co/9oR5qrCRw5
1261129195427631000,Fri May 15 03:00:05 +0000 2020,RT @gtconway3d: Exactly right.  The real story to report on here is the truth: That @realDonaldTrump is so desperate he’s seeking to recycl…
1261129002166767600,Fri May 15 02:59:19 +0000 2020,@NormOrnstein @kaitlancollins Yes
1261053014816817200,Thu May 14 21:57:22 +0000 2020,If Rick Bright weren’t indeed a “really unhappy disgruntled person” after 80,000 plus dead Americans in a few weeks… https://t.co/BcDvTXPBbe
1261052295892041700,Thu May 14 21:54:31 +0000 2020,Sure! https://t.co/1cJeY8rFul
1260899967209742300,Thu May 14 11:49:13 +0000 2020,“The Trumps act like cartoon plutocrats by Tom Nast. When the plague began, Melania updated us on the new tennis pa… https://t.co/DDjCV0PvBp
1260899047185027000,Thu May 14 11:45:33 +0000 2020,If this is true, he’s GOT to go to prison: “Kushner argued that testing too many people &amp; getting too many ventilat… https://t.co/D7cJusB5D2
1260850829571096600,Thu May 14 08:33:57 +0000 2020,@rmslim @realDonaldTrump This is just 1 poll &amp; it’s terrible for him in details. Let’s not be complacent but if the… https://t.co/GurNEjOVWM
1260849466938187800,Thu May 14 08:28:33 +0000 2020,@rmslim @AdilAbdAlMahdi Sure! But without illusions, right?
1260849366232899600,Thu May 14 08:28:09 +0000 2020,@AbuSous2000 @AGWilliamBarr He’s worse than Cheney
1260849290190217200,Thu May 14 08:27:50 +0000 2020,@AbuSous2000 I know that
1260849146422009900,Thu May 14 08:27:16 +0000 2020,RT @aservais1: If it goes ahead with the plan to annex large parts of the West Bank, Israel won't be able to escape the stigma of an aparth…
1260772900774318000,Thu May 14 03:24:18 +0000 2020,RT @imillhiser: The Wisconsin Supreme Court's decision striking down that state's stay-at-home order is one of the most incompetent opinion…
1260772781924462600,Thu May 14 03:23:49 +0000 2020,@NormOrnstein @IsaacDovere Obviously
1260772569445208000,Thu May 14 03:22:59 +0000 2020,Everything is https://t.co/4IkAmZWm9F
1260772469419507700,Thu May 14 03:22:35 +0000 2020,RT @davidfrum: "Obama-gate" is basically Al Capone trying to indict the IRS for tax evasion.
