id,created_at,text
1259469941289488400,Sun May 10 13:06:48 +0000 2020,Two of the most solid and powerful women in my life #HappyMothersDay https://t.co/OYXNoPnD3S
1259134807834890200,Sat May 09 14:55:06 +0000 2020,Pic Credit: Pratik Chorge/ Hindustan Times
1259054176006537200,Sat May 09 09:34:42 +0000 2020,Happy #WorldMigratoryBirdDay! The Greater Flamingos, recently photographed in Mumbai, are migratory birds &amp; fly to… https://t.co/D5Qzaxxk49
1258617800169599000,Fri May 08 04:40:42 +0000 2020,Hysterical 😂 those were the days man what fun. @praveenkumar @ImRaina https://t.co/DiRI83Vw2B
1256522562466492400,Sat May 02 09:54:58 +0000 2020,#IFORINDIA, the concert for our times. 3rd May, 7:30 PM IST. Watch it LIVE worldwide on Facebook. 100% of proceeds… https://t.co/yzMtfivMmz
1256438934684516400,Sat May 02 04:22:40 +0000 2020,@jatinsapru Thanks jatin ladies absolutely made it very special. Love to the family.
1256262983287783400,Fri May 01 16:43:30 +0000 2020,@shantanunikhil Thank you very much loved the jersey
1256158638428827600,Fri May 01 09:48:52 +0000 2020,Thanks future 😉 https://t.co/2tTUkuDr50
1256158399345168400,Fri May 01 09:47:55 +0000 2020,Thanks brother. Hoping for the great year for you. https://t.co/ji2XP0y8ve
1256152075265867800,Fri May 01 09:22:47 +0000 2020,Hi guys, thank you for all for your wonderful wishes. It was a day of mixed emotions as we lost two of our cinema l… https://t.co/n3f1eQcrtd
1256150136260092000,Fri May 01 09:15:05 +0000 2020,Thanks a lot vikrant bhai. Nice picture by the way https://t.co/ba7ytIQtoH
1256149863336743000,Fri May 01 09:14:00 +0000 2020,Thanks a lot bro. Look forward to many more elegant partnerships too. https://t.co/pp1sbOtXsD
1256149645048283100,Fri May 01 09:13:08 +0000 2020,So sweet thank you https://t.co/S4hiRCqCab
1256149557857202200,Fri May 01 09:12:47 +0000 2020,Haha arey sir kai karta aahet tumi? https://t.co/zhziVMGbx6
1256149350343983000,Fri May 01 09:11:57 +0000 2020,@GSV1980 Thank you 😊
1256149271268806700,Fri May 01 09:11:39 +0000 2020,Dhanyawaad bhai. https://t.co/SfjB9UqVrH
1256149082806108200,Fri May 01 09:10:54 +0000 2020,You are doing that right now bro. Thanks for the wishes https://t.co/wtGG1KoPVx
1256148942988939300,Fri May 01 09:10:20 +0000 2020,Thank you for the warm wishes. https://t.co/GMqnsp7s1J
1256148761010634800,Fri May 01 09:09:37 +0000 2020,Bahut bahut shukriya janaab https://t.co/5Epqxjmsrw
1256148640848060400,Fri May 01 09:09:08 +0000 2020,Haha thanks vik https://t.co/GZ0hIPJnPl
1256148580752031700,Fri May 01 09:08:54 +0000 2020,@HashTagCricket Thank you 😊
1256148505971884000,Fri May 01 09:08:36 +0000 2020,Thanks a lot paaji I’ll do my best. https://t.co/AasOu451DV
1256148303693127700,Fri May 01 09:07:48 +0000 2020,Thank you 🙏 https://t.co/BhWrVbF5LF
1256148252539400200,Fri May 01 09:07:36 +0000 2020,Thanks bhai https://t.co/VgXc80DkiY
1256148199737344000,Fri May 01 09:07:23 +0000 2020,@KSKadakia @mipaltan Thank you 😊
1256148165071458300,Fri May 01 09:07:15 +0000 2020,Thank you. Hope to see everything get back to normal soon. https://t.co/NEZkXQWd39
1256148013397020700,Fri May 01 09:06:39 +0000 2020,Thanks a lot dada https://t.co/iHhRoPQDwK
