id,created_at,text
1153351488053403600,Mon Jul 22 17:09:57 +0000 2019,Melissa Rubini on LinkedIn: "So proud of my extremely talented husband! Wishing you success in this new adventure… https://t.co/p30IGCCc2u
1135979798248022000,Tue Jun 04 18:41:04 +0000 2019,https://t.co/fDUD2IJovu
1135571046357246000,Mon Jun 03 15:36:49 +0000 2019,https://t.co/fBCArrwFt8
1131162348209737700,Wed May 22 11:38:14 +0000 2019,Love IQ: The Male Heart https://t.co/uA1d6dolCk
1129042601280192500,Thu May 16 15:15:07 +0000 2019,Wardrobe Refresh: Swimsuits https://t.co/DhaYgjEFhP
1126494833546342400,Thu May 09 14:31:12 +0000 2019,The Mother's Day Brunch Recipes You Were Looking For https://t.co/OrvpoyBV9Z
1125846361868521500,Tue May 07 19:34:24 +0000 2019,Mother’s Day Gift Ideas (She Deserves It) https://t.co/xArhBewwgB
1125387014545793000,Mon May 06 13:09:07 +0000 2019,https://t.co/Qq2DsnUX1g
1124333795296141300,Fri May 03 15:24:00 +0000 2019,Don't you love giraffes? They are endangered! Let's save them! https://t.co/s5c9mhXdSm
1121023339538059300,Wed Apr 24 12:09:26 +0000 2019,The Ultimate Afternoon Refresher... Even When You are Busy, Consider a Tea Break https://t.co/fWD4B3K9Un
1119698430216101900,Sat Apr 20 20:24:43 +0000 2019,I'm Loving: Antidote (Conscious &amp; Curated Style) https://t.co/dKnv0Rx7ox
1118558363695112200,Wed Apr 17 16:54:30 +0000 2019,I'm Loving: Antidote (Conscious &amp; Curated Style) https://t.co/dKnv0Rx7ox
1118182035565293600,Tue Apr 16 15:59:06 +0000 2019,How A Star Is Born Shines Light on our Own Love Lives https://t.co/1EOB5eBtA9
1118168188364177400,Tue Apr 16 15:04:05 +0000 2019,Unique Villa Rentals: Le Collectionist https://t.co/iWoZx7TZUU
1117775869634850800,Mon Apr 15 13:05:09 +0000 2019,A Gorgeous &amp; Delicious Easter Menu https://t.co/sBIgJHH3Pq
