id,created_at,text
1260050220802437000,Tue May 12 03:32:37 +0000 2020,RT @lifestyle_ie: People might love Rani a little more: Drag icon Sushant Divgikar aka Rani Ko-HE-Nur  @thedivasushant   https://t.co/kPC0Z…
1260049815301288000,Tue May 12 03:31:01 +0000 2020,@TumbyWallop Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper by… https://t.co/yZpqpYRrDj
1260049810217791500,Tue May 12 03:31:00 +0000 2020,@ParagDr Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper by cli… https://t.co/4GOLbtWXmT
1260049225607307300,Tue May 12 03:28:40 +0000 2020,RT @ExpressTechie: #VivoV19, #PocoF2Pro, and #Honor9XPro are launching today: Here's everything we know about these phones so far   https:/…
1260048388894060500,Tue May 12 03:25:21 +0000 2020,RT @IExpressSports: ‘I’m back’ declares Mike Tyson in training video  Mike Tyson caught the attention of the boxing world last week when he…
1260047301826900000,Tue May 12 03:21:01 +0000 2020,@ThakurShridhar Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper… https://t.co/4DBkg986BZ
1260047296814702600,Tue May 12 03:21:00 +0000 2020,@abushufaina Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper by… https://t.co/HpAu93crse
1260047291601154000,Tue May 12 03:20:59 +0000 2020,@miriamkoshy77 Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper… https://t.co/D8oym4aory
1260047258801725400,Tue May 12 03:20:51 +0000 2020,RT @ieEntertainment: #TuesdayTrivia | While #MuzamilIbrahim showcased his action chops in #SpecialOps, not many know that the actor is also…
1260044877934420000,Tue May 12 03:11:24 +0000 2020,RT @IExpressSports: #WWERaw #BeckyLynch  You go be a warrior, because I’m gonna go be a mother: The Man     https://t.co/YDDBLm6J87
1260044796111974400,Tue May 12 03:11:04 +0000 2020,@calamur Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper by cli… https://t.co/RHkqILs8GU
1260044790944731100,Tue May 12 03:11:03 +0000 2020,@arunmenon64 Hi! We know you may not be getting your daily newspaper 🗞 . You can read The Indian Express e-paper by… https://t.co/xiVM3WgDvL
