id,created_at,text
1258407681288630300,Thu May 07 14:45:45 +0000 2020,Spent the evening speaking with the great @alaindebotton he was, as always, insightful and brilliant. It’s OK to no… https://t.co/Yg0IZ1Q0wF
1258394426956603400,Thu May 07 13:53:05 +0000 2020,Underplaying the impact of Normal People on @hulu has had on me for just a moment. I honestly think it may have cha… https://t.co/G0Jxa06OeL
1256717526815273000,Sat May 02 22:49:41 +0000 2020,Thanks for everything you’re doing Dean. It’s so appreciated by so many, keep your eyes off my bhuna! 😜 https://t.co/BLQfRjtJeC
1256684245466050600,Sat May 02 20:37:26 +0000 2020,Here @simonblackwell makes a very very good point. If it’s something you’d like to give a go. Give it a go! https://t.co/YIVzxWcxDG
1256598221238890500,Sat May 02 14:55:37 +0000 2020,This is incredible. Congratulations @mindykaling #neverhaveievernetflix  is the Number one show the world over. So… https://t.co/TzBjFHxJcV
1256440405068902400,Sat May 02 04:28:30 +0000 2020,RT @niccolethurman: Reminder that this perfect video exists: https://t.co/IHbXDa2xEY
1256366125631205400,Fri May 01 23:33:21 +0000 2020,RT @Aiannucci: I’m going to spend most of today ramping up.
1256271322239209500,Fri May 01 17:16:38 +0000 2020,https://t.co/1r70XFAYme
1255575470113869800,Wed Apr 29 19:11:34 +0000 2020,Hey all. I had to have minor surgery on my eye yesterday. I am doing well and recovering, but won’t be able to film… https://t.co/AateXm0BBG
1254954290856116200,Tue Apr 28 02:03:13 +0000 2020,This is a brilliant piece. https://t.co/w3yhLQ5xIe
1254929267017658400,Tue Apr 28 00:23:47 +0000 2020,RT @latelateshow: New #LateLateShow tonight with our buddy @joejonas and music from @yungblud!✌️ 12:37 on @CBS https://t.co/bdNqiA7H9t
1254927496828473300,Tue Apr 28 00:16:45 +0000 2020,RT @latelateshow: Did you see the latest #ShirtOffShootOut submissions from @JaValeMcGee @S10Bird @gordonhayward &amp; @BobanMarjanovic? 🏀🔥 htt…
1254908404771872800,Mon Apr 27 23:00:53 +0000 2020,RT @RadioMilwaukee: Awesome guest set from @Wajatta4real (@reggiewatts &amp; @johntejada) on @rhythmlabradio! Stream it here:  https://t.co/FWY…
1254626246064918500,Mon Apr 27 04:19:41 +0000 2020,RT @streep_lover: The perfection aka Christine Baranski , Meryl Streep and Audra McDonald ladies and gentlemen #Sondheim90Concert https://t…
1254625494273646600,Mon Apr 27 04:16:42 +0000 2020,RT @MarcSnetiker: marvel: Infinity War is the most ambitious crossover event in history  theatre kids: https://t.co/ngS3p1lFOA
1254625276572561400,Mon Apr 27 04:15:50 +0000 2020,RT @hillibusterr: THIS IS OUR AVENGERS ENDGAME https://t.co/PL85fV5WK4
1254624624228176000,Mon Apr 27 04:13:14 +0000 2020,RT @BenSPLATT: I love Sondheim and I love musical theatre and I love theatre people and I can’t wait to sit and watch some musicals when th…
1254518482760171500,Sun Apr 26 21:11:28 +0000 2020,RT @robbiereviews: I always wonder how the people who theatrically shake their head in revulsion at a slightly annoying five-year-old think…
1254495559672455200,Sun Apr 26 19:40:23 +0000 2020,https://t.co/oLHeIJ4ewR
1254490842254856200,Sun Apr 26 19:21:38 +0000 2020,@ashleaschool Joseph! I just saw this, I’m so so proud of you! Well done. I hope we can speak soon x x x
1254168529785385000,Sat Apr 25 22:00:53 +0000 2020,An important public message. https://t.co/2MGzdWjdwD
1253906191513579500,Sat Apr 25 04:38:27 +0000 2020,RT @SkySportsNews: BREAKING: The Dutch Eredivisie season has been voided, meaning league leaders Ajax have been denied the title as they le…
1253904818210365400,Sat Apr 25 04:32:59 +0000 2020,Fantastic news!!!! https://t.co/wnMdI8OfAY
1253790139769217000,Fri Apr 24 20:57:18 +0000 2020,RT @JoeBiden: I can’t believe I have to say this, but please don’t drink bleach.
1253733099843629000,Fri Apr 24 17:10:38 +0000 2020,RT @Daniel_Lewis3: Here is Dr. Birx's reaction when President Trump asks his science advisor to study using UV light on the human body and…
1253559976980709400,Fri Apr 24 05:42:43 +0000 2020,RT @latelateshow: .@BobanMarjanovic makin' that laundry dunk like the champion he is. #ShirtOffShootOut https://t.co/hWuHu3Tnnk
1253559691965108200,Fri Apr 24 05:41:35 +0000 2020,RT @latelateshow: Nothing like ending the night with a good bedtime story. https://t.co/ZoOjALDR50
1253342297334284300,Thu Apr 23 15:17:44 +0000 2020,This has taken my breath away! I would travel for days and days to watch this again. https://t.co/iMh0hZsQt4
