id,created_at,text
1259582007891411000,Sun May 10 20:32:07 +0000 2020,RT @ntrickett16: But muh bullshit withdrawal narratives planted by DoD as feints while Trump claims political points. https://t.co/Li2FrAVn…
1259494889479381000,Sun May 10 14:45:56 +0000 2020,RT @joekent16jan19: Happy Mother’s Day &amp; 37th birthday Shannon. We love you &amp; miss you.   Shannon was the rock of our family, making everyd…
1259488423913697300,Sun May 10 14:20:15 +0000 2020,Honored to have @javier_mackey on our show where he discussed the events surrounding the death of SSG Robbie Miller… https://t.co/fodG1s5PXE
1259278110354260000,Sun May 10 00:24:32 +0000 2020,@RosaLSmothers @GIJoeMontana @TripKrant @tracy_walder Rosa, I've offered my apologies and tried to tell you that pe… https://t.co/l5CQRZuoSk
1259276947143766000,Sun May 10 00:19:55 +0000 2020,@GIJoeMontana @RosaLSmothers @TripKrant @tracy_walder Seemed like good dudes.
1259276702682960000,Sun May 10 00:18:56 +0000 2020,@RosaLSmothers @TripKrant @tracy_walder And in Khowst.
1259276272154353700,Sun May 10 00:17:14 +0000 2020,@RosaLSmothers @TripKrant @tracy_walder Well, I did work with HRT in Iraq now that I think about it...
1259275337847967700,Sun May 10 00:13:31 +0000 2020,@TripKrant @RosaLSmothers @tracy_walder Couldn't speak to it. Never worked with the French.
1259252162154160000,Sat May 09 22:41:25 +0000 2020,@ArmyStrang Who. are. these. people.
1259246874730643500,Sat May 09 22:20:25 +0000 2020,RT @_Deadplate: In case you missed a great podcast. You should really check out @LookingOver on @JackMurphyRGR Podcast The Team House. Tota…
1259234988903497700,Sat May 09 21:33:11 +0000 2020,@RosaLSmothers @YourPilotSpkng @tracy_walder Maybe we'll have the opportunity to discuss it in person one day and h… https://t.co/MRTMtsKXqE
1259232319744938000,Sat May 09 21:22:35 +0000 2020,@RosaLSmothers @YourPilotSpkng @tracy_walder Pillow fights aside, it sounds like we're all rather on the same sheet… https://t.co/DQRfHTqBLT
1259223425895354400,Sat May 09 20:47:14 +0000 2020,@RosaLSmothers @tracy_walder I was not insinuating that.
1259220568106287000,Sat May 09 20:35:53 +0000 2020,@RosaLSmothers @tracy_walder I never once used the words lawless or unethical. 👍
1259217900172435500,Sat May 09 20:25:17 +0000 2020,@RosaLSmothers @tracy_walder I have no experience working with the Bureau.
1259217568872706000,Sat May 09 20:23:58 +0000 2020,@RosaLSmothers @tracy_walder I don't know why we even use them. Who really takes a poly seriously? It's pseudo science.
1259201477656092700,Sat May 09 19:20:01 +0000 2020,@C_Von_Schlitz @BravoKiloActual No, it isn't. Back up by decisions made by the Supreme Court.
1259199201306710000,Sat May 09 19:10:59 +0000 2020,@BravoKiloActual Who cares?
1259198996083548200,Sat May 09 19:10:10 +0000 2020,◾️Javier Mackey: from missionary to Green Beret ◾️Intense fire fights in Kunar, Afghanistan ◾️The tragic loss of MO… https://t.co/xz2QFBgYKx
1259195676245872600,Sat May 09 18:56:58 +0000 2020,@HashtagSpiruli If they used it to jam up a Clinton those same people could care less.
1259187606539116500,Sat May 09 18:24:54 +0000 2020,@RonaldJMoeller 110%
1259186655153528800,Sat May 09 18:21:07 +0000 2020,I don't want to shock anyone but it is a common FBI tactic to jam a guy up by getting them to lie to a fed, which i… https://t.co/VwmHcnExIE
1259164423824048000,Sat May 09 16:52:47 +0000 2020,@JustinLascek They were getting sick out on some SFOB out there?
1259152711347568600,Sat May 09 16:06:14 +0000 2020,podcast version: https://t.co/U2TQxA3VXh
1259145785670807600,Sat May 09 15:38:43 +0000 2020,RT @E_JonesEurasia: Be sure to check out this great episode of @JackMurphyRGR’s podcast.  Javier relayed incredible stories about tough fig…
1259138582549332000,Sat May 09 15:10:06 +0000 2020,Some real talk last night with Green Beret Javier Mackey, discussing the sacrifice of his friend and team mate Robb… https://t.co/FYaW6uSAMd
1258910508977131500,Sat May 09 00:03:49 +0000 2020,Live with @javier_mackey of 3rd Special Forces Group discussing Afghanistan, MOH recipient Rob Miller, firefights,… https://t.co/vb4odE3P1S
1258862327962710000,Fri May 08 20:52:22 +0000 2020,@LeighTuttle @IanScotto This is pretty surreal.
1258845812253171700,Fri May 08 19:46:44 +0000 2020,@atheos96 Sadly, you're not wrong.
1258845404671639600,Fri May 08 19:45:07 +0000 2020,At a certain point it isn't even funny to make fun of these people because it is like poking fun at old folks with… https://t.co/0gpft34erG
1258844575566901200,Fri May 08 19:41:49 +0000 2020,@atheos96 Make it rain CIBs
1258835190232895500,Fri May 08 19:04:32 +0000 2020,3rd SFG Green Beret and Dog Handler Javier Mackey tonight! https://t.co/OwIhvXY9xf
1258827683464650800,Fri May 08 18:34:42 +0000 2020,@MadameAmerica When life gives you lemons, make lemonade.
1258827343356997600,Fri May 08 18:33:21 +0000 2020,Welcome to VSO kiddies, this is a pass/fail event.
1258827169817661400,Fri May 08 18:32:39 +0000 2020,If we're really just going to stay in Afghanistan forever I propose:  -Have Robin Sage there -Start a Recondo schoo… https://t.co/4Hy873QryL
1258802307942297600,Fri May 08 16:53:52 +0000 2020,"Tiger the Lurp Dog" lived up to its reputation as one of the finest works written by a veteran of Vietnam and it i… https://t.co/YX366wSOGH
1258795625426169900,Fri May 08 16:27:19 +0000 2020,Meet Javier tonight on The Team House, we're looking forward to the conversation. https://t.co/Ac0ly7Inj8
1258609381459009500,Fri May 08 04:07:15 +0000 2020,@IanScotto @NoTougherDuty Basic ethics...money flows to the author. The author does not pay the publisher to run their work.
1258590353889931300,Fri May 08 02:51:38 +0000 2020,@Pants_a_derm You rode a horse in Afghanistan without a saddle?
1258567680292016000,Fri May 08 01:21:32 +0000 2020,@BrettDunham @RealSamFaddis has a new book out about paramilitary ops in Iraq prior to the invasion that is a must read.
1258563325341958100,Fri May 08 01:04:14 +0000 2020,RT @LookingOver: This is Andy. I volunteered to be a SF Canine Handler thinking that the training and operational train up will take at lea…
1258562563509489700,Fri May 08 01:01:12 +0000 2020,@ClintNeff Same here.
1258560875117584400,Fri May 08 00:54:30 +0000 2020,@VLOUBACH That sounds awesome. I read this great book many years ago called Man Eaters of the Kumoan about James Corbett you might enjoy.
1258557241642401800,Fri May 08 00:40:03 +0000 2020,@HashtagSpiruli It's still in print so that shouldn't happen this time.
1258555088605343700,Fri May 08 00:31:30 +0000 2020,@VLOUBACH What's it about? https://t.co/0MWAF6oYgC
1258554829774913500,Fri May 08 00:30:28 +0000 2020,@VLOUBACH I'll look for it.
1258553392789696500,Fri May 08 00:24:46 +0000 2020,But the ending of Tiger the Lurp Dog really harshed my mellow. The good news though: it's still in print. https://t.co/3SSX6nt42j
1258553391816589300,Fri May 08 00:24:46 +0000 2020,I've gotten to know Kenn a bit over the years. After the war he got his PhD, spent a lot of time in Taiwan, and I b… https://t.co/PPVl6X9gI8
1258553390868697000,Fri May 08 00:24:45 +0000 2020,The book is also a in-depth character study of the men found in a Lurp patrol and platoon, from the young Korean-Am… https://t.co/MfNUNPw6Vq
1258553389866201000,Fri May 08 00:24:45 +0000 2020,Kenn's novel is more about Lurp culture and the experience of being in Vietnam rather than focusing solely on patro… https://t.co/1WcOT9SPnq
1258553388901556200,Fri May 08 00:24:45 +0000 2020,The author was himself a "Lurp" in Vietnam. They were six-man Long Range Reconnaissance Patrols (LRRP) that went de… https://t.co/EYOYG8kEYD
1258553385600651300,Fri May 08 00:24:44 +0000 2020,Finished Tiger The Lurp Dog by Kenn Miller tonight. This is another novel I had wanted to read for years and used t… https://t.co/YMsrdP3WuF
1258506449392513000,Thu May 07 21:18:14 +0000 2020,We will be livestreaming at 8PM EST and will take some viewer questions as well. You can subscribe here:… https://t.co/sokZNOx9eL
1258506445403783200,Thu May 07 21:18:13 +0000 2020,Tomorrow on The Team House, we'll be discussing some fierce firefights in the mountains and canyons of Afghanistan… https://t.co/ptWmu1cgYG
1258470520703660000,Thu May 07 18:55:28 +0000 2020,@JackBauerActual You go to the philosophy department for truth. Doctors, scientists, and statisticians are who you go to for facts.
1258437876104286200,Thu May 07 16:45:44 +0000 2020,@JackBauerActual News to me.
1258418128264011800,Thu May 07 15:27:16 +0000 2020,For the first time, a member of Op Pocket Planner speaks out publicly. When several prisons were over run by riotin… https://t.co/2pi4fhX5PG
1258414774078955500,Thu May 07 15:13:57 +0000 2020,Ret. Delta operator Mike Vining describes the moment at Desert One when a helicopter crashed into the C-130 he was… https://t.co/S6EH6oYQdh
1258397431525499000,Thu May 07 14:05:02 +0000 2020,@MacFinn44 @AShoutOutfromMN @MikePerryavatar Failing upwards. Very common.
