id,created_at,text
1258818449603625000,Fri May 08 17:58:00 +0000 2020,RT @WHLHurricanes: The Western Hockey League announced #WHLCanes General Manager Peter Anholt the recipient of the Lloyd Saunders Memorial…
1257091054660202500,Sun May 03 23:33:57 +0000 2020,@WHLHurricanes My vote may be biased 🙋🏼
1257090889593155600,Sun May 03 23:33:18 +0000 2020,RT @WHLHurricanes: Couple of barn burners this week!  Dec. 8, 2018 - @JakeElmer59 scored his first WHL hat trick against the Americans in a…
1256213134643089400,Fri May 01 13:25:25 +0000 2020,RT @Alberta_Golf: Golf courses in Alberta can open Monday, May, 4th.   More details to come later this afternoon.   #AlbertaGolf @pgaofalbe…
1255993303956246500,Thu Apr 30 22:51:53 +0000 2020,RT @ChipotleTweets: Who wants a celeb card?
1251993563182719000,Sun Apr 19 21:58:21 +0000 2020,RT @AaronNagler: Take two weeks off, then quit  https://t.co/tYSywhmdmC
1249390398679601200,Sun Apr 12 17:34:18 +0000 2020,RT @TSN_Sports: Terry Fox began his Marathon of Hope 40 years ago today. 🇨🇦 https://t.co/zgp6JmXJI0
1245418859684704300,Wed Apr 01 18:32:49 +0000 2020,@WHLHurricanes April 7, 2018 vs Brandon
1242260352940695600,Tue Mar 24 01:22:02 +0000 2020,RT @Brent_Kisio: Thank you #yql @WHLHurricanes https://t.co/Ux2x1YtuCg
1235624336209457200,Thu Mar 05 17:52:53 +0000 2020,RT @KellyCanuckTO: Canada is basically a live painting  Moraine Lake, AB 🇨🇦 📹 markian.b https://t.co/o15Oyy7SLP
1231767779612688400,Mon Feb 24 02:28:18 +0000 2020,RT @WolfPackAHL: Thank you to all of our heroes! #HockeyAcrossAmerica   @JakeElmer59 https://t.co/F7jUoLw8qL
1229839265393238000,Tue Feb 18 18:45:04 +0000 2020,RT @WHLHurricanes: ❌ marks a #clinched spot in the 2020 #WHLPlayoffs!! 👏   #yql #whlcanes https://t.co/YRYYvoLzEH
1224005363642531800,Sun Feb 02 16:23:14 +0000 2020,RT @spittinchiclets: WE GOT A ROYAL RUMBLE IN ALBERTA https://t.co/hR9Q5a3y1D
1222538840646262800,Wed Jan 29 15:15:47 +0000 2020,RT @taylorross98: Today Bell will donate 5¢ towards #mentalhealth initiatives for each use of #BellLetsTalk.
1222526805359452200,Wed Jan 29 14:27:58 +0000 2020,#BellLetsTalk every year, every month, and everyday. Someone is in your corner willing to help. Reach out
1222216639472717800,Tue Jan 28 17:55:29 +0000 2020,RT @BizNasty2point0: Hey @cmcdavid97: Nobody calls me out. Not even you, McDusty! Say hi to Velvet and Steel. For a chance to go to the 202…
1221922558255255600,Mon Jan 27 22:26:54 +0000 2020,RT @SportsCenter: One name. One icon. One legacy.  Kobe. https://t.co/HOprfGE0xB
1221784658976878600,Mon Jan 27 13:18:57 +0000 2020,RT @ThrowbackHoops: I’m crying bro. I really am. 😭 https://t.co/Z2iSXtuaWs
1221296097383145500,Sun Jan 26 04:57:34 +0000 2020,RT @duckettcentre: Congratulations to @jakeelmer59 on participating in the @echl All-Star Classic. #paytheman #allstar #echl https://t.co/w…
1220103218245644300,Wed Jan 22 21:57:30 +0000 2020,RT @MarinersOfMaine: If you'd like to bid on @JakeElmer59's @ECHL All-Star Classic Jersey, bidding will start on @handbid at 7 PM tonight!…
1220038094008787000,Wed Jan 22 17:38:43 +0000 2020,RT @ECHL: The Eastern and Western Conference All-Stars have hit the ice for their morning skate https://t.co/uite8gesQx
1220038001784426500,Wed Jan 22 17:38:21 +0000 2020,RT @MarinersOfMaine: Make sure to check out the Mariners Instagram Story where All-Star @JakeElmer59 is showing you behind the scenes from…
1217827072229412900,Thu Jan 16 15:12:54 +0000 2020,RT @CanadiensMTL: 𝙱𝚊𝚋𝚢-𝚏𝚊𝚌𝚎𝚍 𝚊𝚜𝚜𝚊𝚜𝚜𝚒𝚗  #GoHabsGo https://t.co/FzjXzbWe2K
1215450872622342100,Fri Jan 10 01:50:44 +0000 2020,RT @LAKings: The LA Kings recalled Jaret Anderson-Dolan from @ontarioreign.   He’s registered 19 points (5-14=19) in 36 games with Ontario…
1214728392752484400,Wed Jan 08 01:59:52 +0000 2020,RT @GY18164253: An Australian family set about rescuing as many koalas as they could from the wildfires to take to their friend who has a l…
1211327139473170400,Sun Dec 29 16:44:30 +0000 2019,RT @GOLF_com: Wake up and watch the first 2020 Masters commercial! https://t.co/D8aGTPTJUR https://t.co/RyoNbIWpIY
1209967838104051700,Wed Dec 25 22:43:07 +0000 2019,RT @CalgaryPolice: * Developing *  Multiple reports of a low flying UFO over #Calgary. Described as a red sleigh pulled by reindeer.  Patro…
1208089036591681500,Fri Dec 20 18:17:26 +0000 2019,@maxhoma23   First swing of the year on a cold day. How are we looking? https://t.co/U3psCBqbGA
1206649792929157000,Mon Dec 16 18:58:23 +0000 2019,RT @MarinersOfMaine: .@JakeElmer59 cooks up hat tricks, but did you know he also makes latkes?  Join us for "Jewish Heritage Night" on Dec.…
1202680696835321900,Thu Dec 05 20:06:37 +0000 2019,Thank you @ZiggyJanAlberts for spending 47 hours with me this year on @Spotify. You are my #1. #spotifywrapped
1202295300507021300,Wed Dec 04 18:35:11 +0000 2019,@MarinersOfMaine @marcocrevier @SpectrumHCP Thanks Marco!
1202295277274718200,Wed Dec 04 18:35:06 +0000 2019,RT @MarinersOfMaine: Don't sleep on @marcocrevier and his #HealthyTip presented by @SpectrumHCP! https://t.co/AsrAM5QcTK
1201853096168763400,Tue Dec 03 13:18:02 +0000 2019,@Doritos #DoritosDrewDrop
1201849080491782100,Tue Dec 03 13:02:04 +0000 2019,@Doritos #DoritosDewDrop
1195930574826987500,Sun Nov 17 05:04:03 +0000 2019,RT @CanadiensMTL: CALE FLEURY!! 🚨  PREMIER BUT DANS LA LNH!   FIRST NHL GOAL!  NJD 1 - 2 MTL  #GoHabsGo https://t.co/AHIz0woR7Z
