id,created_at,text
1250345338373730300,Wed Apr 15 08:48:53 +0000 2020,Sweet Surprise. Loved it!  https://t.co/4GmGXojUbv
1249284011077152800,Sun Apr 12 10:31:33 +0000 2020,Now it’s more than three weeks of Lockdown. To get healed, one has to go through the pain of the treatment. Good NE… https://t.co/RIdhBbc8Z4
1226873738458648600,Mon Feb 10 14:21:08 +0000 2020,Movies also have vision! Kudos to @anavenkat and the story team. https://t.co/LTYsvEZgFo
1215583513564442600,Fri Jan 10 10:37:48 +0000 2020,I thank all my friends for your wishes and prayers on my birthday.
1215126225909248000,Thu Jan 09 04:20:42 +0000 2020,@Anandhraj3611 @Madurai @TheHarrisians Thank you all 💕
1212638698409345000,Thu Jan 02 07:36:10 +0000 2020,Lost Stories @ Alan Walker’s “Aviation” Tour https://t.co/wPTQHxg5EU via @YouTube Good job by Alan Walker on “Vasee… https://t.co/YRFV3ZQGM8
1210894823990808600,Sat Dec 28 12:06:38 +0000 2019,Celebrated the birthday of LAKSHMI today as a family. She was serving our home for the past 7 years. May God Bless… https://t.co/7rBDdBwnb0
1209707144682934300,Wed Dec 25 05:27:13 +0000 2019,Wish you all a Merry Christmas!
1197840960618664000,Fri Nov 22 11:35:14 +0000 2019,@Rgopi_dir @Dineshvcravi @sharmilamandre @DeeptiSati @KabilanVai @ActressGheetha  @TheHiteshM  @chinni_prakash… https://t.co/G1rj9rVhQQ
1197840559878086700,Fri Nov 22 11:33:38 +0000 2019,All the best to the cast and crew of “Naanum Single Than” . Wishing the Music a stupendous success. https://t.co/F5RKJuhBLC
1188410326867271700,Sun Oct 27 11:01:16 +0000 2019,@cinemapayyan Thank you Abishek
1188390459774603300,Sun Oct 27 09:42:19 +0000 2019,Happy Diwali! Hope these 5 ft potholes will be closed by next Diwali. ⁦@ChennaiTimesTOI⁩ ⁦@the_hindu⁩ https://t.co/bJcGVx5SpB
1186994927193882600,Wed Oct 23 13:16:58 +0000 2019,@deespeak @ActorMadhavan @menongautham Thank you Dia Mirza
1186546017065291800,Tue Oct 22 07:33:10 +0000 2019,@vino58546813 Nov 15th
1186545735786848300,Tue Oct 22 07:32:03 +0000 2019,@Prajith36303396 Thank you Prajith
1186545664634704000,Tue Oct 22 07:31:46 +0000 2019,@RK_Metro Nandri
1186235390358773800,Mon Oct 21 10:58:50 +0000 2019,@anavenkat Thank you 😊
1186231038311157800,Mon Oct 21 10:41:33 +0000 2019,RT @Gangesh86910641: #Melodyking @Jharrisjayaraj sir Vazhthukal 💐💐💐Again Negalum @Suriya_offl Annavum @menongautham Sir Sernthu engaluku Th…
1186229029243736000,Mon Oct 21 10:33:34 +0000 2019,I dedicate this honour to all my Dear Fans, who have always driven me with there unconditional Love and support. https://t.co/vIUAGlPQoe
1186018627301998600,Sun Oct 20 20:37:30 +0000 2019,RT @deespeak: @ActorMadhavan @Jharrisjayaraj @menongautham Couldn’t agree more! The MUSIC on this one is everything 🙏🏻❤️ @Jharrisjayaraj An…
1185968016694988800,Sun Oct 20 17:16:24 +0000 2019,@idiamondbabu Thank you 😊
1185940155045007400,Sun Oct 20 15:25:41 +0000 2019,Thank you all ! https://t.co/0PTiGQk3YU
1185908400502108200,Sun Oct 20 13:19:30 +0000 2019,@KollyUpdates Thank you Kolly Updates
1185625893886021600,Sat Oct 19 18:36:55 +0000 2019,@seenuramasamy Thank you Mr.Seenu Ramasamy
1185625638444490800,Sat Oct 19 18:35:54 +0000 2019,@dharankumar_c Thank you Dharan
1185625324156899300,Sat Oct 19 18:34:39 +0000 2019,RT @ActorMadhavan: @Jharrisjayaraj #18YearsOfRHTDM  THANK YOU Harris ... this film is a cult because of your Music and we still reap the be…
1185624990290284500,Sat Oct 19 18:33:20 +0000 2019,@ActorMadhavan @deespeak @menongautham Thank you Maddy 😊.
1185504929667903500,Sat Oct 19 10:36:15 +0000 2019,RT @ajithkanth009: @ActorMadhavan @deespeak Pls watch this , Malay girl singing Vasigara 🤩 ella pughazhum ( all glory l @Jharrisjayaraj sir…
1185258807946924000,Fri Oct 18 18:18:15 +0000 2019,@arrahman Thank you for the wishes Sir 😊.  @arrahman
1185093235888144400,Fri Oct 18 07:20:20 +0000 2019,Thank you to each and everyone for your Love and Wishes. Praise The Lord!
1184892338239262700,Thu Oct 17 18:02:02 +0000 2019,It’s an honour to get the doctorate along with Mr.Satheesh Reddy, Mr Raja Sabapathy, Ms Shobana and our Honourable… https://t.co/iHhmPPV2wa
1183397669932191700,Sun Oct 13 15:02:45 +0000 2019,@Sakthi_Harris Happy Birthday Sakthi 🎉
