id,created_at,text
1260384387620671500,Wed May 13 01:40:29 +0000 2020,Unmm... YESSS! Get on that. Its perfect 🦄 @DitaVonTeese https://t.co/13XmnRikEd
1260384215100649500,Wed May 13 01:39:48 +0000 2020,RT @lingerie_addict: I would 100% buy some @DitaVonTeese stationary. I'm looking for some notecards, and nothing I see is quite right.
1260356988648620000,Tue May 12 23:51:37 +0000 2020,https://t.co/H363qij5iq
1260348975934107600,Tue May 12 23:19:46 +0000 2020,RT @chelseahandler: Thank you to all responders who have been risking their lives. 100% of the net proceeds of this Super Nurse tee will pr…
1260348952752210000,Tue May 12 23:19:41 +0000 2020,RT @chelseahandler: 490 women are running for congressional seats this year. A recccors high! I love women, and I love record highs.
1260333536994721800,Tue May 12 22:18:25 +0000 2020,RT @MarkRuffalo: That’s all for tonight! Thanks for hanging out with me, for watching #IKnowThisMuchIsTrue, and for all the great questions…
1260333473199296500,Tue May 12 22:18:10 +0000 2020,RT @HBO: “We knew that Thomas had to be the heart of the piece.”   Actor and Executive Producer @MarkRuffalo discusses playing twin Thomas…
1260333397278244900,Tue May 12 22:17:52 +0000 2020,RT @MarkRuffalo: You don’t just give up on the people you love.  Based on the bestselling novel, and from the director of Blue Valentine an…
1260330371331186700,Tue May 12 22:05:50 +0000 2020,Thanks @entertainmentvoice for the fun and intelligent🙏 interview talking all things I KNOW THIS MUCH IS TRUE and t… https://t.co/vUZBgaP4ki
1260323785040785400,Tue May 12 21:39:40 +0000 2020,Wonderful to hear thank you so glad you enjoyed the work and this exceptional show “I know this much is true” 🙌 https://t.co/D01nKncSG7
1260323382936998000,Tue May 12 21:38:04 +0000 2020,GREAT ARTICLE for @looper talking about working with 2 geniuses Mark Ruffalo and Director Derek Cianfrance on “ I k… https://t.co/K15M2cTScv
1259625163072528400,Sun May 10 23:23:36 +0000 2020,TONIGHT 👉meet my latest character NEDRA FRANK- in ‘I KNOW THIS MUCH IS TRUE’ on @HBO 9pm MAY 10th! Starring… https://t.co/ymUnkje9sV
1259623439138279400,Sun May 10 23:16:45 +0000 2020,Happy mother’s day 🐶🌈🤷🏻‍♀️🌺🦄🌸 https://t.co/aQuFe6Kw9H
1259621908967944200,Sun May 10 23:10:40 +0000 2020,TONIGHT meet my latest character NEDRA FRANK in ‘I KNOW THIS MUCH IS TRUE’ 9pm on @hbo !! I KNOW THIS MUCH IS TRUE. https://t.co/2mZvJNsrVx
1259596086781468700,Sun May 10 21:28:03 +0000 2020,RT @HBO: "A jaw-dropping dual lead performance from @MarkRuffalo." — @thedailybeast  #IKnowThisMuchIsTrue, directed by Derek Cianfrance and…
1259595694395912200,Sun May 10 21:26:30 +0000 2020,This is one of the funniest exchanges I’ve seen in a long time 🙌the first tweet-it took me a minute to understand w… https://t.co/Ua8pAR3V0u
1259366903329378300,Sun May 10 06:17:22 +0000 2020,RT @NME: Brian Wilson, Ringo Starr, Tom Jones, Chuck D, Jimmy Page, and Spike Lee are among many paying tribute to the rock n' roll icon  h…
1259363971988983800,Sun May 10 06:05:43 +0000 2020,RT @Fredsablan: The real originator of Rock &amp; Roll. The most bombastic with an incredible voice. Gospel, punk, soul, all of it in one. Love…
1259343063077384200,Sun May 10 04:42:38 +0000 2020,WATCH THIS TRAILER- 🙌😭 Being a part of a team and story like this is why I got into this crazy industry!! ‘ I Know… https://t.co/z1jsHX6rrG
1259195869317877800,Sat May 09 18:57:44 +0000 2020,RT @Eastwood_Ranch: FOSTER LA AREA NEEDED: Ares  a 1 yo male American Staffordshire Terrier to foster/adopt. Sweet with lots of energy. Goo…
1258557350081728500,Fri May 08 00:40:29 +0000 2020,RT @ava: Let’s voice outrage beyond posting his picture on social media. Among other things, District Attorney George Barnhill must RESIGN.…
1258557334705471500,Fri May 08 00:40:26 +0000 2020,RT @MarkRuffalo: When the system is corrupt, then it’s up to us to stand together to fight against injustice. #JusticeForAhmaud
1258557166987784200,Fri May 08 00:39:46 +0000 2020,RT @chelseahandler: 1/3 women will experience gender-based violence. #COVID19​ is exacerbating this. I stand #TogetherForHer​ with ​@Charli…
1258100310817435600,Wed May 06 18:24:23 +0000 2020,MAY 10th @HBO VERY EXCITED FOR YOU ALL TO SEE THIS. 🙌❤️🙌🙌 https://t.co/WdqaqTA8Xe
1257787179431899100,Tue May 05 21:40:06 +0000 2020,RT @JulietteLewis: Me too 🤗👏🙌🤩 Coming May 10th! I Know This Much Is True @HBO
1257786814376497200,Tue May 05 21:38:39 +0000 2020,RT @Andy: In honor of #GivingTuesdayNow, Im supporting the @ASPCA in their efforts to help vulnerable pets &amp; pet owners impacted by this de…
1257786764153942000,Tue May 05 21:38:27 +0000 2020,RT @Eastwood_Ranch: Today is #GivingTuesday &amp; during this pandemic ERF has continued to rescue animals. We know it's been difficult during…
1257780444340326400,Tue May 05 21:13:21 +0000 2020,@JulietteLewis  #AloneTogether #charity  #petadoption #adoptdontshop #animalrescue https://t.co/c76gU0dthw
1257780413851975700,Tue May 05 21:13:13 +0000 2020,Almost sold out of this comfy unisex “Alone Together” T. All profits go to animal rescue/pet adoption costs @aspca… https://t.co/xvvU6IIprB
1257780374777794600,Tue May 05 21:13:04 +0000 2020,Hey All! We made a couple new ‘ALONE TOGETHER’ T shirts! All profits will go to some of my favorite animal rescue a… https://t.co/Wl4XPwQLnf
1257780305173381000,Tue May 05 21:12:47 +0000 2020,We are days away from The release of I KNOW THIS MUCH IS TRUE- I am so thrilled to have been a part of such a spect… https://t.co/FTvFjjGjvz
1257439709665648600,Mon May 04 22:39:23 +0000 2020,Loved being a part of this epic vid CREATED BY #1 badass @TheRealZoeBell 🦄 Starring Cameron Diaz Drew Barrymore Flo… https://t.co/7Gn3FUzIOE
1257405383825600500,Mon May 04 20:22:59 +0000 2020,RT @EthanSuplee: My kids have scammed me with words like “foster,” and “temporary...” But I think this lil dude is here to stay, his beard…
1256739259031134200,Sun May 03 00:16:03 +0000 2020,Hey All! We made a couple new ‘ALONE TOGETHER’ T shirts! All profits will go to some of my favorite animal rescue a… https://t.co/Zyiw7yce97
