id,created_at,text
1256171523808743400,Fri May 01 10:40:04 +0000 2020,@chhavihussein Thanks for getting me on  your channel!
1254353992567545900,Sun Apr 26 10:17:51 +0000 2020,@karanjohar watched KKHH for the nth time. Your first film 22 years ago to every film thereof - your heart mastered… https://t.co/fcXv8Hm1Ae
1250431283252965400,Wed Apr 15 14:30:24 +0000 2020,RT @kittensfolder: this is the cutest thing you'll see today https://t.co/ATl808IggF
1250431164340269000,Wed Apr 15 14:29:56 +0000 2020,RT @KoralDasgupta: This 82yo retired teacher staying alone in Kolkata, signalled the police to come up to his flat. They thought he was in…
1249372557255401500,Sun Apr 12 16:23:24 +0000 2020,Lockdowns lead to sit downs and sit downs to penning down. My latest blog post I did earlier today https://t.co/vYdfFvvajQ
1245895327095206000,Fri Apr 03 02:06:08 +0000 2020,RT @ahmermkhan: The famous Dal Lake in Srinagar earlier today.   Photo Ahmer Khan.  #Kashmir https://t.co/hdEwEmEJk8
1245374911545102300,Wed Apr 01 15:38:11 +0000 2020,RT @elsalwilliams: Socially distant dancing happens every day on our road at 11am during #lockdown. This was day seven.  #Covid19  #StayHom…
1244489994137251800,Mon Mar 30 05:01:50 +0000 2020,❤️ https://t.co/t4OAHryjV5
1241413015779430400,Sat Mar 21 17:15:01 +0000 2020,Self quarantine means quarantining ‘all of yourself’. Gentle reminder considering a lot of people seem to have quarantined the mind alone!
1241184440153325600,Sat Mar 21 02:06:45 +0000 2020,RT @thepuppiesclub: Quarantine Day 5: https://t.co/Lm1haI46UH
1240836819643555800,Fri Mar 20 03:05:26 +0000 2020,RT @baeonda: I’m 22 years old and I tested positive for COVID-19.   I’ve been debating on posting, but I want to share my experience especi…
1240141521313304600,Wed Mar 18 05:02:34 +0000 2020,@Misshattan ❤️ it!
1239898753579942000,Tue Mar 17 12:57:53 +0000 2020,RT @JoyAndLife: Died laughing! Now THAT’s how you wfh... such a brilliant idea!
1231522671143186400,Sun Feb 23 10:14:20 +0000 2020,RT @heraldsunsport: When Yeray Álvarez was diagnosed with cancer, all of his Athletic Bilbao team mates and coaches shaved their head in su…
1226230291523498000,Sat Feb 08 19:44:18 +0000 2020,...for the beauty lies in knowing you’re entitled but never feeling it!
1225461198553903000,Thu Feb 06 16:48:12 +0000 2020,RT @Brilliant_Ads: We love simple but brilliant ideas in advertising like this https://t.co/VViRmz3EdY
1219564835106644000,Tue Jan 21 10:18:09 +0000 2020,True story - powerful! https://t.co/lvnwEJ5LrI
1209099031206449200,Mon Dec 23 13:10:47 +0000 2019,RT @rajcheerfull: “You can cut all the flowers but you cannot keep Spring from coming.”  -Pablo Neruda
1208637812204925000,Sun Dec 22 06:38:04 +0000 2019,Undoubtedly https://t.co/Kx9UrC5AhK
1208353710193045500,Sat Dec 21 11:49:09 +0000 2019,RT @ValaAfshar: “We cannot change the cards we are dealt, just how we play the hand.“ https://t.co/hej4Qo0The
1202483538093920300,Thu Dec 05 07:03:11 +0000 2019,RT @Brilliant_Ads: Online grammar checker Grammarly posted this: https://t.co/Q1FwN8iNNB
1202162038442610700,Wed Dec 04 09:45:39 +0000 2019,@JoyAndLife ❤️❤️❤️ it!
1198531344730599400,Sun Nov 24 09:18:34 +0000 2019,The international roaming services with @airtelindia is the worst ever! Been trying to activate it for 48 hours wit… https://t.co/NI0cvf5jbQ
1188048915033018400,Sat Oct 26 11:05:08 +0000 2019,@007_edit How lovely!
1184470094891511800,Wed Oct 16 14:04:11 +0000 2019,RT @kodaklens: A meeting without food should be an email.  Lol.
1180444948132315100,Sat Oct 05 11:29:41 +0000 2019,#CauveryCalling  invites ‘aarey aarey’ and then we have #AareyForest promoting ‘ja re ja re’.  Just what are we doing?
1179223703923679200,Wed Oct 02 02:36:54 +0000 2019,Planet or Plastic? I’ve decided to give up plastic bags and #ChooseThePlanet. How about you? Take the National Geog… https://t.co/kfT9aSdy24
1178232042892382200,Sun Sep 29 08:56:24 +0000 2019,@UberINSupport Every ride is a pain with you guys - taxis are so dirty - have given up on riding  @Uber cabs in Ind… https://t.co/bWy50s16Vj
1178228390093971500,Sun Sep 29 08:41:53 +0000 2019,The lack of governance is appalling  with @Uber_India. Drivers cancel when they want, cars are filthy and most of t… https://t.co/iHmSuwcy3C
1163772468856623000,Tue Aug 20 11:19:13 +0000 2019,You see that’s the irony of being a parent - you never know all of what you’re missing out on, until the moment arr… https://t.co/gFPttpKyD2
1163028107516764200,Sun Aug 18 10:01:23 +0000 2019,RT @sayantansunnyg: John Steinbeck's letter to Marilyn Monroe asking for her autograph on a picture of herself "perhaps in pensive, girlish…
1162574730152439800,Sat Aug 17 03:59:49 +0000 2019,RT @JustMaguire: @kaffindia horrified with the experience with kaff in India! Been trying to follow up on a bill for 2 weeks, no response t…
1162573909738180600,Sat Aug 17 03:56:34 +0000 2019,@kaffindia horrified with the experience with kaff in India! Been trying to follow up on a bill for 2 weeks, no res… https://t.co/7X6DHUORgZ
1159022357450653700,Wed Aug 07 08:43:58 +0000 2019,The genius that these guys are! ❤️ https://t.co/NvWCCJJGoH
1155685930709082000,Mon Jul 29 03:46:12 +0000 2019,Thinking back on those memories, so happily I gleamed ~ To relive the moments, a thousand miles I streamed ~ But th… https://t.co/iJIe7HYSz4
1154028718383227000,Wed Jul 24 14:01:01 +0000 2019,@AramexHelp A courier that was sent overnight a week ago from Dubai has still not reached us. I spoke to one of you… https://t.co/nwlEHPIsnQ
1153923696983044000,Wed Jul 24 07:03:42 +0000 2019,Recently moved back to India - have had the most horrifying experience with @Aramex @AramexHelp
1143787590178541600,Wed Jun 26 07:46:26 +0000 2019,@vanityparty By this logic @shahidkapoor father and one of the finest actors In India, Pankaj Kapoor, must have ter… https://t.co/Npuf0x39ZA
1136179820839223300,Wed Jun 05 07:55:53 +0000 2019,RT @tancredipalmeri: You maybe already saw this. Tennis player Mahut losing at Roland Garros in front of his family, breaks down in tears.…
1127620190538170400,Sun May 12 17:02:58 +0000 2019,That DRS call by Raina seemed just so personal when clearly there was no contact with the bat! The team’s lost the… https://t.co/wGDBRIofpv
1126370325577515000,Thu May 09 06:16:27 +0000 2019,RT @SadhguruJV: When you do not know what to choose, show total involvement in everything. Then life will choose, and it is never wrong. #S…
1119924286242869200,Sun Apr 21 11:22:11 +0000 2019,And I wrote after a long time - letters to my son! @BreneBrown I found my self leaning into the vulnerable zone oh… https://t.co/bgf6E837HL
1113487087586512900,Wed Apr 03 17:03:03 +0000 2019,@iGaneshAyyar Whether you work on it or not, over time you become dispensable. To do it voluntarily is often a sign… https://t.co/emRRJFdH2t
1101511791719448600,Fri Mar 01 15:57:30 +0000 2019,#AbhinandanVartaman finally back home! #WelcomeBackAbhinandan - deep respect and pride in who you are and the examp… https://t.co/jyvqz6qYBZ
1097806769097707500,Tue Feb 19 10:35:04 +0000 2019,@JoyAndLife @kalravkapadia Try creed (Irish tweed)- slightly pricey but there’s nothing else like it!
1034856868223635500,Wed Aug 29 17:34:38 +0000 2018,Not many inspire the way you have and not many will continue to inspire the way you will - happy birthday MJ - for… https://t.co/wJixBWbDn8
1032959526973173800,Fri Aug 24 11:55:17 +0000 2018,@007_edit @nycfeelings @discovering_NYC Lovely pic - looks like a beautiful day!
1032749129536102400,Thu Aug 23 21:59:14 +0000 2018,@Nawazuddin_S  from all the trailers I’ve watched in the last 24 hours - you seem to be doing the best cinema there… https://t.co/TZNAQ6OHPc
1025708806767091700,Sat Aug 04 11:43:30 +0000 2018,❤️ can never get enough of this city https://t.co/wWZV61yA7F
1019964404975226900,Thu Jul 19 15:17:18 +0000 2018,The most beautiful representation of what friends bring to life! I catch myself misty eyed multiple times, every ti… https://t.co/LFszXrhDTS
1018581299588714500,Sun Jul 15 19:41:20 +0000 2018,France won the title and Croatia my heart! #WorldCupFinal2018
1017313993633955800,Thu Jul 12 07:45:31 +0000 2018,👌🏻 https://t.co/WSOLruf4n8
1011896975850115100,Wed Jun 27 09:00:13 +0000 2018,Love it! https://t.co/jxNIX3HsDy
1011120655260143600,Mon Jun 25 05:35:24 +0000 2018,How powerful! https://t.co/CPDjT3aZ1C
997560665819832300,Fri May 18 19:32:51 +0000 2018,RT @BreneBrown: I'm going to continue to post this image as long as we keep prioritizing money over lives.   I don't want us to be lulled i…
970544548437950500,Mon Mar 05 06:20:26 +0000 2018,Excited to be on the panel tomorrow with people matters. Colleagues and folks on the network - feel free to join an… https://t.co/oRRPQriuKF
