id,created_at,text
1260284471967965200,Tue May 12 19:03:27 +0000 2020,RT @AdityaRajKaul: Horrific images coming from Kabul in Afghanistan. 14 mothers &amp; nurses killed in a brutal terror attack on Doctors Withou…
1260279248427856000,Tue May 12 18:42:42 +0000 2020,RT @ShefVaidya: Guess who would have been happiest today? Shri. Dattopant Thengadi, the founder of Swadeshi Jagran Manch. He said, ‘a devel…
1260272155352170500,Tue May 12 18:14:31 +0000 2020,RT @KapilMishra_IND: This "Self Dependent India" #AatmanirbharBharat speech by @narendramodi Ji will be remembered the way world remember "…
1260269044638158800,Tue May 12 18:02:09 +0000 2020,RT @appriseParas: 406 corona +ve cases reported in Delhi in last 24hrs  13 deaths-- highest in a day--added to tally Delhi now officially h…
1260268613543407600,Tue May 12 18:00:26 +0000 2020,RT @appriseParas: Burial grounds/crematoria were receiving an average of 5 bodies per day (&gt;4.7) in April  Average per day processing count…
1260268522678059000,Tue May 12 18:00:05 +0000 2020,RT @appriseParas: Massive mismatch bw official corona deaths in Delhi govt health bulletin &amp; cremation/burial data released by corporations…
1260267953796206600,Tue May 12 17:57:49 +0000 2020,RT @HitCovid: Massive mismatch between official #Corona deaths in Delhi Govt health bulletins &amp; Cremation/Burial data released by Corporati…
1260267760367440000,Tue May 12 17:57:03 +0000 2020,RT @PRATAPB21838216: around 30 dead bodies were stacked in Nigambodh ghat on the same day. But Delhi govt  is claiming that only 73 death d…
1260267011420024800,Tue May 12 17:54:04 +0000 2020,RT @blsanthosh: By his 33 mnts momentous speech HE gave  1. New meaning to many a lives in service of Motherland .  2. A new vigour to many…
1260266848714551300,Tue May 12 17:53:26 +0000 2020,RT @RajatSharmaLive: किसी ने नहीं सोचा था कि बीस लाख करोड़ का पैकेज होगा.  किसी को उम्मीद नहीं थी कि लैंड, लेबर और लिक्विडिटी में सुधार की…
1260235459399049200,Tue May 12 15:48:42 +0000 2020,This "Self Dependent India" #AatmanirbharBharat speech by @narendramodi Ji will be remembered the way world remembe… https://t.co/HspXtk6bEq
1260210491000905700,Tue May 12 14:09:29 +0000 2020,Who is this Sameer Khan?   He is making very violent &amp; derogatory comments against Jain Community  He is followed b… https://t.co/4WgFtgr1sH
1260156837447360500,Tue May 12 10:36:17 +0000 2020,RT @KapilMishra_IND: दिल्ली के कब्रिस्तान का वीडियो -   इस कब्रिस्तान में 96 कोरोना लाशें दफ़न  झूठ बोल रही हैं दिल्ली सरकार  More than 300…
1260138982190403600,Tue May 12 09:25:20 +0000 2020,RT @KailashOnline: पश्चिम बंगाल के हुगली जिले के टेलनीपारा में हिन्दुओं के घरों को जलाया जा रहा है। https://t.co/FryAqHw0Cw
1260138940402667500,Tue May 12 09:25:10 +0000 2020,RT @KapilMishra_IND: केजरीवाल के हर झूठ का पर्दाफाश  करके रहेंगे  कोरोना से मौत का झूठ छिपाने नहीं देंगे https://t.co/TDsd9Wvy1t
