id,created_at,text
259718084569464830,Sat Oct 20 18:09:51 +0000 2012,RT @MySneakerPage: @kbutta5 's 1st @jumpman23 shipment! Congrats again sir! #salute  http://t.co/aFhEjgZU
259718014642028540,Sat Oct 20 18:09:34 +0000 2012,RT @FitoFlores56: Oh shit! Kendall Marshall of the Phoenix Suns liked my post! My day has been made! @kbutta5  http://t.co/kVL0cW09
259717897620975600,Sat Oct 20 18:09:06 +0000 2012,#passfir5t
251634671073517570,Fri Sep 28 10:49:15 +0000 2012,RT @thatssoannie: WAT WHO WOULD BRING AND 8 YR OLD RT @zarrybaby "THIS WAS ON TICKETMASTER ON THE COMMENETS OOSJAIHAI TA TI AM LAUHGING" ...
237049062480805900,Sun Aug 19 04:51:15 +0000 2012,#boss RT @Not_The_Fake_NC: How did @Kbutta5 just retweet himself...?
237036763221196800,Sun Aug 19 04:02:22 +0000 2012,RT @kmarsh_12: Happy 21st birthdayyyy to da best brothaa in da worlddd @kbutta5 😘 love youu💗✌  http://t.co/3AScBoZc
237036558300086270,Sun Aug 19 04:01:34 +0000 2012,HAPPY 21st BIRTHDAY TO KENDALL 😃😃😃😃🎂🎉🎉🎈🎁
233740933357764600,Fri Aug 10 01:45:55 +0000 2012,Dang!!! RT "@lesterdee: #tbt 😂😂@kbutta5 http://t.co/OOwOxD8q"
231427397638033400,Fri Aug 03 16:32:45 +0000 2012,☺ RT "@The_NR_Sprinter: first thing I'm hanging up in my dorm at UNC @kbutta5  http://t.co/MrYa907Q"
231427013330735100,Fri Aug 03 16:31:14 +0000 2012,Is this real? If so then #respect! RT @c_martin15: @kbutta5 @kbutter5 #passfir5t http://t.co/GymlHXc1
231426751312576500,Fri Aug 03 16:30:11 +0000 2012,Oh man. Lol RT "@j_d_f: #tbt • #TeamMD • U12 national champs • @kbutta5 open ur eyes dude http://t.co/SwckiTEO"
231426643367968770,Fri Aug 03 16:29:46 +0000 2012,RT @ItsAntWright: @j_d_f @kbutta5 lol his game back then is so much different than now
231426611663208450,Fri Aug 03 16:29:38 +0000 2012,RT @TerrellVinson: Where ya goggles? RT @j_d_f: #tbt • #TeamMD • U12 national champs • @kbutta5 open ur eyes dude http://t.co/SwckiTEO
227182957004210180,Sun Jul 22 23:26:52 +0000 2012,The Chapel Hill community as a whole. very friendly RT @The_NR_Sprinter: @Kbutta5 the best part about being a student athlete at UNC was...?
224587667822739460,Sun Jul 15 19:34:07 +0000 2012,Haha! RT @tyler_mchone22: @kbutta5 status with the facial hair http://t.co/RHTHeIqG
224587497387200500,Sun Jul 15 19:33:26 +0000 2012,RT @Laura_C15: "@Jam_iHoop: They must not know who tf I am. 😏" Your a cutie that looks like that sexy guy Kendall Marshall (@kbutta5)!
224587480366727170,Sun Jul 15 19:33:22 +0000 2012,RT @The_NR_Sprinter: finally got my MacBook from UNC, @kbutta5 as the wallpaper #fresh http://t.co/fRF0UKHq
224587442223714300,Sun Jul 15 19:33:13 +0000 2012,RT @BeltonJ_Gassin: @dstrick01 @kbutta5 @johnhenson31 @reggiebullock35 @lezz_mcdonald2 @pjhairston43 @blackfalcon40  http://t.co/p5TBo6mi
224587425287127040,Sun Jul 15 19:33:09 +0000 2012,RT @NotNoParkay_: Kamryn w/ "@kbutta5" &amp; "@fuckyopictures"  http://t.co/FQWJgmFT
224587341589786620,Sun Jul 15 19:32:49 +0000 2012,RT @BeltonJ_Gassin: @dstrick01 @kbutta5 @johnhenson31 @reggiebullock35 @lezz_mcdonald2 @pjhairston43 @blackfalcon40  http://t.co/iCIDgUk7
224587293959258100,Sun Jul 15 19:32:38 +0000 2012,RT @kwadeeee: #tbt When I met @kbutta5 @blackfalcon40 &amp;amp; @lezz_mcdonald2 😁😁😁💙 http://t.co/mZVemfLu
224587259461111800,Sun Jul 15 19:32:29 +0000 2012,RT @The_NR_Sprinter: finally got my MacBook from UNC, @kbutta5 as the wallpaper #fresh http://t.co/0PM58Sk2
224569240957620220,Sun Jul 15 18:20:53 +0000 2012,You guys remembering to #passfir5t ?
221805457772261380,Sun Jul 08 03:18:36 +0000 2012,RT "@tyler_mchone22: @kbutta5 status with the facial hair http://t.co/RHTHeIqG"
221805295565938700,Sun Jul 08 03:17:58 +0000 2012,RT @mike_yduarte: @phoenixsuns @kbutta5 Phoenix Suns Basketball Camp http://t.co/kdeyasly
221076729396072450,Fri Jul 06 03:02:54 +0000 2012,@AustinHolman @KButter5 read bio
221026497857724400,Thu Jul 05 23:43:18 +0000 2012,Thanks for all the wonderful support #passfir5t
221026366940905470,Thu Jul 05 23:42:47 +0000 2012,This time last week was the greatest night of my life.
221026086266478600,Thu Jul 05 23:41:40 +0000 2012,Thanks to all my new followers over the past week since the draft!
220924927228911600,Thu Jul 05 16:59:41 +0000 2012,RT @fifafreaks11: Although the @PhoenixSuns lost @SteveNash I feel good about dragic Beasley &amp; @kbutta5. Maybe even Eric Gordon shou ...
220924707011170300,Thu Jul 05 16:58:49 +0000 2012,RT @AustinHolman: OMG @kbutta5 liked my photo!!!! My favorite tarheel!  http://t.co/KGMkrGQQ
220924627239714800,Thu Jul 05 16:58:30 +0000 2012,RT @S_Collins2: @kbutta5 #HesNext http://t.co/92vMHRhp
220924576513798140,Thu Jul 05 16:58:18 +0000 2012,RT @bjohnson_23: @kbutta5  http://t.co/ARUUcs88
220924409383362560,Thu Jul 05 16:57:38 +0000 2012,RT @HunterEstes1: Can't believe( Kendall Marshall) @kbutta5 just liked my picture!!! http://t.co/LBU2D8BI
219207072376565760,Sat Jun 30 23:13:33 +0000 2012,RT "@CallMe_RonG: @luckylos32 said momma we made it @johnhenson31 @blackfalcon40 @kbutta5http://instagr.am/p/Mg_BQSmfyu/"
219206857565290500,Sat Jun 30 23:12:42 +0000 2012,RT @CallMe_RonG: @luckylos32 said momma we made it @johnhenson31 @blackfalcon40 @kbutta5  http://t.co/Vc0IQwUr
219093842396332030,Sat Jun 30 15:43:37 +0000 2012,RT @MrMac810: @Kbutta5 thanks man! Congrats on getting drafted to PHX! #FollowBack
219077321511026700,Sat Jun 30 14:37:58 +0000 2012,My Instagram right now &lt;&lt;&lt;
218867103904702460,Sat Jun 30 00:42:38 +0000 2012,RT @jer_main: Wow! @kbutta5 on the roster update for 2k even tho they got the  # wrong http://t.co/M702hQcQ
218856510132989950,Sat Jun 30 00:00:32 +0000 2012,RT @_Call_Me_Chen_: @Kbutta5 FOLLOWBACK #TarHeelNation #SunsNation
218856465719492600,Sat Jun 30 00:00:22 +0000 2012,RT "@MattySaid: @PhoenixSuns Remember when Penny played for the @phoenixsuns? He was that dude.. 🌵 @kbutta5 #next http://t.co/L9iIOiKt "
218855467764547600,Fri Jun 29 23:56:24 +0000 2012,RT @_Call_Me_Chen_: @Kbutta5 Followback #TarHeelNation &amp; #SunsNation Fan !!!
218855357315956740,Fri Jun 29 23:55:57 +0000 2012,RT @ShariaMarcus: @Kbutta5 @PhoenixSuns its time!!! Should fit right in with Alvin Gentry offense.
218846678822817800,Fri Jun 29 23:21:28 +0000 2012,@RealAustinWall @KButter5 is Kendall's real twitter. This is only a fan page. Please read bio.
218846387750711300,Fri Jun 29 23:20:19 +0000 2012,@JustCatchup lol this is a fan page. Kendall's real twitter is @KButter5
218806147837202430,Fri Jun 29 20:40:25 +0000 2012,RT @KingJames919: @Kbutta5 Preciate that Kendall. Do work in Phoenix me n @SoleFreshSoCln rootin for u
218806039619964930,Fri Jun 29 20:39:59 +0000 2012,Should definitely expect to see @_John_Henson_, @HBarnes, @KButter5, &amp; @ZellerTyler shine in all aspects of the game. #NBAbound #TarHeels
218804954872287230,Fri Jun 29 20:35:41 +0000 2012,@PhoenixSuns #PassFir5t http://t.co/Ne8dmC97
